IDCNTRY;Variable;Mean;stdev;TOTWGT;NObs;TOTWGT.se;mean.se;stdev.se;xvar;weight;method;jk2type;missoptn;date;time;reps;infile;selcrit
Hungary;BSDGHER;1,84876632368596;,521404189945532;84820,4167990007;4882;2138,93921406422;,0196806075397848;,00963354222431735;BSDGHER BSDGSLM;TOTWGT;JRR;FULL;LISTWISE;26-FEB-26; 2h34m;150;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\TIMSS_8_2015.sav;NONE
Hungary;BSDGSLM;2,47405379347855;,681241351731649;84820,4167990007;4882;2138,93921406422;,0184092959396133;,00931327876834692;BSDGHER BSDGSLM;TOTWGT;JRR;FULL;LISTWISE;26-FEB-26; 2h34m;150;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\TIMSS_8_2015.sav;NONE
Iran, Islamic Republic of;BSDGHER;2,2686035379117;,614657963112391;953823,130726011;6085;10399,838084123;,0216371648680769;,00777648516397344;BSDGHER BSDGSLM;TOTWGT;JRR;FULL;LISTWISE;26-FEB-26; 2h34m;150;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\TIMSS_8_2015.sav;NONE
Iran, Islamic Republic of;BSDGSLM;1,95806107686069;,778182920806919;953823,130726011;6085;10399,838084123;,0202038798293724;,00570771609142609;BSDGHER BSDGSLM;TOTWGT;JRR;FULL;LISTWISE;26-FEB-26; 2h34m;150;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\TIMSS_8_2015.sav;NONE
Ireland;BSDGHER;1,85326819673974;,485238050243099;57818,3388569998;4643;1077,80515013213;,012050227952672;,00763122387950817;BSDGHER BSDGSLM;TOTWGT;JRR;FULL;LISTWISE;26-FEB-26; 2h34m;150;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\TIMSS_8_2015.sav;NONE
Ireland;BSDGSLM;2,37947772377664;,713355180094093;57818,3388569998;4643;1077,80515013213;,0178475195281236;,00757785056620259;BSDGHER BSDGSLM;TOTWGT;JRR;FULL;LISTWISE;26-FEB-26; 2h34m;150;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\TIMSS_8_2015.sav;NONE
Israel;BSDGHER;1,86611068339722;,404579427825804;72840,7687070005;4192;1537,27169216115;,00772881257463968;,00753932122986983;BSDGHER BSDGSLM;TOTWGT;JRR;FULL;LISTWISE;26-FEB-26; 2h34m;150;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\TIMSS_8_2015.sav;NONE
Israel;BSDGSLM;2,23000002101005;,755482654292449;72840,7687070005;4192;1537,27169216115;,0199823422320053;,00650888307330444;BSDGHER BSDGSLM;TOTWGT;JRR;FULL;LISTWISE;26-FEB-26; 2h34m;150;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\TIMSS_8_2015.sav;NONE
Italy;BSDGHER;2,02518249439754;,525224131689373;524757,070860003;4449;6137,581858244;,0151016509637259;,00986200966730241;BSDGHER BSDGSLM;TOTWGT;JRR;FULL;LISTWISE;26-FEB-26; 2h34m;150;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\TIMSS_8_2015.sav;NONE
Italy;BSDGSLM;2,33923157727488;,749748911216573;524757,070860003;4449;6137,581858244;,0190677333458395;,00872121582486824;BSDGHER BSDGSLM;TOTWGT;JRR;FULL;LISTWISE;26-FEB-26; 2h34m;150;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\TIMSS_8_2015.sav;NONE
