"";"BSBG01";"dvar";"groupvar";"refgroup";"compgroup";"pct";"pct_se";"cpct";"cpct_se";"pctdiff";"pctdiff_se";"pctdiff_t";"mnx";"mnx_se";"cmnx";"cmnx_se";"mnxdiff";"mnxdiff_se";"mnxdiff_t";"weight";"method";"jk2type";"date";"time";"reps";"selcrit"
"24";"Girl";"BSDGSLM";"IDCNTRY";"Australia";"Oman";51,3020766451205;1,60860065177764;48,2487439944306;1,7056391133253;-3,05333265068985;2,34452571788082;-1,30232423018576;2,44578079668822;0,0186325417962671;1,71530397913753;0,0230835465617952;-0,730476817550688;0,0296651603005985;-24,6240643956995;"TOTWGT";"JRR";"FULL";"04-MAR-26";"12h58m";150;"NONE"
"25";"Girl";"BSDGSLM";"IDCNTRY";"Australia";"New Zealand";51,3020766451205;1,60860065177764;51,7245514617511;1,99734586758129;0,422474816630576;2,56456362206975;0,164735556955929;2,44578079668822;0,0186325417962671;2,39808362581547;0,0209024650811244;-0,0476971708727501;0,0280015117494978;-1,70337842111705;"TOTWGT";"JRR";"FULL";"04-MAR-26";"12h58m";150;"NONE"
"26";"Girl";"BSDGSLM";"IDCNTRY";"Australia";"Norway";51,3020766451205;1,60860065177764;50,044967142947;0,702313231665848;-1,25710950217348;1,75523215908107;-0,716206967647876;2,44578079668822;0,0186325417962671;2,45225596683026;0,0224252685362083;0,00647517014204269;0,0291558618927772;0,22208810584491;"TOTWGT";"JRR";"FULL";"04-MAR-26";"12h58m";150;"NONE"
"27";"Girl";"BSDGSLM";"IDCNTRY";"Australia";"Qatar";51,3020766451205;1,60860065177764;50,712864704194;3,06446707074566;-0,589211940926539;3,46100483741123;-0,170243027272756;2,44578079668822;0,0186325417962671;2,26159680799503;0,0238014563892782;-0,18418398869319;0,0302271556723479;-6,0933284854745;"TOTWGT";"JRR";"FULL";"04-MAR-26";"12h58m";150;"NONE"
"28";"Girl";"BSDGSLM";"IDCNTRY";"Australia";"Russian Federation";51,3020766451205;1,60860065177764;48,7174336362092;0,939458984837853;-2,58464300891133;1,86284171122831;-1,38747323153242;2,44578079668822;0,0186325417962671;2,19126059718232;0,0214929419327953;-0,254520199505902;0,0284450024910555;-8,9478002185423;"TOTWGT";"JRR";"FULL";"04-MAR-26";"12h58m";150;"NONE"
"29";"Girl";"BSDGSLM";"IDCNTRY";"Australia";"Saudi Arabia";51,3020766451205;1,60860065177764;51,8923519565511;1,58808641990757;0,590275311430609;2,26044564942276;0,261132273444108;2,44578079668822;0,0186325417962671;2,19617962109408;0,0418207360040324;-0,24960117559414;0,0457836823956812;-5,45174967441424;"TOTWGT";"JRR";"FULL";"04-MAR-26";"12h58m";150;"NONE"
"30";"Girl";"BSDGSLM";"IDCNTRY";"Australia";"Singapore";51,3020766451205;1,60860065177764;48,5195480611973;0,590812191193036;-2,78252858392316;1,71366715034215;-1,62372756189416;2,44578079668822;0,0186325417962671;2,13069571358461;0,0158329995460988;-0,315085083103611;0,0244510835836861;-12,8863443628256;"TOTWGT";"JRR";"FULL";"04-MAR-26";"12h58m";150;"NONE"
"31";"Girl";"BSDGSLM";"IDCNTRY";"Australia";"Slovenia";51,3020766451205;1,60860065177764;48,4524873166596;0,738197917686465;-2,84958932846089;1,76989610502314;-1,61003197892434;2,44578079668822;0,0186325417962671;2,64238705351127;0,0182172797508207;0,196606256823046;0,0260584131387408;7,54482845046128;"TOTWGT";"JRR";"FULL";"04-MAR-26";"12h58m";150;"NONE"
"32";"Girl";"BSDGSLM";"IDCNTRY";"Australia";"South Africa";51,3020766451205;1,60860065177764;51,4247997812033;1,13839638689514;0,122723136082797;1,97067054339262;0,0622748112282242;2,44578079668822;0,0186325417962671;1,82838519826711;0,0236244570370331;-0,617395598421108;0,030087980724606;-20,5196754169747;"TOTWGT";"JRR";"FULL";"04-MAR-26";"12h58m";150;"NONE"
"33";"Girl";"BSDGSLM";"IDCNTRY";"Australia";"Sweden";51,3020766451205;1,60860065177764;48,1225140179502;0,963690035834178;-3,17956262717028;1,87517853605078;-1,6956052802666;2,44578079668822;0,0186325417962671;2,46104729837711;0,0236463774298303;0,0152665016888958;0,0301051952218156;0,507105221421483;"TOTWGT";"JRR";"FULL";"04-MAR-26";"12h58m";150;"NONE"
"34";"Girl";"BSDGSLM";"IDCNTRY";"Australia";"Thailand";51,3020766451205;1,60860065177764;53,8410877951735;1,50674858586197;2,53901115005299;2,20406155946164;1,15196925383208;2,44578079668822;0,0186325417962671;2,04293487561602;0,0191815699434334;-0,402845921072196;0,0267414330073103;-15,0644851740768;"TOTWGT";"JRR";"FULL";"04-MAR-26";"12h58m";150;"NONE"
"35";"Girl";"BSDGSLM";"IDCNTRY";"Australia";"United Arab Emirates";51,3020766451205;1,60860065177764;50,2925366899977;2,54971708566406;-1,00953995512282;3,01473933762551;-0,334868073840825;2,44578079668822;0,0186325417962671;2,13008764620742;0,0219862968652155;-0,315693150480798;0,028819591663225;-10,9541160114227;"TOTWGT";"JRR";"FULL";"04-MAR-26";"12h58m";150;"NONE"
"36";"Girl";"BSDGSLM";"IDCNTRY";"Australia";"Turkey";51,3020766451205;1,60860065177764;48,3789854897568;0,786544193107855;-2,92309115536371;1,79059985050015;-1,63246476008989;2,44578079668822;0,0186325417962671;2,00738711717654;0,0221310038336058;-0,438393679511678;0,0289301390330692;-15,1535282637447;"TOTWGT";"JRR";"FULL";"04-MAR-26";"12h58m";150;"NONE"
"37";"Girl";"BSDGSLM";"IDCNTRY";"Australia";"Egypt";51,3020766451205;1,60860065177764;53,0837329006994;2,30732887232994;1,78165625557887;2,81271445084402;0,63342948127715;2,44578079668822;0,0186325417962671;1,83932185300534;0,0315146407328789;-0,606458943682883;0,0366107114696242;-16,5650685096918;"TOTWGT";"JRR";"FULL";"04-MAR-26";"12h58m";150;"NONE"
"38";"Girl";"BSDGSLM";"IDCNTRY";"Australia";"United States";51,3020766451205;1,60860065177764;50,1124232069602;0,622368153345308;-1,18965343816029;1,72480090885815;-0,689733772779528;2,44578079668822;0,0186325417962671;2,32032687767664;0,0169590659546759;-0,125453919011583;0,0251948711416567;-4,9793435460029;"TOTWGT";"JRR";"FULL";"04-MAR-26";"12h58m";150;"NONE"
