IDCNTRY;BSBG01;xvar;n;TOTWGT;sumw_se;tsumw;tsumw_se;pct;pct_se;tpct;tpct_se;mnx;mnx_se;sdx;sdx_se;vrx;vrx_se;DEff;pctmiss;nvarstrat;weight;reps;method;jk2type;date;time;infile;selcrit
Ireland;Boy;BSDGSLM;2252;28771,507658;776,780517923799;28921,349025;773,997171548453;49,6207589057396;1,12884855327495;49,7345838433225;1,12633203447195;2,33999877327526;,0253713961786047;,709878525488995;,0112661319789431;,50392752095043;,0159941906377286;2,87666336791926;,518099507981025;60;TOTWGT;150;JRR;FULL;26-FEB-26; 7h31m;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\TIMSS_8_2015.sav;NONE
Israel;Girl;BSDGSLM;2683;46781,1422479995;1341,82035296714;46926,15975;1345,56586187362;49,3607272053286;1,22266718030916;49,223603114838;1,21149392152877;2,26755124132387;,021364417804133;,762077791097392;,00787624308227893;,580762559683881;,0120044212396881;2,10864847872515;,309033389419853;67;TOTWGT;150;JRR;FULL;26-FEB-26; 7h31m;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\TIMSS_8_2015.sav;NONE
Israel;Boy;BSDGSLM;2772;47992,8712169993;1377,95550825512;48406,4790259992;1385,15179639496;50,6392727946714;1,22266718030915;50,776396885162;1,21149392152877;2,23384488621772;,024125267279338;,753886752413157;,00803355161967124;,568345235464056;,0121123813283818;2,83873772553908;,854447208973514;70;TOTWGT;150;JRR;FULL;26-FEB-26; 7h31m;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\TIMSS_8_2015.sav;NONE
Italy;Girl;BSDGSLM;2209;258210,860859;5680,34650588017;258693,1684;5670,53373523059;49,1045512075511;,840658103438717;49,065488281246;,828504427379077;2,40024107741709;,0253558034006919;,730973199392269;,0132355840058082;,53432181822977;,0193488246038709;2,65795460310423;,186439999163117;75;TOTWGT;150;JRR;FULL;26-FEB-26; 7h31m;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\TIMSS_8_2015.sav;NONE
Italy;Boy;BSDGSLM;2250;267628,098075001;5080,49524537445;268547,418542001;5044,39781775199;50,8954487924489;,840658103438714;50,934511718754;,828504427379064;2,28128035853658;,0217836144574324;,762182372654832;,00944745193058683;,580921969185749;,0144010645139828;1,83791152512988;,342330777927854;75;TOTWGT;150;JRR;FULL;26-FEB-26; 7h31m;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\TIMSS_8_2015.sav;NONE
Japan;Girl;BSDGSLM;2417;583547,369178995;12387,5239006141;583547,369178995;12387,5239006141;51,0670724449135;,972584648267277;51,0152017195335;,972484374547367;2,58596163974672;,0156074190580804;,604101540104687;,0101525790529961;,364938670756855;,0122661025707272;1,6133141657856;0;74;TOTWGT;150;JRR;FULL;26-FEB-26; 7h31m;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\TIMSS_8_2015.sav;NONE
Japan;Boy;BSDGSLM;2320;559160,331185997;15077,4779129366;560322,202065997;15131,3949782845;48,9329275550865;,972584648267285;48,9847982804665;,972484374547372;2,39840201090178;,0197078654133291;,697492904357079;,00891926401436332;,486496351628474;,01244202032106;1,85219869010631;,207357637394342;73;TOTWGT;150;JRR;FULL;26-FEB-26; 7h31m;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\TIMSS_8_2015.sav;NONE
Kazakhstan;Girl;BSDGSLM;2380;114230,304654;3624,9524122691;114422,142459;3619,99602357868;49,6699715868642;,911393676731237;49,4636037330783;,903915103272325;1,72964444125801;,0209799222806209;,634402526593399;,00930828178179698;,402466565748088;,0118101125929089;2,60288451200148;,167657938295239;75;TOTWGT;150;JRR;FULL;26-FEB-26; 7h31m;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\TIMSS_8_2015.sav;NONE
Kazakhstan;Boy;BSDGSLM;2471;115748,294094;3904,9188750949;116903,789789;3880,78120108268;50,3300284131358;,911393676731238;50,5363962669217;,90391510327232;1,82478310059991;,025291312852376;,639074300616467;,010060154274794;,408415961708427;,0128582867722506;3,87001622858262;,988415941934439;75;TOTWGT;150;JRR;FULL;26-FEB-26; 7h31m;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\TIMSS_8_2015.sav;NONE
Jordan;Girl;BSDGSLM;4243;62313,1860780006;3576,54946475136;62850,4691020005;3569,42494776287;50,939394053996;2,58754441711115;50,4733381555365;2,58278994518664;1,89720855478353;,0261473164367526;,78954988406422;,00674845917944778;,623389019425823;,0106564455731483;4,65337582326934;,854859210562198;67;TOTWGT;150;JRR;FULL;26-FEB-26; 7h31m;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\TIMSS_8_2015.sav;NONE
