"";"ASBG01";"dvar";"groupvar";"refgroup";"compgroup";"pct";"pct_se";"cpct";"cpct_se";"pctdiff";"pctdiff_se";"pctdiff_t";"mnpv";"mnpv_se";"cmnpv";"cmnpv_se";"mnpvdiff";"mnpvdiff_se";"mnpvdiff_t";"mnpvdiff_ci";"weight";"method";"jk2type";"shortcut";"date";"time";"reps";"npv";"selcrit"
"27";"Girl";"ASRREA0";"IDCNTRY";"Azerbaijan, Republic of";"Morocco";47,0203445808808;0,772503629710144;49,0293140827573;1,02648895223202;2,00896950187651;1,28469507159082;1,56377147099104;479,2706453246;4,34516716506875;360,611979250262;4,62773864772552;-118,658666074338;6,34794791125794;-18,6924448236098;"-131 to -106";"TOTWGT";"JRR";"FULL";"N";"04-MAR-26";"13h 3m";150;5;"NONE"
"28";"Girl";"ASRREA0";"IDCNTRY";"Azerbaijan, Republic of";"Oman";47,0203445808808;0,772503629710144;50,0053437326592;0,716345875032573;2,98499915177837;1,05352421452548;2,83334650558825;479,2706453246;4,34516716506875;441,866662138758;3,17220123134686;-37,4039831858421;5,37990133223186;-6,95254073931594;"-48 to -27";"TOTWGT";"JRR";"FULL";"N";"04-MAR-26";"13h 3m";150;5;"NONE"
"29";"Girl";"ASRREA0";"IDCNTRY";"Azerbaijan, Republic of";"Netherlands";47,0203445808808;0,772503629710144;50,7087816928847;1,0869660320455;3,68843711200386;1,33351303433303;2,76595505033714;479,2706453246;4,34516716506875;550,2355943459;1,71887878649755;70,9649490213004;4,6727959483657;15,1868281443191;"62 to 80";"TOTWGT";"JRR";"FULL";"N";"04-MAR-26";"13h 3m";150;5;"NONE"
"30";"Girl";"ASRREA0";"IDCNTRY";"Azerbaijan, Republic of";"New Zealand";47,0203445808808;0,772503629710144;50,3004174866841;0,86340790842072;3,28007290580333;1,15854869308061;2,83119123554621;479,2706453246;4,34516716506875;533,888737766;2,42838140685164;54,6180924413998;4,9777016734166;10,9725523996521;"45 to 64";"TOTWGT";"JRR";"FULL";"N";"04-MAR-26";"13h 3m";150;5;"NONE"
"31";"Girl";"ASRREA0";"IDCNTRY";"Azerbaijan, Republic of";"Norway";47,0203445808808;0,772503629710144;50,2738061947047;1,13050076916888;3,25346161382387;1,36923111526388;2,37612305004978;479,2706453246;4,34516716506875;569,647640811582;2,56458073812325;90,3769954869818;5,04554774576006;17,9122267870577;"80 to 100";"TOTWGT";"JRR";"FULL";"N";"04-MAR-26";"13h 3m";150;5;"NONE"
"32";"Girl";"ASRREA0";"IDCNTRY";"Azerbaijan, Republic of";"Poland";47,0203445808808;0,772503629710144;49,6175017978654;0,830275860335411;2,59715721698461;1,13407224733306;2,29011619241386;479,2706453246;4,34516716506875;573,578670191909;2,48983415488331;94,3080248673097;5,00796883089493;18,8315918193238;"84 to 104";"TOTWGT";"JRR";"FULL";"N";"04-MAR-26";"13h 3m";150;5;"NONE"
"33";"Girl";"ASRREA0";"IDCNTRY";"Azerbaijan, Republic of";"Portugal";47,0203445808808;0,772503629710144;49,4041463532625;0,836410836898366;2,38380177238165;1,13857144966681;2,09367780395271;479,2706453246;4,34516716506875;528,515967848027;2,74095422455903;49,2453225234274;5,13744175183716;9,58557291784713;"39 to 59";"TOTWGT";"JRR";"FULL";"N";"04-MAR-26";"13h 3m";150;5;"NONE"
"34";"Girl";"ASRREA0";"IDCNTRY";"Azerbaijan, Republic of";"Qatar";47,0203445808808;0,772503629710144;50,3648853013117;2,34945890297027;3,34454072043089;2,47320015256785;1,35231300101545;479,2706453246;4,34516716506875;460,144629010072;1,93768446214116;-19,1260163145275;4,75763583802028;-4,02006731193746;"-28 to -10";"TOTWGT";"JRR";"FULL";"N";"04-MAR-26";"13h 3m";150;5;"NONE"
"35";"Girl";"ASRREA0";"IDCNTRY";"Azerbaijan, Republic of";"Russian Federation";47,0203445808808;0,772503629710144;49,1527064893512;0,844917470908003;2,13236190847041;1,14483509317321;1,8625930679326;479,2706453246;4,34516716506875;588,148107262157;2,24534530165515;108,877461937558;4,89101760537176;22,2606972050108;"99 to 118";"TOTWGT";"JRR";"FULL";"N";"04-MAR-26";"13h 3m";150;5;"NONE"
"36";"Girl";"ASRREA0";"IDCNTRY";"Azerbaijan, Republic of";"Saudi Arabia";47,0203445808808;0,772503629710144;48,3337671986276;2,66495203601423;1,31342261774677;2,77465875598636;0,473363657751803;479,2706453246;4,34516716506875;464,513361129897;5,47064913914814;-14,7572841947029;6,98630658474518;-2,11231557271276;"-28 to -1";"TOTWGT";"JRR";"FULL";"N";"04-MAR-26";"13h 3m";150;5;"NONE"
