"";"IDCNTRY";"rsq";"arsq";"rsq.se";"arsq.se";"xvar";"dvar";"weight";"method";"jk2type";"shortcut";"missoptn";"date";"time";"reps";"npv";"selcrit"
"21";"Kazakhstan";0,51599185937364;0,515983742081459;0,0236529119241964;0,0236533357712614;" BSDGSLM_d2 BSDGSLM_d3 BSBG01_d2 BSDAGE BSSSCI0_";"BSMALG0_";"TOTWGT";"JRR";"FULL";"N";"listwise";"04-MAR-26";"19h20m";250;5;"NONE"
"22";"Korea, Republic of";0,59504731911865;0,595042310065885;0,0126485528987048;0,0126487125394352;" BSDGSLM_d2 BSDGSLM_d3 BSBG01_d2 BSDAGE BSSSCI0_";"BSMALG0_";"TOTWGT";"JRR";"FULL";"N";"listwise";"04-MAR-26";"19h20m";250;5;"NONE"
"23";"Kuwait";0,541750730333031;0,541695897754159;0,0285107767991187;0,0285146067101234;" BSDGSLM_d2 BSDGSLM_d3 BSBG01_d2 BSDAGE BSSSCI0_";"BSMALG0_";"TOTWGT";"JRR";"FULL";"N";"listwise";"04-MAR-26";"19h20m";250;5;"NONE"
"24";"Lithuania";0,683719411534457;0,683656897835331;0,0135101437826071;0,0135128625893149;" BSDGSLM_d2 BSDGSLM_d3 BSBG01_d2 BSDAGE BSSSCI0_";"BSMALG0_";"TOTWGT";"JRR";"FULL";"N";"listwise";"04-MAR-26";"19h20m";250;5;"NONE"
"25";"Malaysia";0,584857234123964;0,584852166912742;0,0153449367497353;0,0153451262256195;" BSDGSLM_d2 BSDGSLM_d3 BSBG01_d2 BSDAGE BSSSCI0_";"BSMALG0_";"TOTWGT";"JRR";"FULL";"N";"listwise";"04-MAR-26";"19h20m";250;5;"NONE"
"26";"Malta";0,65411309193203;0,653694201433466;0,0136555363732561;0,013672057917271;" BSDGSLM_d2 BSDGSLM_d3 BSBG01_d2 BSDAGE BSSSCI0_";"BSMALG0_";"TOTWGT";"JRR";"FULL";"N";"listwise";"04-MAR-26";"19h20m";250;5;"NONE"
"27";"Morocco";0,392587922298647;0,392582469391129;0,0195570541070015;0,0195572369728444;" BSDGSLM_d2 BSDGSLM_d3 BSBG01_d2 BSDAGE BSSSCI0_";"BSMALG0_";"TOTWGT";"JRR";"FULL";"N";"listwise";"04-MAR-26";"19h20m";250;5;"NONE"
"28";"New Zealand";0,65296949264573;0,652938895781262;0,0169805652676799;0,016982006050246;" BSDGSLM_d2 BSDGSLM_d3 BSBG01_d2 BSDAGE BSSSCI0_";"BSMALG0_";"TOTWGT";"JRR";"FULL";"N";"listwise";"04-MAR-26";"19h20m";250;5;"NONE"
"29";"Norway";0,611566023663216;0,611531277285411;0,016250409591475;0,0162518645867555;" BSDGSLM_d2 BSDGSLM_d3 BSBG01_d2 BSDAGE BSSSCI0_";"BSMALG0_";"TOTWGT";"JRR";"FULL";"N";"listwise";"04-MAR-26";"19h20m";250;5;"NONE"
"30";"Oman";0,653351037632884;0,653321787314477;0,00813363528327384;0,00813432277198223;" BSDGSLM_d2 BSDGSLM_d3 BSBG01_d2 BSDAGE BSSSCI0_";"BSMALG0_";"TOTWGT";"JRR";"FULL";"N";"listwise";"04-MAR-26";"19h20m";250;5;"NONE"
"31";"Portugal";0,653859420790309;0,653841994534853;0,00917806915223776;0,00917854625837576;" BSDGSLM_d2 BSDGSLM_d3 BSBG01_d2 BSDAGE BSSSCI0_";"BSMALG0_";"TOTWGT";"JRR";"FULL";"N";"listwise";"04-MAR-26";"19h20m";250;5;"NONE"
"32";"Qatar";0,695216741305842;0,695148067209705;0,0162390860832451;0,0162425636864369;" BSDGSLM_d2 BSDGSLM_d3 BSBG01_d2 BSDAGE BSSSCI0_";"BSMALG0_";"TOTWGT";"JRR";"FULL";"N";"listwise";"04-MAR-26";"19h20m";250;5;"NONE"
"33";"Romania";0,609678422282958;0,609664935454611;0,0209814257301832;0,0209820961876239;" BSDGSLM_d2 BSDGSLM_d3 BSBG01_d2 BSDAGE BSSSCI0_";"BSMALG0_";"TOTWGT";"JRR";"FULL";"N";"listwise";"04-MAR-26";"19h20m";250;5;"NONE"
"34";"Saudi Arabia";0,594402336936123;0,594396923623092;0,0133778853164872;0,0133780576169552;" BSDGSLM_d2 BSDGSLM_d3 BSBG01_d2 BSDAGE BSSSCI0_";"BSMALG0_";"TOTWGT";"JRR";"FULL";"N";"listwise";"04-MAR-26";"19h20m";250;5;"NONE"
"35";"Singapore";0,738018331657179;0,737984321013909;0,0176757077663063;0,0176780029473751;" BSDGSLM_d2 BSDGSLM_d3 BSBG01_d2 BSDAGE BSSSCI0_";"BSMALG0_";"TOTWGT";"JRR";"FULL";"N";"listwise";"04-MAR-26";"19h20m";250;5;"NONE"
"36";"South Africa";0,552668637178018;0,552666011089854;0,0219830752686743;0,0219831976531754;" BSDGSLM_d2 BSDGSLM_d3 BSBG01_d2 BSDAGE BSSSCI0_";"BSMALG0_";"TOTWGT";"JRR";"FULL";"N";"listwise";"04-MAR-26";"19h20m";250;5;"NONE"
"37";"Sweden";0,642425041730849;0,642408453463336;0,0128377418009645;0,0128383701623671;" BSDGSLM_d2 BSDGSLM_d3 BSBG01_d2 BSDAGE BSSSCI0_";"BSMALG0_";"TOTWGT";"JRR";"FULL";"N";"listwise";"04-MAR-26";"19h20m";250;5;"NONE"
"38";"Turkey";0,72287040703804;0,722868966805831;0,0115942804382042;0,011594341568873;" BSDGSLM_d2 BSDGSLM_d3 BSBG01_d2 BSDAGE BSSSCI0_";"BSMALG0_";"TOTWGT";"JRR";"FULL";"N";"listwise";"04-MAR-26";"19h20m";250;5;"NONE"
"39";"United Arab Emirates";0,688156789475074;0,688135357191434;0,00652551282356006;0,00652597104138795;" BSDGSLM_d2 BSDGSLM_d3 BSBG01_d2 BSDAGE BSSSCI0_";"BSMALG0_";"TOTWGT";"JRR";"FULL";"N";"listwise";"04-MAR-26";"19h20m";250;5;"NONE"
"40";"United Arab Emirates (Abu Dhabi)";0,683082304087344;0,683016684038048;0,0105675835808423;0,0105694815507585;" BSDGSLM_d2 BSDGSLM_d3 BSBG01_d2 BSDAGE BSSSCI0_";"BSMALG0_";"TOTWGT";"JRR";"FULL";"N";"listwise";"04-MAR-26";"19h20m";250;5;"NONE"
"41";"United Arab Emirates (Dubai)";0,662577114490307;0,662501517742408;0,0128332276444979;0,0128360002487097;" BSDGSLM_d2 BSDGSLM_d3 BSBG01_d2 BSDAGE BSSSCI0_";"BSMALG0_";"TOTWGT";"JRR";"FULL";"N";"listwise";"04-MAR-26";"19h20m";250;5;"NONE"
"42";"United Arab Emirates (Sharjah)";0,633294187202397;0,633172734264765;0,0243014539989397;0,0243106438634428;" BSDGSLM_d2 BSDGSLM_d3 BSBG01_d2 BSDAGE BSSSCI0_";"BSMALG0_";"TOTWGT";"JRR";"FULL";"N";"listwise";"04-MAR-26";"19h20m";250;5;"NONE"
"43";"United States";0,695740931707652;0,695740486287289;0,0127705716296445;0,0127705911584687;" BSDGSLM_d2 BSDGSLM_d3 BSBG01_d2 BSDAGE BSSSCI0_";"BSMALG0_";"TOTWGT";"JRR";"FULL";"N";"listwise";"04-MAR-26";"19h20m";250;5;"NONE"
"44";"Uzbekistan";0,455754388571127;0,455749146258517;0,0267777365873262;0,0267780116336623;" BSDGSLM_d2 BSDGSLM_d3 BSBG01_d2 BSDAGE BSSSCI0_";"BSMALG0_";"TOTWGT";"JRR";"FULL";"N";"listwise";"04-MAR-26";"19h20m";250;5;"NONE"
"45";"Table Average";0,618077866353548;0,618038327128033;0,00251852833938597;0,00251879679788949;" BSDGSLM_d2 BSDGSLM_d3 BSBG01_d2 BSDAGE BSSSCI0_";"BSMALG0_";"TOTWGT";"JRR";"FULL";"N";"listwise";"04-MAR-26";"19h20m";250;5;"NONE"
