IDCNTRY;Variable;Mean;stdev;TOTWGTS;NObs;TOTWGTS.se;mean.se;stdev.se;xvar;weight;method;jk2type;missoptn;date;time;reps;infile;selcrit
Italy;HOMELIT;2,34217865629369;1,34918057166035;531775,082817476;3316;9818,93829636907;,0453444828701069;,0155432025785502;HOMELIT HISCED;TOTWGTS;JRR;HALF;LISTWISE;26-FEB-26; 9h19m;75;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\ICCS2009.sav;NONE
Italy;HISCED;3,14211794234202;1,12936891659131;531775,082817476;3316;9818,93829636907;,0411902377483023;,0165095869336085;HOMELIT HISCED;TOTWGTS;JRR;HALF;LISTWISE;26-FEB-26; 9h19m;75;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\ICCS2009.sav;NONE
Korea, Republic of;HOMELIT;2,69449973558144;1,31851711285959;653185,739234814;5233;2757,01420574513;,0290138741343205;,0124794216003826;HOMELIT HISCED;TOTWGTS;JRR;HALF;LISTWISE;26-FEB-26; 9h19m;75;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\ICCS2009.sav;NONE
Korea, Republic of;HISCED;3,92486119075292;1,02552742274485;653185,739234814;5233;2757,01420574513;,0227129678181516;,00868095533787432;HOMELIT HISCED;TOTWGTS;JRR;HALF;LISTWISE;26-FEB-26; 9h19m;75;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\ICCS2009.sav;NONE
Latvia;HOMELIT;2,47428485102986;1,29148209618638;20306,774941011;2696;715,505085442217;,0402965813924574;,0213589949392509;HOMELIT HISCED;TOTWGTS;JRR;HALF;LISTWISE;26-FEB-26; 9h19m;75;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\ICCS2009.sav;NONE
Latvia;HISCED;3,98641947063661;,934797910283874;20306,774941011;2696;715,505085442217;,0325145494685838;,017359420493293;HOMELIT HISCED;TOTWGTS;JRR;HALF;LISTWISE;26-FEB-26; 9h19m;75;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\ICCS2009.sav;NONE
Liechtenstein;HOMELIT;2,6568346836139;1,30225694538546;343,55;336;5,31195435463006;,0633279089321657;,0388198178503107;HOMELIT HISCED;TOTWGTS;JRR;HALF;LISTWISE;26-FEB-26; 9h19m;75;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\ICCS2009.sav;NONE
Liechtenstein;HISCED;3,2975891489936;1,07239652983086;343,55;336;5,31195435463006;,0543504448266425;,0353371205889705;HOMELIT HISCED;TOTWGTS;JRR;HALF;LISTWISE;26-FEB-26; 9h19m;75;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\ICCS2009.sav;NONE
Lithuania;HOMELIT;2,21972545964221;1,22404853910441;37171,3985619791;3854;586,028555277665;,0386163107844862;,0168330382661815;HOMELIT HISCED;TOTWGTS;JRR;HALF;LISTWISE;26-FEB-26; 9h19m;75;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\ICCS2009.sav;NONE
Lithuania;HISCED;3,808965969165;,960801424239555;37171,3985619791;3854;586,028555277665;,0361578360043465;,0143561779450789;HOMELIT HISCED;TOTWGTS;JRR;HALF;LISTWISE;26-FEB-26; 9h19m;75;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\ICCS2009.sav;NONE
Luxembourg;HOMELIT;2,70609670563036;1,50182356448582;5362,94255108046;4506;87,5322050436116;,0247979261166765;,0145223515021743;HOMELIT HISCED;TOTWGTS;JRR;HALF;LISTWISE;26-FEB-26; 9h19m;75;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\ICCS2009.sav;NONE
Luxembourg;HISCED;3,12588057218212;1,40212878387271;5362,94255108046;4506;87,5322050436116;,0229175400654962;,0163781605412685;HOMELIT HISCED;TOTWGTS;JRR;HALF;LISTWISE;26-FEB-26; 9h19m;75;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\ICCS2009.sav;NONE
Malta;HOMELIT;2,54292305838732;1,27243203324236;4763,11300791791;2101;90,9115377946143;,0373788698818602;,0208135130850895;HOMELIT HISCED;TOTWGTS;JRR;HALF;LISTWISE;26-FEB-26; 9h19m;75;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\ICCS2009.sav;NONE
Malta;HISCED;3,16201296520312;1,31059406100088;4763,11300791791;2101;90,9115377946143;,0364693773551426;,0158235288456087;HOMELIT HISCED;TOTWGTS;JRR;HALF;LISTWISE;26-FEB-26; 9h19m;75;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\ICCS2009.sav;NONE
