IDCNTRY;ASBG01;xvar;n;TOTWGT;sumw_se;tsumw;tsumw_se;pct;pct_se;tpct;tpct_se;mnx;mnx_se;sdx;sdx_se;vrx;vrx_se;DEff;pctmiss;nvarstrat;weight;reps;method;jk2type;date;time;infile;selcrit
Malta;Boy;ASDGSLR;1851;1922,561526;23,0678536000947;1961,909757;22,3913458650444;51,4576464975558;,611498169208772;51,8536752393269;,59542416600233;1,70803233269321;,0135480979942401;,71672037818893;,00771098894125669;,513688100511283;,0110531491413052;,661399057628422;2,00560860965227;75;TOTWGT;150;JRR;FULL;25-FEB-26;21h11m;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\PIRLS2016.sav;NONE
Morocco;Girl;ASDGSLR;2655;321896,35597;13660,4721329805;324621,562178;13709,2443638186;49,0419115542413;1,02596311852155;49,0293140827574;1,02648895223201;1,42664109502314;,0225636018116551;,569596151713955;,0120290829722172;,324439776047347;,013702903719358;4,16626880000948;,839502524020782;75;TOTWGT;150;JRR;FULL;25-FEB-26;21h11m;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\PIRLS2016.sav;NONE
Morocco;Boy;ASDGSLR;2738;334473,564712999;10738,6039159438;337475,324655999;10748,8841969009;50,9580884457587;1,02596311852155;50,9706859172426;1,02648895223201;1,54760086904973;,0201319218792077;,594997261990612;,0106037361442874;,354021741776325;,0126178803451977;3,13454119824214;,889475384921789;75;TOTWGT;150;JRR;FULL;25-FEB-26;21h11m;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\PIRLS2016.sav;NONE
Oman;Girl;ASDGSLR;4512;25860,286923;474,01513206809;26089,773276;467,562322024171;50,2590134667086;,723016847096371;50,0053437326592;,716345875032561;1,28188862829346;,0120657310572987;,502316984163831;,0101464106576302;,252322352579446;,0101928443693616;2,60327859358525;,879602710887122;75;TOTWGT;150;JRR;FULL;25-FEB-26;21h11m;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\PIRLS2016.sav;NONE
Oman;Boy;ASDGSLR;4563;25593,741199;560,434224685641;26084,197201;568,783935959487;49,7409865332914;,723016847096371;49,9946562673408;,716345875032569;1,5169822189777;,017857318691125;,640750395511162;,0101080281439586;,410561069347711;,0129530370383744;3,54409375057959;1,88028022568851;75;TOTWGT;150;JRR;FULL;25-FEB-26;21h11m;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\PIRLS2016.sav;NONE
Netherlands;Girl;ASDGSLR;2102;83948,9620339998;2793,42911138004;84279,2747609998;2801,49166841842;50,8186461665425;1,10439843242278;50,7087816928846;1,08696603204547;1,96391850964431;,0218141081057727;,736491633816679;,00769793430391716;,542419926681961;,0113387952321225;1,8440470520492;,391926399386688;68;TOTWGT;150;JRR;FULL;25-FEB-26;21h11m;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\PIRLS2016.sav;NONE
Netherlands;Boy;ASDGSLR;2052;81244,265977;2951,50802950397;81923,248643;2927,17059471203;49,1813538334575;1,10439843242278;49,2912183071153;1,08696603204546;2,17299728242949;,0249532249430761;,717069414609905;,0086323004372534;,514188545368992;,0123794793365096;2,48489660115963;,828803394942049;68;TOTWGT;150;JRR;FULL;25-FEB-26;21h11m;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\PIRLS2016.sav;NONE
New Zealand;Girl;ASDGSLR;2667;27228,4997490001;577,697754634835;28318,8165830002;610,814549969547;50,5456436400972;,881974993972748;50,3004174866842;,863407908420745;1,59057917436639;,0164806195110773;,650337797303264;,0094304953607422;,422939250601261;,0122656867348998;1,71274256171249;3,85014970807261;75;TOTWGT;150;JRR;FULL;25-FEB-26;21h11m;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\PIRLS2016.sav;NONE
New Zealand;Boy;ASDGSLR;2700;26640,6327580001;645,287823663499;27980,5502970002;674,454316259384;49,4543563599028;,881974993972745;49,6995825133158;,86340790842074;1,79362897225671;,0192975479079841;,724582335945066;,00709974946180968;,525019561563608;,010288547978104;1,91510475573532;4,7887461996902;75;TOTWGT;150;JRR;FULL;25-FEB-26;21h11m;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\PIRLS2016.sav;NONE
Norway;Girl;ASDGSLR;2100;28175,71554;968,018802957127;28281,643361;965,831150499883;50,3063797791309;1,1476927507809;50,2738061947046;1,13050076916887;1,94663186079993;,0248554900575982;,696634645122205;,00903746244789716;,48529982878454;,0125899009923437;2,67333766396826;,374546201746087;75;TOTWGT;150;JRR;FULL;25-FEB-26;21h11m;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\PIRLS2016.sav;NONE
