IDCNTRY;dvar;refpctile;comppctile;groupvar;refgroup;compgroup;gap;gap_se;cgap;cgap_se;gapdiff;gapdiff_se;gapdiff_t;weight;method;jk2type;shortcut;date;time;reps;npv;infile;selcrit
Chile;PVCIV;   10,00;   90,00;SGENDER;BOY;BOY;230,490707333834;8,62237135099197;230,490707333834;8,62237135099197;0;0; ;TOTWGTS;JRR;HALF;N;26-FEB-26;10h12m;75;5;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\ICCS2009.sav;NONE
Chile;PVCIV;   10,00;   90,00;SGENDER;BOY;GIRL;230,490707333834;8,62237135099197;222,709542943915;8,66075574322492;-7,78116438991964;13,08948846488;-,594459012725903;TOTWGTS;JRR;HALF;N;26-FEB-26;10h12m;75;5;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\ICCS2009.sav;NONE
Chile;PVCIV;   10,00;   90,00;SGENDER;GIRL;BOY;222,709542943915;8,66075574322492;230,490707333834;8,62237135099197;7,78116438991964;13,08948846488;,594459012725903;TOTWGTS;JRR;HALF;N;26-FEB-26;10h12m;75;5;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\ICCS2009.sav;NONE
Chile;PVCIV;   10,00;   90,00;SGENDER;GIRL;GIRL;222,709542943915;8,66075574322492;222,709542943915;8,66075574322492;0;0; ;TOTWGTS;JRR;HALF;N;26-FEB-26;10h12m;75;5;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\ICCS2009.sav;NONE
Chile;PVCIV;   50,00;   90,00;SGENDER;BOY;BOY;121,55440587496;7,43231462111329;121,55440587496;7,43231462111329;0;0; ;TOTWGTS;JRR;HALF;N;26-FEB-26;10h12m;75;5;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\ICCS2009.sav;NONE
Chile;PVCIV;   50,00;   90,00;SGENDER;BOY;GIRL;121,55440587496;7,43231462111329;115,876258887721;7,94150162844913;-5,67814698723865;10,5967872940957;-,535836648377607;TOTWGTS;JRR;HALF;N;26-FEB-26;10h12m;75;5;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\ICCS2009.sav;NONE
Chile;PVCIV;   50,00;   90,00;SGENDER;GIRL;BOY;115,876258887721;7,94150162844913;121,55440587496;7,43231462111329;5,67814698723865;10,5967872940957;,535836648377607;TOTWGTS;JRR;HALF;N;26-FEB-26;10h12m;75;5;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\ICCS2009.sav;NONE
Chile;PVCIV;   50,00;   90,00;SGENDER;GIRL;GIRL;115,876258887721;7,94150162844913;115,876258887721;7,94150162844913;0;0; ;TOTWGTS;JRR;HALF;N;26-FEB-26;10h12m;75;5;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\ICCS2009.sav;NONE
Chinese Taipei;PVCIV;   10,00;   50,00;SGENDER;BOY;BOY;133,121001589705;8,88260380610664;133,121001589705;8,88260380610664;0;0; ;TOTWGTS;JRR;HALF;N;26-FEB-26;10h12m;75;5;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\ICCS2009.sav;NONE
Chinese Taipei;PVCIV;   10,00;   50,00;SGENDER;BOY;GIRL;133,121001589705;8,88260380610664;122,816216316569;5,54814095747519;-10,3047852731368;9,9998422213093;-1,0304947863255;TOTWGTS;JRR;HALF;N;26-FEB-26;10h12m;75;5;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\ICCS2009.sav;NONE
