"";"IDCNTRY";"ASBGSEX";"dvar";"n";"TOTWGT";"sumw_se";"pct";"pct_se";"mnpv";"mnpv_se";"mnpv_ci";"mnx_svr";"mnx_ivr";"sdpv";"sdpv_se";"vrpv";"vrpv_se";"DEff1";"DEff2";"DEff3";"DEff4";"DEff5";"pctmiss";"nvarstrat";"weight";"reps";"method";"jk2type";"npv";"shortcut";"date";"time";"selcrit"
"11";"Czech Republic";"GIRL";"ASRREA0";1457;60027,5169090001;1756,23141482534;48,5527305325418;1,04052812241286;543,409348388307;2,76699147037401;"538 to 549";7,22092987525509;0,43531192186745;62,2976700310999;1,77463444176815;3881,1783181507;220,29997526862;1,16341673022204;2,47045126649644;2,71074760441815;1,06028474578588;2,87416433464019;0;71;"TOTWGT";75;"JRR";"HALF";5;"Y";"04-MAR-26";"13h 1m";"NONE"
"12";"Czech Republic";"BOY";"ASRREA0";1560;63606,141282;1894,9877857025;51,4472694674582;1,04052812241286;530,818343873405;2,63672825756388;"526 to 536";6,85538209177947;0,0969538124563608;66,0819186867381;1,8252965888648;4367,49041354083;239,122605485237;1,03463040169773;2,40014870174363;2,44863641372157;1,01414272919559;2,48326681541931;0;71;"TOTWGT";75;"JRR";"HALF";5;"Y";"04-MAR-26";"13h 1m";"NONE"
"13";"France";"GIRL";"ASRREA0";1660;343296,238176998;12650,2479483375;48,4823380599986;0,908959459684336;531,18423835699;2,65851747331187;"526 to 536";6,62547093763908;0,442244218265458;68,8526495090168;1,55033135806046;4740,90494811601;212,639825914729;1,15484921346343;2,14289353809076;2,31986970353655;1,06674909941165;2,47471891699998;0;73;"TOTWGT";75;"JRR";"HALF";5;"Y";"04-MAR-26";"13h 1m";"NONE"
"14";"France";"BOY";"ASRREA0";1822;364788,915950999;9605,36569274658;51,5176619400014;0,908959459684333;520,684341266637;3,07957680726012;"515 to 527";9,14118008626865;0,342613225545811;70,8115793397508;2,18904819525957;5014,62450429709;313,081721276035;1,12448415557527;3,064352304735;3,3213314581998;1,03748019646396;3,44581561377506;0;72;"TOTWGT";75;"JRR";"HALF";5;"Y";"04-MAR-26";"13h 1m";"NONE"
"15";"Germany";"GIRL";"ASRREA0";3705;445850,961303002;8748,70022591543;49,8352689821457;0,767668075057709;545,632067096574;2,17701800309099;"541 to 550";4,20203480479277;0,537372580989518;66,8826333417511;0,980484701136855;4473,3617471865;130,95596239286;1,44507140828;2,71636999959563;3,4802772124452;1,12788389576797;3,9253486207252;0;75;"TOTWGT";75;"JRR";"HALF";5;"Y";"04-MAR-26";"13h 1m";"NONE"
"16";"Germany";"BOY";"ASRREA0";3808;448798,491603001;9028,89720953831;50,1647310178543;0,767668075057714;533,064752326807;2,4710948803334;"528 to 538";5,31868132859641;0,787628579013549;67,0972858856821;1,46430402658908;4502,40676366567;194,260126428086;1,66615252382077;3,09967598145848;4,49838043571291;1,14808719123268;5,16453295953368;0;75;"TOTWGT";75;"JRR";"HALF";5;"Y";"04-MAR-26";"13h 1m";"NONE"
"17";"Greece";"GIRL";"ASRREA0";1219;48161,986802;1663,72900905356;49,5858949227584;0,996256250209106;534,951180220826;3,83535606048138;"527 to 542";13,5904680863098;1,11948802436145;68,4092929122652;1,93978259247455;4680,63147193817;262,476670601308;1,29155380206242;2,96618430037128;3,53943280869998;1,08237302918868;3,8309866107624;0;73;"TOTWGT";75;"JRR";"HALF";5;"Y";"04-MAR-26";"13h 1m";"NONE"
"18";"Greece";"BOY";"ASRREA0";1270;48966,4140810001;1542,55400854381;50,4141050772416;0,996256250209102;513,938042259764;4,0424796635207;"506 to 522";15,0916063988252;1,25003543115319;76,0539067580939;1,86962377862103;5784,63589760158;283,96588403462;1,27444164605464;2,81516221850724;3,31331832561056;1,08282984581751;3,5877599716652;0;73;"TOTWGT";75;"JRR";"HALF";5;"Y";"04-MAR-26";"13h 1m";"NONE"
"19";"Hong Kong, SAR";"GIRL";"ASRREA0";2443;43059,895027;1949,38486260696;50,3050847493689;1,08369068614589;538,391089396317;3,00213420358578;"533 to 544";8,91796590520947;0,0948438711301554;58,8029112927613;1,74193672194615;3458,27825851769;205,936919476262;1,06699969171084;5,96704679428007;6,29983739821013;1,01063514619121;6,36683708992097;0;74;"TOTWGT";75;"JRR";"HALF";5;"Y";"04-MAR-26";"13h 1m";"NONE"
"20";"Hong Kong, SAR";"BOY";"ASRREA0";2424;42537,6051889999;1508,14376230658;49,6949152506311;1,08369068614588;519,090321119476;3,54800519321025;"512 to 526";12,4512983617294;0,137042489317475;64,6902677118625;1,96726935665599;4185,09060017265;257,245575333064;1,07937486325669;6,75497809602755;7,21177869544498;1,0110062810589;7,29115355870166;0;72;"TOTWGT";75;"JRR";"HALF";5;"Y";"04-MAR-26";"13h 1m";"NONE"
"21";"Hungary";"GIRL";"ASRREA0";2342;59876,9785570002;1699,72012301323;51,1508169729706;1,01160071275201;550,256382679947;2,39182096017658;"546 to 555";4,93517492699546;0,785632578544541;63,4649699021;1,32608216384908;4028,0408098766;168,288598432544;1,45678571439491;2,28325643130416;2,86942963702928;1,15919042185255;3,32621535142419;0;75;"TOTWGT";75;"JRR";"HALF";5;"Y";"04-MAR-26";"13h 1m";"NONE"
"22";"Hungary";"BOY";"ASRREA0";2316;57182,6934100001;1671,45059010445;48,8491830270294;1,01160071275201;536,003453993088;2,47470658357487;"531 to 541";5,85637078517471;0,267801889614099;67,2777056428388;1,5473639457173;4526,75409240968;205,926780139776;1,1370141084947;2,75570818364816;2,99626497520756;1,04572830161165;3,13327908370226;0;75;"TOTWGT";75;"JRR";"HALF";5;"Y";"04-MAR-26";"13h 1m";"NONE"
