IDCNTRY;dvar;groupvar;refgroup;compgroup;pct;pct_se;cpct;cpct_se;pctdiff;pctdiff_se;pctdiff_t;mnx;mnx_se;cmnx;cmnx_se;mnxdiff;mnxdiff_se;mnxdiff_t;weight;method;jk2type;date;time;reps;infile;selcrit
Czech Republic;HISCED;SGENDER;BOY;GIRL;53,8962126818815;,982406693037058;46,1037873181185;,982406693037065;-7,79242536376299;1,96481338607412;-3,96598751769143;3,62463560882322;,024666371515198;3,54552105855253;,0237356577698095;-,0791145502706874;,0304239700830105;-2,60040192173561;TOTWGTS;JRR;HALF;26-FEB-26;10h10m;75;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\ICCS2009.sav;NONE
Czech Republic;HISCED;SGENDER;GIRL;BOY;46,1037873181185;,982406693037065;53,8962126818815;,982406693037058;7,79242536376299;1,96481338607412;3,96598751769143;3,54552105855253;,0237356577698095;3,62463560882322;,024666371515198;,0791145502706874;,0304239700830105;2,60040192173561;TOTWGTS;JRR;HALF;26-FEB-26;10h10m;75;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\ICCS2009.sav;NONE
Czech Republic;HISCED;SGENDER;GIRL;GIRL;46,1037873181185;,982406693037065;46,1037873181185;,982406693037065;0; ; ;3,54552105855253;,0237356577698095;3,54552105855253;,0237356577698095;0; ; ;TOTWGTS;JRR;HALF;26-FEB-26;10h10m;75;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\ICCS2009.sav;NONE
Denmark;HISCED;SGENDER;BOY;BOY;46,7716500255655;,816333963211981;46,7716500255655;,816333963211981;0; ; ;3,95272347707405;,0271134264436377;3,95272347707405;,0271134264436377;0; ; ;TOTWGTS;JRR;HALF;26-FEB-26;10h10m;75;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\ICCS2009.sav;NONE
Denmark;HISCED;SGENDER;BOY;GIRL;46,7716500255655;,816333963211981;53,2283499744345;,816333963211993;6,45669994886891;1,63266792642397;3,95469271146337;3,95272347707405;,0271134264436377;3,86529285080815;,026570420961815;-,0874306262658999;,0228999748316327;-3,81793547410927;TOTWGTS;JRR;HALF;26-FEB-26;10h10m;75;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\ICCS2009.sav;NONE
Denmark;HISCED;SGENDER;GIRL;BOY;53,2283499744345;,816333963211993;46,7716500255655;,816333963211981;-6,45669994886891;1,63266792642397;-3,95469271146337;3,86529285080815;,026570420961815;3,95272347707405;,0271134264436377;,0874306262658999;,0228999748316327;3,81793547410927;TOTWGTS;JRR;HALF;26-FEB-26;10h10m;75;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\ICCS2009.sav;NONE
Denmark;HISCED;SGENDER;GIRL;GIRL;53,2283499744345;,816333963211993;53,2283499744345;,816333963211993;0; ; ;3,86529285080815;,026570420961815;3,86529285080815;,026570420961815;0; ; ;TOTWGTS;JRR;HALF;26-FEB-26;10h10m;75;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\ICCS2009.sav;NONE
Dominican Republic;HISCED;SGENDER;BOY;BOY;45,4548540327952;1,20980889518661;45,4548540327952;1,20980889518661;0; ; ;3,0844347778072;,0511439023287801;3,0844347778072;,0511439023287801;0; ; ;TOTWGTS;JRR;HALF;26-FEB-26;10h10m;75;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\ICCS2009.sav;NONE
Dominican Republic;HISCED;SGENDER;BOY;GIRL;45,4548540327952;1,20980889518661;54,5451459672048;1,2098088951866;9,09029193440954;2,41961779037321;3,75691233986482;3,0844347778072;,0511439023287801;2,94098970131028;,0563157986225904;-,143445076496918;,0402598748206555;-3,56297870114893;TOTWGTS;JRR;HALF;26-FEB-26;10h10m;75;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\ICCS2009.sav;NONE
Dominican Republic;HISCED;SGENDER;GIRL;BOY;54,5451459672048;1,2098088951866;45,4548540327952;1,20980889518661;-9,09029193440954;2,41961779037321;-3,75691233986482;2,94098970131028;,0563157986225904;3,0844347778072;,0511439023287801;,143445076496918;,0402598748206555;3,56297870114893;TOTWGTS;JRR;HALF;26-FEB-26;10h10m;75;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\ICCS2009.sav;NONE
Dominican Republic;HISCED;SGENDER;GIRL;GIRL;54,5451459672048;1,2098088951866;54,5451459672048;1,2098088951866;0; ; ;2,94098970131028;,0563157986225904;2,94098970131028;,0563157986225904;0; ; ;TOTWGTS;JRR;HALF;26-FEB-26;10h10m;75;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\ICCS2009.sav;NONE
