SGENDER;dvar;groupvar;refgroup;compgroup;pct;pct_se;cpct;cpct_se;pctdiff;pctdiff_se;pctdiff_t;mnpv;mnpv_se;cmnpv;cmnpv_se;mnpvdiff;mnpvdiff_se;mnpvdiff_t;mnpvdiff_ci;weight;method;jk2type;shortcut;date;time;reps;npv;infile;selcrit
BOY;PVCIV;IDCNTRY;Austria;England;50,0662457551711;1,41276078401011;47,3923319269161;2,03680072263319;-2,67391382825501;2,47880015663949;-1,07871294952637;496,46747778714;4,51161497981699;509,173872951883;6,10924381111762;12,7063951647425;7,59457238228645;1,67308895420878;-2 to 28;TOTWGTS;JRR;HALF;N;26-FEB-26;10h10m;75;5;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\ICCS2009.sav;NONE
BOY;PVCIV;IDCNTRY;Austria;Belgium (Flemish);50,0662457551711;1,41276078401011;51,7239621137988;1,90523910156231;1,65771635862773;2,37188302134798;,698903084050756;496,46747778714;4,51161497981699;511,293230592936;5,58953605732565;14,8257528057952;7,18314576367851;2,06396379713766;1 to 29;TOTWGTS;JRR;HALF;N;26-FEB-26;10h10m;75;5;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\ICCS2009.sav;NONE
BOY;PVCIV;IDCNTRY;Bulgaria;Austria;48,2132189312346;1,64635895822538;50,0662457551711;1,41276078401011;1,85302682393656;2,1694217783008;,85415701200711;453,507676521741;6,12809218171747;496,46747778714;4,51161497981699;42,9598012653992;7,60974267066475;5,64536846048784;28 to 58;TOTWGTS;JRR;HALF;N;26-FEB-26;10h10m;75;5;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\ICCS2009.sav;NONE
BOY;PVCIV;IDCNTRY;Bulgaria;Bulgaria;48,2132189312346;1,64635895822538;48,2132189312346;1,64635895822538;0; ; ;453,507676521741;6,12809218171747;453,507676521741;6,12809218171747;0; ; ; ;TOTWGTS;JRR;HALF;N;26-FEB-26;10h10m;75;5;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\ICCS2009.sav;NONE
BOY;PVCIV;IDCNTRY;Bulgaria;Chile;48,2132189312346;1,64635895822538;49,1709748002708;1,4484846329337;,957755869036278;2,19285328993392;,436762401494328;453,507676521741;6,12809218171747;476,22754773918;4,20463532805598;22,7198712174389;7,43185522124612;3,05709281748217;8 to 37;TOTWGTS;JRR;HALF;N;26-FEB-26;10h10m;75;5;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\ICCS2009.sav;NONE
BOY;PVCIV;IDCNTRY;Bulgaria;Chinese Taipei;48,2132189312346;1,64635895822538;51,5847983975957;,566390516034123;3,3715794663611;1,74106175536147;1,9365076833022;453,507676521741;6,12809218171747;546,124322611916;2,74957294033027;92,6166460901748;6,71667068880284;13,7890705650603;79 to 106;TOTWGTS;JRR;HALF;N;26-FEB-26;10h10m;75;5;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\ICCS2009.sav;NONE
BOY;PVCIV;IDCNTRY;Bulgaria;Colombia;48,2132189312346;1,64635895822538;47,7685219120201;1,36709392324838;-,444697019214419;2,13996346097582;-,207805893569621;453,507676521741;6,12809218171747;460,626472831611;4,04960333202995;7,11879630987015;7,34525703664718;,969169121564138;-7 to 22;TOTWGTS;JRR;HALF;N;26-FEB-26;10h10m;75;5;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\ICCS2009.sav;NONE
BOY;PVCIV;IDCNTRY;Bulgaria;Cyprus;48,2132189312346;1,64635895822538;50,3539061429911;,624476034187002;2,14068721175654;1,76081462300916;1,21573684349474;453,507676521741;6,12809218171747;434,814759069961;3,19984715172411;-18,6929174517806;6,91321456212837;-2,7039400099316;-32 to -5;TOTWGTS;JRR;HALF;N;26-FEB-26;10h10m;75;5;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\ICCS2009.sav;NONE
BOY;PVCIV;IDCNTRY;Bulgaria;Czech Republic;48,2132189312346;1,64635895822538;53,9993410045058;,971222288523617;5,78612207327122;1,91148386157299;3,02703161119535;453,507676521741;6,12809218171747;502,135645017552;2,44782222500328;48,6279684958109;6,59888986367001;7,36911351764344;36 to 62;TOTWGTS;JRR;HALF;N;26-FEB-26;10h10m;75;5;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\ICCS2009.sav;NONE
BOY;PVCIV;IDCNTRY;Bulgaria;Denmark;48,2132189312346;1,64635895822538;47,3667255359925;,816134843356183;-,846493395242022;1,8375456189899;-,460665240902884;453,507676521741;6,12809218171747;573,347240442782;4,4510549900683;119,83956392104;7,57399526750834;15,8225031424485;105 to 135;TOTWGTS;JRR;HALF;N;26-FEB-26;10h10m;75;5;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\ICCS2009.sav;NONE
