"";"IDCNTRY";"dvar";"refpctile";"comppctile";"groupvar";"refgroup";"compgroup";"gap";"gap_se";"cgap";"cgap_se";"gapdiff";"gapdiff_se";"gapdiff_t";"weight";"method";"jk2type";"shortcut";"date";"time";"reps";"npv";"selcrit"
"62";"Czech Republic";"ASRREA0";10;50;"ASBGSEX";"GIRL";"BOY";86,1060634;5,43784088889797;95,7178368;5,54741395508482;9,61177340000005;7,31819566606665;1,31340754450832;"TOTWGT";"JRR";"HALF";"Y";"04-MAR-26";"13h10m";75;5;"NONE"
"63";"Czech Republic";"ASRREA0";10;50;"ASBGSEX";"BOY";"GIRL";95,7178368;5,54741395508482;86,1060634;5,43784088889797;-9,61177340000005;7,31819566606665;-1,31340754450832;"TOTWGT";"JRR";"HALF";"Y";"04-MAR-26";"13h10m";75;5;"NONE"
"64";"Czech Republic";"ASRREA0";10;50;"ASBGSEX";"BOY";"BOY";95,7178368;5,54741395508482;95,7178368;5,54741395508482;0;0;NA;"TOTWGT";"JRR";"HALF";"Y";"04-MAR-26";"13h10m";75;5;"NONE"
"65";"Czech Republic";"ASRREA0";10;90;"ASBGSEX";"GIRL";"GIRL";156,8050328;5,25198284325066;156,8050328;5,25198284325066;0;0;NA;"TOTWGT";"JRR";"HALF";"Y";"04-MAR-26";"13h10m";75;5;"NONE"
"66";"Czech Republic";"ASRREA0";10;90;"ASBGSEX";"GIRL";"BOY";156,8050328;5,25198284325066;171,5868684;8,62061443505121;14,7818356;9,32643022672664;1,58494035130825;"TOTWGT";"JRR";"HALF";"Y";"04-MAR-26";"13h10m";75;5;"NONE"
"67";"Czech Republic";"ASRREA0";10;90;"ASBGSEX";"BOY";"GIRL";171,5868684;8,62061443505121;156,8050328;5,25198284325066;-14,7818356;9,32643022672664;-1,58494035130825;"TOTWGT";"JRR";"HALF";"Y";"04-MAR-26";"13h10m";75;5;"NONE"
"68";"Czech Republic";"ASRREA0";10;90;"ASBGSEX";"BOY";"BOY";171,5868684;8,62061443505121;171,5868684;8,62061443505121;0;0;NA;"TOTWGT";"JRR";"HALF";"Y";"04-MAR-26";"13h10m";75;5;"NONE"
"69";"Czech Republic";"ASRREA0";50;90;"ASBGSEX";"GIRL";"GIRL";70,6989694;3,61785132568119;70,6989694;3,61785132568119;0;0;NA;"TOTWGT";"JRR";"HALF";"Y";"04-MAR-26";"13h10m";75;5;"NONE"
"70";"Czech Republic";"ASRREA0";50;90;"ASBGSEX";"GIRL";"BOY";70,6989694;3,61785132568119;75,8690316;5,18555799279658;5,17006219999998;6,96732487342263;0,742044083479093;"TOTWGT";"JRR";"HALF";"Y";"04-MAR-26";"13h10m";75;5;"NONE"
"71";"Czech Republic";"ASRREA0";50;90;"ASBGSEX";"BOY";"GIRL";75,8690316;5,18555799279658;70,6989694;3,61785132568119;-5,17006219999998;6,96732487342263;-0,742044083479093;"TOTWGT";"JRR";"HALF";"Y";"04-MAR-26";"13h10m";75;5;"NONE"
"72";"Czech Republic";"ASRREA0";50;90;"ASBGSEX";"BOY";"BOY";75,8690316;5,18555799279658;75,8690316;5,18555799279658;0;0;NA;"TOTWGT";"JRR";"HALF";"Y";"04-MAR-26";"13h10m";75;5;"NONE"
"73";"France";"ASRREA0";10;50;"ASBGSEX";"GIRL";"GIRL";89,997938;3,22834383888298;89,997938;3,22834383888298;0;0;NA;"TOTWGT";"JRR";"HALF";"Y";"04-MAR-26";"13h10m";75;5;"NONE"
"74";"France";"ASRREA0";10;50;"ASBGSEX";"GIRL";"BOY";89,997938;3,22834383888298;98,8898824;6,05235523181079;8,89194440000002;7,42893732009483;1,19693356086716;"TOTWGT";"JRR";"HALF";"Y";"04-MAR-26";"13h10m";75;5;"NONE"
"75";"France";"ASRREA0";10;50;"ASBGSEX";"BOY";"GIRL";98,8898824;6,05235523181079;89,997938;3,22834383888298;-8,89194440000002;7,42893732009483;-1,19693356086716;"TOTWGT";"JRR";"HALF";"Y";"04-MAR-26";"13h10m";75;5;"NONE"
"76";"France";"ASRREA0";10;50;"ASBGSEX";"BOY";"BOY";98,8898824;6,05235523181079;98,8898824;6,05235523181079;0;0;NA;"TOTWGT";"JRR";"HALF";"Y";"04-MAR-26";"13h10m";75;5;"NONE"
"77";"France";"ASRREA0";10;90;"ASBGSEX";"GIRL";"GIRL";177,4128182;4,06831789509091;177,4128182;4,06831789509091;0;0;NA;"TOTWGT";"JRR";"HALF";"Y";"04-MAR-26";"13h10m";75;5;"NONE"
"78";"France";"ASRREA0";10;90;"ASBGSEX";"GIRL";"BOY";177,4128182;4,06831789509091;181,8639986;6,25882545257204;4,45118040000001;7,30148364263467;0,609626839949181;"TOTWGT";"JRR";"HALF";"Y";"04-MAR-26";"13h10m";75;5;"NONE"
"79";"France";"ASRREA0";10;90;"ASBGSEX";"BOY";"GIRL";181,8639986;6,25882545257204;177,4128182;4,06831789509091;-4,45118040000001;7,30148364263467;-0,609626839949181;"TOTWGT";"JRR";"HALF";"Y";"04-MAR-26";"13h10m";75;5;"NONE"
"80";"France";"ASRREA0";10;90;"ASBGSEX";"BOY";"BOY";181,8639986;6,25882545257204;181,8639986;6,25882545257204;0;0;NA;"TOTWGT";"JRR";"HALF";"Y";"04-MAR-26";"13h10m";75;5;"NONE"
"81";"France";"ASRREA0";50;90;"ASBGSEX";"GIRL";"GIRL";87,4148802;3,8133133350741;87,4148802;3,8133133350741;0;0;NA;"TOTWGT";"JRR";"HALF";"Y";"04-MAR-26";"13h10m";75;5;"NONE"
"82";"France";"ASRREA0";50;90;"ASBGSEX";"GIRL";"BOY";87,4148802;3,8133133350741;82,9741162;4,36252837237042;-4,44076400000001;6,08871778466777;-0,729343050056035;"TOTWGT";"JRR";"HALF";"Y";"04-MAR-26";"13h10m";75;5;"NONE"
"83";"France";"ASRREA0";50;90;"ASBGSEX";"BOY";"GIRL";82,9741162;4,36252837237042;87,4148802;3,8133133350741;4,44076400000001;6,08871778466777;0,729343050056035;"TOTWGT";"JRR";"HALF";"Y";"04-MAR-26";"13h10m";75;5;"NONE"
"84";"France";"ASRREA0";50;90;"ASBGSEX";"BOY";"BOY";82,9741162;4,36252837237042;82,9741162;4,36252837237042;0;0;NA;"TOTWGT";"JRR";"HALF";"Y";"04-MAR-26";"13h10m";75;5;"NONE"
"85";"Germany";"ASRREA0";10;50;"ASBGSEX";"GIRL";"GIRL";93,9891266;7,00114137010976;93,9891266;7,00114137010976;0;0;NA;"TOTWGT";"JRR";"HALF";"Y";"04-MAR-26";"13h10m";75;5;"NONE"
"86";"Germany";"ASRREA0";10;50;"ASBGSEX";"GIRL";"BOY";93,9891266;7,00114137010976;95,2620538;3,86843782519347;1,27292719999998;7,60409207301774;0,167400287605251;"TOTWGT";"JRR";"HALF";"Y";"04-MAR-26";"13h10m";75;5;"NONE"
"87";"Germany";"ASRREA0";10;50;"ASBGSEX";"BOY";"GIRL";95,2620538;3,86843782519347;93,9891266;7,00114137010976;-1,27292719999998;7,60409207301774;-0,167400287605251;"TOTWGT";"JRR";"HALF";"Y";"04-MAR-26";"13h10m";75;5;"NONE"
"88";"Germany";"ASRREA0";10;50;"ASBGSEX";"BOY";"BOY";95,2620538;3,86843782519347;95,2620538;3,86843782519347;0;0;NA;"TOTWGT";"JRR";"HALF";"Y";"04-MAR-26";"13h10m";75;5;"NONE"
"89";"Germany";"ASRREA0";10;90;"ASBGSEX";"GIRL";"GIRL";169,1116732;9,07270362180786;169,1116732;9,07270362180786;0;0;NA;"TOTWGT";"JRR";"HALF";"Y";"04-MAR-26";"13h10m";75;5;"NONE"
"90";"Germany";"ASRREA0";10;90;"ASBGSEX";"GIRL";"BOY";169,1116732;9,07270362180786;171,8270382;4,8178850612464;2,71536499999997;9,72390786495345;0,279246269885649;"TOTWGT";"JRR";"HALF";"Y";"04-MAR-26";"13h10m";75;5;"NONE"
"91";"Germany";"ASRREA0";10;90;"ASBGSEX";"BOY";"GIRL";171,8270382;4,8178850612464;169,1116732;9,07270362180786;-2,71536499999997;9,72390786495345;-0,279246269885649;"TOTWGT";"JRR";"HALF";"Y";"04-MAR-26";"13h10m";75;5;"NONE"
"92";"Germany";"ASRREA0";10;90;"ASBGSEX";"BOY";"BOY";171,8270382;4,8178850612464;171,8270382;4,8178850612464;0;0;NA;"TOTWGT";"JRR";"HALF";"Y";"04-MAR-26";"13h10m";75;5;"NONE"
"93";"Germany";"ASRREA0";50;90;"ASBGSEX";"GIRL";"GIRL";75,1225466;4,71218018688582;75,1225466;4,71218018688582;0;0;NA;"TOTWGT";"JRR";"HALF";"Y";"04-MAR-26";"13h10m";75;5;"NONE"
"94";"Germany";"ASRREA0";50;90;"ASBGSEX";"GIRL";"BOY";75,1225466;4,71218018688582;76,5649844;3,15558067380026;1,44243779999999;5,15665112420998;0,279723751957523;"TOTWGT";"JRR";"HALF";"Y";"04-MAR-26";"13h10m";75;5;"NONE"
"95";"Germany";"ASRREA0";50;90;"ASBGSEX";"BOY";"GIRL";76,5649844;3,15558067380026;75,1225466;4,71218018688582;-1,44243779999999;5,15665112420998;-0,279723751957523;"TOTWGT";"JRR";"HALF";"Y";"04-MAR-26";"13h10m";75;5;"NONE"
"96";"Germany";"ASRREA0";50;90;"ASBGSEX";"BOY";"BOY";76,5649844;3,15558067380026;76,5649844;3,15558067380026;0;0;NA;"TOTWGT";"JRR";"HALF";"Y";"04-MAR-26";"13h10m";75;5;"NONE"
"97";"Greece";"ASRREA0";10;50;"ASBGSEX";"GIRL";"GIRL";92,2975984;5,71751954315605;92,2975984;5,71751954315605;0;0;NA;"TOTWGT";"JRR";"HALF";"Y";"04-MAR-26";"13h10m";75;5;"NONE"
"98";"Greece";"ASRREA0";10;50;"ASBGSEX";"GIRL";"BOY";92,2975984;5,71751954315605;107,6064094;7,56646003051225;15,308811;6,99362627899372;2,18896612276553;"TOTWGT";"JRR";"HALF";"Y";"04-MAR-26";"13h10m";75;5;"NONE"
"99";"Greece";"ASRREA0";10;50;"ASBGSEX";"BOY";"GIRL";107,6064094;7,56646003051225;92,2975984;5,71751954315605;-15,308811;6,99362627899372;-2,18896612276553;"TOTWGT";"JRR";"HALF";"Y";"04-MAR-26";"13h10m";75;5;"NONE"
"100";"Greece";"ASRREA0";10;50;"ASBGSEX";"BOY";"BOY";107,6064094;7,56646003051225;107,6064094;7,56646003051225;0;0;NA;"TOTWGT";"JRR";"HALF";"Y";"04-MAR-26";"13h10m";75;5;"NONE"
"101";"Greece";"ASRREA0";10;90;"ASBGSEX";"GIRL";"GIRL";172,8255728;3,79271707952842;172,8255728;3,79271707952842;0;0;NA;"TOTWGT";"JRR";"HALF";"Y";"04-MAR-26";"13h10m";75;5;"NONE"
