"";"IDCNTRY";"percentile";"dvar";"groupvar";"refgroup";"compgroup";"val";"val_se";"cval";"cval_se";"valdiff";"valdiff_se";"valdiff_t";"weight";"method";"jk2type";"shortcut";"date";"time";"reps";"npv";"selcrit"
"35";"Austria";90;"ASRREA0";"ASBG01";"Boy";"Girl";618,696818;3,42397438236528;621,369634;3,79793890406568;2,67281600000001;4,37417444141475;0,611044675011985;"TOTWGT";"JRR";"FULL";"N";"04-MAR-26";"13h14m";150;5;"NONE"
"36";"Austria";90;"ASRREA0";"ASBG01";"Boy";"Boy";618,696818;3,42397438236528;618,696818;3,42397438236528;0;0;NA;"TOTWGT";"JRR";"FULL";"N";"04-MAR-26";"13h14m";150;5;"NONE"
"37";"Bahrain";10;"ASRREA0";"ASBG01";"Girl";"Girl";355,02514;5,9798821497384;355,02514;5,9798821497384;0;0;NA;"TOTWGT";"JRR";"FULL";"N";"04-MAR-26";"13h14m";150;5;"NONE"
"38";"Bahrain";10;"ASRREA0";"ASBG01";"Girl";"Boy";355,02514;5,9798821497384;283,435318;5,91045453218565;-71,589822;6,82661952576336;-10,4868627480736;"TOTWGT";"JRR";"FULL";"N";"04-MAR-26";"13h14m";150;5;"NONE"
"39";"Bahrain";10;"ASRREA0";"ASBG01";"Boy";"Girl";283,435318;5,91045453218565;355,02514;5,9798821497384;71,589822;6,82661952576336;10,4868627480736;"TOTWGT";"JRR";"FULL";"N";"04-MAR-26";"13h14m";150;5;"NONE"
"40";"Bahrain";10;"ASRREA0";"ASBG01";"Boy";"Boy";283,435318;5,91045453218565;283,435318;5,91045453218565;0;0;NA;"TOTWGT";"JRR";"FULL";"N";"04-MAR-26";"13h14m";150;5;"NONE"
"41";"Bahrain";50;"ASRREA0";"ASBG01";"Girl";"Girl";471,114202;3,43520955196827;471,114202;3,43520955196827;0;0;NA;"TOTWGT";"JRR";"FULL";"N";"04-MAR-26";"13h14m";150;5;"NONE"
"42";"Bahrain";50;"ASRREA0";"ASBG01";"Girl";"Boy";471,114202;3,43520955196827;428,794148;4,74518075017001;-42,320054;5,31218716966994;-7,96659693047477;"TOTWGT";"JRR";"FULL";"N";"04-MAR-26";"13h14m";150;5;"NONE"
"43";"Bahrain";50;"ASRREA0";"ASBG01";"Boy";"Girl";428,794148;4,74518075017001;471,114202;3,43520955196827;42,320054;5,31218716966994;7,96659693047477;"TOTWGT";"JRR";"FULL";"N";"04-MAR-26";"13h14m";150;5;"NONE"
"44";"Bahrain";50;"ASRREA0";"ASBG01";"Boy";"Boy";428,794148;4,74518075017001;428,794148;4,74518075017001;0;0;NA;"TOTWGT";"JRR";"FULL";"N";"04-MAR-26";"13h14m";150;5;"NONE"
"45";"Bahrain";90;"ASRREA0";"ASBG01";"Girl";"Girl";574,131824;2,81645821636957;574,131824;2,81645821636957;0;0;NA;"TOTWGT";"JRR";"FULL";"N";"04-MAR-26";"13h14m";150;5;"NONE"
"46";"Bahrain";90;"ASRREA0";"ASBG01";"Girl";"Boy";574,131824;2,81645821636957;556,719066;4,46382669884889;-17,412758;5,52370951376731;-3,15236671236972;"TOTWGT";"JRR";"FULL";"N";"04-MAR-26";"13h14m";150;5;"NONE"
"47";"Bahrain";90;"ASRREA0";"ASBG01";"Boy";"Girl";556,719066;4,46382669884889;574,131824;2,81645821636957;17,412758;5,52370951376731;3,15236671236972;"TOTWGT";"JRR";"FULL";"N";"04-MAR-26";"13h14m";150;5;"NONE"
"48";"Bahrain";90;"ASRREA0";"ASBG01";"Boy";"Boy";556,719066;4,46382669884889;556,719066;4,46382669884889;0;0;NA;"TOTWGT";"JRR";"FULL";"N";"04-MAR-26";"13h14m";150;5;"NONE"
"49";"Bulgaria";10;"ASRREA0";"ASBG01";"Girl";"Girl";449,766332;10,9429612398219;449,766332;10,9429612398219;0;0;NA;"TOTWGT";"JRR";"FULL";"N";"04-MAR-26";"13h14m";150;5;"NONE"
"50";"Bulgaria";10;"ASRREA0";"ASBG01";"Girl";"Boy";449,766332;10,9429612398219;432,003808;10,4127701984675;-17,762524;10,900191291329;-1,62956075955565;"TOTWGT";"JRR";"FULL";"N";"04-MAR-26";"13h14m";150;5;"NONE"
"51";"Bulgaria";10;"ASRREA0";"ASBG01";"Boy";"Girl";432,003808;10,4127701984675;449,766332;10,9429612398219;17,762524;10,900191291329;1,62956075955565;"TOTWGT";"JRR";"FULL";"N";"04-MAR-26";"13h14m";150;5;"NONE"
"52";"Bulgaria";10;"ASRREA0";"ASBG01";"Boy";"Boy";432,003808;10,4127701984675;432,003808;10,4127701984675;0;0;NA;"TOTWGT";"JRR";"FULL";"N";"04-MAR-26";"13h14m";150;5;"NONE"
"53";"Bulgaria";50;"ASRREA0";"ASBG01";"Girl";"Girl";566,860344;5,41632855879663;566,860344;5,41632855879663;0;0;NA;"TOTWGT";"JRR";"FULL";"N";"04-MAR-26";"13h14m";150;5;"NONE"
"54";"Bulgaria";50;"ASRREA0";"ASBG01";"Girl";"Boy";566,860344;5,41632855879663;551,682386;4,78841730144998;-15,177958;4,81054368170312;-3,15514399291899;"TOTWGT";"JRR";"FULL";"N";"04-MAR-26";"13h14m";150;5;"NONE"
"55";"Bulgaria";50;"ASRREA0";"ASBG01";"Boy";"Girl";551,682386;4,78841730144998;566,860344;5,41632855879663;15,177958;4,81054368170312;3,15514399291899;"TOTWGT";"JRR";"FULL";"N";"04-MAR-26";"13h14m";150;5;"NONE"
"56";"Bulgaria";50;"ASRREA0";"ASBG01";"Boy";"Boy";551,682386;4,78841730144998;551,682386;4,78841730144998;0;0;NA;"TOTWGT";"JRR";"FULL";"N";"04-MAR-26";"13h14m";150;5;"NONE"
"57";"Bulgaria";90;"ASRREA0";"ASBG01";"Girl";"Girl";660,338932;3,88869285688319;660,338932;3,88869285688319;0;0;NA;"TOTWGT";"JRR";"FULL";"N";"04-MAR-26";"13h14m";150;5;"NONE"
