"";"IDCNTRY";"BSBG01";"dvar";"n";"TOTWGT";"p10";"p10_se";"p50";"p50_se";"p90";"p90_se";"weight";"reps";"method";"jk2type";"npv";"shortcut";"date";"time";"selcrit"
"62";"Slovenia";"Boy";"BSMMAT0";2199;8786,282513;424,853064;5,82128580866941;519,816532;3,0617255558694;606,571908;3,68857251965634;"TOTWGT";150;"JRR";"FULL";5;"N";"04-MAR-26";"13h19m";"NONE"
"63";"South Africa";"Girl";"BSMMAT0";6422;445654,496820998;269,995784;4,26049276158121;367,35242;5,09433258969024;496,153634;10,3179538834604;"TOTWGT";150;"JRR";"FULL";5;"N";"04-MAR-26";"13h19m";"NONE"
"64";"South Africa";"Boy";"BSMMAT0";6084;423030,12945;264,680822;5,12931637605284;360,5366;5,11287155174664;485,380406;9,04828575939146;"TOTWGT";150;"JRR";"FULL";5;"N";"04-MAR-26";"13h19m";"NONE"
"65";"Sweden";"Girl";"BSMMAT0";1963;46157,241556;405,522312;5,85356221594198;500,56281;4,21850584794309;586,026862;4,81225575137319;"TOTWGT";150;"JRR";"FULL";5;"N";"04-MAR-26";"13h19m";"NONE"
"66";"Sweden";"Boy";"BSMMAT0";2086;49796,716844;407,270162;8,55412890609638;508,074168;4,71746377738972;594,952812;4,51511697335115;"TOTWGT";150;"JRR";"FULL";5;"N";"04-MAR-26";"13h19m";"NONE"
"67";"Thailand";"Girl";"BSMMAT0";3509;361555,426689999;335,321352;5,26844949840216;434,562996;6,77823823413767;550,81235;8,82150988902073;"TOTWGT";150;"JRR";"FULL";5;"N";"04-MAR-26";"13h19m";"NONE"
"68";"Thailand";"Boy";"BSMMAT0";2973;311174,590250002;311,812662;4,99258312669745;413,726108;6,3219204879818;545,502104;11,1204148353007;"TOTWGT";150;"JRR";"FULL";5;"N";"04-MAR-26";"13h19m";"NONE"
"69";"United Arab Emirates";"Girl";"BSMMAT0";8838;28624,8849159999;352,826566;3,6413820747851;470,754442;4,96007828492194;588,739852;4,5723173764246;"TOTWGT";150;"JRR";"FULL";5;"N";"04-MAR-26";"13h19m";"NONE"
"70";"United Arab Emirates";"Boy";"BSMMAT0";9073;28413,8214010004;320,966776;5,75635535097393;460,051262;5,34047800865842;594,621458;4,52393456532852;"TOTWGT";150;"JRR";"FULL";5;"N";"04-MAR-26";"13h19m";"NONE"
"71";"Turkey";"Girl";"BSMMAT0";2933;571617,935327001;329,015024;7,60205721925493;456,095146;5,28784777932819;602,466802;7,16958647116795;"TOTWGT";150;"JRR";"FULL";5;"N";"04-MAR-26";"13h19m";"NONE"
"72";"Turkey";"Boy";"BSMMAT0";3123;612206,111060999;320,09987;7,1754724873976;451,973214;6,24149356283461;594,468028;8,5570308210661;"TOTWGT";150;"JRR";"FULL";5;"N";"04-MAR-26";"13h19m";"NONE"
"73";"Egypt";"Girl";"BSMMAT0";4010;709958,804766997;269,594518;7,84019014516638;396,905784;6,58464569763445;524,15185;5,25237534332801;"TOTWGT";150;"JRR";"FULL";5;"N";"04-MAR-26";"13h19m";"NONE"
"74";"Egypt";"Boy";"BSMMAT0";3803;630128,199287999;259,351252;7,23459735859392;386,744232;5,96943751009456;516,533106;8,09987618492262;"TOTWGT";150;"JRR";"FULL";5;"N";"04-MAR-26";"13h19m";"NONE"
"75";"United States";"Girl";"BSMMAT0";5091;1815159,05306799;409,843174;5,31885880120031;520,8011;3,80002065539392;619,991674;4,84695700477483;"TOTWGT";150;"JRR";"FULL";5;"N";"04-MAR-26";"13h19m";"NONE"
"76";"United States";"Boy";"BSMMAT0";5071;1819630,26480499;406,204196;4,89477970027006;522,00333;3,82366390036318;628,210698;5,14949576826745;"TOTWGT";150;"JRR";"FULL";5;"N";"04-MAR-26";"13h19m";"NONE"
"77";"England";"Girl";"BSMMAT0";2391;278249,405237;414,528106;7,34756815843421;519,586104;8,27735078446398;628,06542;5,79613254988445;"TOTWGT";150;"JRR";"FULL";5;"N";"04-MAR-26";"13h19m";"NONE"
"78";"England";"Boy";"BSMMAT0";2351;270745,465855999;417,842826;6,44629615497272;516,318084;6,20901640006982;620,49771;7,25095422173937;"TOTWGT";150;"JRR";"FULL";5;"N";"04-MAR-26";"13h19m";"NONE"
"79";"Norway (8)";"Girl";"BSMMAT0";2379;28913,581885;401,842106;5,5388643759498;490,683744;2,76101799331441;566,386712;3,68129666125597;"TOTWGT";150;"JRR";"FULL";5;"N";"04-MAR-26";"13h19m";"NONE"
"80";"Norway (8)";"Boy";"BSMMAT0";2378;29087,5789889999;397,377814;4,64796772828899;491,520332;2,92851577888593;569,931582;3,28475518740498;"TOTWGT";150;"JRR";"FULL";5;"N";"04-MAR-26";"13h19m";"NONE"
"81";"United Arab Emirates (Dubai)";"Girl";"BSMMAT0";3013;8388,34994;392,688156;6,40521921889689;515,176102;5,80448236028699;619,28819;6,44643402404225;"TOTWGT";150;"JRR";"FULL";5;"N";"04-MAR-26";"13h19m";"NONE"
"82";"United Arab Emirates (Dubai)";"Boy";"BSMMAT0";3122;7758,367986;386,770416;7,64464435213475;521,184276;4,96642404965745;628,263616;5,16603797298818;"TOTWGT";150;"JRR";"FULL";5;"N";"04-MAR-26";"13h19m";"NONE"
"83";"United Arab Emirates (Abu Dhabi)";"Girl";"BSMMAT0";2159;10406,804109;340,08697;6,2681495529247;455,245366;8,87238570017199;575,2248;9,14044805293485;"TOTWGT";150;"JRR";"FULL";5;"N";"04-MAR-26";"13h19m";"NONE"
"84";"United Arab Emirates (Abu Dhabi)";"Boy";"BSMMAT0";2624;10574,5368389999;295,596484;7,46519259546906;420,814008;8,41125107733707;568,243072;10,6812971322225;"TOTWGT";150;"JRR";"FULL";5;"N";"04-MAR-26";"13h19m";"NONE"
"85";"Canada (Ontario)";"Girl";"BSMMAT0";2214;67378,5767339995;430,499422;4,5864099609677;525,949404;3,94689919996649;605,844356;4,21037436506722;"TOTWGT";150;"JRR";"FULL";5;"N";"04-MAR-26";"13h19m";"NONE"
"86";"Canada (Ontario)";"Boy";"BSMMAT0";2225;67969,0059529995;427,52343;4,46009569485901;527,785678;4,38155657777621;614,896622;5,07682493308997;"TOTWGT";150;"JRR";"FULL";5;"N";"04-MAR-26";"13h19m";"NONE"
"87";"Canada (Quebec)";"Girl";"BSMMAT0";2037;37589,4739829998;458,009004;6,7265147778494;539,86594;4,56578464793948;617,296416;4,12807131992968;"TOTWGT";150;"JRR";"FULL";5;"N";"04-MAR-26";"13h19m";"NONE"
"88";"Canada (Quebec)";"Boy";"BSMMAT0";1855;33461,3355909999;465,501826;12,9501403540817;555,425266;4,45492998343922;630,2223;3,97338146538939;"TOTWGT";150;"JRR";"FULL";5;"N";"04-MAR-26";"13h19m";"NONE"
"89";"Argentina, Buenos Aires";"Girl";"BSMMAT0";1565;19923,3059369999;268,75091;8,18196364586276;391,093562;6,98235746430704;507,26245;5,95950127590641;"TOTWGT";150;"JRR";"FULL";5;"N";"04-MAR-26";"13h19m";"NONE"
"90";"Argentina, Buenos Aires";"Boy";"BSMMAT0";1487;19263,47682;287,426378;8,9119664968689;399,918038;8,08991851043535;519,28395;8,65415599504832;"TOTWGT";150;"JRR";"FULL";5;"N";"04-MAR-26";"13h19m";"NONE"
"91";"Table Average";"Girl";"BSMMAT0";NA;NA;375,342872133333;0,966946528297618;485,115342444444;0,735160614536357;587,558441511111;0,853518775727853;"TOTWGT";150;"JRR";"FULL";5;"N";"04-MAR-26";"13h19m";"NONE"
"92";"Table Average";"Boy";"BSMMAT0";NA;NA;365,560833733333;1,0608392833644;482,1272108;0,774429840570765;592,288072711111;1,01098214996716;"TOTWGT";150;"JRR";"FULL";5;"N";"04-MAR-26";"13h19m";"NONE"
