IDCNTRY;Variable;RASDHHER;RASDGSATR;RASDHHER.se;RASDGSATR.se;xvar;corrtype;weight;method;jk2type;missoptn;date;time;reps;infile;selcrit
Israel;RASDHHER;1;,0773442388193037;0;,0273959710768149; RASDHHER RASDGSATR;SPEARMAN;TOTWGT;JRR;HALF;LISTWISE;25-FEB-26;15h58m;75;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\PIRLS2001.sav;NONE
Israel;RASDGSATR;,0773442388193037;1;,0273959710768149;0; RASDHHER RASDGSATR;SPEARMAN;TOTWGT;JRR;HALF;LISTWISE;25-FEB-26;15h58m;75;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\PIRLS2001.sav;NONE
Italy;RASDHHER;1;,116643840695795;0;,017131234470179; RASDHHER RASDGSATR;SPEARMAN;TOTWGT;JRR;HALF;LISTWISE;25-FEB-26;15h58m;75;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\PIRLS2001.sav;NONE
Italy;RASDGSATR;,116643840695795;1;,017131234470179;0; RASDHHER RASDGSATR;SPEARMAN;TOTWGT;JRR;HALF;LISTWISE;25-FEB-26;15h58m;75;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\PIRLS2001.sav;NONE
Kuwait;RASDHHER;1;,127202202943444;0;,0227365618117134; RASDHHER RASDGSATR;SPEARMAN;TOTWGT;JRR;HALF;LISTWISE;25-FEB-26;15h58m;75;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\PIRLS2001.sav;NONE
Kuwait;RASDGSATR;,127202202943444;1;,0227365618117134;0; RASDHHER RASDGSATR;SPEARMAN;TOTWGT;JRR;HALF;LISTWISE;25-FEB-26;15h58m;75;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\PIRLS2001.sav;NONE
Latvia;RASDHHER;1;,131287286757117;0;,0203141950661649; RASDHHER RASDGSATR;SPEARMAN;TOTWGT;JRR;HALF;LISTWISE;25-FEB-26;15h58m;75;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\PIRLS2001.sav;NONE
Latvia;RASDGSATR;,131287286757117;1;,0203141950661649;0; RASDHHER RASDGSATR;SPEARMAN;TOTWGT;JRR;HALF;LISTWISE;25-FEB-26;15h58m;75;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\PIRLS2001.sav;NONE
Lithuania;RASDHHER;1;,0806929150213789;0;,0196417362931889; RASDHHER RASDGSATR;SPEARMAN;TOTWGT;JRR;HALF;LISTWISE;25-FEB-26;15h58m;75;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\PIRLS2001.sav;NONE
Lithuania;RASDGSATR;,0806929150213789;1;,0196417362931889;0; RASDHHER RASDGSATR;SPEARMAN;TOTWGT;JRR;HALF;LISTWISE;25-FEB-26;15h58m;75;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\PIRLS2001.sav;NONE
Moldova;RASDHHER;1;,0992532983228115;0;,0192769054656218; RASDHHER RASDGSATR;SPEARMAN;TOTWGT;JRR;HALF;LISTWISE;25-FEB-26;15h58m;75;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\PIRLS2001.sav;NONE
Moldova;RASDGSATR;,0992532983228115;1;,0192769054656218;0; RASDHHER RASDGSATR;SPEARMAN;TOTWGT;JRR;HALF;LISTWISE;25-FEB-26;15h58m;75;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\PIRLS2001.sav;NONE
