IDCNTRY;ASBG01;dvar;n;TOTWGT;p10;p10_se;p50;p50_se;p90;p90_se;weight;reps;method;jk2type;npv;shortcut;date;time;infile;selcrit
Georgia;Girl;ASRREA0;2805;20682,150817;399,175876;8,42446852376789;505,25238;2,77636393648418;588,854262;3,05628317159157;TOTWGT;150;JRR;FULL;5;N;25-FEB-26;21h18m;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\PIRLS2016.sav;NONE
Georgia;Boy;ASRREA0;2933;21204,9273880001;371,003548;8,82172392998408;484,850966;4,94328948877322;577,26492;5,65006301042739;TOTWGT;150;JRR;FULL;5;N;25-FEB-26;21h18m;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\PIRLS2016.sav;NONE
Germany;Girl;ASRREA0;1749;292082,694659;452,605146;6,19502268157238;552,394078;4,24452426628287;636,466158;3,77245236630413;TOTWGT;150;JRR;FULL;5;N;25-FEB-26;21h18m;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\PIRLS2016.sav;NONE
Germany;Boy;ASRREA0;1757;294156,374183;435,039858;7,84525837259576;543,287572;3,31467572669093;626,973664;3,82010615400223;TOTWGT;150;JRR;FULL;5;N;25-FEB-26;21h18m;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\PIRLS2016.sav;NONE
Hong Kong, SAR;Girl;ASRREA0;1625;23773,481506;496,098302;5,74418679891193;576,792014;4,61847981813996;648,152128;3,5570012486452;TOTWGT;150;JRR;FULL;5;N;25-FEB-26;21h18m;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\PIRLS2016.sav;NONE
Hong Kong, SAR;Boy;ASRREA0;1681;24928,6052859999;481,177542;4,51120393678273;569,995332;2,84193502617387;642,556536;5,2202051660213;TOTWGT;150;JRR;FULL;5;N;25-FEB-26;21h18m;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\PIRLS2016.sav;NONE
Hungary;Girl;ASRREA0;2287;43876,4734210002;462,786318;8,96904178004899;564,328638;3,8580769941713;652,9326;4,21028474745002;TOTWGT;150;JRR;FULL;5;N;25-FEB-26;21h18m;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\PIRLS2016.sav;NONE
Hungary;Boy;ASRREA0;2331;44910,7721670002;443,702294;6,87933608388672;555,821766;3,68266436484181;636,467184;4,00552233445109;TOTWGT;150;JRR;FULL;5;N;25-FEB-26;21h18m;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\PIRLS2016.sav;NONE
Iran, Islamic Republic of;Girl;ASRREA0;2141;553744,241029002;330,494756;16,0399759784099;467,523634;4,0087047083885;557,55951;3,92275896221907;TOTWGT;150;JRR;FULL;5;N;25-FEB-26;21h18m;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\PIRLS2016.sav;NONE
Iran, Islamic Republic of;Boy;ASRREA0;2241;645240,348057003;260,04845;13,4583807668341;421,613202;7,60601573978019;543,575508;6,59947555980888;TOTWGT;150;JRR;FULL;5;N;25-FEB-26;21h18m;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\PIRLS2016.sav;NONE
Ireland;Girl;ASRREA0;2240;30687,33222;477,706296;6,36693104340906;579,415612;3,07870883744043;660,49317;4,35899554587413;TOTWGT;150;JRR;FULL;5;N;25-FEB-26;21h18m;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\PIRLS2016.sav;NONE
Ireland;Boy;ASRREA0;2353;30695,5353220002;468,105218;7,37199235319286;565,583514;4,37709943429736;650,16936;4,24810752226803;TOTWGT;150;JRR;FULL;5;N;25-FEB-26;21h18m;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\PIRLS2016.sav;NONE
Israel;Girl;ASRREA0;2038;52164,61213;422,687906;7,93541232954004;544,513168;3,35132806501606;638,312412;4,51169320584902;TOTWGT;150;JRR;FULL;5;N;25-FEB-26;21h18m;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\PIRLS2016.sav;NONE
Israel;Boy;ASRREA0;1996;50759,1762059996;392,201894;7,837286258846;538,69287;4,33937315236664;630,953282;4,51114858746131;TOTWGT;150;JRR;FULL;5;N;25-FEB-26;21h18m;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\PIRLS2016.sav;NONE
Italy;Girl;ASRREA0;1920;254453,519155;467,445142;5,4568029813293;555,832508;4,10878217790796;630,79328;3,92121082480269;TOTWGT;150;JRR;FULL;5;N;25-FEB-26;21h18m;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\PIRLS2016.sav;NONE
Italy;Boy;ASRREA0;2013;266974,039246;454,88143;5,69374590049469;550,357842;2,88320580775011;624,03925;4,75112502001681;TOTWGT;150;JRR;FULL;5;N;25-FEB-26;21h18m;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\PIRLS2016.sav;NONE
Kazakhstan;Girl;ASRREA0;2398;122070,569565;463,33901;5,0010922664254;543,505948;4,04708075182517;618,611074;3,99997105122097;TOTWGT;150;JRR;FULL;5;N;25-FEB-26;21h18m;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\PIRLS2016.sav;NONE
Kazakhstan;Boy;ASRREA0;2527;129034,396587;448,326136;5,5330757717255;532,65151;3,02373386956595;609,936636;3,3734838286726;TOTWGT;150;JRR;FULL;5;N;25-FEB-26;21h18m;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\PIRLS2016.sav;NONE
Kuwait;Girl;ASRREA0;2140;23666,7610059998;283,540964;8,99445933283129;416,165548;4,94158938166399;529,629266;5,67149415044272;TOTWGT;150;JRR;FULL;5;N;25-FEB-26;21h18m;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\PIRLS2016.sav;NONE
Kuwait;Boy;ASRREA0;2365;21900,326129;225,564912;11,0580735295997;383,79862;7,52870384760486;514,834416;10,5830525027435;TOTWGT;150;JRR;FULL;5;N;25-FEB-26;21h18m;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\PIRLS2016.sav;NONE
Latvia;Girl;ASRREA0;2110;9045,612043;484,760922;3,60272564542515;568,664504;2,32246467714493;641,096824;5,53102370001036;TOTWGT;150;JRR;FULL;5;N;25-FEB-26;21h18m;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\PIRLS2016.sav;NONE
Latvia;Boy;ASRREA0;2035;8691,242662;465,75063;5,75254201765008;550,972776;3,03191736570871;628,342212;4,39837188334773;TOTWGT;150;JRR;FULL;5;N;25-FEB-26;21h18m;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\PIRLS2016.sav;NONE
Lithuania;Girl;ASRREA0;2163;12285,4549479999;471,783564;4,93514981840936;562,314424;3,10952481915742;640,546688;3,72316999427558;TOTWGT;150;JRR;FULL;5;N;25-FEB-26;21h18m;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\PIRLS2016.sav;NONE
Lithuania;Boy;ASRREA0;2143;12147,409327;447,676384;7,70056510438268;543,450192;4,34899974097758;623,238066;2,81797011756444;TOTWGT;150;JRR;FULL;5;N;25-FEB-26;21h18m;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\PIRLS2016.sav;NONE
Macao SAR;Girl;ASRREA0;1990;2037,190013;457,873;3,92558418678416;551,183692;2,20988114120055;625,126144;2,53430732977198;TOTWGT;150;JRR;FULL;5;N;25-FEB-26;21h18m;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\PIRLS2016.sav;NONE
Macao SAR;Boy;ASRREA0;2067;2111,743034;460,012598;4,4344681150465;550,485882;2,28170746521192;623,905268;2,66601694720871;TOTWGT;150;JRR;FULL;5;N;25-FEB-26;21h18m;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\PIRLS2016.sav;NONE
Malta;Girl;ASRREA0;1751;1821,640296;344,049144;5,73125974457067;473,97054;3,52216262307266;565,178952;4,33993199984211;TOTWGT;150;JRR;FULL;5;N;25-FEB-26;21h18m;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\PIRLS2016.sav;NONE
Malta;Boy;ASRREA0;1887;1961,909757;317,563366;5,26142354257913;451,006632;3,25254534730785;554,765214;4,309917473902;TOTWGT;150;JRR;FULL;5;N;25-FEB-26;21h18m;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\PIRLS2016.sav;NONE
Morocco;Girl;ASRREA0;2694;324621,562178001;218,889852;10,211075234678;364,567126;7,21756067665776;495,208714;5,64080573692409;TOTWGT;150;JRR;FULL;5;N;25-FEB-26;21h18m;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\PIRLS2016.sav;NONE
Morocco;Boy;ASRREA0;2774;337475,324656001;200,303494;9,23483417977583;335,143872;5,89082245754568;484,041388;6,04776484592149;TOTWGT;150;JRR;FULL;5;N;25-FEB-26;21h18m;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\PIRLS2016.sav;NONE
Oman;Girl;ASRREA0;4562;26089,7732759999;317,24241;4,45218967021735;446,565098;4,28574748069858;557,855106;4,40508563074837;TOTWGT;150;JRR;FULL;5;N;25-FEB-26;21h18m;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\PIRLS2016.sav;NONE
Oman;Boy;ASRREA0;4660;26084,1972009999;246,740894;4,76587574782916;399,97851;5,88011120717118;535,99136;5,45523583564545;TOTWGT;150;JRR;FULL;5;N;25-FEB-26;21h18m;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\PIRLS2016.sav;NONE
Netherlands;Girl;ASRREA0;2111;84279,2747609999;475,131044;4,40991578338927;552,052312;2,8270707335127;623,07149;4,24523746564205;TOTWGT;150;JRR;FULL;5;N;25-FEB-26;21h18m;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\PIRLS2016.sav;NONE
Netherlands;Boy;ASRREA0;2067;81923,2486429998;457,687674;6,61957465828776;543,340936;2,2307782168306;615,332558;4,05793258304328;TOTWGT;150;JRR;FULL;5;N;25-FEB-26;21h18m;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\PIRLS2016.sav;NONE
New Zealand;Girl;ASRREA0;2777;28318,8165830003;418,848034;7,46266362573888;542,09522;3,58778836348806;637,870836;3,70236104371064;TOTWGT;150;JRR;FULL;5;N;25-FEB-26;21h18m;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\PIRLS2016.sav;NONE
