"";"IDCNTRY";"Variable";"TOTWGT";"mean";"stdev";"TOTWGT.se";"mean.se";"stdev.se";"NObs";"xvar";"weight";"method";"jk2type";"shortcut";"missoptn";"date";"time";"reps";"npv";"selcrit"
"43";"Korea, Republic of";"BSSSCI0_";567295,162374002;555,596597539202;78,0179899935943;6881,43672250466;2,20893207184636;1,12583729503272;5309;" BSSSCI0_ BSMALG0_";"TOTWGT";"JRR";"FULL";"N";"LISTWISE";"03-MAR-26";"22h 0m";150;5;"NONE"
"44";"Korea, Republic of";"BSMALG0_";567295,162374002;612,084284797879;96,8191941786368;6881,43672250466;2,8939055605118;2,17170974675223;5309;" BSSSCI0_ BSMALG0_";"TOTWGT";"JRR";"FULL";"N";"LISTWISE";"03-MAR-26";"22h 0m";150;5;"NONE"
"45";"Kuwait";"BSSSCI0_";38873,057807;410,740803156988;109,998354997318;688,299182383586;5,15872326386552;3,69130983735839;4503;" BSSSCI0_ BSMALG0_";"TOTWGT";"JRR";"FULL";"N";"LISTWISE";"03-MAR-26";"22h 0m";150;5;"NONE"
"46";"Kuwait";"BSMALG0_";38873,057807;384,02958704626;101,641472258728;688,299182383586;4,76531752750259;3,77338786434456;4503;" BSSSCI0_ BSMALG0_";"TOTWGT";"JRR";"FULL";"N";"LISTWISE";"03-MAR-26";"22h 0m";150;5;"NONE"
"47";"Lebanon";"BSSSCI0_";59457,5940639999;398,15667191465;101,789069063102;1663,97558220954;5,34661690254824;2,6203922655822;3873;" BSSSCI0_ BSMALG0_";"TOTWGT";"JRR";"FULL";"N";"LISTWISE";"03-MAR-26";"22h 0m";150;5;"NONE"
"48";"Lebanon";"BSMALG0_";59457,5940639999;465,703721906772;76,2798001305579;1663,97558220954;3,95505316453421;1,79789726873119;3873;" BSSSCI0_ BSMALG0_";"TOTWGT";"JRR";"FULL";"N";"LISTWISE";"03-MAR-26";"22h 0m";150;5;"NONE"
"49";"Lithuania";"BSSSCI0_";27262,7704719996;519,105343384676;77,7543928979572;523,447779866769;2,77688138618225;1,7879227102945;4347;" BSSSCI0_ BSMALG0_";"TOTWGT";"JRR";"FULL";"N";"LISTWISE";"03-MAR-26";"22h 0m";150;5;"NONE"
"50";"Lithuania";"BSMALG0_";27262,7704719996;497,34247173755;83,9429602767792;523,447779866769;3,25963127054803;2,05727309284306;4347;" BSSSCI0_ BSMALG0_";"TOTWGT";"JRR";"FULL";"N";"LISTWISE";"03-MAR-26";"22h 0m";150;5;"NONE"
"51";"Malaysia";"BSSSCI0_";446900,223493995;470,822143040031;93,9262430260826;8267,28391380512;4,13136681647951;2,69256545518253;9726;" BSSSCI0_ BSMALG0_";"TOTWGT";"JRR";"FULL";"N";"LISTWISE";"03-MAR-26";"22h 0m";150;5;"NONE"
"52";"Malaysia";"BSMALG0_";446900,223493995;466,85690478122;81,9458972987952;8267,28391380512;3,38878964674404;1,98696479966427;9726;" BSSSCI0_ BSMALG0_";"TOTWGT";"JRR";"FULL";"N";"LISTWISE";"03-MAR-26";"22h 0m";150;5;"NONE"
"53";"Malta";"BSSSCI0_";3980,99940600005;481,360573768062;106,337806379044;11,4016476698845;1,61569948710191;1,52754044910253;3817;" BSSSCI0_ BSMALG0_";"TOTWGT";"JRR";"FULL";"N";"LISTWISE";"03-MAR-26";"22h 0m";150;5;"NONE"
"54";"Malta";"BSMALG0_";3980,99940600005;492,444768089576;92,8134941758963;11,4016476698845;1,8019799727707;1,31122433329166;3817;" BSSSCI0_ BSMALG0_";"TOTWGT";"JRR";"FULL";"N";"LISTWISE";"03-MAR-26";"22h 0m";150;5;"NONE"
"55";"Morocco";"BSSSCI0_";450199,980675993;393,252520654063;84,4816851580822;5996,95929761311;2,52036954913294;1,37226741056653;13035;" BSSSCI0_ BSMALG0_";"TOTWGT";"JRR";"FULL";"N";"LISTWISE";"03-MAR-26";"22h 0m";150;5;"NONE"
"56";"Morocco";"BSMALG0_";450199,980675993;372,068409419218;95,3707749082145;5996,95929761311;2,34605500909086;1,39328295732453;13035;" BSSSCI0_ BSMALG0_";"TOTWGT";"JRR";"FULL";"N";"LISTWISE";"03-MAR-26";"22h 0m";150;5;"NONE"
"57";"New Zealand";"BSSSCI0_";55930,7467009997;512,680518860342;89,9607113388523;1328,43222497114;3,10083031903946;1,9023783052967;8142;" BSSSCI0_ BSMALG0_";"TOTWGT";"JRR";"FULL";"N";"LISTWISE";"03-MAR-26";"22h 0m";150;5;"NONE"
"58";"New Zealand";"BSMALG0_";55930,7467009997;474,774675436974;93,5487247050058;1328,43222497114;3,47909293276626;2,22655260023767;8142;" BSSSCI0_ BSMALG0_";"TOTWGT";"JRR";"FULL";"N";"LISTWISE";"03-MAR-26";"22h 0m";150;5;"NONE"
"59";"Norway";"BSSSCI0_";59494,0710660006;508,825665573877;78,1801861767557;996,843520763167;2,79392305192588;1,5623853996621;4697;" BSSSCI0_ BSMALG0_";"TOTWGT";"JRR";"FULL";"N";"LISTWISE";"03-MAR-26";"22h 0m";150;5;"NONE"
"60";"Norway";"BSMALG0_";59494,0710660006;471,238976535004;83,7633559182899;996,843520763167;2,67884054107807;1,03922654078081;4697;" BSSSCI0_ BSMALG0_";"TOTWGT";"JRR";"FULL";"N";"LISTWISE";"03-MAR-26";"22h 0m";150;5;"NONE"
"61";"Norway (8)";"BSSSCI0_";58462,2022140002;489,221214948111;75,9863625360101;1113,16921018278;2,36966056278716;1,77358698246278;4795;" BSSSCI0_ BSMALG0_";"TOTWGT";"JRR";"FULL";"N";"LISTWISE";"03-MAR-26";"22h 0m";150;5;"NONE"
"62";"Norway (8)";"BSMALG0_";58462,2022140002;423,281576779328;84,0359701155716;1113,16921018278;2,70032071362405;1,89457197191135;4795;" BSSSCI0_ BSMALG0_";"TOTWGT";"JRR";"FULL";"N";"LISTWISE";"03-MAR-26";"22h 0m";150;5;"NONE"
"63";"Oman";"BSSSCI0_";46492,0047769995;454,560394113746;98,1332272692033;907,166210198163;2,6528859760075;1,6141375837692;8883;" BSSSCI0_ BSMALG0_";"TOTWGT";"JRR";"FULL";"N";"LISTWISE";"03-MAR-26";"22h 0m";150;5;"NONE"
"64";"Oman";"BSMALG0_";46492,0047769995;426,333227668568;97,5103891228931;907,166210198163;2,73373840021852;1,45016583644516;8883;" BSSSCI0_ BSMALG0_";"TOTWGT";"JRR";"FULL";"N";"LISTWISE";"03-MAR-26";"22h 0m";150;5;"NONE"
"65";"Qatar";"BSSSCI0_";15651,7743160001;456,515827947172;111,590923314847;128,830495462076;3,04050672974222;1,98943502801169;5403;" BSSSCI0_ BSMALG0_";"TOTWGT";"JRR";"FULL";"N";"LISTWISE";"03-MAR-26";"22h 0m";150;5;"NONE"
"66";"Qatar";"BSMALG0_";15651,7743160001;452,126418888177;99,6351638385235;128,830495462076;2,60288037125671;1,9570917616358;5403;" BSSSCI0_ BSMALG0_";"TOTWGT";"JRR";"FULL";"N";"LISTWISE";"03-MAR-26";"22h 0m";150;5;"NONE"
"67";"Russian Federation";"BSSSCI0_";1257818,371504;544,115811196025;77,0162664388431;36629,5831789547;4,21034133558111;1,86783843711528;4780;" BSSSCI0_ BSMALG0_";"TOTWGT";"JRR";"FULL";"N";"LISTWISE";"03-MAR-26";"22h 0m";150;5;"NONE"
"68";"Russian Federation";"BSMALG0_";1257818,371504;558,162611669464;86,9099291561652;36629,5831789547;5,15957554037284;1,76439273060966;4780;" BSSSCI0_ BSMALG0_";"TOTWGT";"JRR";"FULL";"N";"LISTWISE";"03-MAR-26";"22h 0m";150;5;"NONE"
"69";"Saudi Arabia";"BSSSCI0_";368569,730902994;396,419793302325;97,9565891030849;11480,4188978889;4,47902531374812;2,70564187687618;3759;" BSSSCI0_ BSMALG0_";"TOTWGT";"JRR";"FULL";"N";"LISTWISE";"03-MAR-26";"22h 0m";150;5;"NONE"
"70";"Saudi Arabia";"BSMALG0_";368569,730902994;390,953773435353;87,5331566738995;11480,4188978889;4,3762122184346;3,479025738361;3759;" BSSSCI0_ BSMALG0_";"TOTWGT";"JRR";"FULL";"N";"LISTWISE";"03-MAR-26";"22h 0m";150;5;"NONE"
"71";"Singapore";"BSSSCI0_";47595,9973359999;596,644421867269;86,2123221799745;7,48999243894083e-05;3,18069388035463;2,33827264009593;6116;" BSSSCI0_ BSMALG0_";"TOTWGT";"JRR";"FULL";"N";"LISTWISE";"03-MAR-26";"22h 0m";150;5;"NONE"
"72";"Singapore";"BSMALG0_";47595,9973359999;622,539089976183;87,4961621267607;7,48999243894083e-05;3,42729365198387;2,4475563295063;6116;" BSSSCI0_ BSMALG0_";"TOTWGT";"JRR";"FULL";"N";"LISTWISE";"03-MAR-26";"22h 0m";150;5;"NONE"
"73";"Slovenia";"BSSSCI0_";17065,9883070001;551,111546653607;77,1815861582933;152,749036857084;2,40041628129005;1,45397923636983;4257;" BSSSCI0_ BSMALG0_";"TOTWGT";"JRR";"FULL";"N";"LISTWISE";"03-MAR-26";"22h 0m";150;5;"NONE"
"74";"Slovenia";"BSMALG0_";17065,9883070001;498,242695335923;68,8309791703766;152,749036857084;2,46813811234696;1,27268381728023;4257;" BSSSCI0_ BSMALG0_";"TOTWGT";"JRR";"FULL";"N";"LISTWISE";"03-MAR-26";"22h 0m";150;5;"NONE"
"75";"South Africa";"BSSSCI0_";869405,852930958;357,741818106937;107,761550717646;20437,7422738519;5,63514557874657;3,55102830226223;12514;" BSSSCI0_ BSMALG0_";"TOTWGT";"JRR";"FULL";"N";"LISTWISE";"03-MAR-26";"22h 0m";150;5;"NONE"
"76";"South Africa";"BSMALG0_";869405,852930958;393,739105371426;86,2442916517063;20437,7422738519;4,28238317404973;2,84367746789749;12514;" BSSSCI0_ BSMALG0_";"TOTWGT";"JRR";"FULL";"N";"LISTWISE";"03-MAR-26";"22h 0m";150;5;"NONE"
"77";"Sweden";"BSSSCI0_";96830,1428630002;522,268912162126;85,5940178905136;3205,73716840047;3,44177982385543;2,42089919922675;4090;" BSSSCI0_ BSMALG0_";"TOTWGT";"JRR";"FULL";"N";"LISTWISE";"03-MAR-26";"22h 0m";150;5;"NONE"
"78";"Sweden";"BSMALG0_";96830,1428630002;482,127074260705;82,6598750573075;3205,73716840047;3,22059959255963;1,52764140552904;4090;" BSSSCI0_ BSMALG0_";"TOTWGT";"JRR";"FULL";"N";"LISTWISE";"03-MAR-26";"22h 0m";150;5;"NONE"
"79";"Thailand";"BSSSCI0_";672730,016940016;455,844894603341;80,9541765387005;14795,2331580288;4,23878910097434;2,31940905001786;6482;" BSSSCI0_ BSMALG0_";"TOTWGT";"JRR";"FULL";"N";"LISTWISE";"03-MAR-26";"22h 0m";150;5;"NONE"
"80";"Thailand";"BSMALG0_";672730,016940016;429,091243787272;91,8756149829285;14795,2331580288;5,11677799560476;3,73004275211778;6482;" BSSSCI0_ BSMALG0_";"TOTWGT";"JRR";"FULL";"N";"LISTWISE";"03-MAR-26";"22h 0m";150;5;"NONE"
"81";"Turkey";"BSSSCI0_";1187893,17197503;493,396125065632;95,7367430525289;24945,0991659051;4,01839655152253;2,00684033842368;6079;" BSSSCI0_ BSMALG0_";"TOTWGT";"JRR";"FULL";"N";"LISTWISE";"03-MAR-26";"22h 0m";150;5;"NONE"
"82";"Turkey";"BSMALG0_";1187893,17197503;459,111874832146;102,050651942809;24945,0991659051;4,58816471003185;2,56485014625982;6079;" BSSSCI0_ BSMALG0_";"TOTWGT";"JRR";"FULL";"N";"LISTWISE";"03-MAR-26";"22h 0m";150;5;"NONE"
"83";"United Arab Emirates";"BSSSCI0_";57330,3986199985;476,646107529422;105,50017304634;888,786975368984;2,28327912061527;1,64116918539219;18012;" BSSSCI0_ BSMALG0_";"TOTWGT";"JRR";"FULL";"N";"LISTWISE";"03-MAR-26";"22h 0m";150;5;"NONE"
"84";"United Arab Emirates";"BSMALG0_";57330,3986199985;485,031167096087;93,1686052765661;888,786975368984;2,03520312828955;1,431409967738;18012;" BSSSCI0_ BSMALG0_";"TOTWGT";"JRR";"FULL";"N";"LISTWISE";"03-MAR-26";"22h 0m";150;5;"NONE"
"85";"United Arab Emirates (Abu Dhabi)";"BSSSCI0_";21166,006591;454,248901702882;108,213172759754;654,618316612535;5,59324084658872;2,98414764261732;4838;" BSSSCI0_ BSMALG0_";"TOTWGT";"JRR";"FULL";"N";"LISTWISE";"03-MAR-26";"22h 0m";150;5;"NONE"
"86";"United Arab Emirates (Abu Dhabi)";"BSMALG0_";21166,006591;462,161410302525;93,2769404868546;654,618316612535;4,53604139388766;2,60780400612079;4838;" BSSSCI0_ BSMALG0_";"TOTWGT";"JRR";"FULL";"N";"LISTWISE";"03-MAR-26";"22h 0m";150;5;"NONE"
"87";"United Arab Emirates (Dubai)";"BSSSCI0_";16169,668934;524,722600326639;95,0459465268147;115,394617374661;1,99416749723868;1,9519791366306;6149;" BSSSCI0_ BSMALG0_";"TOTWGT";"JRR";"FULL";"N";"LISTWISE";"03-MAR-26";"22h 0m";150;5;"NONE"
"88";"United Arab Emirates (Dubai)";"BSMALG0_";16169,668934;528,47631567877;86,8976658789944;115,394617374661;2,68253732927334;1,60509173038624;6149;" BSSSCI0_ BSMALG0_";"TOTWGT";"JRR";"FULL";"N";"LISTWISE";"03-MAR-26";"22h 0m";150;5;"NONE"
"89";"United States";"BSSSCI0_";3656774,71931405;529,995863138954;81,501488535009;48565,2133072304;2,84135740668056;1,42430644308968;10221;" BSSSCI0_ BSMALG0_";"TOTWGT";"JRR";"FULL";"N";"LISTWISE";"03-MAR-26";"22h 0m";150;5;"NONE"
"90";"United States";"BSMALG0_";3656774,71931405;524,860718578803;85,1174981202964;48565,2133072304;3,14383189364498;1,65507530665492;10221;" BSSSCI0_ BSMALG0_";"TOTWGT";"JRR";"FULL";"N";"LISTWISE";"03-MAR-26";"22h 0m";150;5;"NONE"
"91";"Table Average";"BSSSCI0_";NA;485,739389427075;89,4774429956083;NA;0,518097445324536;0,314729862580755;NA;" BSSSCI0_ BSMALG0_";"TOTWGT";"JRR";"FULL";"N";"LISTWISE";"03-MAR-26";"22h 0m";150;5;"NONE"
"92";"Table Average";"BSMALG0_";NA;481,689595710022;88,7403987560602;NA;0,548822665789639;0,330648221441827;NA;" BSSSCI0_ BSMALG0_";"TOTWGT";"JRR";"FULL";"N";"LISTWISE";"03-MAR-26";"22h 0m";150;5;"NONE"
