"";"S_SEX";"percentile";"dvar";"groupvar";"refgroup";"compgroup";"val";"val_se";"cval";"cval_se";"valdiff";"valdiff_se";"valdiff_t";"weight";"method";"jk2type";"shortcut";"date";"time";"reps";"npv";"selcrit"
"44";"Boy";10;"PVCIL";"IDCNTRY";"France";"Denmark";375,876259407685;6,97265202985136;447,673843692806;5,42640167262488;71,7975842851208;8,83536708020988;8,1261574797428;"TOTWGTS";"JRR";"HALF";"N";"04-MAR-26";"13h21m";75;5;"NONE"
"45";"Boy";10;"PVCIL";"IDCNTRY";"France";"Finland";375,876259407685;6,97265202985136;401,847594564067;8,11452624483247;25,9713351563822;10,6987575216688;2,4275094658217;"TOTWGTS";"JRR";"HALF";"N";"04-MAR-26";"13h21m";75;5;"NONE"
"46";"Boy";10;"PVCIL";"IDCNTRY";"France";"France";375,876259407685;6,97265202985136;375,876259407685;6,97265202985136;0;9,86081906632409;0;"TOTWGTS";"JRR";"HALF";"N";"04-MAR-26";"13h21m";75;5;"NONE"
"47";"Boy";10;"PVCIL";"IDCNTRY";"France";"Germany";375,876259407685;6,97265202985136;393,66165248209;11,0348106346754;17,7853930744048;13,0531575518162;1,36253569328367;"TOTWGTS";"JRR";"HALF";"N";"04-MAR-26";"13h21m";75;5;"NONE"
"48";"Boy";10;"PVCIL";"IDCNTRY";"France";"Italy";375,876259407685;6,97265202985136;342,846392289225;9,1927311153872;-33,0298671184598;11,5379452975475;-2,86271656405588;"TOTWGTS";"JRR";"HALF";"N";"04-MAR-26";"13h21m";75;5;"NONE"
"49";"Boy";10;"PVCIL";"IDCNTRY";"France";"Kazakhstan";375,876259407685;6,97265202985136;250,202041602083;9,04714774072294;-125,674217805602;11,4222921767856;-11,0025392329763;"TOTWGTS";"JRR";"HALF";"N";"04-MAR-26";"13h21m";75;5;"NONE"
"50";"Boy";10;"PVCIL";"IDCNTRY";"France";"Korea, Republic of";375,876259407685;6,97265202985136;390,134575983595;8,14159736326727;14,2583165759094;10,7193042663669;1,33015317240752;"TOTWGTS";"JRR";"HALF";"N";"04-MAR-26";"13h21m";75;5;"NONE"
"51";"Boy";10;"PVCIL";"IDCNTRY";"France";"Luxembourg";375,876259407685;6,97265202985136;351,255707828535;3,47989038823997;-24,6205515791502;7,7927859872805;-3,15940301957942;"TOTWGTS";"JRR";"HALF";"N";"04-MAR-26";"13h21m";75;5;"NONE"
"52";"Boy";10;"PVCIL";"IDCNTRY";"France";"Portugal";375,876259407685;6,97265202985136;416,159710799135;7,76790772448596;40,2834513914496;10,4383076571597;3,85919372321038;"TOTWGTS";"JRR";"HALF";"N";"04-MAR-26";"13h21m";75;5;"NONE"
"53";"Boy";10;"PVCIL";"IDCNTRY";"France";"United States";375,876259407685;6,97265202985136;394,700167073393;3,76231360168784;18,823907665708;7,92293379795866;2,37587592497087;"TOTWGTS";"JRR";"HALF";"N";"04-MAR-26";"13h21m";75;5;"NONE"
"54";"Boy";10;"PVCIL";"IDCNTRY";"France";"Uruguay";375,876259407685;6,97265202985136;308,572178881003;8,08243034897675;-67,3040805266818;10,6744347239304;-6,30516577854908;"TOTWGTS";"JRR";"HALF";"N";"04-MAR-26";"13h21m";75;5;"NONE"
