IDCNTRY;S_SEX;xvar;n;TOTWGTS;sumw_se;tsumw;tsumw_se;pct;pct_se;tpct;tpct_se;mnx;mnx_se;sdx;sdx_se;vrx;vrx_se;DEff;pctmiss;nvarstrat;weight;reps;method;jk2type;date;time;infile;selcrit
United States;Boy;S_HISCED;3053;1739923,37460099;31057,1718493841;1950047,62189799;26877,0159348041;50,4878919532549;,442155665353748;50,6373381485471;,414458803328759;3,11175198586351;,0350802491278291;1,06501483961189;,0231714109562057;1,13425660859355;,049399657730301;3,31238511085293;10,7753392756883;75;TOTWGTS;75;JRR;HALF;26-FEB-26;10h48m;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\ICILS2018.sav;NONE
United States;Girl;S_HISCED;3001;1706295,72326099;32977,9718667788;1900959,74380799;30070,0808038498;49,5121080467451;,442155665353752;49,3626618514529;,414458803328771;3,0407288590299;,0340585441582643;1,07746030566558;,0205980115197298;1,16092071028496;,0444485016590065;2,99857969982896;10,2403020990361;75;TOTWGTS;75;JRR;HALF;26-FEB-26;10h48m;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\ICILS2018.sav;NONE
Uruguay;Boy;S_HISCED;1288;22462,21977;711,02674643349;22833,5169430001;725,532255583472;49,2859383099661;1,01088003793917;49,2914976240555;1,02676132246568;2,051331893099;,073547169603311;1,40729189493015;,0200794611044653;1,98047047753609;,0564563295751065;3,51786701634828;1,62610592983499;74;TOTWGTS;75;JRR;HALF;26-FEB-26;10h48m;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\ICILS2018.sav;NONE
Uruguay;Girl;S_HISCED;1276;23113,091445;625,268274280996;23489,922278;623,687966636348;50,7140616900339;1,01088003793916;50,7085023759445;1,02676132246569;1,90645901717021;,0546572858766248;1,38248589705712;,0196603581319703;1,91126725556182;,0543382684832814;1,99446022242071;1,60422341351435;75;TOTWGTS;75;JRR;HALF;26-FEB-26;10h48m;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\ICILS2018.sav;NONE
Russian Federation (Moscow);Boy;S_HISCED;1405;44668,812966;1366,1708295752;46405,3140330001;1431,54800629499;50,8398703940305;,806981779670845;51,2292455377874;,746876009702993;3,61623995083443;,0242905520159908;,783511493054627;,0298451634865028;,613890259748691;,046825503190324;1,35039353623846;3,74203063417506;75;TOTWGTS;75;JRR;HALF;26-FEB-26;10h48m;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\ICILS2018.sav;NONE
Russian Federation (Moscow);Girl;S_HISCED;1368;43192,96288;1510,20721540733;44178,323391;1493,86573733566;49,1601296059695;,806981779670849;48,7707544622126;,746876009703003;3,55851229277837;,0318821114515709;,814822938049026;,0316619762260291;,663936420370847;,0516467127226945;2,0943716765806;2,23041626609293;75;TOTWGTS;75;JRR;HALF;26-FEB-26;10h48m;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\ICILS2018.sav;NONE
Germany, North-Rhine Westphalia;Boy;S_HISCED;788;66462,0692470002;2920,81386735633;85152,2576880002;2393,52909645319;51,7438819246505;1,18705673126685;51,8597531850013;1,09526912902317;2,3535750536094;,0503180858847393;1,2452622983594;,0170722430285497;1,55067819171534;,0425057109192085;1,28662730096884;21,9491402206636;55;TOTWGTS;75;JRR;HALF;26-FEB-26;10h48m;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\ICILS2018.sav;NONE
Germany, North-Rhine Westphalia;Girl;S_HISCED;767;61982,235229;2580,72980811567;79044,9327310001;2296,01365057542;48,2561180753495;1,18705673126684;48,1402468149987;1,09526912902317;2,34490332415436;,0487773335375825;1,2520279767005;,0161856653213612;1,56757405444074;,0404962643480642;1,16413516519199;21,586073784219;55;TOTWGTS;75;JRR;HALF;26-FEB-26;10h48m;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\ICILS2018.sav;NONE
Table Average;Boy;S_HISCED; ; ; ; ; ;51,0520214731538;,25066305139706;51,2917599643513;,243651005792003;2,80544648457115;,0113444395114331;1,09030235992265;,00511136493277767;1,22339464276041;,0109496545661375; ; ; ;TOTWGTS;75;JRR;HALF;26-FEB-26;10h48m;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\ICILS2018.sav;NONE
Table Average;Girl;S_HISCED; ; ; ; ; ;48,9479785268462;,250663051397061;48,7082400356487;,243651005792003;2,76966723508737;,0110151434536529;1,1086074349666;,0054767031495481;1,26190910325713;,0118249076861371; ; ; ;TOTWGTS;75;JRR;HALF;26-FEB-26;10h48m;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\ICILS2018.sav;NONE
