IDCNTRY;Variable;RBSDGHER;RBSDGSLM;RBSDGHER.se;RBSDGSLM.se;xvar;corrtype;weight;method;jk2type;missoptn;date;time;reps;infile;selcrit
England;RBSDGSLM;,112474736342155;1;,0193117297797133;0; RBSDGHER RBSDGSLM;SPEARMAN;TOTWGT;JRR;FULL;LISTWISE;26-FEB-26; 2h 5m;150;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\TIMSS_8_2015.sav;NONE
Georgia;RBSDGHER;1;,0633613831654798;0;,0191052359218796; RBSDGHER RBSDGSLM;SPEARMAN;TOTWGT;JRR;FULL;LISTWISE;26-FEB-26; 2h 5m;150;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\TIMSS_8_2015.sav;NONE
Georgia;RBSDGSLM;,0633613831654798;1;,0191052359218796;0; RBSDGHER RBSDGSLM;SPEARMAN;TOTWGT;JRR;FULL;LISTWISE;26-FEB-26; 2h 5m;150;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\TIMSS_8_2015.sav;NONE
Hong Kong, SAR;RBSDGHER;1;,0565999615843208;0;,0194891692545537; RBSDGHER RBSDGSLM;SPEARMAN;TOTWGT;JRR;FULL;LISTWISE;26-FEB-26; 2h 5m;150;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\TIMSS_8_2015.sav;NONE
Hong Kong, SAR;RBSDGSLM;,0565999615843208;1;,0194891692545537;0; RBSDGHER RBSDGSLM;SPEARMAN;TOTWGT;JRR;FULL;LISTWISE;26-FEB-26; 2h 5m;150;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\TIMSS_8_2015.sav;NONE
Hungary;RBSDGHER;1;,0983659257034639;0;,0216828318245266; RBSDGHER RBSDGSLM;SPEARMAN;TOTWGT;JRR;FULL;LISTWISE;26-FEB-26; 2h 5m;150;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\TIMSS_8_2015.sav;NONE
Hungary;RBSDGSLM;,0983659257034639;1;,0216828318245266;0; RBSDGHER RBSDGSLM;SPEARMAN;TOTWGT;JRR;FULL;LISTWISE;26-FEB-26; 2h 5m;150;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\TIMSS_8_2015.sav;NONE
Iran, Islamic Republic of;RBSDGHER;1;,0785664045836715;0;,0183394135848325; RBSDGHER RBSDGSLM;SPEARMAN;TOTWGT;JRR;FULL;LISTWISE;26-FEB-26; 2h 5m;150;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\TIMSS_8_2015.sav;NONE
Iran, Islamic Republic of;RBSDGSLM;,0785664045836715;1;,0183394135848325;0; RBSDGHER RBSDGSLM;SPEARMAN;TOTWGT;JRR;FULL;LISTWISE;26-FEB-26; 2h 5m;150;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\TIMSS_8_2015.sav;NONE
Ireland;RBSDGHER;1;,120964826682082;0;,0144586406444749; RBSDGHER RBSDGSLM;SPEARMAN;TOTWGT;JRR;FULL;LISTWISE;26-FEB-26; 2h 5m;150;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\TIMSS_8_2015.sav;NONE
Ireland;RBSDGSLM;,120964826682082;1;,0144586406444749;0; RBSDGHER RBSDGSLM;SPEARMAN;TOTWGT;JRR;FULL;LISTWISE;26-FEB-26; 2h 5m;150;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\TIMSS_8_2015.sav;NONE
Israel;RBSDGHER;1;-,0120633396314924;0;,0155720200251092; RBSDGHER RBSDGSLM;SPEARMAN;TOTWGT;JRR;FULL;LISTWISE;26-FEB-26; 2h 5m;150;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\TIMSS_8_2015.sav;NONE
Israel;RBSDGSLM;-,0120633396314924;1;,0155720200251092;0; RBSDGHER RBSDGSLM;SPEARMAN;TOTWGT;JRR;FULL;LISTWISE;26-FEB-26; 2h 5m;150;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\TIMSS_8_2015.sav;NONE
Italy;RBSDGHER;1;,111028104694226;0;,0168928230407318; RBSDGHER RBSDGSLM;SPEARMAN;TOTWGT;JRR;FULL;LISTWISE;26-FEB-26; 2h 5m;150;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\TIMSS_8_2015.sav;NONE
Italy;RBSDGSLM;,111028104694226;1;,0168928230407318;0; RBSDGHER RBSDGSLM;SPEARMAN;TOTWGT;JRR;FULL;LISTWISE;26-FEB-26; 2h 5m;150;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\TIMSS_8_2015.sav;NONE
Japan;RBSDGHER;1;,0897086082929013;0;,0146467123898921; RBSDGHER RBSDGSLM;SPEARMAN;TOTWGT;JRR;FULL;LISTWISE;26-FEB-26; 2h 5m;150;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\TIMSS_8_2015.sav;NONE
Japan;RBSDGSLM;,0897086082929013;1;,0146467123898921;0; RBSDGHER RBSDGSLM;SPEARMAN;TOTWGT;JRR;FULL;LISTWISE;26-FEB-26; 2h 5m;150;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\TIMSS_8_2015.sav;NONE
Jordan;RBSDGHER;1;,0334692638186303;0;,0149629352092134; RBSDGHER RBSDGSLM;SPEARMAN;TOTWGT;JRR;FULL;LISTWISE;26-FEB-26; 2h 5m;150;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\TIMSS_8_2015.sav;NONE
Jordan;RBSDGSLM;,0334692638186303;1;,0149629352092134;0; RBSDGHER RBSDGSLM;SPEARMAN;TOTWGT;JRR;FULL;LISTWISE;26-FEB-26; 2h 5m;150;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\TIMSS_8_2015.sav;NONE
Kazakhstan;RBSDGHER;1;,10256257093363;0;,0194911888930073; RBSDGHER RBSDGSLM;SPEARMAN;TOTWGT;JRR;FULL;LISTWISE;26-FEB-26; 2h 5m;150;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\TIMSS_8_2015.sav;NONE
Kazakhstan;RBSDGSLM;,10256257093363;1;,0194911888930073;0; RBSDGHER RBSDGSLM;SPEARMAN;TOTWGT;JRR;FULL;LISTWISE;26-FEB-26; 2h 5m;150;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\TIMSS_8_2015.sav;NONE
Korea, Republic of;RBSDGHER;1;,109221176266265;0;,0160900857240479; RBSDGHER RBSDGSLM;SPEARMAN;TOTWGT;JRR;FULL;LISTWISE;26-FEB-26; 2h 5m;150;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\TIMSS_8_2015.sav;NONE
Korea, Republic of;RBSDGSLM;,109221176266265;1;,0160900857240479;0; RBSDGHER RBSDGSLM;SPEARMAN;TOTWGT;JRR;FULL;LISTWISE;26-FEB-26; 2h 5m;150;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\TIMSS_8_2015.sav;NONE
Kuwait;RBSDGHER;1;,0534808106628398;0;,0200581909535175; RBSDGHER RBSDGSLM;SPEARMAN;TOTWGT;JRR;FULL;LISTWISE;26-FEB-26; 2h 5m;150;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\TIMSS_8_2015.sav;NONE
Kuwait;RBSDGSLM;,0534808106628398;1;,0200581909535175;0; RBSDGHER RBSDGSLM;SPEARMAN;TOTWGT;JRR;FULL;LISTWISE;26-FEB-26; 2h 5m;150;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\TIMSS_8_2015.sav;NONE
Lebanon;RBSDGHER;1;,0528435399809161;0;,0198232225477388; RBSDGHER RBSDGSLM;SPEARMAN;TOTWGT;JRR;FULL;LISTWISE;26-FEB-26; 2h 5m;150;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\TIMSS_8_2015.sav;NONE
Lebanon;RBSDGSLM;,0528435399809161;1;,0198232225477388;0; RBSDGHER RBSDGSLM;SPEARMAN;TOTWGT;JRR;FULL;LISTWISE;26-FEB-26; 2h 5m;150;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\TIMSS_8_2015.sav;NONE
Lithuania;RBSDGHER;1;,0810815036591112;0;,0187329729856838; RBSDGHER RBSDGSLM;SPEARMAN;TOTWGT;JRR;FULL;LISTWISE;26-FEB-26; 2h 5m;150;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\TIMSS_8_2015.sav;NONE
Lithuania;RBSDGSLM;,0810815036591112;1;,0187329729856838;0; RBSDGHER RBSDGSLM;SPEARMAN;TOTWGT;JRR;FULL;LISTWISE;26-FEB-26; 2h 5m;150;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\TIMSS_8_2015.sav;NONE
Malaysia;RBSDGHER;1;,0569270023972126;0;,014208039608481; RBSDGHER RBSDGSLM;SPEARMAN;TOTWGT;JRR;FULL;LISTWISE;26-FEB-26; 2h 5m;150;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\TIMSS_8_2015.sav;NONE
Malaysia;RBSDGSLM;,0569270023972126;1;,014208039608481;0; RBSDGHER RBSDGSLM;SPEARMAN;TOTWGT;JRR;FULL;LISTWISE;26-FEB-26; 2h 5m;150;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\TIMSS_8_2015.sav;NONE
Malta;RBSDGHER;1;,105629906908634;0;,0156541783657043; RBSDGHER RBSDGSLM;SPEARMAN;TOTWGT;JRR;FULL;LISTWISE;26-FEB-26; 2h 5m;150;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\TIMSS_8_2015.sav;NONE
Malta;RBSDGSLM;,105629906908634;1;,0156541783657043;0; RBSDGHER RBSDGSLM;SPEARMAN;TOTWGT;JRR;FULL;LISTWISE;26-FEB-26; 2h 5m;150;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\TIMSS_8_2015.sav;NONE
Morocco;RBSDGHER;1;,0500476293541048;0;,0127210041950574; RBSDGHER RBSDGSLM;SPEARMAN;TOTWGT;JRR;FULL;LISTWISE;26-FEB-26; 2h 5m;150;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\TIMSS_8_2015.sav;NONE
Morocco;RBSDGSLM;,0500476293541048;1;,0127210041950574;0; RBSDGHER RBSDGSLM;SPEARMAN;TOTWGT;JRR;FULL;LISTWISE;26-FEB-26; 2h 5m;150;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\TIMSS_8_2015.sav;NONE
New Zealand;RBSDGHER;1;,058216873781341;0;,0174010304218453; RBSDGHER RBSDGSLM;SPEARMAN;TOTWGT;JRR;FULL;LISTWISE;26-FEB-26; 2h 5m;150;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\TIMSS_8_2015.sav;NONE
New Zealand;RBSDGSLM;,058216873781341;1;,0174010304218453;0; RBSDGHER RBSDGSLM;SPEARMAN;TOTWGT;JRR;FULL;LISTWISE;26-FEB-26; 2h 5m;150;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\TIMSS_8_2015.sav;NONE
Norway;RBSDGHER;1;,114863500859222;0;,0205271969854599; RBSDGHER RBSDGSLM;SPEARMAN;TOTWGT;JRR;FULL;LISTWISE;26-FEB-26; 2h 5m;150;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\TIMSS_8_2015.sav;NONE
Norway;RBSDGSLM;,114863500859222;1;,0205271969854599;0; RBSDGHER RBSDGSLM;SPEARMAN;TOTWGT;JRR;FULL;LISTWISE;26-FEB-26; 2h 5m;150;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\TIMSS_8_2015.sav;NONE
Norway (8);RBSDGHER;1;,0887439410084053;0;,0185115300404674; RBSDGHER RBSDGSLM;SPEARMAN;TOTWGT;JRR;FULL;LISTWISE;26-FEB-26; 2h 5m;150;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\TIMSS_8_2015.sav;NONE
Norway (8);RBSDGSLM;,0887439410084053;1;,0185115300404674;0; RBSDGHER RBSDGSLM;SPEARMAN;TOTWGT;JRR;FULL;LISTWISE;26-FEB-26; 2h 5m;150;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\TIMSS_8_2015.sav;NONE
Oman;RBSDGHER;1;,082504920801642;0;,0152206425834445; RBSDGHER RBSDGSLM;SPEARMAN;TOTWGT;JRR;FULL;LISTWISE;26-FEB-26; 2h 5m;150;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\TIMSS_8_2015.sav;NONE
Oman;RBSDGSLM;,082504920801642;1;,0152206425834445;0; RBSDGHER RBSDGSLM;SPEARMAN;TOTWGT;JRR;FULL;LISTWISE;26-FEB-26; 2h 5m;150;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\TIMSS_8_2015.sav;NONE
Qatar;RBSDGHER;1;,0539102385190144;0;,0167623967470622; RBSDGHER RBSDGSLM;SPEARMAN;TOTWGT;JRR;FULL;LISTWISE;26-FEB-26; 2h 5m;150;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\TIMSS_8_2015.sav;NONE
Qatar;RBSDGSLM;,0539102385190144;1;,0167623967470622;0; RBSDGHER RBSDGSLM;SPEARMAN;TOTWGT;JRR;FULL;LISTWISE;26-FEB-26; 2h 5m;150;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\TIMSS_8_2015.sav;NONE
Russian Federation;RBSDGHER;1;,0273565462773492;0;,0207422742500718; RBSDGHER RBSDGSLM;SPEARMAN;TOTWGT;JRR;FULL;LISTWISE;26-FEB-26; 2h 5m;150;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\TIMSS_8_2015.sav;NONE
Russian Federation;RBSDGSLM;,0273565462773492;1;,0207422742500718;0; RBSDGHER RBSDGSLM;SPEARMAN;TOTWGT;JRR;FULL;LISTWISE;26-FEB-26; 2h 5m;150;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\TIMSS_8_2015.sav;NONE
Saudi Arabia;RBSDGHER;1;,0021718444978196;0;,0210904378672731; RBSDGHER RBSDGSLM;SPEARMAN;TOTWGT;JRR;FULL;LISTWISE;26-FEB-26; 2h 5m;150;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\TIMSS_8_2015.sav;NONE
Saudi Arabia;RBSDGSLM;,0021718444978196;1;,0210904378672731;0; RBSDGHER RBSDGSLM;SPEARMAN;TOTWGT;JRR;FULL;LISTWISE;26-FEB-26; 2h 5m;150;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\TIMSS_8_2015.sav;NONE
Singapore;RBSDGHER;1;,0598450366453957;0;,0154364653311292; RBSDGHER RBSDGSLM;SPEARMAN;TOTWGT;JRR;FULL;LISTWISE;26-FEB-26; 2h 5m;150;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\TIMSS_8_2015.sav;NONE
Singapore;RBSDGSLM;,0598450366453957;1;,0154364653311292;0; RBSDGHER RBSDGSLM;SPEARMAN;TOTWGT;JRR;FULL;LISTWISE;26-FEB-26; 2h 5m;150;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\TIMSS_8_2015.sav;NONE
Slovenia;RBSDGHER;1;,0816867872215728;0;,021749034159877; RBSDGHER RBSDGSLM;SPEARMAN;TOTWGT;JRR;FULL;LISTWISE;26-FEB-26; 2h 5m;150;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\TIMSS_8_2015.sav;NONE
Slovenia;RBSDGSLM;,0816867872215728;1;,021749034159877;0; RBSDGHER RBSDGSLM;SPEARMAN;TOTWGT;JRR;FULL;LISTWISE;26-FEB-26; 2h 5m;150;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\TIMSS_8_2015.sav;NONE
South Africa;RBSDGHER;1;-,0284925891287677;0;,0144726127154305; RBSDGHER RBSDGSLM;SPEARMAN;TOTWGT;JRR;FULL;LISTWISE;26-FEB-26; 2h 5m;150;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\TIMSS_8_2015.sav;NONE
South Africa;RBSDGSLM;-,0284925891287677;1;,0144726127154305;0; RBSDGHER RBSDGSLM;SPEARMAN;TOTWGT;JRR;FULL;LISTWISE;26-FEB-26; 2h 5m;150;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\TIMSS_8_2015.sav;NONE
Sweden;RBSDGHER;1;,139382591542248;0;,022631331702583; RBSDGHER RBSDGSLM;SPEARMAN;TOTWGT;JRR;FULL;LISTWISE;26-FEB-26; 2h 5m;150;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\TIMSS_8_2015.sav;NONE
Sweden;RBSDGSLM;,139382591542248;1;,022631331702583;0; RBSDGHER RBSDGSLM;SPEARMAN;TOTWGT;JRR;FULL;LISTWISE;26-FEB-26; 2h 5m;150;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\TIMSS_8_2015.sav;NONE
Thailand;RBSDGHER;1;,00768994527257059;0;,0210728755621239; RBSDGHER RBSDGSLM;SPEARMAN;TOTWGT;JRR;FULL;LISTWISE;26-FEB-26; 2h 5m;150;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\TIMSS_8_2015.sav;NONE
Thailand;RBSDGSLM;,00768994527257059;1;,0210728755621239;0; RBSDGHER RBSDGSLM;SPEARMAN;TOTWGT;JRR;FULL;LISTWISE;26-FEB-26; 2h 5m;150;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\TIMSS_8_2015.sav;NONE
Turkey;RBSDGHER;1;-,0428440407156803;0;,0203738259341717; RBSDGHER RBSDGSLM;SPEARMAN;TOTWGT;JRR;FULL;LISTWISE;26-FEB-26; 2h 5m;150;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\TIMSS_8_2015.sav;NONE
Turkey;RBSDGSLM;-,0428440407156803;1;,0203738259341717;0; RBSDGHER RBSDGSLM;SPEARMAN;TOTWGT;JRR;FULL;LISTWISE;26-FEB-26; 2h 5m;150;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\TIMSS_8_2015.sav;NONE
United Arab Emirates;RBSDGHER;1;,0365662833844589;0;,00930881961950435; RBSDGHER RBSDGSLM;SPEARMAN;TOTWGT;JRR;FULL;LISTWISE;26-FEB-26; 2h 5m;150;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\TIMSS_8_2015.sav;NONE
United Arab Emirates;RBSDGSLM;,0365662833844589;1;,00930881961950435;0; RBSDGHER RBSDGSLM;SPEARMAN;TOTWGT;JRR;FULL;LISTWISE;26-FEB-26; 2h 5m;150;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\TIMSS_8_2015.sav;NONE
United Arab Emirates (Abu Dhabi);RBSDGHER;1;,0439589268967793;0;,0141148187527522; RBSDGHER RBSDGSLM;SPEARMAN;TOTWGT;JRR;FULL;LISTWISE;26-FEB-26; 2h 5m;150;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\TIMSS_8_2015.sav;NONE
United Arab Emirates (Abu Dhabi);RBSDGSLM;,0439589268967793;1;,0141148187527522;0; RBSDGHER RBSDGSLM;SPEARMAN;TOTWGT;JRR;FULL;LISTWISE;26-FEB-26; 2h 5m;150;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\TIMSS_8_2015.sav;NONE
United Arab Emirates (Dubai);RBSDGHER;1;,0273573655983875;0;,0215084754766014; RBSDGHER RBSDGSLM;SPEARMAN;TOTWGT;JRR;FULL;LISTWISE;26-FEB-26; 2h 5m;150;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\TIMSS_8_2015.sav;NONE
United Arab Emirates (Dubai);RBSDGSLM;,0273573655983875;1;,0215084754766014;0; RBSDGHER RBSDGSLM;SPEARMAN;TOTWGT;JRR;FULL;LISTWISE;26-FEB-26; 2h 5m;150;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\TIMSS_8_2015.sav;NONE
United States;RBSDGHER;1;,0466486200335056;0;,0134814700018432; RBSDGHER RBSDGSLM;SPEARMAN;TOTWGT;JRR;FULL;LISTWISE;26-FEB-26; 2h 5m;150;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\TIMSS_8_2015.sav;NONE
United States;RBSDGSLM;,0466486200335056;1;,0134814700018432;0; RBSDGHER RBSDGSLM;SPEARMAN;TOTWGT;JRR;FULL;LISTWISE;26-FEB-26; 2h 5m;150;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\TIMSS_8_2015.sav;NONE
Table Average;RBSDGHER;1;,0617180287848215;0;,00268057703888606; RBSDGHER RBSDGSLM;SPEARMAN;TOTWGT;JRR;FULL;LISTWISE;26-FEB-26; 2h 5m;150;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\TIMSS_8_2015.sav;NONE
Table Average;RBSDGSLM;,0617180287848215;1;,00268057703888606;0; RBSDGHER RBSDGSLM;SPEARMAN;TOTWGT;JRR;FULL;LISTWISE;26-FEB-26; 2h 5m;150;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\TIMSS_8_2015.sav;NONE
