IDCNTRY;Variable;Mean;stdev;TOTWGT;NObs;TOTWGT.se;mean.se;stdev.se;xvar;weight;method;jk2type;missoptn;date;time;reps;infile;selcrit
Iran, Islamic Republic of;RBSDGHER;3121,03451310448;1562,38105427431;953823,130726011;6085;10399,838084123;54,6531215057337;14,9067705053569; RBSDGHER RBSDGSLM;TOTWGT;JRR;FULL;LISTWISE;26-FEB-26; 2h 9m;150;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\TIMSS_8_2015.sav;NONE
Iran, Islamic Republic of;RBSDGSLM;3004,28645089097;1643,00965154952;953823,130726011;6085;10399,838084123;42,6062740898857;11,922640070673; RBSDGHER RBSDGSLM;TOTWGT;JRR;FULL;LISTWISE;26-FEB-26; 2h 9m;150;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\TIMSS_8_2015.sav;NONE
Ireland;RBSDGHER;2347,98670020972;1024,33963904137;57818,3388569998;4643;1077,80515013213;25,0597647545771;14,797753785663; RBSDGHER RBSDGSLM;TOTWGT;JRR;FULL;LISTWISE;26-FEB-26; 2h 9m;150;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\TIMSS_8_2015.sav;NONE
Ireland;RBSDGSLM;2326,02950425465;1212,96246901283;57818,3388569998;4643;1077,80515013213;30,5537387223652;8,14570241769295; RBSDGHER RBSDGSLM;TOTWGT;JRR;FULL;LISTWISE;26-FEB-26; 2h 9m;150;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\TIMSS_8_2015.sav;NONE
Israel;RBSDGHER;2092,88639069388;810,340022087173;72840,7687070005;4192;1537,27169216115;15,4778234661782;14,5898450246472; RBSDGHER RBSDGSLM;TOTWGT;JRR;FULL;LISTWISE;26-FEB-26; 2h 9m;150;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\TIMSS_8_2015.sav;NONE
Israel;RBSDGSLM;2097,31853342523;1122,08079188844;72840,7687070005;4192;1537,27169216115;29,5335524529573;7,40285873998804; RBSDGHER RBSDGSLM;TOTWGT;JRR;FULL;LISTWISE;26-FEB-26; 2h 9m;150;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\TIMSS_8_2015.sav;NONE
Italy;RBSDGHER;2300,28785283623;1003,57545047706;524757,070860003;4449;6137,581858244;28,8848185889099;18,9263464197223; RBSDGHER RBSDGSLM;TOTWGT;JRR;FULL;LISTWISE;26-FEB-26; 2h 9m;150;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\TIMSS_8_2015.sav;NONE
Italy;RBSDGSLM;2212,68840030599;1174,1676729344;524757,070860003;4449;6137,581858244;29,5243688327461;9,22840475598874; RBSDGHER RBSDGSLM;TOTWGT;JRR;FULL;LISTWISE;26-FEB-26; 2h 9m;150;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\TIMSS_8_2015.sav;NONE
Japan;RBSDGHER;2367,59030899837;999,826555228413;1140936,12775001;4729;16492,1355697301;22,2548108475799;15,0038811880002; RBSDGHER RBSDGSLM;TOTWGT;JRR;FULL;LISTWISE;26-FEB-26; 2h 9m;150;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\TIMSS_8_2015.sav;NONE
Japan;RBSDGSLM;2367,40820837655;1194,08142596916;1140936,12775001;4729;16492,1355697301;26,3508544847799;8,29947503657954; RBSDGHER RBSDGSLM;TOTWGT;JRR;FULL;LISTWISE;26-FEB-26; 2h 9m;150;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\TIMSS_8_2015.sav;NONE
