"";"BSBG01";"dvar";"groupvar";"refgroup";"compgroup";"pct";"pct_se";"cpct";"cpct_se";"pctdiff";"pctdiff_se";"pctdiff_t";"mnpv";"mnpv_se";"cmnpv";"cmnpv_se";"mnpvdiff";"mnpvdiff_se";"mnpvdiff_t";"mnpvdiff_ci";"weight";"method";"jk2type";"shortcut";"date";"time";"reps";"npv";"selcrit"
"25";"Girl";"BSMMAT0";"IDCNTRY";"Azerbaijan, Republic of";"Kuwait";48,173025775456;0,831822972665367;49,4379800180549;1,40916340561995;1,26495424259897;1,63635905643972;0,773029756287828;479,230741333356;3,96343210876254;397,900845982858;5,50040683650621;-81,3298953504987;6,7796216301394;-11,9962292569455;"-95 to -68";"TOTWGT";"JRR";"FULL";"N";"04-MAR-26";"13h 9m";250;5;"NONE"
"26";"Girl";"BSMMAT0";"IDCNTRY";"Azerbaijan, Republic of";"Lithuania";48,173025775456;0,831822972665367;50,3314604670363;0,835165153138632;2,15843469158037;1,17874097700509;1,83113570639111;479,230741333356;3,96343210876254;509,952820284701;3,08196596708766;30,7220789513446;5,02068803084362;6,11909737522217;"21 to 41";"TOTWGT";"JRR";"FULL";"N";"04-MAR-26";"13h 9m";250;5;"NONE"
"27";"Girl";"BSMMAT0";"IDCNTRY";"Azerbaijan, Republic of";"Malaysia";48,173025775456;0,831822972665367;51,6975468152477;1,13590493788811;3,52452103979173;1,4079096156261;2,50337166581846;479,230741333356;3,96343210876254;410,870860789391;3,71806455080259;-68,3598805439654;5,4344087152794;-12,5790834156004;"-79 to -58";"TOTWGT";"JRR";"FULL";"N";"04-MAR-26";"13h 9m";250;5;"NONE"
"28";"Girl";"BSMMAT0";"IDCNTRY";"Azerbaijan, Republic of";"Malta";48,173025775456;0,831822972665367;48,5062293738703;0,682207093774956;0,333203598414336;1,07579550875188;0,309727634762961;479,230741333356;3,96343210876254;496,245333821407;1,91712102907014;17,0145924880511;4,40274313591797;3,86454352724885;"8 to 26";"TOTWGT";"JRR";"FULL";"N";"04-MAR-26";"13h 9m";250;5;"NONE"
"29";"Girl";"BSMMAT0";"IDCNTRY";"Azerbaijan, Republic of";"Morocco";48,173025775456;0,831822972665367;50,3077898259251;0,631228015482492;2,13476405046911;1,04421179144071;2,04437841821701;479,230741333356;3,96343210876254;374,523575715886;3,3543328778928;-104,707165617471;5,19233503700237;-20,1657182888414;"-115 to -95";"TOTWGT";"JRR";"FULL";"N";"04-MAR-26";"13h 9m";250;5;"NONE"
"30";"Girl";"BSMMAT0";"IDCNTRY";"Azerbaijan, Republic of";"Oman";48,173025775456;0,831822972665367;48,482779042038;0,849163995830589;0,309753266582028;1,18870052985132;0,260581415422411;479,230741333356;3,96343210876254;418,47993883999;3,15145794175898;-60,7508024933663;5,06364307978412;-11,9974495706274;"-71 to -51";"TOTWGT";"JRR";"FULL";"N";"04-MAR-26";"13h 9m";250;5;"NONE"
"31";"Girl";"BSMMAT0";"IDCNTRY";"Azerbaijan, Republic of";"New Zealand";48,173025775456;0,831822972665367;44,0901556625666;1,66838644958221;-4,08287011288937;1,86425395346326;-2,19008258252828;479,230741333356;3,96343210876254;474,704460392953;5,32506990263422;-4,52628094040367;6,63815965073985;-0,681857800738371;"-18 to 8";"TOTWGT";"JRR";"FULL";"N";"04-MAR-26";"13h 9m";250;5;"NONE"
"32";"Girl";"BSMMAT0";"IDCNTRY";"Azerbaijan, Republic of";"Norway";48,173025775456;0,831822972665367;47,0873731842267;0,752662461382375;-1,08565259122927;1,12179777082504;-0,967779237456335;479,230741333356;3,96343210876254;501,390593291758;2,67842941738287;22,1598519584012;4,78359469694829;4,63246854348638;"13 to 32";"TOTWGT";"JRR";"FULL";"N";"04-MAR-26";"13h 9m";250;5;"NONE"
"33";"Girl";"BSMMAT0";"IDCNTRY";"Azerbaijan, Republic of";"Portugal";48,173025775456;0,831822972665367;48,8042766257817;0,986793519400215;0,631250850325712;1,29061648361708;0,489108002523391;479,230741333356;3,96343210876254;468,458125518292;3,31940374277801;-10,7726158150645;5,16983900023381;-2,08374299752415;"-21 to -1";"TOTWGT";"JRR";"FULL";"N";"04-MAR-26";"13h 9m";250;5;"NONE"
"34";"Girl";"BSMMAT0";"IDCNTRY";"Azerbaijan, Republic of";"Qatar";48,173025775456;0,831822972665367;47,866532250906;2,06087443035708;-0,306493524549985;2,22241599966196;-0,137910060311213;479,230741333356;3,96343210876254;447,613217010935;4,87927897992756;-31,6175243224217;6,28618783085049;-5,02968176789971;"-44 to -19";"TOTWGT";"JRR";"FULL";"N";"04-MAR-26";"13h 9m";250;5;"NONE"
"35";"Girl";"BSMMAT0";"IDCNTRY";"Azerbaijan, Republic of";"Romania";48,173025775456;0,831822972665367;48,2884434653477;1,03960033258651;0,115417689891778;1,3314271701328;0,0866871973780334;479,230741333356;3,96343210876254;495,79674718965;5,34933042607744;16,5660058562938;6,65763697479276;2,48827112667996;"4 to 30";"TOTWGT";"JRR";"FULL";"N";"04-MAR-26";"13h 9m";250;5;"NONE"
"36";"Girl";"BSMMAT0";"IDCNTRY";"Azerbaijan, Republic of";"Saudi Arabia";48,173025775456;0,831822972665367;48,1767119803031;0,542659114156241;0,0036862048471761;0,993180936199786;0,00371151389723674;479,230741333356;3,96343210876254;399,408011632924;4,27460732003767;-79,8227297004325;5,82932773322014;-13,6932993568948;"-91 to -68";"TOTWGT";"JRR";"FULL";"N";"04-MAR-26";"13h 9m";250;5;"NONE"
"37";"Girl";"BSMMAT0";"IDCNTRY";"Azerbaijan, Republic of";"Singapore";48,173025775456;0,831822972665367;47,5421284196775;2,32174329658285;-0,630897355778477;2,46625655459468;-0,255811729969091;479,230741333356;3,96343210876254;601,863465990549;6,91160603613559;122,632724657192;7,96737673764181;15,3918571564233;"107 to 138";"TOTWGT";"JRR";"FULL";"N";"04-MAR-26";"13h 9m";250;5;"NONE"
"38";"Girl";"BSMMAT0";"IDCNTRY";"Azerbaijan, Republic of";"South Africa";48,173025775456;0,831822972665367;49,5597930352033;0,638645586993601;1,38676725974738;1,04871237412374;1,32235233793833;479,230741333356;3,96343210876254;398,259163007147;3,20488244545504;-80,9715783262098;5,09706440708333;-15,8859241044089;"-91 to -71";"TOTWGT";"JRR";"FULL";"N";"04-MAR-26";"13h 9m";250;5;"NONE"
"39";"Girl";"BSMMAT0";"IDCNTRY";"Azerbaijan, Republic of";"Sweden";48,173025775456;0,831822972665367;48,8013270680624;0,67936278427634;0,628301292606413;1,07399406446849;0,585013747647994;479,230741333356;3,96343210876254;514,916015825097;2,75348119215836;35,6852744917406;4,82601831288897;7,39435123908151;"26 to 45";"TOTWGT";"JRR";"FULL";"N";"04-MAR-26";"13h 9m";250;5;"NONE"
"40";"Girl";"BSMMAT0";"IDCNTRY";"Azerbaijan, Republic of";"United Arab Emirates";48,173025775456;0,831822972665367;49,482946884242;0,402170742384907;1,309921108786;0,92394305229504;1,41775091606805;479,230741333356;3,96343210876254;482,404788399047;1,87013719115231;3,17404706569059;4,38248869873054;0,7242567600026;"-5 to 12";"TOTWGT";"JRR";"FULL";"N";"04-MAR-26";"13h 9m";250;5;"NONE"
"41";"Girl";"BSMMAT0";"IDCNTRY";"Azerbaijan, Republic of";"Turkey";48,173025775456;0,831822972665367;51,3512308319016;1,71349595880351;3,17820505644565;1,90473039002632;1,66858526177121;479,230741333356;3,96343210876254;509,873127915291;4,50809575914421;30,6423865819343;6,00264287246742;5,10481586743783;"19 to 42";"TOTWGT";"JRR";"FULL";"N";"04-MAR-26";"13h 9m";250;5;"NONE"
"42";"Girl";"BSMMAT0";"IDCNTRY";"Azerbaijan, Republic of";"United States";48,173025775456;0,831822972665367;48,9352379992091;0,693977434047126;0,76221222375318;1,08329780615511;0,703603588433781;479,230741333356;3,96343210876254;481,790132153687;4,35552013204728;2,55939082033061;5,88891753223281;0,434611421593504;"-9 to 14";"TOTWGT";"JRR";"FULL";"N";"04-MAR-26";"13h 9m";250;5;"NONE"
"43";"Girl";"BSMMAT0";"IDCNTRY";"Azerbaijan, Republic of";"Uzbekistan";48,173025775456;0,831822972665367;49,8210138691407;0,895428909211241;1,6479880936847;1,22217936052982;1,34840118145204;479,230741333356;3,96343210876254;415,609201170903;3,69510976066433;-63,6215401624529;5,41872957658219;-11,7410435902545;"-74 to -53";"TOTWGT";"JRR";"FULL";"N";"04-MAR-26";"13h 9m";250;5;"NONE"
"44";"Girl";"BSMMAT0";"IDCNTRY";"Azerbaijan, Republic of";"England";48,173025775456;0,831822972665367;47,5991474341517;1,66020653547802;-0,573878341304238;1,85693704747839;-0,30904566317072;479,230741333356;3,96343210876254;512,191865775134;5,10381263328596;32,9611244417777;6,46201961281914;5,10074658027817;"20 to 46";"TOTWGT";"JRR";"FULL";"N";"04-MAR-26";"13h 9m";250;5;"NONE"
"45";"Girl";"BSMMAT0";"IDCNTRY";"Azerbaijan, Republic of";"United Arab Emirates (Dubai)";48,173025775456;0,831822972665367;48,550099531187;0,738272585843895;0,377073755731024;1,1121941686875;0,33903590429359;479,230741333356;3,96343210876254;534,431974068593;3,39276383944079;55,2012327352362;5,21724453624582;10,5805339105223;"45 to 65";"TOTWGT";"JRR";"FULL";"N";"04-MAR-26";"13h 9m";250;5;"NONE"
"46";"Girl";"BSMMAT0";"IDCNTRY";"Azerbaijan, Republic of";"United Arab Emirates (Abu Dhabi)";48,173025775456;0,831822972665367;49,9888632205124;0,503617323416349;1,81583744505646;0,97239902627414;1,86737892160798;479,230741333356;3,96343210876254;450,156607065784;3,17568471409857;-29,0741342675721;5,07875648994211;-5,72465608956642;"-39 to -19";"TOTWGT";"JRR";"FULL";"N";"04-MAR-26";"13h 9m";250;5;"NONE"
"47";"Girl";"BSMMAT0";"IDCNTRY";"Azerbaijan, Republic of";"United Arab Emirates (Sharjah)";48,173025775456;0,831822972665367;49,613550962311;0,850423503603399;1,44052518685501;1,18960060244392;1,21093178996008;479,230741333356;3,96343210876254;490,520301717701;5,36470314069476;11,2895603843444;6,6699950426181;1,6925890217623;"-2 to 24";"TOTWGT";"JRR";"FULL";"N";"04-MAR-26";"13h 9m";250;5;"NONE"
"48";"Girl";"BSMMAT0";"IDCNTRY";"Australia";"Azerbaijan, Republic of";46,0780289547813;1,63565385876896;48,173025775456;0,831822972665367;2,09499682067467;1,83501852948673;1,14167611226283;502,576565859101;4,44651128104327;479,230741333356;3,96343210876254;-23,3458245257442;5,95653058862413;-3,91936617774287;"-35 to -12";"TOTWGT";"JRR";"FULL";"N";"04-MAR-26";"13h 9m";250;5;"NONE"
"49";"Girl";"BSMMAT0";"IDCNTRY";"Australia";"Australia";46,0780289547813;1,63565385876896;46,0780289547813;1,63565385876896;0;NA;NA;502,576565859101;4,44651128104327;502,576565859101;4,44651128104327;0;NA;NA;" ";"TOTWGT";"JRR";"FULL";"N";"04-MAR-26";"13h 9m";250;5;"NONE"
"50";"Girl";"BSMMAT0";"IDCNTRY";"Australia";"Austria";46,0780289547813;1,63565385876896;47,8333494401682;0,990796153505148;1,75532048538687;1,91233902943657;0,917891889653081;502,576565859101;4,44651128104327;508,790352461001;2,47289667923153;6,21378660190072;5,08789549407212;1,22128817487316;"-4 to 16";"TOTWGT";"JRR";"FULL";"N";"04-MAR-26";"13h 9m";250;5;"NONE"
"51";"Girl";"BSMMAT0";"IDCNTRY";"Australia";"Bahrain";46,0780289547813;1,63565385876896;49,7876094282282;0,789525201696447;3,70958047344688;1,81623610519657;2,04245497754015;502,576565859101;4,44651128104327;431,251219842871;2,74269743660374;-71,3253460162291;5,2243518067984;-13,6524775998841;"-82 to -61";"TOTWGT";"JRR";"FULL";"N";"04-MAR-26";"13h 9m";250;5;"NONE"
"52";"Girl";"BSMMAT0";"IDCNTRY";"Australia";"Brazil";46,0780289547813;1,63565385876896;49,0237126866669;0,559422958431892;2,94568373188563;1,7286750973293;1,70401235977572;502,576565859101;4,44651128104327;367,431520814768;2,80354672713355;-135,145045044333;5,2565517997701;-25,7098284564119;"-145 to -125";"TOTWGT";"JRR";"FULL";"N";"04-MAR-26";"13h 9m";250;5;"NONE"
"53";"Girl";"BSMMAT0";"IDCNTRY";"Australia";"Chile";46,0780289547813;1,63565385876896;46,9490667886146;1,10310706639687;0,871037833833296;1,97286815211775;0,441508386101875;502,576565859101;4,44651128104327;404,066359362215;3,43725233265324;-98,5102064968858;5,62015713043462;-17,5280164256311;"-110 to -87";"TOTWGT";"JRR";"FULL";"N";"04-MAR-26";"13h 9m";250;5;"NONE"
"54";"Girl";"BSMMAT0";"IDCNTRY";"Australia";"Chinese Taipei";46,0780289547813;1,63565385876896;47,9574124847015;0,774237114674004;1,87938352992024;1,80964268722986;1,03853846020682;502,576565859101;4,44651128104327;604,887493117466;3,38115591267311;102,310927258366;5,5860252307208;18,3155147054651;"91 to 113";"TOTWGT";"JRR";"FULL";"N";"04-MAR-26";"13h 9m";250;5;"NONE"
"55";"Girl";"BSMMAT0";"IDCNTRY";"Australia";"Cyprus";46,0780289547813;1,63565385876896;49,4784013024527;0,734700056629575;3,40037234767139;1,79308329949205;1,89638281090157;502,576565859101;4,44651128104327;491,667681050731;3,20435960743266;-10,9088848083692;5,48081956154288;-1,99037473974026;"-22 to 0";"TOTWGT";"JRR";"FULL";"N";"04-MAR-26";"13h 9m";250;5;"NONE"
"56";"Girl";"BSMMAT0";"IDCNTRY";"Australia";"Czech Republic";46,0780289547813;1,63565385876896;48,3611180932062;0,654654630473704;2,28308913842487;1,76179914601706;1,29588502956554;502,576565859101;4,44651128104327;508,270257117388;2,46147771206688;5,69369125828726;5,08235527088052;1,1202859609027;"-4 to 16";"TOTWGT";"JRR";"FULL";"N";"04-MAR-26";"13h 9m";250;5;"NONE"
