"";"IDCNTRY";"BSBG01";"dvar";"n";"TOTWGT";"p10";"p10_se";"p50";"p50_se";"p90";"p90_se";"weight";"reps";"method";"jk2type";"npv";"shortcut";"date";"time";"selcrit"
"62";"Malaysia";"Boy";"BSMMAT0";4264;199204,41302;299,852858;3,5093727541947;402,002216;5,06486513928318;536,675816;6,92246649056292;"TOTWGT";250;"JRR";"FULL";5;"N";"04-MAR-26";"13h27m";"NONE"
"63";"Malta";"Girl";"BSMMAT0";1927;2076,510407;377,812592;4,52795314844069;503,515332;3,62439958850619;602,548682;4,97997195173872;"TOTWGT";250;"JRR";"FULL";5;"N";"04-MAR-26";"13h27m";"NONE"
"64";"Malta";"Boy";"BSMMAT0";1922;2081,952135;378,099612;6,2139231856834;511,798472;3,39318852088914;616,47276;4,15550003328955;"TOTWGT";250;"JRR";"FULL";5;"N";"04-MAR-26";"13h27m";"NONE"
"65";"Malta";"<Other>";"BSMMAT0";113;122,452371;385,830742;27,0736031546265;507,280866;12,8500182535527;620,158984;15,8466251363045;"TOTWGT";250;"JRR";"FULL";5;"N";"04-MAR-26";"13h27m";"NONE"
"66";"Morocco";"Girl";"BSMMAT0";4380;299988,498424999;281,906734;4,73974252137772;368,851112;4,29872922454349;477,763318;5,56654199356421;"TOTWGT";250;"JRR";"FULL";5;"N";"04-MAR-26";"13h27m";"NONE"
"67";"Morocco";"Boy";"BSMMAT0";4316;296317,758444999;291,596546;4,34455565678886;374,737176;3,38845842799581;480,28576;5,18807939310976;"TOTWGT";250;"JRR";"FULL";5;"N";"04-MAR-26";"13h27m";"NONE"
"68";"Oman";"Girl";"BSMMAT0";4044;31444,9784410003;307,530674;5,13832215669627;417,971646;3,49422814576636;530,41236;4,97586836173952;"TOTWGT";250;"JRR";"FULL";5;"N";"04-MAR-26";"13h27m";"NONE"
"69";"Oman";"Boy";"BSMMAT0";4132;33413,0578810001;286,444406;4,05127907932002;398,561598;4,40816678921002;532,07776;5,13555133636496;"TOTWGT";250;"JRR";"FULL";5;"N";"04-MAR-26";"13h27m";"NONE"
"70";"New Zealand";"Girl";"BSMMAT0";1836;26277,349672;356,262118;7,23659910812353;472,221354;6,28962662418574;600,395618;9,65013317302016;"TOTWGT";250;"JRR";"FULL";5;"N";"04-MAR-26";"13h27m";"NONE"
"71";"New Zealand";"Boy";"BSMMAT0";1942;32024,3832330001;366,108196;6,48041184894726;500,387746;7,36661572957121;621,08844;10,5458429439419;"TOTWGT";250;"JRR";"FULL";5;"N";"04-MAR-26";"13h27m";"NONE"
"72";"New Zealand";"<Other>";"BSMMAT0";85;1297,398187;364,80381;23,9344516801777;459,38509;29,9305956906364;572,29214;48,2384449803343;"TOTWGT";250;"JRR";"FULL";5;"N";"04-MAR-26";"13h27m";"NONE"
