"";"IDCNTRY";"dvar";"groupvar";"refgroup";"compgroup";"pct";"pct_se";"cpct";"cpct_se";"pctdiff";"pctdiff_se";"pctdiff_t";"mnx";"mnx_se";"cmnx";"cmnx_se";"mnxdiff";"mnxdiff_se";"mnxdiff_t";"weight";"method";"jk2type";"date";"time";"reps";"selcrit"
"30";"Hong Kong, SAR";"BSDGSLM";"BSBG01";"Girl";"Boy";47,4644511747261;2,08602616217306;52,5355488252739;2,08602616217306;5,07109765054776;4,17205232434612;1,21549234197166;2,43431870117358;0,0192624474050143;2,21329768031919;0,017704408723518;-0,221021020854394;0,0242610117985594;-9,11013203775444;"TOTWGT";"JRR";"FULL";"04-MAR-26";"12h58m";150;"NONE"
"31";"Hong Kong, SAR";"BSDGSLM";"BSBG01";"Boy";"Girl";52,5355488252739;2,08602616217306;47,4644511747261;2,08602616217306;-5,07109765054776;4,17205232434612;-1,21549234197166;2,21329768031919;0,017704408723518;2,43431870117358;0,0192624474050143;0,221021020854394;0,0242610117985594;9,11013203775444;"TOTWGT";"JRR";"FULL";"04-MAR-26";"12h58m";150;"NONE"
"32";"Hong Kong, SAR";"BSDGSLM";"BSBG01";"Boy";"Boy";52,5355488252739;2,08602616217306;52,5355488252739;2,08602616217306;0;NA;NA;2,21329768031919;0,017704408723518;2,21329768031919;0,017704408723518;0;NA;NA;"TOTWGT";"JRR";"FULL";"04-MAR-26";"12h58m";150;"NONE"
"33";"Hungary";"BSDGSLM";"BSBG01";"Girl";"Girl";49,6719748367791;0,869826505644273;49,6719748367791;0,869826505644273;0;NA;NA;2,51088406282333;0,0192894476235214;2,51088406282333;0,0192894476235214;0;NA;NA;"TOTWGT";"JRR";"FULL";"04-MAR-26";"12h58m";150;"NONE"
"34";"Hungary";"BSDGSLM";"BSBG01";"Girl";"Boy";49,6719748367791;0,869826505644273;50,3280251632209;0,869826505644265;0,656050326441772;1,73965301128854;0,377115621439843;2,51088406282333;0,0192894476235214;2,43731749139384;0,0228483048281528;-0,0735665714294917;0,0212318504528041;-3,46491567435546;"TOTWGT";"JRR";"FULL";"04-MAR-26";"12h58m";150;"NONE"
"35";"Hungary";"BSDGSLM";"BSBG01";"Boy";"Girl";50,3280251632209;0,869826505644265;49,6719748367791;0,869826505644273;-0,656050326441772;1,73965301128854;-0,377115621439843;2,43731749139384;0,0228483048281528;2,51088406282333;0,0192894476235214;0,0735665714294917;0,0212318504528041;3,46491567435546;"TOTWGT";"JRR";"FULL";"04-MAR-26";"12h58m";150;"NONE"
"36";"Hungary";"BSDGSLM";"BSBG01";"Boy";"Boy";50,3280251632209;0,869826505644265;50,3280251632209;0,869826505644265;0;NA;NA;2,43731749139384;0,0228483048281528;2,43731749139384;0,0228483048281528;0;NA;NA;"TOTWGT";"JRR";"FULL";"04-MAR-26";"12h58m";150;"NONE"
"37";"Iran, Islamic Republic of";"BSDGSLM";"BSBG01";"Girl";"Girl";47,6797911281928;0,873414326196503;47,6797911281928;0,873414326196503;0;NA;NA;2,037398444883;0,0339271315439537;2,037398444883;0,0339271315439537;0;NA;NA;"TOTWGT";"JRR";"FULL";"04-MAR-26";"12h58m";150;"NONE"
"38";"Iran, Islamic Republic of";"BSDGSLM";"BSBG01";"Girl";"Boy";47,6797911281928;0,873414326196503;52,3202088718072;0,873414326196507;4,64041774361431;1,74682865239301;2,65648135394237;2,037398444883;0,0339271315439537;1,88683160650328;0,0260035393895169;-0,150566838379716;0,045069720459813;-3,34075376646658;"TOTWGT";"JRR";"FULL";"04-MAR-26";"12h58m";150;"NONE"
"39";"Iran, Islamic Republic of";"BSDGSLM";"BSBG01";"Boy";"Girl";52,3202088718072;0,873414326196507;47,6797911281928;0,873414326196503;-4,64041774361431;1,74682865239301;-2,65648135394237;1,88683160650328;0,0260035393895169;2,037398444883;0,0339271315439537;0,150566838379716;0,045069720459813;3,34075376646658;"TOTWGT";"JRR";"FULL";"04-MAR-26";"12h58m";150;"NONE"
"40";"Iran, Islamic Republic of";"BSDGSLM";"BSBG01";"Boy";"Boy";52,3202088718072;0,873414326196507;52,3202088718072;0,873414326196507;0;NA;NA;1,88683160650328;0,0260035393895169;1,88683160650328;0,0260035393895169;0;NA;NA;"TOTWGT";"JRR";"FULL";"04-MAR-26";"12h58m";150;"NONE"
