IDCNTRY;EqVar;TOTWGT;mean;stdev;var;TOTWGT.se;mean.se;stdev.se;var.se;NObs;xvar;dvar;weight;method;jk2type;shortcut;missoptn;date;time;reps;npv;infile;selcrit
Belgium (Flemish);ASRIIE0_;68781,4428369989;524,757049854933;60,777805602814;3694,11272673319;1537,63985223136;2,22837279181679;1,08616347451991;132,106203950879;5127; ASDGSLR_d2 ASDGSLR_d3 ASBG01_d2 ASDAGE ASRINF0_;ASRIIE0_;TOTWGT;JRR;FULL;N;listwise;25-FEB-26;19h42m;150;5;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\PIRLS2016.sav;NONE
Belgium (Flemish);ASDGSLR_D2;68781,4428369989;,453003686413501;,497790065340582;,247794949151781;1537,63985223136;,00849605945364561;,000802273553800167;,000798718900944734;5127; ASDGSLR_d2 ASDGSLR_d3 ASBG01_d2 ASDAGE ASRINF0_;ASRIIE0_;TOTWGT;JRR;FULL;N;listwise;25-FEB-26;19h42m;150;5;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\PIRLS2016.sav;NONE
Belgium (Flemish);ASDGSLR_D3;68781,4428369989;,305415377252015;,460586483573755;,212139908850837;1537,63985223136;,0107545468473997;,00454391401178542;,00418557313390429;5127; ASDGSLR_d2 ASDGSLR_d3 ASBG01_d2 ASDAGE ASRINF0_;ASRIIE0_;TOTWGT;JRR;FULL;N;listwise;25-FEB-26;19h42m;150;5;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\PIRLS2016.sav;NONE
Belgium (Flemish);ASBG01_D2;68781,4428369989;,495389355974242;,499982376096147;,249982376406749;1537,63985223136;,00942158207423292;8,93767226049184E-005;8,93722939934011E-005;5127; ASDGSLR_d2 ASDGSLR_d3 ASBG01_d2 ASDAGE ASRINF0_;ASRIIE0_;TOTWGT;JRR;FULL;N;listwise;25-FEB-26;19h42m;150;5;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\PIRLS2016.sav;NONE
Belgium (Flemish);ASRINF0_;68781,4428369989;526,110307595847;61,6957451063562;3806,61336335157;1537,63985223136;1,94290087601875;1,10297793167775;136,232473201393;5127; ASDGSLR_d2 ASDGSLR_d3 ASBG01_d2 ASDAGE ASRINF0_;ASRIIE0_;TOTWGT;JRR;FULL;N;listwise;25-FEB-26;19h42m;150;5;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\PIRLS2016.sav;NONE
Belgium (French);ASDAGE;52690,8328270002;9,96832998443428;,512515995789302;,262672645939899;1385,66679360389;,0140770708025014;,0161969130092923;,0166001899312551;4562; ASDGSLR_d2 ASDGSLR_d3 ASBG01_d2 ASDAGE ASRINF0_;ASRIIE0_;TOTWGT;JRR;FULL;N;listwise;25-FEB-26;19h42m;150;5;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\PIRLS2016.sav;NONE
Belgium (French);ASRIIE0_;52690,8328270002;494,45755865405;70,1857769705973;4926,45155409352;1385,66679360389;2,39973397368282;1,40889568838348;197,851330974472;4562; ASDGSLR_d2 ASDGSLR_d3 ASBG01_d2 ASDAGE ASRINF0_;ASRIIE0_;TOTWGT;JRR;FULL;N;listwise;25-FEB-26;19h42m;150;5;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\PIRLS2016.sav;NONE
Belgium (French);ASDGSLR_D2;52690,8328270002;,442324219765552;,4966670776176;,246678185989207;1385,66679360389;,00946183999772176;,00109902795328402;,00109168227504342;4562; ASDGSLR_d2 ASDGSLR_d3 ASBG01_d2 ASDAGE ASRINF0_;ASRIIE0_;TOTWGT;JRR;FULL;N;listwise;25-FEB-26;19h42m;150;5;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\PIRLS2016.sav;NONE
Belgium (French);ASDGSLR_D3;52690,8328270002;,23214225201489;,422203280295427;,178255609892219;1385,66679360389;,0124258336711504;,0078841907369229;,00665704342127956;4562; ASDGSLR_d2 ASDGSLR_d3 ASBG01_d2 ASDAGE ASRINF0_;ASRIIE0_;TOTWGT;JRR;FULL;N;listwise;25-FEB-26;19h42m;150;5;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\PIRLS2016.sav;NONE
Belgium (French);ASBG01_D2;52690,8328270002;,500307367233178;,500004650250361;,250004650271986;1385,66679360389;,0103581925017021;2,82759563870532E-005;2,82757409825026E-005;4562; ASDGSLR_d2 ASDGSLR_d3 ASBG01_d2 ASDAGE ASRINF0_;ASRIIE0_;TOTWGT;JRR;FULL;N;listwise;25-FEB-26;19h42m;150;5;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\PIRLS2016.sav;NONE
Belgium (French);ASRINF0_;52690,8328270002;490,417362376818;71,8169916272969;5157,83451710421;1385,66679360389;2,35552171795754;1,33170067583125;191,292077733748;4562; ASDGSLR_d2 ASDGSLR_d3 ASBG01_d2 ASDAGE ASRINF0_;ASRIIE0_;TOTWGT;JRR;FULL;N;listwise;25-FEB-26;19h42m;150;5;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\PIRLS2016.sav;NONE
Bulgaria;ASDAGE;58280,5499960004;10,7691503601574;,38557507811713;,148668140865031;1045,25435160801;,00929559166985636;,0167814862165185;,0129370910389846;4260; ASDGSLR_d2 ASDGSLR_d3 ASBG01_d2 ASDAGE ASRINF0_;ASRIIE0_;TOTWGT;JRR;FULL;N;listwise;25-FEB-26;19h42m;150;5;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\PIRLS2016.sav;NONE
Bulgaria;ASRIIE0_;58280,5499960004;552,613966662571;86,2500796615344;7439,14798439368;1045,25435160801;4,28959645923297;2,90833324381193;501,629155637895;4260; ASDGSLR_d2 ASDGSLR_d3 ASBG01_d2 ASDAGE ASRINF0_;ASRIIE0_;TOTWGT;JRR;FULL;N;listwise;25-FEB-26;19h42m;150;5;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\PIRLS2016.sav;NONE
Bulgaria;ASDGSLR_D2;58280,5499960004;,331735534982543;,470840603250522;,221690873669315;1045,25435160801;,0123103112534129;,00439960116310131;,00414291876262792;4260; ASDGSLR_d2 ASDGSLR_d3 ASBG01_d2 ASDAGE ASRINF0_;ASRIIE0_;TOTWGT;JRR;FULL;N;listwise;25-FEB-26;19h42m;150;5;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\PIRLS2016.sav;NONE
Bulgaria;ASDGSLR_D3;58280,5499960004;,123041751930826;,328487946013936;,107904330676455;1045,25435160801;,0129074504373409;,014815613585383;,0097311685589599;4260; ASDGSLR_d2 ASDGSLR_d3 ASBG01_d2 ASDAGE ASRINF0_;ASRIIE0_;TOTWGT;JRR;FULL;N;listwise;25-FEB-26;19h42m;150;5;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\PIRLS2016.sav;NONE
Bulgaria;ASBG01_D2;58280,5499960004;,50426844679772;,49998606952461;,249986069718668;1045,25435160801;,00741264818087168;6,44368934540228E-005;6,44345876748816E-005;4260; ASDGSLR_d2 ASDGSLR_d3 ASBG01_d2 ASDAGE ASRINF0_;ASRIIE0_;TOTWGT;JRR;FULL;N;listwise;25-FEB-26;19h42m;150;5;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\PIRLS2016.sav;NONE
Bulgaria;ASRINF0_;58280,5499960004;554,184911755924;85,9946616018097;7395,3359950533;1045,25435160801;4,17268930011155;2,52204538591017;433,758371128471;4260; ASDGSLR_d2 ASDGSLR_d3 ASBG01_d2 ASDAGE ASRINF0_;ASRIIE0_;TOTWGT;JRR;FULL;N;listwise;25-FEB-26;19h42m;150;5;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\PIRLS2016.sav;NONE
Canada;ASDAGE;318845,752703997;9,87637701258565;,351140892385767;,123299926305473;5048,97730099615;,00520639825136648;,00491623081127322;,00345251982257586;17847; ASDGSLR_d2 ASDGSLR_d3 ASBG01_d2 ASDAGE ASRINF0_;ASRIIE0_;TOTWGT;JRR;FULL;N;listwise;25-FEB-26;19h42m;150;5;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\PIRLS2016.sav;NONE
Canada;ASRIIE0_;318845,752703997;546,025716414634;75,5473538257549;5707,69472398185;5048,97730099615;1,80416318877988;1,21781079405606;184,165762666281;17847; ASDGSLR_d2 ASDGSLR_d3 ASBG01_d2 ASDAGE ASRINF0_;ASRIIE0_;TOTWGT;JRR;FULL;N;listwise;25-FEB-26;19h42m;150;5;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\PIRLS2016.sav;NONE
Canada;ASDGSLR_D2;318845,752703997;,447751386375018;,497263368742377;,247270857893017;5048,97730099615;,00605227428594137;,000635972523469429;,000632488654172975;17847; ASDGSLR_d2 ASDGSLR_d3 ASBG01_d2 ASDAGE ASRINF0_;ASRIIE0_;TOTWGT;JRR;FULL;N;listwise;25-FEB-26;19h42m;150;5;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\PIRLS2016.sav;NONE
Canada;ASDGSLR_D3;318845,752703997;,184120800105186;,387583284228344;,150220802213229;5048,97730099615;,00542862899312893;,00442442632501389;,00342960444367711;17847; ASDGSLR_d2 ASDGSLR_d3 ASBG01_d2 ASDAGE ASRINF0_;ASRIIE0_;TOTWGT;JRR;FULL;N;listwise;25-FEB-26;19h42m;150;5;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\PIRLS2016.sav;NONE
Canada;ASBG01_D2;318845,752703997;,506843626341257;,499953946591345;,249953948712261;5048,97730099615;,00609806356604081;8,3820197588113E-005;8,38120576744943E-005;17847; ASDGSLR_d2 ASDGSLR_d3 ASBG01_d2 ASDAGE ASRINF0_;ASRIIE0_;TOTWGT;JRR;FULL;N;listwise;25-FEB-26;19h42m;150;5;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\PIRLS2016.sav;NONE
Canada;ASRINF0_;318845,752703997;541,206259274395;79,9611401007917;6394,25743323604;5048,97730099615;1,87738170421502;1,32571189029685;212,035425582159;17847; ASDGSLR_d2 ASDGSLR_d3 ASBG01_d2 ASDAGE ASRINF0_;ASRIIE0_;TOTWGT;JRR;FULL;N;listwise;25-FEB-26;19h42m;150;5;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\PIRLS2016.sav;NONE
Canada (Ontario);ASDAGE;130637,45137;9,79439311685248;,283591522251715;,0804241514930451;3268,62896915858;,00651108289816251;,00284927211615945;,0016160070782806;4174; ASDGSLR_d2 ASDGSLR_d3 ASBG01_d2 ASDAGE ASRINF0_;ASRIIE0_;TOTWGT;JRR;FULL;N;listwise;25-FEB-26;19h42m;150;5;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\PIRLS2016.sav;NONE
Canada (Ontario);ASRIIE0_;130637,45137;549,358820103385;76,0927157603741;5790,86374043157;3268,62896915858;3,16841168641223;1,76306039067748;267,992987230865;4174; ASDGSLR_d2 ASDGSLR_d3 ASBG01_d2 ASDAGE ASRINF0_;ASRIIE0_;TOTWGT;JRR;FULL;N;listwise;25-FEB-26;19h42m;150;5;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\PIRLS2016.sav;NONE
Canada (Ontario);ASDGSLR_D2;130637,45137;,4410140090442;,496510362374218;,246522539944978;3268,62896915858;,0100850693625355;,00119840704645516;,00119001687740027;4174; ASDGSLR_d2 ASDGSLR_d3 ASBG01_d2 ASDAGE ASRINF0_;ASRIIE0_;TOTWGT;JRR;FULL;N;listwise;25-FEB-26;19h42m;150;5;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\PIRLS2016.sav;NONE
Canada (Ontario);ASDGSLR_D3;130637,45137;,213431943363855;,409731660967625;,167880033999289;3268,62896915858;,00943432383906885;,00659934027219871;,00540742110706601;4174; ASDGSLR_d2 ASDGSLR_d3 ASBG01_d2 ASDAGE ASRINF0_;ASRIIE0_;TOTWGT;JRR;FULL;N;listwise;25-FEB-26;19h42m;150;5;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\PIRLS2016.sav;NONE
Canada (Ontario);ASBG01_D2;130637,45137;,519535090115716;,499620146752278;,249620291040768;3268,62896915858;,0106796200010912;,000418610328568878;,000418282964725854;4174; ASDGSLR_d2 ASDGSLR_d3 ASBG01_d2 ASDAGE ASRINF0_;ASRIIE0_;TOTWGT;JRR;FULL;N;listwise;25-FEB-26;19h42m;150;5;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\PIRLS2016.sav;NONE
Canada (Ontario);ASRINF0_;130637,45137;540,914583663634;81,6420995946351;6666,61078061491;3268,62896915858;3,41481949124413;2,0233028417672;330,484512322737;4174; ASDGSLR_d2 ASDGSLR_d3 ASBG01_d2 ASDAGE ASRINF0_;ASRIIE0_;TOTWGT;JRR;FULL;N;listwise;25-FEB-26;19h42m;150;5;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\PIRLS2016.sav;NONE
Canada (Quebec);ASDAGE;72459,8078489996;10,0841382776759;,383639777328401;,147179478748585;1517,68872606811;,0101111512789665;,00994416619737758;,00762949722988181;3133; ASDGSLR_d2 ASDGSLR_d3 ASBG01_d2 ASDAGE ASRINF0_;ASRIIE0_;TOTWGT;JRR;FULL;N;listwise;25-FEB-26;19h42m;150;5;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\PIRLS2016.sav;NONE
Canada (Quebec);ASRIIE0_;72459,8078489996;545,469685182706;65,8965629175797;4342,93996479406;1517,68872606811;3,01504179915969;1,65991304229102;218,794530605028;3133; ASDGSLR_d2 ASDGSLR_d3 ASBG01_d2 ASDAGE ASRINF0_;ASRIIE0_;TOTWGT;JRR;FULL;N;listwise;25-FEB-26;19h42m;150;5;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\PIRLS2016.sav;NONE
