IDCNTRY;dvar;groupvar;refgroup;compgroup;pct;pct_se;cpct;cpct_se;pctdiff;pctdiff_se;pctdiff_t;mnpv;mnpv_se;cmnpv;cmnpv_se;mnpvdiff;mnpvdiff_se;mnpvdiff_t;mnpvdiff_ci;weight;method;jk2type;shortcut;date;time;reps;npv;infile;selcrit
Dominican Republic;PVCIV;SGENDER;GIRL;GIRL;54,491629166192;1,16760123263462;54,491629166192;1,16760123263462;0; ; ;392,020387398534;2,79857281137366;392,020387398534;2,79857281137366;0; ; ; ;TOTWGTS;JRR;HALF;N;26-FEB-26;10h10m;75;5;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\ICCS2009.sav;NONE
Estonia;PVCIV;SGENDER;BOY;BOY;49,2863436410666;1,0450163949962;49,2863436410666;1,0450163949962;0; ; ;508,660526368369;4,91257347260286;508,660526368369;4,91257347260286;0; ; ; ;TOTWGTS;JRR;HALF;N;26-FEB-26;10h10m;75;5;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\ICCS2009.sav;NONE
Estonia;PVCIV;SGENDER;BOY;GIRL;49,2863436410666;1,0450163949962;50,7136563589334;1,04501639499618;1,42731271786688;2,09003278999238;,682914031158374;508,660526368369;4,91257347260286;541,989350124077;4,79571173463184;33,3288237557081;3,85362200924254;8,64870080038264;26 to 41;TOTWGTS;JRR;HALF;N;26-FEB-26;10h10m;75;5;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\ICCS2009.sav;NONE
Estonia;PVCIV;SGENDER;GIRL;BOY;50,7136563589334;1,04501639499618;49,2863436410666;1,0450163949962;-1,42731271786688;2,09003278999238;-,682914031158374;541,989350124077;4,79571173463184;508,660526368369;4,91257347260286;-33,3288237557081;3,85362200924254;-8,64870080038264;-41 to -26;TOTWGTS;JRR;HALF;N;26-FEB-26;10h10m;75;5;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\ICCS2009.sav;NONE
Estonia;PVCIV;SGENDER;GIRL;GIRL;50,7136563589334;1,04501639499618;50,7136563589334;1,04501639499618;0; ; ;541,989350124077;4,79571173463184;541,989350124077;4,79571173463184;0; ; ; ;TOTWGTS;JRR;HALF;N;26-FEB-26;10h10m;75;5;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\ICCS2009.sav;NONE
Finland;PVCIV;SGENDER;BOY;BOY;48,860456982295;1,01260822413369;48,860456982295;1,01260822413369;0; ; ;562,303757192459;3,5481424437046;562,303757192459;3,5481424437046;0; ; ; ;TOTWGTS;JRR;HALF;N;26-FEB-26;10h10m;75;5;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\ICCS2009.sav;NONE
Finland;PVCIV;SGENDER;BOY;GIRL;48,860456982295;1,01260822413369;51,139543017705;1,01260822413369;2,27908603540994;2,02521644826738;1,12535429847992;562,303757192459;3,5481424437046;590,334753371016;2,94143306499724;28,0309961785568;4,29853690587963;6,52105513860202;20 to 36;TOTWGTS;JRR;HALF;N;26-FEB-26;10h10m;75;5;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\ICCS2009.sav;NONE
Finland;PVCIV;SGENDER;GIRL;BOY;51,139543017705;1,01260822413369;48,860456982295;1,01260822413369;-2,27908603540994;2,02521644826738;-1,12535429847992;590,334753371016;2,94143306499724;562,303757192459;3,5481424437046;-28,0309961785568;4,29853690587963;-6,52105513860202;-36 to -20;TOTWGTS;JRR;HALF;N;26-FEB-26;10h10m;75;5;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\ICCS2009.sav;NONE
Finland;PVCIV;SGENDER;GIRL;GIRL;51,139543017705;1,01260822413369;51,139543017705;1,01260822413369;0; ; ;590,334753371016;2,94143306499724;590,334753371016;2,94143306499724;0; ; ; ;TOTWGTS;JRR;HALF;N;26-FEB-26;10h10m;75;5;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\ICCS2009.sav;NONE
Greece;PVCIV;SGENDER;BOY;BOY;49,3574998774187;1,05467477640965;49,3574998774187;1,05467477640965;0; ; ;459,738855207228;5,11499013299962;459,738855207228;5,11499013299962;0; ; ; ;TOTWGTS;JRR;HALF;N;26-FEB-26;10h10m;75;5;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\ICCS2009.sav;NONE
