"";"IDCNTRY";"EqVar";"b";"beta";"b.se";"beta.se";"b.t";"beta.t";"xvar";"dvar";"weight";"method";"jk2type";"shortcut";"missoptn";"date";"time";"reps";"npv";"selcrit"
"26";"Bahrain";"ASDAGE";-1,79837815608623;-0,00914481436661023;2,77678610660952;0,0141143844090846;-0,647647347343603;-0,647907418528592;" ASDGSLR_d2 ASDGSLR_d3 ASBG01_d2 ASDAGE ASRINF0_";"ASRIIE0_";"TOTWGT";"JRR";"FULL";"N";"listwise";"04-MAR-26";"14h 5m";150;5;"NONE"
"27";"Bahrain";"ASDGSLR_D2";-3,32338900566129;-0,015808559845156;3,18531363401694;0,0151473420060363;-1,04334749651331;-1,04365240045786;" ASDGSLR_d2 ASDGSLR_d3 ASBG01_d2 ASDAGE ASRINF0_";"ASRIIE0_";"TOTWGT";"JRR";"FULL";"N";"listwise";"04-MAR-26";"14h 5m";150;5;"NONE"
"28";"Bahrain";"ASDGSLR_D3";-0,284038431918396;-0,000874470094963183;5,69602413470324;0,0167987245252872;-0,0498660864492973;-0,0520557434968852;" ASDGSLR_d2 ASDGSLR_d3 ASBG01_d2 ASDAGE ASRINF0_";"ASRIIE0_";"TOTWGT";"JRR";"FULL";"N";"listwise";"04-MAR-26";"14h 5m";150;5;"NONE"
"29";"Bahrain";"ASBG01_D2";-12,2933125338772;-0,0608161489495759;1,74738896122728;0,0085604726164642;-7,03524676340121;-7,10429805389591;" ASDGSLR_d2 ASDGSLR_d3 ASBG01_d2 ASDAGE ASRINF0_";"ASRIIE0_";"TOTWGT";"JRR";"FULL";"N";"listwise";"04-MAR-26";"14h 5m";150;5;"NONE"
"30";"Bahrain";"ASRINF0_";0,893647687206429;0,85309683908118;0,0120696763371636;0,00623358319208893;74,0407333421869;136,854969732954;" ASDGSLR_d2 ASDGSLR_d3 ASBG01_d2 ASDAGE ASRINF0_";"ASRIIE0_";"TOTWGT";"JRR";"FULL";"N";"listwise";"04-MAR-26";"14h 5m";150;5;"NONE"
"31";"Belgium (Flemish)";"(CONSTANT)";162,940555097589;NA;25,7333548161641;NA;6,33188157011072;NA;" ASDGSLR_d2 ASDGSLR_d3 ASBG01_d2 ASDAGE ASRINF0_";"ASRIIE0_";"TOTWGT";"JRR";"FULL";"N";"listwise";"04-MAR-26";"14h 5m";150;5;"NONE"
"32";"Belgium (Flemish)";"ASDAGE";-4,78675321237719;-0,048205090918887;2,21948070297511;0,0225485880703659;-2,1566996306662;-2,13783190186705;" ASDGSLR_d2 ASDGSLR_d3 ASBG01_d2 ASDAGE ASRINF0_";"ASRIIE0_";"TOTWGT";"JRR";"FULL";"N";"listwise";"04-MAR-26";"14h 5m";150;5;"NONE"
"33";"Belgium (Flemish)";"ASDGSLR_D2";-2,56446853002912;-0,020963045938062;2,12353140422764;0,0173769636509247;-1,20764332701821;-1,20636990208278;" ASDGSLR_d2 ASDGSLR_d3 ASBG01_d2 ASDAGE ASRINF0_";"ASRIIE0_";"TOTWGT";"JRR";"FULL";"N";"listwise";"04-MAR-26";"14h 5m";150;5;"NONE"
"34";"Belgium (Flemish)";"ASDGSLR_D3";-4,69768083663545;-0,0356220801949424;4,0542808067011;0,0308525759630518;-1,15869646445577;-1,15459014630099;" ASDGSLR_d2 ASDGSLR_d3 ASBG01_d2 ASDAGE ASRINF0_";"ASRIIE0_";"TOTWGT";"JRR";"FULL";"N";"listwise";"04-MAR-26";"14h 5m";150;5;"NONE"
"35";"Belgium (Flemish)";"ASBG01_D2";-3,90016510249181;-0,0320322987542257;1,66996991726694;0,0135372046626152;-2,33547027534172;-2,3662417428531;" ASDGSLR_d2 ASDGSLR_d3 ASBG01_d2 ASDAGE ASRINF0_";"ASRIIE0_";"TOTWGT";"JRR";"FULL";"N";"listwise";"04-MAR-26";"14h 5m";150;5;"NONE"
"36";"Belgium (Flemish)";"ASRINF0_";0,788080095008134;0,799866022907074;0,0204984937935049;0,0100929211557666;38,4457562076022;79,250200270322;" ASDGSLR_d2 ASDGSLR_d3 ASBG01_d2 ASDAGE ASRINF0_";"ASRIIE0_";"TOTWGT";"JRR";"FULL";"N";"listwise";"04-MAR-26";"14h 5m";150;5;"NONE"
"37";"Belgium (French)";"(CONSTANT)";126,888249086187;NA;30,4624566646083;NA;4,16539777087668;NA;" ASDGSLR_d2 ASDGSLR_d3 ASBG01_d2 ASDAGE ASRINF0_";"ASRIIE0_";"TOTWGT";"JRR";"FULL";"N";"listwise";"04-MAR-26";"14h 5m";150;5;"NONE"
"38";"Belgium (French)";"ASDAGE";-2,80336751150625;-0,0205416969238605;2,40809505802581;0,0177089561329376;-1,16414321027862;-1,15996091297861;" ASDGSLR_d2 ASDGSLR_d3 ASBG01_d2 ASDAGE ASRINF0_";"ASRIIE0_";"TOTWGT";"JRR";"FULL";"N";"listwise";"04-MAR-26";"14h 5m";150;5;"NONE"
"39";"Belgium (French)";"ASDGSLR_D2";-1,6309248168087;-0,0115689884545334;1,86703978156213;0,0132849439570031;-0,873535118488008;-0,870834569718667;" ASDGSLR_d2 ASDGSLR_d3 ASBG01_d2 ASDAGE ASRINF0_";"ASRIIE0_";"TOTWGT";"JRR";"FULL";"N";"listwise";"04-MAR-26";"14h 5m";150;5;"NONE"
"40";"Belgium (French)";"ASDGSLR_D3";-1,4478013082557;-0,00868233280421716;2,90718037464315;0,0174192486519964;-0,49800876508511;-0,498433254939621;" ASDGSLR_d2 ASDGSLR_d3 ASBG01_d2 ASDAGE ASRINF0_";"ASRIIE0_";"TOTWGT";"JRR";"FULL";"N";"listwise";"04-MAR-26";"14h 5m";150;5;"NONE"
"41";"Belgium (French)";"ASBG01_D2";-5,5426588053792;-0,0394400354894348;2,43131918228792;0,0171385310233697;-2,27969196548001;-2,3012494732282;" ASDGSLR_d2 ASDGSLR_d3 ASBG01_d2 ASDAGE ASRINF0_";"ASRIIE0_";"TOTWGT";"JRR";"FULL";"N";"listwise";"04-MAR-26";"14h 5m";150;5;"NONE"
"42";"Belgium (French)";"ASRINF0_";0,814288943465691;0,833166064199824;0,0170273444086656;0,00833285685893883;47,8224274979298;99,9856445759139;" ASDGSLR_d2 ASDGSLR_d3 ASBG01_d2 ASDAGE ASRINF0_";"ASRIIE0_";"TOTWGT";"JRR";"FULL";"N";"listwise";"04-MAR-26";"14h 5m";150;5;"NONE"
"43";"Bulgaria";"(CONSTANT)";105,58346630113;NA;31,6926638419351;NA;3,33147970229705;NA;" ASDGSLR_d2 ASDGSLR_d3 ASBG01_d2 ASDAGE ASRINF0_";"ASRIIE0_";"TOTWGT";"JRR";"FULL";"N";"listwise";"04-MAR-26";"14h 5m";150;5;"NONE"
"44";"Bulgaria";"ASDAGE";-2,29233474785328;-0,0102382436968898;3,06711425433478;0,0136955308775184;-0,747391377616109;-0,747560922497435;" ASDGSLR_d2 ASDGSLR_d3 ASBG01_d2 ASDAGE ASRINF0_";"ASRIIE0_";"TOTWGT";"JRR";"FULL";"N";"listwise";"04-MAR-26";"14h 5m";150;5;"NONE"
"45";"Bulgaria";"ASDGSLR_D2";-0,806728275764572;-0,00439583356632832;1,97027114604517;0,010754702710615;-0,409450383204302;-0,408735944136288;" ASDGSLR_d2 ASDGSLR_d3 ASBG01_d2 ASDAGE ASRINF0_";"ASRIIE0_";"TOTWGT";"JRR";"FULL";"N";"listwise";"04-MAR-26";"14h 5m";150;5;"NONE"
"46";"Bulgaria";"ASDGSLR_D3";-11,1191078863346;-0,0423445647565398;5,22236732416592;0,0202424724864781;-2,12913171290769;-2,09186722545014;" ASDGSLR_d2 ASDGSLR_d3 ASBG01_d2 ASDAGE ASRINF0_";"ASRIIE0_";"TOTWGT";"JRR";"FULL";"N";"listwise";"04-MAR-26";"14h 5m";150;5;"NONE"
"47";"Bulgaria";"ASBG01_D2";-3,07409454858998;-0,0178048048177875;2,96515560138787;0,0172976872363212;-1,03673970672943;-1,02931707427346;" ASDGSLR_d2 ASDGSLR_d3 ASBG01_d2 ASDAGE ASRINF0_";"ASRIIE0_";"TOTWGT";"JRR";"FULL";"N";"listwise";"04-MAR-26";"14h 5m";150;5;"NONE"
"48";"Bulgaria";"ASRINF0_";0,856939243448824;0,854364837535485;0,0170124840388056;0,00850047769733391;50,3712004369343;100,507861787985;" ASDGSLR_d2 ASDGSLR_d3 ASBG01_d2 ASDAGE ASRINF0_";"ASRIIE0_";"TOTWGT";"JRR";"FULL";"N";"listwise";"04-MAR-26";"14h 5m";150;5;"NONE"
"49";"Canada";"(CONSTANT)";144,248128874696;NA;20,0937921298704;NA;7,1787409734504;NA;" ASDGSLR_d2 ASDGSLR_d3 ASBG01_d2 ASDAGE ASRINF0_";"ASRIIE0_";"TOTWGT";"JRR";"FULL";"N";"listwise";"04-MAR-26";"14h 5m";150;5;"NONE"
"50";"Canada";"ASDAGE";-2,16044338813577;-0,0100133589528767;2,06354748004154;0,00953222804583411;-1,04695598673227;-1,05047412889507;" ASDGSLR_d2 ASDGSLR_d3 ASBG01_d2 ASDAGE ASRINF0_";"ASRIIE0_";"TOTWGT";"JRR";"FULL";"N";"listwise";"04-MAR-26";"14h 5m";150;5;"NONE"
"51";"Canada";"ASDGSLR_D2";-4,21384106348533;-0,0277731145179103;2,43960083332597;0,01615037029096;-1,72726661096458;-1,71965806464859;" ASDGSLR_d2 ASDGSLR_d3 ASBG01_d2 ASDAGE ASRINF0_";"ASRIIE0_";"TOTWGT";"JRR";"FULL";"N";"listwise";"04-MAR-26";"14h 5m";150;5;"NONE"
"52";"Canada";"ASDGSLR_D3";-5,03906422521157;-0,0258708185197304;2,28738681172426;0,011760078064084;-2,2029786127048;-2,19988493092928;" ASDGSLR_d2 ASDGSLR_d3 ASBG01_d2 ASDAGE ASRINF0_";"ASRIIE0_";"TOTWGT";"JRR";"FULL";"N";"listwise";"04-MAR-26";"14h 5m";150;5;"NONE"
"53";"Canada";"ASBG01_D2";-7,81562461321776;-0,051704661417959;1,67856898288681;0,0110071390982071;-4,65612357484195;-4,69737512687389;" ASDGSLR_d2 ASDGSLR_d3 ASBG01_d2 ASDAGE ASRINF0_";"ASRIIE0_";"TOTWGT";"JRR";"FULL";"N";"listwise";"04-MAR-26";"14h 5m";150;5;"NONE"
"54";"Canada";"ASRINF0_";0,794320956964356;0,840651071333306;0,0158973050075604;0,00760805329841087;49,9657619065995;110,49489775642;" ASDGSLR_d2 ASDGSLR_d3 ASBG01_d2 ASDAGE ASRINF0_";"ASRIIE0_";"TOTWGT";"JRR";"FULL";"N";"listwise";"04-MAR-26";"14h 5m";150;5;"NONE"
"55";"Canada (Ontario)";"(CONSTANT)";106,907250147757;NA;53,1112991650983;NA;2,01289088815982;NA;" ASDGSLR_d2 ASDGSLR_d3 ASBG01_d2 ASDAGE ASRINF0_";"ASRIIE0_";"TOTWGT";"JRR";"FULL";"N";"listwise";"04-MAR-26";"14h 5m";150;5;"NONE"
"56";"Canada (Ontario)";"ASDAGE";2,29815283991586;0,00846966476230347;4,75616350460484;0,0177360284297215;0,483194666813036;0,477540098442233;" ASDGSLR_d2 ASDGSLR_d3 ASBG01_d2 ASDAGE ASRINF0_";"ASRIIE0_";"TOTWGT";"JRR";"FULL";"N";"listwise";"04-MAR-26";"14h 5m";150;5;"NONE"
"57";"Canada (Ontario)";"ASDGSLR_D2";-5,15212746444267;-0,0337043936383414;3,4393850653941;0,0225249888790341;-1,49797925108229;-1,49631122214284;" ASDGSLR_d2 ASDGSLR_d3 ASBG01_d2 ASDAGE ASRINF0_";"ASRIIE0_";"TOTWGT";"JRR";"FULL";"N";"listwise";"04-MAR-26";"14h 5m";150;5;"NONE"
"58";"Canada (Ontario)";"ASDGSLR_D3";-5,13669324930319;-0,027669625000779;2,93404694547172;0,0157112227309461;-1,75071951634276;-1,76113759410199;" ASDGSLR_d2 ASDGSLR_d3 ASBG01_d2 ASDAGE ASRINF0_";"ASRIIE0_";"TOTWGT";"JRR";"FULL";"N";"listwise";"04-MAR-26";"14h 5m";150;5;"NONE"
"59";"Canada (Ontario)";"ASBG01_D2";-7,10761470543322;-0,0466499050879822;2,53801345880051;0,0166042104414043;-2,80046375671796;-2,80952263599694;" ASDGSLR_d2 ASDGSLR_d3 ASBG01_d2 ASDAGE ASRINF0_";"ASRIIE0_";"TOTWGT";"JRR";"FULL";"N";"listwise";"04-MAR-26";"14h 5m";150;5;"NONE"
"60";"Canada (Ontario)";"ASRINF0_";0,789419882640089;0,846893318771064;0,0200772724037367;0,0121302867169811;39,3190801402469;69,8164304381611;" ASDGSLR_d2 ASDGSLR_d3 ASBG01_d2 ASDAGE ASRINF0_";"ASRIIE0_";"TOTWGT";"JRR";"FULL";"N";"listwise";"04-MAR-26";"14h 5m";150;5;"NONE"
"61";"Canada (Quebec)";"(CONSTANT)";156,1282970263;NA;27,2647863840307;NA;5,72637154853143;NA;" ASDGSLR_d2 ASDGSLR_d3 ASBG01_d2 ASDAGE ASRINF0_";"ASRIIE0_";"TOTWGT";"JRR";"FULL";"N";"listwise";"04-MAR-26";"14h 5m";150;5;"NONE"
