"";"IDCNTRY";"SGENDER";"xvar";"n";"TOTWGTS";"sumw_se";"tsumw";"tsumw_se";"pct";"pct_se";"tpct";"tpct_se";"mnx";"mnx_se";"sdx";"sdx_se";"vrx";"vrx_se";"DEff";"pctmiss";"nvarstrat";"weight";"reps";"method";"jk2type";"date";"time";"selcrit"
"47";"Mexico";"BOY";"HISCED";3122;959482,387652676;26420,3464497354;964957,810447383;26641,3537522089;47,9952251606545;0,869191457291359;48,0220193792927;0,874350643122063;2,84152929721461;0,0552386305535313;1,52655033898904;0,0230610711306508;2,33035593746756;0,0704107704759649;4,08786406075942;0,567426133601563;75;"TOTWGTS";75;"JRR";"HALF";"04-MAR-26";"12h59m";"NONE"
"48";"Mexico";"GIRL";"HISCED";3410;1039638,11744132;32013,1615712281;1044449,17184932;32104,3095910346;52,0047748393455;0,86919145729137;51,9779806207073;0,874350643122067;2,70590353889724;0,0554651633851103;1,54045342813019;0,0231997481394024;2,37299676423807;0,0715431794633543;4,42076904163308;0,460630783926179;75;"TOTWGTS";75;"JRR";"HALF";"04-MAR-26";"12h59m";"NONE"
"49";"Netherlands";"BOY";"HISCED";865;74084,1103746456;8351,20171959092;77465,2344269002;8563,55266195785;48,7849333430722;1,87310436126971;48,6802477754529;1,91665443759438;3,68000610575042;0,057448105779233;0,908148972244847;0,0427277615447194;0,824734555789371;0,0776605565160629;3,46141238026658;4,36469866420551;34;"TOTWGTS";75;"JRR";"HALF";"04-MAR-26";"12h59m";"NONE"
"50";"Netherlands";"GIRL";"HISCED";982;77774,4764838441;5777,92148687938;81665,4971672028;5365,99233477081;51,2150666569278;1,87310436126971;51,3197522245471;1,91665443759435;3,59953273814529;0,0806750678827971;1,02221719939136;0,0770666744257391;1,04492800273152;0,154494396746226;6,11651153264575;4,764583353227;34;"TOTWGTS";75;"JRR";"HALF";"04-MAR-26";"12h59m";"NONE"
"51";"New Zealand";"BOY";"HISCED";1709;23720,0148797337;766,63355579854;27660,4596923728;778,140019228187;47,6710311965853;1,71283444871422;48,1176519185706;1,49062976796083;4,04237241861528;0,0314772895603841;0,957348386901576;0,0238093228443823;0,91651593390305;0,0456743978275678;1,84755213073883;14,2457676280978;67;"TOTWGTS";75;"JRR";"HALF";"04-MAR-26";"12h59m";"NONE"
"52";"New Zealand";"GIRL";"HISCED";1713;26037,6981051551;1379,3505998333;29824,5974321572;1349,67046798633;52,3289688034147;1,71283444871422;51,8823480814294;1,49062976796083;3,95158893856553;0,0331617586653261;0,988980498484789;0,0280674941940837;0,978082426383223;0,0558391040092816;1,92600325136041;12,6972353461406;69;"TOTWGTS";75;"JRR";"HALF";"04-MAR-26";"12h59m";"NONE"
"53";"Norway";"BOY";"HISCED";1372;26979,4614204694;724,552914756549;28781,2507754872;724,326015141142;48,3790448029706;0,973768461918132;49,125296129576;0,932361476911889;4,23290352010277;0,0329904483363729;0,963938787472977;0,0215712148269918;0,929177985994873;0,0416360790526954;1,6070583089954;6,26028857839745;65;"TOTWGTS";75;"JRR";"HALF";"04-MAR-26";"12h59m";"NONE"
"54";"Norway";"GIRL";"HISCED";1450;28787,3721959165;845,3686008987;29806,1838927374;833,496329919964;51,6209551970294;0,973768461918137;50,874703870424;0,932361476911879;4,23866130912475;0,0329860652493498;0,886438500101548;0,0218517668836684;0,785773214462282;0,0388352047867513;2,0078525163262;3,41812189204516;65;"TOTWGTS";75;"JRR";"HALF";"04-MAR-26";"12h59m";"NONE"
"55";"Paraguay";"BOY";"HISCED";1604;41687,5844498137;1811,80964332323;42241,80397933;1804,43121826519;47,6730650982044;1,30379988801933;47,8311506871688;1,29903360904562;2,59588883420873;0,0597233808509074;1,57453469705438;0,0322455437766259;2,47915951222812;0,101886886602367;2,30774948246842;1,31201671639643;75;"TOTWGTS";75;"JRR";"HALF";"04-MAR-26";"12h59m";"NONE"
"56";"Paraguay";"GIRL";"HISCED";1753;45757,14847;2765,79882381032;46072,6174227497;2778,66824488811;52,3269349017956;1,30379988801935;52,1688493128312;1,29903360904562;2,58928202263771;0,0654012472771442;1,59449760675828;0,0197312906932566;2,54242261795787;0,0629455881953293;2,94921364407924;0,684721143386214;75;"TOTWGTS";75;"JRR";"HALF";"04-MAR-26";"12h59m";"NONE"
