"";"IDCNTRY";"ASBGSEX";"dvar";"groupvar";"refpctile";"comppctile";"val";"val_se";"cval";"cval_se";"gap";"gap_se";"gap_t";"weight";"method";"jk2type";"shortcut";"date";"time";"reps";"npv";"selcrit"
"46";"Germany";"BOY";"ASRREA0";"Percentile";10;50;443,0526154;5,0380190578658;538,3146692;2,95260503085901;95,2620538;3,86843782519347;24,6254581577088;"TOTWGT";"JRR";"HALF";"Y";"04-MAR-26";"13h10m";75;5;"NONE"
"47";"Germany";"BOY";"ASRREA0";"Percentile";10;90;443,0526154;5,0380190578658;614,8796536;3,48681833266807;171,8270382;4,8178850612464;35,66441208449;"TOTWGT";"JRR";"HALF";"Y";"04-MAR-26";"13h10m";75;5;"NONE"
"48";"Germany";"BOY";"ASRREA0";"Percentile";50;90;538,3146692;2,95260503085901;614,8796536;3,48681833266807;76,5649844;3,15558067380026;24,2633582578616;"TOTWGT";"JRR";"HALF";"Y";"04-MAR-26";"13h10m";75;5;"NONE"
"49";"Greece";"GIRL";"ASRREA0";"Percentile";10;50;446,0892068;3,64540812201448;538,3868052;5,29906444483511;92,2975984;5,71751954315605;16,1429441042281;"TOTWGT";"JRR";"HALF";"Y";"04-MAR-26";"13h10m";75;5;"NONE"
"50";"Greece";"GIRL";"ASRREA0";"Percentile";10;90;446,0892068;3,64540812201448;618,9147796;2,70542156756164;172,8255728;3,79271707952842;45,5677471258913;"TOTWGT";"JRR";"HALF";"Y";"04-MAR-26";"13h10m";75;5;"NONE"
"51";"Greece";"GIRL";"ASRREA0";"Percentile";50;90;538,3868052;5,29906444483511;618,9147796;2,70542156756164;80,5279744;4,84633337641845;16,6162680412861;"TOTWGT";"JRR";"HALF";"Y";"04-MAR-26";"13h10m";75;5;"NONE"
"52";"Greece";"BOY";"ASRREA0";"Percentile";10;50;411,7662688;6,12051354626451;519,3726782;5,50158648221748;107,6064094;7,56646003051225;14,2214997457292;"TOTWGT";"JRR";"HALF";"Y";"04-MAR-26";"13h10m";75;5;"NONE"
"53";"Greece";"BOY";"ASRREA0";"Percentile";10;90;411,7662688;6,12051354626451;606,2969918;7,51193725377934;194,530723;7,73090934586902;25,162722041741;"TOTWGT";"JRR";"HALF";"Y";"04-MAR-26";"13h10m";75;5;"NONE"
"54";"Greece";"BOY";"ASRREA0";"Percentile";50;90;519,3726782;5,50158648221748;606,2969918;7,51193725377934;86,9243136;7,71606141840484;11,2653734705458;"TOTWGT";"JRR";"HALF";"Y";"04-MAR-26";"13h10m";75;5;"NONE"
"55";"Hong Kong, SAR";"GIRL";"ASRREA0";"Percentile";10;50;462,1748484;6,91164783339392;542,3772682;2,94355421325274;80,2024198;6,49221345101645;12,3536326100682;"TOTWGT";"JRR";"HALF";"Y";"04-MAR-26";"13h10m";75;5;"NONE"
"56";"Hong Kong, SAR";"GIRL";"ASRREA0";"Percentile";10;90;462,1748484;6,91164783339392;608,8175626;3,01535633958199;146,6427142;6,41349205586442;22,8647222016767;"TOTWGT";"JRR";"HALF";"Y";"04-MAR-26";"13h10m";75;5;"NONE"
"57";"Hong Kong, SAR";"GIRL";"ASRREA0";"Percentile";50;90;542,3772682;2,94355421325274;608,8175626;3,01535633958199;66,4402944;3,2552938016341;20,4099225595699;"TOTWGT";"JRR";"HALF";"Y";"04-MAR-26";"13h10m";75;5;"NONE"
"58";"Hong Kong, SAR";"BOY";"ASRREA0";"Percentile";10;50;432,9281006;8,14001414181108;524,9554556;3,65743067586026;92,027355;7,05563258796916;13,043104760999;"TOTWGT";"JRR";"HALF";"Y";"04-MAR-26";"13h10m";75;5;"NONE"
"59";"Hong Kong, SAR";"BOY";"ASRREA0";"Percentile";10;90;432,9281006;8,14001414181108;596,7279534;4,0387274664635;163,7998528;7,92407364117436;20,6711674092575;"TOTWGT";"JRR";"HALF";"Y";"04-MAR-26";"13h10m";75;5;"NONE"
"60";"Hong Kong, SAR";"BOY";"ASRREA0";"Percentile";50;90;524,9554556;3,65743067586026;596,7279534;4,0387274664635;71,7724978;3,67468801966106;19,5315894617416;"TOTWGT";"JRR";"HALF";"Y";"04-MAR-26";"13h10m";75;5;"NONE"
"61";"Hungary";"GIRL";"ASRREA0";"Percentile";10;50;465,0233314;3,85293202085093;553,7241158;4,19092358231107;88,7007844;5,66983327033793;15,6443373501023;"TOTWGT";"JRR";"HALF";"Y";"04-MAR-26";"13h10m";75;5;"NONE"
"62";"Hungary";"GIRL";"ASRREA0";"Percentile";10;90;465,0233314;3,85293202085093;629,1203456;2,92685728383407;164,0970142;4,4914905430791;36,5350906622426;"TOTWGT";"JRR";"HALF";"Y";"04-MAR-26";"13h10m";75;5;"NONE"
"63";"Hungary";"GIRL";"ASRREA0";"Percentile";50;90;553,7241158;4,19092358231107;629,1203456;2,92685728383407;75,3962298;4,21726243489653;17,8780028428204;"TOTWGT";"JRR";"HALF";"Y";"04-MAR-26";"13h10m";75;5;"NONE"
"64";"Hungary";"BOY";"ASRREA0";"Percentile";10;50;446,7880122;3,28091581371404;540,5803724;4,3724713548074;93,7923602;4,7984047322016;19,5465712949492;"TOTWGT";"JRR";"HALF";"Y";"04-MAR-26";"13h10m";75;5;"NONE"
"65";"Hungary";"BOY";"ASRREA0";"Percentile";10;90;446,7880122;3,28091581371404;617,9158186;3,4497689324315;171,1278064;4,13484076419993;41,3867948390299;"TOTWGT";"JRR";"HALF";"Y";"04-MAR-26";"13h10m";75;5;"NONE"
"66";"Hungary";"BOY";"ASRREA0";"Percentile";50;90;540,5803724;4,3724713548074;617,9158186;3,4497689324315;77,3354462;4,05268687043337;19,0825120894994;"TOTWGT";"JRR";"HALF";"Y";"04-MAR-26";"13h10m";75;5;"NONE"
"67";"Iceland";"GIRL";"ASRREA0";"Percentile";10;50;428,7168738;2,1346116566494;525,3464764;2,84347471446906;96,6296026;2,95659578817398;32,6827234843892;"TOTWGT";"JRR";"HALF";"Y";"04-MAR-26";"13h10m";75;5;"NONE"
"68";"Iceland";"GIRL";"ASRREA0";"Percentile";10;90;428,7168738;2,1346116566494;610,8578278;3,51436364209793;182,140954;3,50949114411043;51,8995337274653;"TOTWGT";"JRR";"HALF";"Y";"04-MAR-26";"13h10m";75;5;"NONE"
"69";"Iceland";"GIRL";"ASRREA0";"Percentile";50;90;525,3464764;2,84347471446906;610,8578278;3,51436364209793;85,5113514;4,07148105752559;21,0025173129428;"TOTWGT";"JRR";"HALF";"Y";"04-MAR-26";"13h10m";75;5;"NONE"
"70";"Iceland";"BOY";"ASRREA0";"Percentile";10;50;399,3565736;5,29127509551328;508,5568988;2,88491958781865;109,2003252;5,99108244278168;18,2271444672856;"TOTWGT";"JRR";"HALF";"Y";"04-MAR-26";"13h10m";75;5;"NONE"
"71";"Iceland";"BOY";"ASRREA0";"Percentile";10;90;399,3565736;5,29127509551328;598,3647762;3,46418609119927;199,0082026;6,4768882797762;30,7258970671757;"TOTWGT";"JRR";"HALF";"Y";"04-MAR-26";"13h10m";75;5;"NONE"
"72";"Iceland";"BOY";"ASRREA0";"Percentile";50;90;508,5568988;2,88491958781865;598,3647762;3,46418609119927;89,8078774;4,08050292986422;22,0090216680688;"TOTWGT";"JRR";"HALF";"Y";"04-MAR-26";"13h10m";75;5;"NONE"
"73";"Iran, Islamic Republic of";"GIRL";"ASRREA0";"Percentile";10;50;304,6506332;7,88541982620994;429,486998;6,89456463772007;124,8363648;7,30053414332448;17,099620705719;"TOTWGT";"JRR";"HALF";"Y";"04-MAR-26";"13h10m";75;5;"NONE"
"74";"Iran, Islamic Republic of";"GIRL";"ASRREA0";"Percentile";10;90;304,6506332;7,88541982620994;541,6491312;6,73981161681575;236,998498;7,97633492252568;29,7127064374768;"TOTWGT";"JRR";"HALF";"Y";"04-MAR-26";"13h10m";75;5;"NONE"
"75";"Iran, Islamic Republic of";"GIRL";"ASRREA0";"Percentile";50;90;429,486998;6,89456463772007;541,6491312;6,73981161681575;112,1621332;4,54182656323601;24,6953800719518;"TOTWGT";"JRR";"HALF";"Y";"04-MAR-26";"13h10m";75;5;"NONE"
"76";"Iran, Islamic Republic of";"BOY";"ASRREA0";"Percentile";10;50;279,7700788;5,85693988276731;397,8321984;6,05629755390574;118,0621196;6,61037292548756;17,8601299700943;"TOTWGT";"JRR";"HALF";"Y";"04-MAR-26";"13h10m";75;5;"NONE"
"77";"Iran, Islamic Republic of";"BOY";"ASRREA0";"Percentile";10;90;279,7700788;5,85693988276731;520,579914;8,20275873949413;240,8098352;8,60960055960668;27,9699195720877;"TOTWGT";"JRR";"HALF";"Y";"04-MAR-26";"13h10m";75;5;"NONE"
"78";"Iran, Islamic Republic of";"BOY";"ASRREA0";"Percentile";50;90;397,8321984;6,05629755390574;520,579914;8,20275873949413;122,7477156;5,85021246615628;20,9817534508534;"TOTWGT";"JRR";"HALF";"Y";"04-MAR-26";"13h10m";75;5;"NONE"
"79";"Israel";"GIRL";"ASRREA0";"Percentile";10;50;395,653808;5,22770801805035;531,2132478;2,86219045250985;135,5594398;4,78920485273596;28,3052080602813;"TOTWGT";"JRR";"HALF";"Y";"04-MAR-26";"13h10m";75;5;"NONE"
"80";"Israel";"GIRL";"ASRREA0";"Percentile";10;90;395,653808;5,22770801805035;625,776576;5,03649913130426;230,122768;7,30295956315579;31,5108917158728;"TOTWGT";"JRR";"HALF";"Y";"04-MAR-26";"13h10m";75;5;"NONE"
"81";"Israel";"GIRL";"ASRREA0";"Percentile";50;90;531,2132478;2,86219045250985;625,776576;5,03649913130426;94,5633282;4,73711377337333;19,9622244100464;"TOTWGT";"JRR";"HALF";"Y";"04-MAR-26";"13h10m";75;5;"NONE"
"82";"Israel";"BOY";"ASRREA0";"Percentile";10;50;364,9691118;7,6671199604662;509,0720854;2,29385608620928;144,1029736;7,22755336306625;19,9380020265758;"TOTWGT";"JRR";"HALF";"Y";"04-MAR-26";"13h10m";75;5;"NONE"
"83";"Israel";"BOY";"ASRREA0";"Percentile";10;90;364,9691118;7,6671199604662;611,8851448;5,00364490810995;246,916033;8,96028962654725;27,556702215121;"TOTWGT";"JRR";"HALF";"Y";"04-MAR-26";"13h10m";75;5;"NONE"
"84";"Israel";"BOY";"ASRREA0";"Percentile";50;90;509,0720854;2,29385608620928;611,8851448;5,00364490810995;102,8130594;5,13021766277165;20,0406817328788;"TOTWGT";"JRR";"HALF";"Y";"04-MAR-26";"13h10m";75;5;"NONE"
"85";"Italy";"GIRL";"ASRREA0";"Percentile";10;50;451,794193;5,33444025444277;550,9839062;3,18739389204966;99,1897132;5,14297218377795;19,2864572577051;"TOTWGT";"JRR";"HALF";"Y";"04-MAR-26";"13h10m";75;5;"NONE"
"86";"Italy";"GIRL";"ASRREA0";"Percentile";10;90;451,794193;5,33444025444277;628,4030446;1,88773001600425;176,6088516;5,33596933270229;33,0978010907271;"TOTWGT";"JRR";"HALF";"Y";"04-MAR-26";"13h10m";75;5;"NONE"
"87";"Italy";"GIRL";"ASRREA0";"Percentile";50;90;550,9839062;3,18739389204966;628,4030446;1,88773001600425;77,4191384;3,73047466060715;20,7531602392387;"TOTWGT";"JRR";"HALF";"Y";"04-MAR-26";"13h10m";75;5;"NONE"
"88";"Italy";"BOY";"ASRREA0";"Percentile";10;50;442,991367;4,39522415421504;540,729377;2,65072846291485;97,73801;3,86079321518815;25,3155257358783;"TOTWGT";"JRR";"HALF";"Y";"04-MAR-26";"13h10m";75;5;"NONE"
"89";"Italy";"BOY";"ASRREA0";"Percentile";10;90;442,991367;4,39522415421504;625,4969826;3,428122232661;182,5056156;5,36432604219567;34,0220960031913;"TOTWGT";"JRR";"HALF";"Y";"04-MAR-26";"13h10m";75;5;"NONE"
"90";"Italy";"BOY";"ASRREA0";"Percentile";50;90;540,729377;2,65072846291485;625,4969826;3,428122232661;84,7676056000001;3,98165825970927;21,2895231260227;"TOTWGT";"JRR";"HALF";"Y";"04-MAR-26";"13h10m";75;5;"NONE"
