S_SEX;dvar;groupvar;refgroup;compgroup;pct;pct_se;cpct;cpct_se;pctdiff;pctdiff_se;pctdiff_t;mnpv;mnpv_se;cmnpv;cmnpv_se;mnpvdiff;mnpvdiff_se;mnpvdiff_t;mnpvdiff_ci;weight;method;jk2type;shortcut;date;time;reps;npv;infile;selcrit
Boy;PVCIL;IDCNTRY;Denmark;Uruguay;50,542261844675;,915246704332115;49,2914976240555;1,02676132246567;-1,25076422061958;1,37546913564145;-,909336449804294;544,622343235348;2,81251539102684;448,095357151735;4,85767996417317;-96,5269860836128;5,61313615183993;-17,196622970204;-108 to -86;TOTWGTS;JRR;HALF;N;26-FEB-26;10h47m;75;5;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\ICILS2018.sav;NONE
Boy;PVCIL;IDCNTRY;Denmark;Russian Federation (Moscow);50,542261844675;,915246704332115;51,2292455377873;,746876009703025;,686983693112279;1,18131295754373;,581542502116209;544,622343235348;2,81251539102684;546,14077310732;2,67965169290687;1,51842987197274;3,8846848031805;,390875952337126;-6 to 9;TOTWGTS;JRR;HALF;N;26-FEB-26;10h47m;75;5;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\ICILS2018.sav;NONE
Boy;PVCIL;IDCNTRY;Denmark;Germany, North-Rhine Westphalia;50,542261844675;,915246704332115;51,8597531850013;1,095269129023;1,31749134032624;1,4273370291496;,923041519571029;544,622343235348;2,81251539102684;512,661978148244;3,19696605175547;-31,960365087104;4,25803179424953;-7,50590099638676;-40 to -24;TOTWGTS;JRR;HALF;N;26-FEB-26;10h47m;75;5;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\ICILS2018.sav;NONE
Boy;PVCIL;IDCNTRY;Finland;Chile;50,6209352275822;,809034366548872;50,973053879782;1,66166351336527;,352118652199752;1,84815103222289;,190524825114664;516,339077456485;3,64741233551298;471,882589762081;4,65859442433786;-44,4564876944041;5,91659688974364;-7,51386118115787;-56 to -33;TOTWGTS;JRR;HALF;N;26-FEB-26;10h47m;75;5;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\ICILS2018.sav;NONE
Boy;PVCIL;IDCNTRY;Finland;Denmark;50,6209352275822;,809034366548872;50,542261844675;,915246704332115;-,0786733829072034;1,22156176104523;-,0644039338951526;516,339077456485;3,64741233551298;544,622343235348;2,81251539102684;28,2832657788624;4,60585058051335;6,14072586256372;19 to 37;TOTWGTS;JRR;HALF;N;26-FEB-26;10h47m;75;5;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\ICILS2018.sav;NONE
Boy;PVCIL;IDCNTRY;Finland;Finland;50,6209352275822;,809034366548872;50,6209352275822;,809034366548872;0; ; ;516,339077456485;3,64741233551298;516,339077456485;3,64741233551298;0; ; ; ;TOTWGTS;JRR;HALF;N;26-FEB-26;10h47m;75;5;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\ICILS2018.sav;NONE
Boy;PVCIL;IDCNTRY;Finland;France;50,6209352275822;,809034366548872;50,2227167623303;,635399858970222;-,398218465251904;1,028722308029;-,387100058143852;516,339077456485;3,64741233551298;486,822946020285;2,84974230418089;-29,5161314362005;4,62867669485464;-6,37679695127798;-39 to -20;TOTWGTS;JRR;HALF;N;26-FEB-26;10h47m;75;5;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\ICILS2018.sav;NONE
Boy;PVCIL;IDCNTRY;Finland;Germany;50,6209352275822;,809034366548872;51,5018528311028;,916626652076171;,880917603520575;1,22259601895046;,720530404046959;516,339077456485;3,64741233551298;510,569719692525;3,63684151568924;-5,76935776395991;5,15075071766175;-1,12010036598684;-16 to 4;TOTWGTS;JRR;HALF;N;26-FEB-26;10h47m;75;5;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\ICILS2018.sav;NONE
Boy;PVCIL;IDCNTRY;Finland;Italy;50,6209352275822;,809034366548872;52,3921695888305;,635520220607424;1,77123436124822;1,02879665486336;1,72165641565336;516,339077456485;3,64741233551298;453,507037268286;3,11487881650636;-62,8320401881995;4,79646607272191;-13,0996527934458;-72 to -53;TOTWGTS;JRR;HALF;N;26-FEB-26;10h47m;75;5;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\ICILS2018.sav;NONE
Boy;PVCIL;IDCNTRY;Finland;Kazakhstan;50,6209352275822;,809034366548872;51,6883976550375;,677974997633232;1,0674624274553;1,05555042687354;1,01128510801425;516,339077456485;3,64741233551298;391,169255433864;5,85094047027475;-125,169822022621;6,89471690005842;-18,1544541765827;-139 to -112;TOTWGTS;JRR;HALF;N;26-FEB-26;10h47m;75;5;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\ICILS2018.sav;NONE
