IDCNTRY;Variable;TOTWGT;mean;stdev;TOTWGT.se;mean.se;stdev.se;NObs;xvar;weight;method;jk2type;shortcut;missoptn;date;time;reps;npv;infile;selcrit
Slovak Republic;ASRREA0_;71363,3403859995;518,133846807553;70,1946970962877;1614,92893187683;2,84251389801779;1,68608906566332;3804;ASDGAGE ASRREA0_;TOTWGT;JRR;HALF;Y;LISTWISE;25-FEB-26;15h56m;75;5;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\PIRLS2001.sav;NONE
Slovenia;ASDGAGE;21066,074214;9,80053040943051;,354738742434891;335,769377785056;,00868156609197343;,0110115081705665;2952;ASDGAGE ASRREA0_;TOTWGT;JRR;HALF;Y;LISTWISE;25-FEB-26;15h56m;75;5;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\PIRLS2001.sav;NONE
Slovenia;ASRREA0_;21066,074214;501,517945612491;71,7303950236159;335,769377785056;1,96564075748448;1,54355352460972;2952;ASDGAGE ASRREA0_;TOTWGT;JRR;HALF;Y;LISTWISE;25-FEB-26;15h56m;75;5;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\PIRLS2001.sav;NONE
Sweden;ASDGAGE;118082,70065;10,8016917105955;,324341110283987;2050,7125618136;,00636126139218529;,00561332889768846;6043;ASDGAGE ASRREA0_;TOTWGT;JRR;HALF;Y;LISTWISE;25-FEB-26;15h56m;75;5;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\PIRLS2001.sav;NONE
Sweden;ASRREA0_;118082,70065;561,064485299355;65,7633435883069;2050,7125618136;2,21541587862423;1,18652645772532;6043;ASDGAGE ASRREA0_;TOTWGT;JRR;HALF;Y;LISTWISE;25-FEB-26;15h56m;75;5;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\PIRLS2001.sav;NONE
Sweden (Grade 3);ASDGAGE;116267,464284999;9,80902183193674;,33940838151024;2616,35788861166;,00743518095242348;,0104946114459962;5271;ASDGAGE ASRREA0_;TOTWGT;JRR;HALF;Y;LISTWISE;25-FEB-26;15h56m;75;5;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\PIRLS2001.sav;NONE
Sweden (Grade 3);ASRREA0_;116267,464284999;519,686713213882;77,0965533292334;2616,35788861166;2,72083613320541;1,4743456014076;5271;ASDGAGE ASRREA0_;TOTWGT;JRR;HALF;Y;LISTWISE;25-FEB-26;15h56m;75;5;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\PIRLS2001.sav;NONE
Turkey;ASDGAGE;977316,172569996;10,2315014526719;,811606905987909;29288,3661535546;,0249794324084388;,0281222306451438;5125;ASDGAGE ASRREA0_;TOTWGT;JRR;HALF;Y;LISTWISE;25-FEB-26;15h56m;75;5;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\PIRLS2001.sav;NONE
Turkey;ASRREA0_;977316,172569996;449,354288812103;86,2142765819609;29288,3661535546;3,5367362737972;1,56146627673465;5125;ASDGAGE ASRREA0_;TOTWGT;JRR;HALF;Y;LISTWISE;25-FEB-26;15h56m;75;5;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\PIRLS2001.sav;NONE
United States;ASDGAGE;3802557,03303802;10,2170128799181;,457627940438688;142927,766196718;,0158507683980781;,0101737550209028;3763;ASDGAGE ASRREA0_;TOTWGT;JRR;HALF;Y;LISTWISE;25-FEB-26;15h56m;75;5;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\PIRLS2001.sav;NONE
United States;ASRREA0_;3802557,03303802;542,148989980156;83,1813600684754;142927,766196718;3,81673904385951;2,00749843937549;3763;ASDGAGE ASRREA0_;TOTWGT;JRR;HALF;Y;LISTWISE;25-FEB-26;15h56m;75;5;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\PIRLS2001.sav;NONE
Table Average;ASDGAGE; ;10,2918658777725;,530188254300833; ;,00330676494502476;,00322396402286427; ;ASDGAGE ASRREA0_;TOTWGT;JRR;HALF;Y;LISTWISE;25-FEB-26;15h56m;75;5;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\PIRLS2001.sav;NONE
Table Average;ASRREA0_; ;501,780250525114;79,2306730647736; ;,620162442077654;,377497185861729; ;ASDGAGE ASRREA0_;TOTWGT;JRR;HALF;Y;LISTWISE;25-FEB-26;15h56m;75;5;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\PIRLS2001.sav;NONE
