SGENDER;percentile;dvar;groupvar;refgroup;compgroup;val;val_se;cval;cval_se;valdiff;valdiff_se;valdiff_t;weight;method;jk2type;shortcut;date;time;reps;npv;infile;selcrit
BOY;10;PVCIV;IDCNTRY;Bulgaria;Austria;318,564082478314;6,59690782199578;362,306844454078;10,6197173219189;43,7427619757641;12,5019034074566;3,49888817327404;TOTWGTS;JRR;HALF;N;26-FEB-26;10h12m;75;5;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\ICCS2009.sav;NONE
BOY;10;PVCIV;IDCNTRY;Bulgaria;Bulgaria;318,564082478314;6,59690782199578;318,564082478314;6,59690782199578;0;9,32943651159159;0;TOTWGTS;JRR;HALF;N;26-FEB-26;10h12m;75;5;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\ICCS2009.sav;NONE
BOY;10;PVCIV;IDCNTRY;Bulgaria;Chile;318,564082478314;6,59690782199578;364,620163597027;6,11685306166358;46,0560811187132;8,99639284323957;5,11939417511347;TOTWGTS;JRR;HALF;N;26-FEB-26;10h12m;75;5;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\ICCS2009.sav;NONE
BOY;10;PVCIV;IDCNTRY;Bulgaria;Chinese Taipei;318,564082478314;6,59690782199578;417,40590040432;6,63034396000892;98,8418179260055;9,35310931401616;10,5678031345026;TOTWGTS;JRR;HALF;N;26-FEB-26;10h12m;75;5;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\ICCS2009.sav;NONE
BOY;10;PVCIV;IDCNTRY;Bulgaria;Colombia;318,564082478314;6,59690782199578;353,894774843355;6,44772926247702;35,3306923650403;9,2245544853999;3,83007032165723;TOTWGTS;JRR;HALF;N;26-FEB-26;10h12m;75;5;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\ICCS2009.sav;NONE
BOY;10;PVCIV;IDCNTRY;Bulgaria;Cyprus;318,564082478314;6,59690782199578;318,143478997595;5,38224566359398;-,420603480719797;8,51397446526505;-,0494015435958561;TOTWGTS;JRR;HALF;N;26-FEB-26;10h12m;75;5;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\ICCS2009.sav;NONE
BOY;10;PVCIV;IDCNTRY;Bulgaria;Czech Republic;318,564082478314;6,59690782199578;391,118182870808;5,69758609575017;72,5541003924934;8,71674710717219;8,32352935108046;TOTWGTS;JRR;HALF;N;26-FEB-26;10h12m;75;5;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\ICCS2009.sav;NONE
BOY;10;PVCIV;IDCNTRY;Bulgaria;Denmark;318,564082478314;6,59690782199578;438,015470950593;8,18557482826231;119,451388472279;10,5129837858236;11,3622726816486;TOTWGTS;JRR;HALF;N;26-FEB-26;10h12m;75;5;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\ICCS2009.sav;NONE
BOY;10;PVCIV;IDCNTRY;Bulgaria;Dominican Republic;318,564082478314;6,59690782199578;292,696968425338;6,00741930609048;-25,8671140529759;8,92234719852897;-2,89913780280156;TOTWGTS;JRR;HALF;N;26-FEB-26;10h12m;75;5;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\ICCS2009.sav;NONE
BOY;10;PVCIV;IDCNTRY;Bulgaria;Estonia;318,564082478314;6,59690782199578;384,809130662765;9,18852562282103;66,2450481844505;11,3114188293577;5,85647558310881;TOTWGTS;JRR;HALF;N;26-FEB-26;10h12m;75;5;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\ICCS2009.sav;NONE
