"";"IDCNTRY";"Variable";"BSSSCI0_";"BSMALG0_";"BSSSCI0_.se";"BSMALG0_.se";"xvar";"weight";"method";"jk2type";"shortcut";"missoptn";"date";"time";"reps";"npv";"selcrit"
"18";"England";"BSMALG0_";0,82861488893587;1;0,00896826655663913;0;" BSSSCI0_ BSMALG0_";"TOTWGT";"JRR";"FULL";"N";"LISTWISE";"04-MAR-26";" 6h40m";250;5;"NONE"
"19";"Finland";"BSSSCI0_";1;0,796378175324693;0;0,00763592725121029;" BSSSCI0_ BSMALG0_";"TOTWGT";"JRR";"FULL";"N";"LISTWISE";"04-MAR-26";" 6h40m";250;5;"NONE"
"20";"Finland";"BSMALG0_";0,796378175324693;1;0,00763592725121029;0;" BSSSCI0_ BSMALG0_";"TOTWGT";"JRR";"FULL";"N";"LISTWISE";"04-MAR-26";" 6h40m";250;5;"NONE"
"21";"France";"BSSSCI0_";1;0,799542199969725;0;0,0103784003523879;" BSSSCI0_ BSMALG0_";"TOTWGT";"JRR";"FULL";"N";"LISTWISE";"04-MAR-26";" 6h40m";250;5;"NONE"
"22";"France";"BSMALG0_";0,799542199969725;1;0,0103784003523879;0;" BSSSCI0_ BSMALG0_";"TOTWGT";"JRR";"FULL";"N";"LISTWISE";"04-MAR-26";" 6h40m";250;5;"NONE"
"23";"Georgia";"BSSSCI0_";1;0,717512131543098;0;0,0112734013956686;" BSSSCI0_ BSMALG0_";"TOTWGT";"JRR";"FULL";"N";"LISTWISE";"04-MAR-26";" 6h40m";250;5;"NONE"
"24";"Georgia";"BSMALG0_";0,717512131543098;1;0,0112734013956686;0;" BSSSCI0_ BSMALG0_";"TOTWGT";"JRR";"FULL";"N";"LISTWISE";"04-MAR-26";" 6h40m";250;5;"NONE"
"25";"Hong Kong, SAR";"BSSSCI0_";1;0,748103188096091;0;0,0202421999947884;" BSSSCI0_ BSMALG0_";"TOTWGT";"JRR";"FULL";"N";"LISTWISE";"04-MAR-26";" 6h40m";250;5;"NONE"
"26";"Hong Kong, SAR";"BSMALG0_";0,748103188096091;1;0,0202421999947884;0;" BSSSCI0_ BSMALG0_";"TOTWGT";"JRR";"FULL";"N";"LISTWISE";"04-MAR-26";" 6h40m";250;5;"NONE"
"27";"Hungary";"BSSSCI0_";1;0,824188692157898;0;0,0119930182559254;" BSSSCI0_ BSMALG0_";"TOTWGT";"JRR";"FULL";"N";"LISTWISE";"04-MAR-26";" 6h40m";250;5;"NONE"
"28";"Hungary";"BSMALG0_";0,824188692157898;1;0,0119930182559254;0;" BSSSCI0_ BSMALG0_";"TOTWGT";"JRR";"FULL";"N";"LISTWISE";"04-MAR-26";" 6h40m";250;5;"NONE"
"29";"Iran, Islamic Republic of";"BSSSCI0_";1;0,755879773067385;0;0,0126678285138273;" BSSSCI0_ BSMALG0_";"TOTWGT";"JRR";"FULL";"N";"LISTWISE";"04-MAR-26";" 6h40m";250;5;"NONE"
"30";"Iran, Islamic Republic of";"BSMALG0_";0,755879773067385;1;0,0126678285138273;0;" BSSSCI0_ BSMALG0_";"TOTWGT";"JRR";"FULL";"N";"LISTWISE";"04-MAR-26";" 6h40m";250;5;"NONE"
"31";"Ireland";"BSSSCI0_";1;0,777405194008504;0;0,0101282679604438;" BSSSCI0_ BSMALG0_";"TOTWGT";"JRR";"FULL";"N";"LISTWISE";"04-MAR-26";" 6h40m";250;5;"NONE"
"32";"Ireland";"BSMALG0_";0,777405194008504;1;0,0101282679604438;0;" BSSSCI0_ BSMALG0_";"TOTWGT";"JRR";"FULL";"N";"LISTWISE";"04-MAR-26";" 6h40m";250;5;"NONE"
"33";"Israel";"BSSSCI0_";1;0,797881602423294;0;0,0112757251885055;" BSSSCI0_ BSMALG0_";"TOTWGT";"JRR";"FULL";"N";"LISTWISE";"04-MAR-26";" 6h40m";250;5;"NONE"
"34";"Israel";"BSMALG0_";0,797881602423294;1;0,0112757251885055;0;" BSSSCI0_ BSMALG0_";"TOTWGT";"JRR";"FULL";"N";"LISTWISE";"04-MAR-26";" 6h40m";250;5;"NONE"
"35";"Italy";"BSSSCI0_";1;0,755208571971177;0;0,011799925164101;" BSSSCI0_ BSMALG0_";"TOTWGT";"JRR";"FULL";"N";"LISTWISE";"04-MAR-26";" 6h40m";250;5;"NONE"
"36";"Italy";"BSMALG0_";0,755208571971177;1;0,011799925164101;0;" BSSSCI0_ BSMALG0_";"TOTWGT";"JRR";"FULL";"N";"LISTWISE";"04-MAR-26";" 6h40m";250;5;"NONE"
"37";"Japan";"BSSSCI0_";1;0,744381778373664;0;0,0107392255964428;" BSSSCI0_ BSMALG0_";"TOTWGT";"JRR";"FULL";"N";"LISTWISE";"04-MAR-26";" 6h40m";250;5;"NONE"
"38";"Japan";"BSMALG0_";0,744381778373664;1;0,0107392255964428;0;" BSSSCI0_ BSMALG0_";"TOTWGT";"JRR";"FULL";"N";"LISTWISE";"04-MAR-26";" 6h40m";250;5;"NONE"
"39";"Jordan";"BSSSCI0_";1;0,768665249982632;0;0,0115733246988782;" BSSSCI0_ BSMALG0_";"TOTWGT";"JRR";"FULL";"N";"LISTWISE";"04-MAR-26";" 6h40m";250;5;"NONE"
"40";"Jordan";"BSMALG0_";0,768665249982632;1;0,0115733246988782;0;" BSSSCI0_ BSMALG0_";"TOTWGT";"JRR";"FULL";"N";"LISTWISE";"04-MAR-26";" 6h40m";250;5;"NONE"
"41";"Kazakhstan";"BSSSCI0_";1;0,696025502676003;0;0,0177060024579438;" BSSSCI0_ BSMALG0_";"TOTWGT";"JRR";"FULL";"N";"LISTWISE";"04-MAR-26";" 6h40m";250;5;"NONE"
"42";"Kazakhstan";"BSMALG0_";0,696025502676003;1;0,0177060024579438;0;" BSSSCI0_ BSMALG0_";"TOTWGT";"JRR";"FULL";"N";"LISTWISE";"04-MAR-26";" 6h40m";250;5;"NONE"
"43";"Korea, Republic of";"BSSSCI0_";1;0,750687900436014;0;0,00822233160425519;" BSSSCI0_ BSMALG0_";"TOTWGT";"JRR";"FULL";"N";"LISTWISE";"04-MAR-26";" 6h40m";250;5;"NONE"
"44";"Korea, Republic of";"BSMALG0_";0,750687900436014;1;0,00822233160425519;0;" BSSSCI0_ BSMALG0_";"TOTWGT";"JRR";"FULL";"N";"LISTWISE";"04-MAR-26";" 6h40m";250;5;"NONE"
"45";"Kuwait";"BSSSCI0_";1;0,727118144090069;0;0,0187801951757305;" BSSSCI0_ BSMALG0_";"TOTWGT";"JRR";"FULL";"N";"LISTWISE";"04-MAR-26";" 6h40m";250;5;"NONE"
"46";"Kuwait";"BSMALG0_";0,727118144090069;1;0,0187801951757305;0;" BSSSCI0_ BSMALG0_";"TOTWGT";"JRR";"FULL";"N";"LISTWISE";"04-MAR-26";" 6h40m";250;5;"NONE"
"47";"Lithuania";"BSSSCI0_";1;0,820129759669032;0;0,00916101318189986;" BSSSCI0_ BSMALG0_";"TOTWGT";"JRR";"FULL";"N";"LISTWISE";"04-MAR-26";" 6h40m";250;5;"NONE"
"48";"Lithuania";"BSMALG0_";0,820129759669032;1;0,00916101318189986;0;" BSSSCI0_ BSMALG0_";"TOTWGT";"JRR";"FULL";"N";"LISTWISE";"04-MAR-26";" 6h40m";250;5;"NONE"
"49";"Malaysia";"BSSSCI0_";1;0,749500642510255;0;0,0102346256040772;" BSSSCI0_ BSMALG0_";"TOTWGT";"JRR";"FULL";"N";"LISTWISE";"04-MAR-26";" 6h40m";250;5;"NONE"
"50";"Malaysia";"BSMALG0_";0,749500642510255;1;0,0102346256040772;0;" BSSSCI0_ BSMALG0_";"TOTWGT";"JRR";"FULL";"N";"LISTWISE";"04-MAR-26";" 6h40m";250;5;"NONE"
"51";"Malta";"BSSSCI0_";1;0,802609570331198;0;0,00959956339161644;" BSSSCI0_ BSMALG0_";"TOTWGT";"JRR";"FULL";"N";"LISTWISE";"04-MAR-26";" 6h40m";250;5;"NONE"
"52";"Malta";"BSMALG0_";0,802609570331198;1;0,00959956339161644;0;" BSSSCI0_ BSMALG0_";"TOTWGT";"JRR";"FULL";"N";"LISTWISE";"04-MAR-26";" 6h40m";250;5;"NONE"
"53";"Morocco";"BSSSCI0_";1;0,606502419759391;0;0,0178243535871472;" BSSSCI0_ BSMALG0_";"TOTWGT";"JRR";"FULL";"N";"LISTWISE";"04-MAR-26";" 6h40m";250;5;"NONE"
"54";"Morocco";"BSMALG0_";0,606502419759391;1;0,0178243535871472;0;" BSSSCI0_ BSMALG0_";"TOTWGT";"JRR";"FULL";"N";"LISTWISE";"04-MAR-26";" 6h40m";250;5;"NONE"
"55";"New Zealand";"BSSSCI0_";1;0,793207370823699;0;0,0101763495299197;" BSSSCI0_ BSMALG0_";"TOTWGT";"JRR";"FULL";"N";"LISTWISE";"04-MAR-26";" 6h40m";250;5;"NONE"
"56";"New Zealand";"BSMALG0_";0,793207370823699;1;0,0101763495299197;0;" BSSSCI0_ BSMALG0_";"TOTWGT";"JRR";"FULL";"N";"LISTWISE";"04-MAR-26";" 6h40m";250;5;"NONE"
"57";"Norway";"BSSSCI0_";1;0,773910701446986;0;0,0109357728382381;" BSSSCI0_ BSMALG0_";"TOTWGT";"JRR";"FULL";"N";"LISTWISE";"04-MAR-26";" 6h40m";250;5;"NONE"
"58";"Norway";"BSMALG0_";0,773910701446986;1;0,0109357728382381;0;" BSSSCI0_ BSMALG0_";"TOTWGT";"JRR";"FULL";"N";"LISTWISE";"04-MAR-26";" 6h40m";250;5;"NONE"
"59";"Oman";"BSSSCI0_";1;0,803761750988699;0;0,00588275390993774;" BSSSCI0_ BSMALG0_";"TOTWGT";"JRR";"FULL";"N";"LISTWISE";"04-MAR-26";" 6h40m";250;5;"NONE"
"60";"Oman";"BSMALG0_";0,803761750988699;1;0,00588275390993774;0;" BSSSCI0_ BSMALG0_";"TOTWGT";"JRR";"FULL";"N";"LISTWISE";"04-MAR-26";" 6h40m";250;5;"NONE"
"61";"Portugal";"BSSSCI0_";1;0,784811135213572;0;0,00746756385254738;" BSSSCI0_ BSMALG0_";"TOTWGT";"JRR";"FULL";"N";"LISTWISE";"04-MAR-26";" 6h40m";250;5;"NONE"
"62";"Portugal";"BSMALG0_";0,784811135213572;1;0,00746756385254738;0;" BSSSCI0_ BSMALG0_";"TOTWGT";"JRR";"FULL";"N";"LISTWISE";"04-MAR-26";" 6h40m";250;5;"NONE"
"63";"Qatar";"BSSSCI0_";1;0,825402440349368;0;0,0111499415726042;" BSSSCI0_ BSMALG0_";"TOTWGT";"JRR";"FULL";"N";"LISTWISE";"04-MAR-26";" 6h40m";250;5;"NONE"
"64";"Qatar";"BSMALG0_";0,825402440349368;1;0,0111499415726042;0;" BSSSCI0_ BSMALG0_";"TOTWGT";"JRR";"FULL";"N";"LISTWISE";"04-MAR-26";" 6h40m";250;5;"NONE"
"65";"Romania";"BSSSCI0_";1;0,779069877343842;0;0,0142081122425522;" BSSSCI0_ BSMALG0_";"TOTWGT";"JRR";"FULL";"N";"LISTWISE";"04-MAR-26";" 6h40m";250;5;"NONE"
"66";"Romania";"BSMALG0_";0,779069877343842;1;0,0142081122425522;0;" BSSSCI0_ BSMALG0_";"TOTWGT";"JRR";"FULL";"N";"LISTWISE";"04-MAR-26";" 6h40m";250;5;"NONE"
"67";"Saudi Arabia";"BSSSCI0_";1;0,76511813358136;0;0,00879429639500796;" BSSSCI0_ BSMALG0_";"TOTWGT";"JRR";"FULL";"N";"LISTWISE";"04-MAR-26";" 6h40m";250;5;"NONE"
"68";"Saudi Arabia";"BSMALG0_";0,76511813358136;1;0,00879429639500796;0;" BSSSCI0_ BSMALG0_";"TOTWGT";"JRR";"FULL";"N";"LISTWISE";"04-MAR-26";" 6h40m";250;5;"NONE"
"69";"Singapore";"BSSSCI0_";1;0,840601689723843;0;0,011104116051071;" BSSSCI0_ BSMALG0_";"TOTWGT";"JRR";"FULL";"N";"LISTWISE";"04-MAR-26";" 6h40m";250;5;"NONE"
"70";"Singapore";"BSMALG0_";0,840601689723843;1;0,011104116051071;0;" BSSSCI0_ BSMALG0_";"TOTWGT";"JRR";"FULL";"N";"LISTWISE";"04-MAR-26";" 6h40m";250;5;"NONE"
"71";"South Africa";"BSSSCI0_";1;0,733517184130046;0;0,0154132619038145;" BSSSCI0_ BSMALG0_";"TOTWGT";"JRR";"FULL";"N";"LISTWISE";"04-MAR-26";" 6h40m";250;5;"NONE"
"72";"South Africa";"BSMALG0_";0,733517184130046;1;0,0154132619038145;0;" BSSSCI0_ BSMALG0_";"TOTWGT";"JRR";"FULL";"N";"LISTWISE";"04-MAR-26";" 6h40m";250;5;"NONE"
"73";"Sweden";"BSSSCI0_";1;0,797388513324849;0;0,0102925247903145;" BSSSCI0_ BSMALG0_";"TOTWGT";"JRR";"FULL";"N";"LISTWISE";"04-MAR-26";" 6h40m";250;5;"NONE"
"74";"Sweden";"BSMALG0_";0,797388513324849;1;0,0102925247903145;0;" BSSSCI0_ BSMALG0_";"TOTWGT";"JRR";"FULL";"N";"LISTWISE";"04-MAR-26";" 6h40m";250;5;"NONE"
"75";"Turkey";"BSSSCI0_";1;0,839345495542978;0;0,00803881496319036;" BSSSCI0_ BSMALG0_";"TOTWGT";"JRR";"FULL";"N";"LISTWISE";"04-MAR-26";" 6h40m";250;5;"NONE"
"76";"Turkey";"BSMALG0_";0,839345495542978;1;0,00803881496319036;0;" BSSSCI0_ BSMALG0_";"TOTWGT";"JRR";"FULL";"N";"LISTWISE";"04-MAR-26";" 6h40m";250;5;"NONE"
"77";"United Arab Emirates";"BSSSCI0_";1;0,824134739435155;0;0,00408484675562723;" BSSSCI0_ BSMALG0_";"TOTWGT";"JRR";"FULL";"N";"LISTWISE";"04-MAR-26";" 6h40m";250;5;"NONE"
"78";"United Arab Emirates";"BSMALG0_";0,824134739435155;1;0,00408484675562723;0;" BSSSCI0_ BSMALG0_";"TOTWGT";"JRR";"FULL";"N";"LISTWISE";"04-MAR-26";" 6h40m";250;5;"NONE"
"79";"United Arab Emirates (Abu Dhabi)";"BSSSCI0_";1;0,820759588570972;0;0,00655125814611957;" BSSSCI0_ BSMALG0_";"TOTWGT";"JRR";"FULL";"N";"LISTWISE";"04-MAR-26";" 6h40m";250;5;"NONE"
"80";"United Arab Emirates (Abu Dhabi)";"BSMALG0_";0,820759588570972;1;0,00655125814611957;0;" BSSSCI0_ BSMALG0_";"TOTWGT";"JRR";"FULL";"N";"LISTWISE";"04-MAR-26";" 6h40m";250;5;"NONE"
"81";"United Arab Emirates (Dubai)";"BSSSCI0_";1;0,802749460965276;0;0,00924875362555865;" BSSSCI0_ BSMALG0_";"TOTWGT";"JRR";"FULL";"N";"LISTWISE";"04-MAR-26";" 6h40m";250;5;"NONE"
"82";"United Arab Emirates (Dubai)";"BSMALG0_";0,802749460965276;1;0,00924875362555865;0;" BSSSCI0_ BSMALG0_";"TOTWGT";"JRR";"FULL";"N";"LISTWISE";"04-MAR-26";" 6h40m";250;5;"NONE"
"83";"United Arab Emirates (Sharjah)";"BSSSCI0_";1;0,785007625120061;0;0,0154584986921454;" BSSSCI0_ BSMALG0_";"TOTWGT";"JRR";"FULL";"N";"LISTWISE";"04-MAR-26";" 6h40m";250;5;"NONE"
"84";"United Arab Emirates (Sharjah)";"BSMALG0_";0,785007625120061;1;0,0154584986921454;0;" BSSSCI0_ BSMALG0_";"TOTWGT";"JRR";"FULL";"N";"LISTWISE";"04-MAR-26";" 6h40m";250;5;"NONE"
"85";"United States";"BSSSCI0_";1;0,825050211653009;0;0,00799530383692774;" BSSSCI0_ BSMALG0_";"TOTWGT";"JRR";"FULL";"N";"LISTWISE";"04-MAR-26";" 6h40m";250;5;"NONE"
"86";"United States";"BSMALG0_";0,825050211653009;1;0,00799530383692774;0;" BSSSCI0_ BSMALG0_";"TOTWGT";"JRR";"FULL";"N";"LISTWISE";"04-MAR-26";" 6h40m";250;5;"NONE"
"87";"Uzbekistan";"BSSSCI0_";1;0,665132935152649;0;0,0193235081331388;" BSSSCI0_ BSMALG0_";"TOTWGT";"JRR";"FULL";"N";"LISTWISE";"04-MAR-26";" 6h40m";250;5;"NONE"
"88";"Uzbekistan";"BSMALG0_";0,665132935152649;1;0,0193235081331388;0;" BSSSCI0_ BSMALG0_";"TOTWGT";"JRR";"FULL";"N";"LISTWISE";"04-MAR-26";" 6h40m";250;5;"NONE"
"89";"Table Average";"BSSSCI0_";1;0,774744113245603;0;0,00174780473654769;" BSSSCI0_ BSMALG0_";"TOTWGT";"JRR";"FULL";"N";"LISTWISE";"04-MAR-26";" 6h40m";250;5;"NONE"
"90";"Table Average";"BSMALG0_";0,774744113245603;1;0,00174780473654769;0;" BSSSCI0_ BSMALG0_";"TOTWGT";"JRR";"FULL";"N";"LISTWISE";"04-MAR-26";" 6h40m";250;5;"NONE"
