IDCNTRY;dvar;groupvar;refgroup;compgroup;pct;pct_se;cpct;cpct_se;pctdiff;pctdiff_se;pctdiff_t;mnpv;mnpv_se;cmnpv;cmnpv_se;mnpvdiff;mnpvdiff_se;mnpvdiff_t;mnpvdiff_ci;weight;method;jk2type;shortcut;date;time;reps;npv;infile;selcrit
Canada;ASRREA0;ASBG01;Boy;Boy;50,6626003894647;,617638261093055;50,6626003894647;,617638261093055;0; ; ;537,382217511789;2,07436824150064;537,382217511789;2,07436824150064;0; ; ; ;TOTWGT;JRR;FULL;N;25-FEB-26;21h 8m;150;5;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\PIRLS2016.sav;NONE
Chile;ASRREA0;ASBG01;Girl;Girl;47,6263223824847;1,41336818971085;47,6263223824847;1,41336818971085;0; ; ;501,607374958723;2,92808210517868;501,607374958723;2,92808210517868;0; ; ; ;TOTWGT;JRR;FULL;N;25-FEB-26;21h 8m;150;5;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\PIRLS2016.sav;NONE
Chile;ASRREA0;ASBG01;Girl;Boy;47,6263223824847;1,41336818971085;52,3736776175153;1,41336818971085;4,74735523503055;2,82673637942169;1,67944746089191;501,607374958723;2,92808210517868;487,008731839487;3,20299193199102;-14,5986431192366;3,68298949576819;-3,96380254030336;-22 to -7;TOTWGT;JRR;FULL;N;25-FEB-26;21h 8m;150;5;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\PIRLS2016.sav;NONE
Chile;ASRREA0;ASBG01;Boy;Girl;52,3736776175153;1,41336818971085;47,6263223824847;1,41336818971085;-4,74735523503055;2,82673637942169;-1,67944746089191;487,008731839487;3,20299193199102;501,607374958723;2,92808210517868;14,5986431192366;3,68298949576819;3,96380254030336;7 to 22;TOTWGT;JRR;FULL;N;25-FEB-26;21h 8m;150;5;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\PIRLS2016.sav;NONE
Chile;ASRREA0;ASBG01;Boy;Boy;52,3736776175153;1,41336818971085;52,3736776175153;1,41336818971085;0; ; ;487,008731839487;3,20299193199102;487,008731839487;3,20299193199102;0; ; ; ;TOTWGT;JRR;FULL;N;25-FEB-26;21h 8m;150;5;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\PIRLS2016.sav;NONE
Chinese Taipei;ASRREA0;ASBG01;Girl;Girl;48,1092212095421;,641500318062171;48,1092212095421;,641500318062171;0; ; ;562,797378914609;2,24477820143102;562,797378914609;2,24477820143102;0; ; ; ;TOTWGT;JRR;FULL;N;25-FEB-26;21h 8m;150;5;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\PIRLS2016.sav;NONE
Chinese Taipei;ASRREA0;ASBG01;Girl;Boy;48,1092212095421;,641500318062171;51,8907787904579;,64150031806217;3,78155758091575;1,28300063612434;2,94743235072665;562,797378914609;2,24477820143102;555,27504177345;2,26087226491153;-7,52233714115964;1,91351401947008;-3,93116385070586;-11 to -4;TOTWGT;JRR;FULL;N;25-FEB-26;21h 8m;150;5;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\PIRLS2016.sav;NONE
Chinese Taipei;ASRREA0;ASBG01;Boy;Girl;51,8907787904579;,64150031806217;48,1092212095421;,641500318062171;-3,78155758091575;1,28300063612434;-2,94743235072665;555,27504177345;2,26087226491153;562,797378914609;2,24477820143102;7,52233714115964;1,91351401947008;3,93116385070586;4 to 11;TOTWGT;JRR;FULL;N;25-FEB-26;21h 8m;150;5;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\PIRLS2016.sav;NONE
Chinese Taipei;ASRREA0;ASBG01;Boy;Boy;51,8907787904579;,64150031806217;51,8907787904579;,64150031806217;0; ; ;555,27504177345;2,26087226491153;555,27504177345;2,26087226491153;0; ; ; ;TOTWGT;JRR;FULL;N;25-FEB-26;21h 8m;150;5;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\PIRLS2016.sav;NONE
Czech Republic;ASRREA0;ASBG01;Girl;Girl;49,1285414013935;,94239972040127;49,1285414013935;,94239972040127;0; ; ;548,663220340885;2,18831877323358;548,663220340885;2,18831877323358;0; ; ; ;TOTWGT;JRR;FULL;N;25-FEB-26;21h 8m;150;5;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\PIRLS2016.sav;NONE
Czech Republic;ASRREA0;ASBG01;Girl;Boy;49,1285414013935;,94239972040127;50,8714585986065;,942399720401269;1,74291719721303;1,88479944080254;,924722895965477;548,663220340885;2,18831877323358;538,306231127626;2,64058961584342;-10,3569892132592;2,38378338168241;-4,34476945046472;-15 to -6;TOTWGT;JRR;FULL;N;25-FEB-26;21h 8m;150;5;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\PIRLS2016.sav;NONE
Czech Republic;ASRREA0;ASBG01;Boy;Girl;50,8714585986065;,942399720401269;49,1285414013935;,94239972040127;-1,74291719721303;1,88479944080254;-,924722895965477;538,306231127626;2,64058961584342;548,663220340885;2,18831877323358;10,3569892132592;2,38378338168241;4,34476945046472;6 to 15;TOTWGT;JRR;FULL;N;25-FEB-26;21h 8m;150;5;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\PIRLS2016.sav;NONE
