"";"IDCNTRY";"BSBG01";"dvar";"groupvar";"refpctile";"comppctile";"val";"val_se";"cval";"cval_se";"gap";"gap_se";"gap_t";"weight";"method";"jk2type";"shortcut";"date";"time";"reps";"npv";"selcrit"
"36";"Chinese Taipei";"Boy";"BSMMAT0";"Percentile";50;90;613,974172;3,61999404498742;717,340078;4,00619716749989;103,365906;4,35578716780977;23,7307063035349;"TOTWGT";"JRR";"FULL";"N";"04-MAR-26";"13h19m";150;5;"NONE"
"37";"Georgia";"Girl";"BSMMAT0";"Percentile";10;50;338,417844;8,58510127787062;457,756346;5,79745796315989;119,338502;9,3630640254221;12,745667622904;"TOTWGT";"JRR";"FULL";"N";"04-MAR-26";"13h19m";150;5;"NONE"
"38";"Georgia";"Girl";"BSMMAT0";"Percentile";10;90;338,417844;8,58510127787062;563,474428;5,51840244612817;225,056584;9,25022633986352;24,3298461822633;"TOTWGT";"JRR";"FULL";"N";"04-MAR-26";"13h19m";150;5;"NONE"
"39";"Georgia";"Girl";"BSMMAT0";"Percentile";50;90;457,756346;5,79745796315989;563,474428;5,51840244612817;105,718082;6,45578499444515;16,3757129599212;"TOTWGT";"JRR";"FULL";"N";"04-MAR-26";"13h19m";150;5;"NONE"
"40";"Georgia";"Boy";"BSMMAT0";"Percentile";10;50;326,709278;6,9732188001377;453,888878;4,77961212038424;127,1796;6,45601846303664;19,6993860423658;"TOTWGT";"JRR";"FULL";"N";"04-MAR-26";"13h19m";150;5;"NONE"
"41";"Georgia";"Boy";"BSMMAT0";"Percentile";10;90;326,709278;6,9732188001377;575,637594;5,40790720245419;248,928316;7,97246316621942;31,2235140896917;"TOTWGT";"JRR";"FULL";"N";"04-MAR-26";"13h19m";150;5;"NONE"
"42";"Georgia";"Boy";"BSMMAT0";"Percentile";50;90;453,888878;4,77961212038424;575,637594;5,40790720245419;121,748716;5,46334675267972;22,2846400771255;"TOTWGT";"JRR";"FULL";"N";"04-MAR-26";"13h19m";150;5;"NONE"
"43";"Hong Kong, SAR";"Girl";"BSMMAT0";"Percentile";10;50;497,14825;10,8100683255181;598,463086;4,46746697166255;101,314836;9,95026783437137;10,1821214952653;"TOTWGT";"JRR";"FULL";"N";"04-MAR-26";"13h19m";150;5;"NONE"
"44";"Hong Kong, SAR";"Girl";"BSMMAT0";"Percentile";10;90;497,14825;10,8100683255181;677,368738;6,86144059010889;180,220488;10,9160928422071;16,5096148049581;"TOTWGT";"JRR";"FULL";"N";"04-MAR-26";"13h19m";150;5;"NONE"
"45";"Hong Kong, SAR";"Girl";"BSMMAT0";"Percentile";50;90;598,463086;4,46746697166255;677,368738;6,86144059010889;78,905652;5,53673789933146;14,251289014336;"TOTWGT";"JRR";"FULL";"N";"04-MAR-26";"13h19m";150;5;"NONE"
"46";"Hong Kong, SAR";"Boy";"BSMMAT0";"Percentile";10;50;481,459938;13,2521494570403;606,951602;5,31897468150063;125,491664;10,9273497353845;11,4841811636758;"TOTWGT";"JRR";"FULL";"N";"04-MAR-26";"13h19m";150;5;"NONE"
"47";"Hong Kong, SAR";"Boy";"BSMMAT0";"Percentile";10;90;481,459938;13,2521494570403;693,558996;5,46559555152738;212,099058;12,1224249957281;17,4964215554844;"TOTWGT";"JRR";"FULL";"N";"04-MAR-26";"13h19m";150;5;"NONE"
"48";"Hong Kong, SAR";"Boy";"BSMMAT0";"Percentile";50;90;606,951602;5,31897468150063;693,558996;5,46559555152738;86,607394;4,23931979118542;20,4295496131426;"TOTWGT";"JRR";"FULL";"N";"04-MAR-26";"13h19m";150;5;"NONE"
"49";"Hungary";"Girl";"BSMMAT0";"Percentile";10;50;384,780506;8,55387421330861;515,490122;6,05354943471961;130,709616;8,28531345877123;15,7760616602411;"TOTWGT";"JRR";"FULL";"N";"04-MAR-26";"13h19m";150;5;"NONE"
"50";"Hungary";"Girl";"BSMMAT0";"Percentile";10;90;384,780506;8,55387421330861;625,108848;5,56559398875486;240,328342;9,42265930512053;25,5053625752338;"TOTWGT";"JRR";"FULL";"N";"04-MAR-26";"13h19m";150;5;"NONE"
"51";"Hungary";"Girl";"BSMMAT0";"Percentile";50;90;515,490122;6,05354943471961;625,108848;5,56559398875486;109,618726;6,38644287351778;17,1642850599272;"TOTWGT";"JRR";"FULL";"N";"04-MAR-26";"13h19m";150;5;"NONE"
"52";"Hungary";"Boy";"BSMMAT0";"Percentile";10;50;397,380284;7,15906551957557;521,527368;5,04122679267994;124,147084;7,73630677843929;16,0473320869322;"TOTWGT";"JRR";"FULL";"N";"04-MAR-26";"13h19m";150;5;"NONE"
"53";"Hungary";"Boy";"BSMMAT0";"Percentile";10;90;397,380284;7,15906551957557;639,311224;6,96370525427494;241,93094;9,03722819699051;26,7704803648275;"TOTWGT";"JRR";"FULL";"N";"04-MAR-26";"13h19m";150;5;"NONE"
"54";"Hungary";"Boy";"BSMMAT0";"Percentile";50;90;521,527368;5,04122679267994;639,311224;6,96370525427494;117,783856;6,15665980915838;19,1311294843333;"TOTWGT";"JRR";"FULL";"N";"04-MAR-26";"13h19m";150;5;"NONE"
"55";"Iran, Islamic Republic of";"Girl";"BSMMAT0";"Percentile";10;50;322,496774;6,70567555402258;436,595746;6,24224426944876;114,098972;7,28947624544548;15,6525610562611;"TOTWGT";"JRR";"FULL";"N";"04-MAR-26";"13h19m";150;5;"NONE"
"56";"Iran, Islamic Republic of";"Girl";"BSMMAT0";"Percentile";10;90;322,496774;6,70567555402258;556,119448;8,41804509879011;233,622674;9,64387007796747;24,2249918457257;"TOTWGT";"JRR";"FULL";"N";"04-MAR-26";"13h19m";150;5;"NONE"
"57";"Iran, Islamic Republic of";"Girl";"BSMMAT0";"Percentile";50;90;436,595746;6,24224426944876;556,119448;8,41804509879011;119,523702;6,71663230325242;17,7951831518487;"TOTWGT";"JRR";"FULL";"N";"04-MAR-26";"13h19m";150;5;"NONE"
"58";"Iran, Islamic Republic of";"Boy";"BSMMAT0";"Percentile";10;50;310,400698;5,11699851726421;431,081312;7,88603173273694;120,680614;6,06482249719364;19,898457713452;"TOTWGT";"JRR";"FULL";"N";"04-MAR-26";"13h19m";150;5;"NONE"
"59";"Iran, Islamic Republic of";"Boy";"BSMMAT0";"Percentile";10;90;310,400698;5,11699851726421;563,652168;13,6562208965019;253,25147;13,1780534644085;19,2176690346556;"TOTWGT";"JRR";"FULL";"N";"04-MAR-26";"13h19m";150;5;"NONE"
"60";"Iran, Islamic Republic of";"Boy";"BSMMAT0";"Percentile";50;90;431,081312;7,88603173273694;563,652168;13,6562208965019;132,570856;10,5069572220599;12,6174355903592;"TOTWGT";"JRR";"FULL";"N";"04-MAR-26";"13h19m";150;5;"NONE"
"61";"Ireland";"Girl";"BSMMAT0";"Percentile";10;50;426,931638;5,99269495726872;527,388044;2,97355669909556;100,456406;5,66425219642324;17,7351577077437;"TOTWGT";"JRR";"FULL";"N";"04-MAR-26";"13h19m";150;5;"NONE"
"62";"Ireland";"Girl";"BSMMAT0";"Percentile";10;90;426,931638;5,99269495726872;606,461382;3,34173291644676;179,529744;6,59549605608905;27,2200517555091;"TOTWGT";"JRR";"FULL";"N";"04-MAR-26";"13h19m";150;5;"NONE"
"63";"Ireland";"Girl";"BSMMAT0";"Percentile";50;90;527,388044;2,97355669909556;606,461382;3,34173291644676;79,073338;3,80131800404856;20,8015582794661;"TOTWGT";"JRR";"FULL";"N";"04-MAR-26";"13h19m";150;5;"NONE"
"64";"Ireland";"Boy";"BSMMAT0";"Percentile";10;50;424,814166;7,50999390570897;532,348946;4,04416637643975;107,53478;6,87688308441987;15,6371394830935;"TOTWGT";"JRR";"FULL";"N";"04-MAR-26";"13h19m";150;5;"NONE"
"65";"Ireland";"Boy";"BSMMAT0";"Percentile";10;90;424,814166;7,50999390570897;619,25329;4,98979969324216;194,439124;8,25561951530868;23,5523359136701;"TOTWGT";"JRR";"FULL";"N";"04-MAR-26";"13h19m";150;5;"NONE"
"66";"Ireland";"Boy";"BSMMAT0";"Percentile";50;90;532,348946;4,04416637643975;619,25329;4,98979969324216;86,904344;4,00829306313867;21,6811352441256;"TOTWGT";"JRR";"FULL";"N";"04-MAR-26";"13h19m";150;5;"NONE"
"67";"Israel";"Girl";"BSMMAT0";"Percentile";10;50;376,883946;7,06052118132622;517,388356;5,28718495187615;140,50441;6,73583189583962;20,859251265873;"TOTWGT";"JRR";"FULL";"N";"04-MAR-26";"13h19m";150;5;"NONE"
"68";"Israel";"Girl";"BSMMAT0";"Percentile";10;90;376,883946;7,06052118132622;631,076192;5,50014600451065;254,192246;8,41006142447288;30,22477877038;"TOTWGT";"JRR";"FULL";"N";"04-MAR-26";"13h19m";150;5;"NONE"
