"";"IDCNTRY";"EqVar";"b";"ExpB";"df";"b.se";"ExpB.se";"b.wald";"b.sig";"dvar";"convar";"catvar";"contrast";"refcats";"weight";"method";"jk2type";"shortcut";"date";"time";"reps";"npv";"selcrit"
"41";"Chinese Taipei";"CONSTANT";-1,69894037637596;0,352425681265276;1;2,13370311785121;0,958353476840467;0,633998589749788;0,425892387223688;"BSMMAT0_DIC";"BSDAGE";"BSDGSLM BSBG01";"INDICATOR INDICATOR";"DEFAULT DEFAULT";"TOTWGT";"JRR";"FULL";"N";"05-MAR-26";" 0h 2m";150;5;"NONE"
"42";"Chinese Taipei";"BSDAGE";0,139062148378296;1,15291333168361;1;0,149084204877165;0,171567903100326;0,870070817031415;0,350935704240925;"BSMMAT0_DIC";"BSDAGE";"BSDGSLM BSBG01";"INDICATOR INDICATOR";"DEFAULT DEFAULT";"TOTWGT";"JRR";"FULL";"N";"05-MAR-26";" 0h 2m";150;5;"NONE"
"43";"Chinese Taipei";"BSDGSLM(1)";2,35140135365618;10,5126012395729;1;0,212708902415063;2,24609651015504;122,203091965444;2,08377470866257e-28;"BSMMAT0_DIC";"BSDAGE";"BSDGSLM BSBG01";"INDICATOR INDICATOR";"DEFAULT DEFAULT";"TOTWGT";"JRR";"FULL";"N";"05-MAR-26";" 0h 2m";150;5;"NONE"
"44";"Chinese Taipei";"BSDGSLM(2)";1,39883530913497;4,05317334542211;1;0,0950468126432086;0,385362396316915;216,599802953443;4,98975254150633e-49;"BSMMAT0_DIC";"BSDAGE";"BSDGSLM BSBG01";"INDICATOR INDICATOR";"DEFAULT DEFAULT";"TOTWGT";"JRR";"FULL";"N";"05-MAR-26";" 0h 2m";150;5;"NONE"
"45";"Chinese Taipei";"BSBG01(1)";0,212824522140309;1,23778707540285;1;0,0725765370969637;0,0896919763334497;8,59905741780696;0,00336337034713558;"BSMMAT0_DIC";"BSDAGE";"BSDGSLM BSBG01";"INDICATOR INDICATOR";"DEFAULT DEFAULT";"TOTWGT";"JRR";"FULL";"N";"05-MAR-26";" 0h 2m";150;5;"NONE"
"46";"Egypt";"CONSTANT";-0,297261282958314;1,26010265272146;1;2,56609784018024;4,92840541320331;0,0134193127116091;0,907777955809605;"BSMMAT0_DIC";"BSDAGE";"BSDGSLM BSBG01";"INDICATOR INDICATOR";"DEFAULT DEFAULT";"TOTWGT";"JRR";"FULL";"N";"05-MAR-26";" 0h 2m";150;5;"NONE"
"47";"Egypt";"BSDAGE";-0,283819994484235;0,754830672440291;1;0,183558018278372;0,138217036862379;2,3907780169958;0,122052871376479;"BSMMAT0_DIC";"BSDAGE";"BSDGSLM BSBG01";"INDICATOR INDICATOR";"DEFAULT DEFAULT";"TOTWGT";"JRR";"FULL";"N";"05-MAR-26";" 0h 2m";150;5;"NONE"
"48";"Egypt";"BSDGSLM(1)";2,06341375324102;7,89723714868194;1;0,246418714477424;1,96304919608972;70,1173132717079;5,58803588929096e-17;"BSMMAT0_DIC";"BSDAGE";"BSDGSLM BSBG01";"INDICATOR INDICATOR";"DEFAULT DEFAULT";"TOTWGT";"JRR";"FULL";"N";"05-MAR-26";" 0h 2m";150;5;"NONE"
"49";"Egypt";"BSDGSLM(2)";0,833168780457678;2,30951904990075;1;0,244773242978453;0,572890823267718;11,5861218806338;0,000664458358852737;"BSMMAT0_DIC";"BSDAGE";"BSDGSLM BSBG01";"INDICATOR INDICATOR";"DEFAULT DEFAULT";"TOTWGT";"JRR";"FULL";"N";"05-MAR-26";" 0h 2m";150;5;"NONE"
"50";"Egypt";"BSBG01(1)";0,0499361342651148;1,05256913920061;1;0,17770838998245;0,186118519298293;0,0789612424996319;0,778710068877166;"BSMMAT0_DIC";"BSDAGE";"BSDGSLM BSBG01";"INDICATOR INDICATOR";"DEFAULT DEFAULT";"TOTWGT";"JRR";"FULL";"N";"05-MAR-26";" 0h 2m";150;5;"NONE"
"51";"England";"CONSTANT";-5,27465627614462;0,00530313687206518;1;1,72490115280233;0,00966512512233024;9,35103975069523;0,00222859000706423;"BSMMAT0_DIC";"BSDAGE";"BSDGSLM BSBG01";"INDICATOR INDICATOR";"DEFAULT DEFAULT";"TOTWGT";"JRR";"FULL";"N";"05-MAR-26";" 0h 2m";150;5;"NONE"
