IDCNTRY;Variable;Mean;stdev;TOTWGTS;NObs;TOTWGTS.se;mean.se;stdev.se;xvar;weight;method;jk2type;missoptn;date;time;reps;infile;selcrit
Greece;RHOMELIT;1531,48629735222;862,954511084795;99193,7195503713;3101;2018,08332296332;24,0426093281208;9,6342005725776; RHOMELIT RHISCED;TOTWGTS;JRR;HALF;LISTWISE;26-FEB-26; 9h 4m;75;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\ICCS2009.sav;NONE
Greece;RHISCED;1515,64233880158;857,530006020742;99193,7195503713;3101;2018,08332296332;27,3019393727422;8,69359369277426; RHOMELIT RHISCED;TOTWGTS;JRR;HALF;LISTWISE;26-FEB-26; 9h 4m;75;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\ICCS2009.sav;NONE
Guatemala;RHOMELIT;1959,79575577867;1096,17686643099;130548,831706999;3965;6138,79489009948;37,4046250519178;8,8600341789261; RHOMELIT RHISCED;TOTWGTS;JRR;HALF;LISTWISE;26-FEB-26; 9h 4m;75;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\ICCS2009.sav;NONE
Guatemala;RHISCED;1983,70157034105;1130,88240999845;130548,831706999;3965;6138,79489009948;46,9957511997247;13,7765670070875; RHOMELIT RHISCED;TOTWGTS;JRR;HALF;LISTWISE;26-FEB-26; 9h 4m;75;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\ICCS2009.sav;NONE
Hong Kong, SAR;RHOMELIT;1353,48682407015;768,086440734591;76971,2599065071;2735;1592,71955697765;24,7826088885078;10,1073959775925; RHOMELIT RHISCED;TOTWGTS;JRR;HALF;LISTWISE;26-FEB-26; 9h 4m;75;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\ICCS2009.sav;NONE
Hong Kong, SAR;RHISCED;1360,94836428413;751,886821372681;76971,2599065071;2735;1592,71955697765;25,6272978806368;9,25076660977594; RHOMELIT RHISCED;TOTWGTS;JRR;HALF;LISTWISE;26-FEB-26; 9h 4m;75;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\ICCS2009.sav;NONE
Indonesia;RHOMELIT;2465,89290607764;1371,62412698748;3245756,23316308;4975;98649,4349144396;36,4376294096964;14,0404390062147; RHOMELIT RHISCED;TOTWGTS;JRR;HALF;LISTWISE;26-FEB-26; 9h 4m;75;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\ICCS2009.sav;NONE
Indonesia;RHISCED;2406,82933816106;1390,74302833312;3245756,23316308;4975;98649,4349144396;51,7534832806142;15,1589306921793; RHOMELIT RHISCED;TOTWGTS;JRR;HALF;LISTWISE;26-FEB-26; 9h 4m;75;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\ICCS2009.sav;NONE
Ireland;RHOMELIT;1551,64747938265;884,400938971843;51533,3377115414;3126;731,336121015542;32,2137491136995;10,0200568140621; RHOMELIT RHISCED;TOTWGTS;JRR;HALF;LISTWISE;26-FEB-26; 9h 4m;75;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\ICCS2009.sav;NONE
Ireland;RHISCED;1559,22588306414;864,131656356362;51533,3377115414;3126;731,336121015542;27,6502681513541;7,75160436949009; RHOMELIT RHISCED;TOTWGTS;JRR;HALF;LISTWISE;26-FEB-26; 9h 4m;75;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\ICCS2009.sav;NONE
