"";"IDCNTRY";"ASBGSEX";"dvar";"n";"TOTWGT";"p10";"p10_se";"p50";"p50_se";"p90";"p90_se";"weight";"reps";"method";"jk2type";"npv";"shortcut";"date";"time";"selcrit"
"33";"Latvia";"GIRL";"ASRREA0";1477;16289,56881;475,205919;5,45042000246053;560,5823038;3,48238663171726;630,1946372;5,28255432822865;"TOTWGT";75;"JRR";"HALF";5;"Y";"04-MAR-26";"13h10m";"NONE"
"34";"Latvia";"BOY";"ASRREA0";1530;17784,005616;454,761649;4,23488361591775;537,8343596;4,40712281544742;607,9651708;3,13943604360486;"TOTWGT";75;"JRR";"HALF";5;"Y";"04-MAR-26";"13h10m";"NONE"
"35";"Lithuania";"GIRL";"ASRREA0";1297;21707,127919;467,3692684;7,51771189697833;555,384912;3,57026316446786;628,6829046;5,60820717225598;"TOTWGT";75;"JRR";"HALF";5;"Y";"04-MAR-26";"13h10m";"NONE"
"36";"Lithuania";"BOY";"ASRREA0";1232;20815,820819;450,7836922;6,31473219609278;538,860828;4,49575219615154;613,4140702;3,08014879006275;"TOTWGT";75;"JRR";"HALF";5;"Y";"04-MAR-26";"13h10m";"NONE"
"37";"Moldova";"GIRL";"ASRREA0";1737;30193,1782639999;413,293542;6,65480871548784;506,556541;4,23787209835481;592,1994814;6,05143520445618;"TOTWGT";75;"JRR";"HALF";5;"Y";"04-MAR-26";"13h10m";"NONE"
"38";"Moldova";"BOY";"ASRREA0";1772;30104,8972319999;375,4056856;4,48184817945168;483,477781;4,89932387832525;574,9530402;3,6888839361939;"TOTWGT";75;"JRR";"HALF";5;"Y";"04-MAR-26";"13h10m";"NONE"
"39";"Morocco";"GIRL";"ASRREA0";1420;243071,450549999;215,3297338;7,91962451362571;360,945671;11,4482348969034;506,4312656;18,2437015969059;"TOTWGT";75;"JRR";"HALF";5;"Y";"04-MAR-26";"13h10m";"NONE"
"40";"Morocco";"BOY";"ASRREA0";1657;300948,475075;194,5844488;10,6736033443438;336,7403752;10,2323655388658;495,9973064;19,1118251971595;"TOTWGT";75;"JRR";"HALF";5;"Y";"04-MAR-26";"13h10m";"NONE"
"41";"Netherlands";"GIRL";"ASRREA0";2040;90388,3254469999;490,6305712;6,96425214385597;562,9664714;3,41075654290852;631,2880502;4,94605598315776;"TOTWGT";75;"JRR";"HALF";5;"Y";"04-MAR-26";"13h10m";"NONE"
"42";"Netherlands";"BOY";"ASRREA0";2033;89642,8368910001;473,578052;4,30385866001918;548,849052;2,85735940095852;619,7038816;2,32301873258582;"TOTWGT";75;"JRR";"HALF";5;"Y";"04-MAR-26";"13h10m";"NONE"
"43";"New Zealand";"GIRL";"ASRREA0";1187;27896,670181;424,9062438;14,7076909544775;551,0548528;3,02652452879076;650,7329722;9,93323054661671;"TOTWGT";75;"JRR";"HALF";5;"Y";"04-MAR-26";"13h10m";"NONE"
