"";"IDCNTRY";"dvar";"refpctile";"comppctile";"groupvar";"refgroup";"compgroup";"gap";"gap_se";"cgap";"cgap_se";"gapdiff";"gapdiff_se";"gapdiff_t";"weight";"method";"jk2type";"shortcut";"date";"time";"reps";"npv";"selcrit"
"31";"Australia";"BSMMAT0";50;90;"BSBG01";"Girl";"Girl";115,2544;5,77875946987586;115,2544;5,77875946987586;0;0;NA;"TOTWGT";"JRR";"FULL";"N";"04-MAR-26";"13h28m";250;5;"NONE"
"32";"Australia";"BSMMAT0";50;90;"BSBG01";"Girl";"Boy";115,2544;5,77875946987586;120,211014;5,52395175305387;4,95661399999997;7,21615887677975;0,68687706086259;"TOTWGT";"JRR";"FULL";"N";"04-MAR-26";"13h28m";250;5;"NONE"
"33";"Australia";"BSMMAT0";50;90;"BSBG01";"Girl";"<Other>";115,2544;5,77875946987586;126,980154;31,5975724613621;11,725754;31,4527417286056;0,37280546482012;"TOTWGT";"JRR";"FULL";"N";"04-MAR-26";"13h28m";250;5;"NONE"
"34";"Australia";"BSMMAT0";50;90;"BSBG01";"Boy";"Girl";120,211014;5,52395175305387;115,2544;5,77875946987586;-4,95661399999997;7,21615887677975;-0,68687706086259;"TOTWGT";"JRR";"FULL";"N";"04-MAR-26";"13h28m";250;5;"NONE"
"35";"Australia";"BSMMAT0";50;90;"BSBG01";"Boy";"Boy";120,211014;5,52395175305387;120,211014;5,52395175305387;0;0;NA;"TOTWGT";"JRR";"FULL";"N";"04-MAR-26";"13h28m";250;5;"NONE"
"36";"Australia";"BSMMAT0";50;90;"BSBG01";"Boy";"<Other>";120,211014;5,52395175305387;126,980154;31,5975724613621;6,76914000000004;31,9217780359982;0,21205397745597;"TOTWGT";"JRR";"FULL";"N";"04-MAR-26";"13h28m";250;5;"NONE"
"37";"Australia";"BSMMAT0";50;90;"BSBG01";"<Other>";"Girl";126,980154;31,5975724613621;115,2544;5,77875946987586;-11,725754;31,4527417286056;-0,37280546482012;"TOTWGT";"JRR";"FULL";"N";"04-MAR-26";"13h28m";250;5;"NONE"
"38";"Australia";"BSMMAT0";50;90;"BSBG01";"<Other>";"Boy";126,980154;31,5975724613621;120,211014;5,52395175305387;-6,76914000000004;31,9217780359982;-0,21205397745597;"TOTWGT";"JRR";"FULL";"N";"04-MAR-26";"13h28m";250;5;"NONE"
"39";"Australia";"BSMMAT0";50;90;"BSBG01";"<Other>";"<Other>";126,980154;31,5975724613621;126,980154;31,5975724613621;0;0;NA;"TOTWGT";"JRR";"FULL";"N";"04-MAR-26";"13h28m";250;5;"NONE"
"40";"Austria";"BSMMAT0";10;50;"BSBG01";"Girl";"Girl";101,585008;6,11245656366931;101,585008;6,11245656366931;0;0;NA;"TOTWGT";"JRR";"FULL";"N";"04-MAR-26";"13h28m";250;5;"NONE"
