IDCNTRY;Variable;BSDAGE;BSMMAT0_;BSDAGE.se;BSMMAT0_.se;xvar;weight;method;jk2type;shortcut;missoptn;date;time;reps;npv;infile;selcrit
Malaysia;BSDAGE;1;-,0427908157017239;0;,0232295750018806;BSDAGE BSMMAT0_;TOTWGT;JRR;FULL;N;LISTWISE;25-FEB-26;23h57m;150;5;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\TIMSS_8_2015.sav;NONE
Malaysia;BSMMAT0_;-,0427908157017239;1;,0232295750018806;0;BSDAGE BSMMAT0_;TOTWGT;JRR;FULL;N;LISTWISE;25-FEB-26;23h57m;150;5;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\TIMSS_8_2015.sav;NONE
Malta;BSDAGE;1;-,0362075589130628;0;,0165826838263806;BSDAGE BSMMAT0_;TOTWGT;JRR;FULL;N;LISTWISE;25-FEB-26;23h57m;150;5;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\TIMSS_8_2015.sav;NONE
Malta;BSMMAT0_;-,0362075589130628;1;,0165826838263806;0;BSDAGE BSMMAT0_;TOTWGT;JRR;FULL;N;LISTWISE;25-FEB-26;23h57m;150;5;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\TIMSS_8_2015.sav;NONE
Morocco;BSDAGE;1;-,340127594697863;0;,0141938455063544;BSDAGE BSMMAT0_;TOTWGT;JRR;FULL;N;LISTWISE;25-FEB-26;23h57m;150;5;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\TIMSS_8_2015.sav;NONE
Morocco;BSMMAT0_;-,340127594697863;1;,0141938455063544;0;BSDAGE BSMMAT0_;TOTWGT;JRR;FULL;N;LISTWISE;25-FEB-26;23h57m;150;5;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\TIMSS_8_2015.sav;NONE
New Zealand;BSDAGE;1;-,0286271930235476;0;,0138676677371474;BSDAGE BSMMAT0_;TOTWGT;JRR;FULL;N;LISTWISE;25-FEB-26;23h57m;150;5;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\TIMSS_8_2015.sav;NONE
New Zealand;BSMMAT0_;-,0286271930235476;1;,0138676677371474;0;BSDAGE BSMMAT0_;TOTWGT;JRR;FULL;N;LISTWISE;25-FEB-26;23h57m;150;5;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\TIMSS_8_2015.sav;NONE
Norway;BSDAGE;1;-,024273940646347;0;,0263378653471415;BSDAGE BSMMAT0_;TOTWGT;JRR;FULL;N;LISTWISE;25-FEB-26;23h57m;150;5;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\TIMSS_8_2015.sav;NONE
Norway;BSMMAT0_;-,024273940646347;1;,0263378653471415;0;BSDAGE BSMMAT0_;TOTWGT;JRR;FULL;N;LISTWISE;25-FEB-26;23h57m;150;5;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\TIMSS_8_2015.sav;NONE
Norway (8);BSDAGE;1;,0350339600974939;0;,0180438677530378;BSDAGE BSMMAT0_;TOTWGT;JRR;FULL;N;LISTWISE;25-FEB-26;23h57m;150;5;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\TIMSS_8_2015.sav;NONE
Norway (8);BSMMAT0_;,0350339600974939;1;,0180438677530378;0;BSDAGE BSMMAT0_;TOTWGT;JRR;FULL;N;LISTWISE;25-FEB-26;23h57m;150;5;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\TIMSS_8_2015.sav;NONE
Oman;BSDAGE;1;-,338911847383336;0;,018832575902441;BSDAGE BSMMAT0_;TOTWGT;JRR;FULL;N;LISTWISE;25-FEB-26;23h57m;150;5;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\TIMSS_8_2015.sav;NONE
Oman;BSMMAT0_;-,338911847383336;1;,018832575902441;0;BSDAGE BSMMAT0_;TOTWGT;JRR;FULL;N;LISTWISE;25-FEB-26;23h57m;150;5;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\TIMSS_8_2015.sav;NONE
Qatar;BSDAGE;1;-,125581797573562;0;,0196931475418193;BSDAGE BSMMAT0_;TOTWGT;JRR;FULL;N;LISTWISE;25-FEB-26;23h57m;150;5;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\TIMSS_8_2015.sav;NONE
Qatar;BSMMAT0_;-,125581797573562;1;,0196931475418193;0;BSDAGE BSMMAT0_;TOTWGT;JRR;FULL;N;LISTWISE;25-FEB-26;23h57m;150;5;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\TIMSS_8_2015.sav;NONE
Russian Federation;BSDAGE;1;-,0847410292719697;0;,0432524993801126;BSDAGE BSMMAT0_;TOTWGT;JRR;FULL;N;LISTWISE;25-FEB-26;23h57m;150;5;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\TIMSS_8_2015.sav;NONE
Russian Federation;BSMMAT0_;-,0847410292719697;1;,0432524993801126;0;BSDAGE BSMMAT0_;TOTWGT;JRR;FULL;N;LISTWISE;25-FEB-26;23h57m;150;5;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\TIMSS_8_2015.sav;NONE
Saudi Arabia;BSDAGE;1;-,173276993485254;0;,0228303170259607;BSDAGE BSMMAT0_;TOTWGT;JRR;FULL;N;LISTWISE;25-FEB-26;23h57m;150;5;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\TIMSS_8_2015.sav;NONE
Saudi Arabia;BSMMAT0_;-,173276993485254;1;,0228303170259607;0;BSDAGE BSMMAT0_;TOTWGT;JRR;FULL;N;LISTWISE;25-FEB-26;23h57m;150;5;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\TIMSS_8_2015.sav;NONE
Singapore;BSDAGE;1;-,0418645622673978;0;,0143399972603303;BSDAGE BSMMAT0_;TOTWGT;JRR;FULL;N;LISTWISE;25-FEB-26;23h57m;150;5;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\TIMSS_8_2015.sav;NONE
Singapore;BSMMAT0_;-,0418645622673978;1;,0143399972603303;0;BSDAGE BSMMAT0_;TOTWGT;JRR;FULL;N;LISTWISE;25-FEB-26;23h57m;150;5;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\TIMSS_8_2015.sav;NONE
Slovenia;BSDAGE;1;-,0617775128138196;0;,0212987811897226;BSDAGE BSMMAT0_;TOTWGT;JRR;FULL;N;LISTWISE;25-FEB-26;23h57m;150;5;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\TIMSS_8_2015.sav;NONE
Slovenia;BSMMAT0_;-,0617775128138196;1;,0212987811897226;0;BSDAGE BSMMAT0_;TOTWGT;JRR;FULL;N;LISTWISE;25-FEB-26;23h57m;150;5;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\TIMSS_8_2015.sav;NONE
South Africa;BSDAGE;1;-,397639696638822;0;,0202017503713508;BSDAGE BSMMAT0_;TOTWGT;JRR;FULL;N;LISTWISE;25-FEB-26;23h57m;150;5;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\TIMSS_8_2015.sav;NONE
South Africa;BSMMAT0_;-,397639696638822;1;,0202017503713508;0;BSDAGE BSMMAT0_;TOTWGT;JRR;FULL;N;LISTWISE;25-FEB-26;23h57m;150;5;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\TIMSS_8_2015.sav;NONE
Sweden;BSDAGE;1;-,109758724490037;0;,0337958004694136;BSDAGE BSMMAT0_;TOTWGT;JRR;FULL;N;LISTWISE;25-FEB-26;23h57m;150;5;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\TIMSS_8_2015.sav;NONE
Sweden;BSMMAT0_;-,109758724490037;1;,0337958004694136;0;BSDAGE BSMMAT0_;TOTWGT;JRR;FULL;N;LISTWISE;25-FEB-26;23h57m;150;5;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\TIMSS_8_2015.sav;NONE
Thailand;BSDAGE;1;-,0876416543710699;0;,0216315531889641;BSDAGE BSMMAT0_;TOTWGT;JRR;FULL;N;LISTWISE;25-FEB-26;23h57m;150;5;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\TIMSS_8_2015.sav;NONE
Thailand;BSMMAT0_;-,0876416543710699;1;,0216315531889641;0;BSDAGE BSMMAT0_;TOTWGT;JRR;FULL;N;LISTWISE;25-FEB-26;23h57m;150;5;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\TIMSS_8_2015.sav;NONE
Turkey;BSDAGE;1;-,0782695000056266;0;,0202390309300916;BSDAGE BSMMAT0_;TOTWGT;JRR;FULL;N;LISTWISE;25-FEB-26;23h57m;150;5;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\TIMSS_8_2015.sav;NONE
Turkey;BSMMAT0_;-,0782695000056266;1;,0202390309300916;0;BSDAGE BSMMAT0_;TOTWGT;JRR;FULL;N;LISTWISE;25-FEB-26;23h57m;150;5;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\TIMSS_8_2015.sav;NONE
United Arab Emirates;BSDAGE;1;-,0492481414990399;0;,0159931737657808;BSDAGE BSMMAT0_;TOTWGT;JRR;FULL;N;LISTWISE;25-FEB-26;23h57m;150;5;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\TIMSS_8_2015.sav;NONE
United Arab Emirates;BSMMAT0_;-,0492481414990399;1;,0159931737657808;0;BSDAGE BSMMAT0_;TOTWGT;JRR;FULL;N;LISTWISE;25-FEB-26;23h57m;150;5;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\TIMSS_8_2015.sav;NONE
United Arab Emirates (Abu Dhabi);BSDAGE;1;-,0868365253854075;0;,0344546992662112;BSDAGE BSMMAT0_;TOTWGT;JRR;FULL;N;LISTWISE;25-FEB-26;23h57m;150;5;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\TIMSS_8_2015.sav;NONE
United Arab Emirates (Abu Dhabi);BSMMAT0_;-,0868365253854075;1;,0344546992662112;0;BSDAGE BSMMAT0_;TOTWGT;JRR;FULL;N;LISTWISE;25-FEB-26;23h57m;150;5;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\TIMSS_8_2015.sav;NONE
United Arab Emirates (Dubai);BSDAGE;1;,0826760426787295;0;,0183288043121615;BSDAGE BSMMAT0_;TOTWGT;JRR;FULL;N;LISTWISE;25-FEB-26;23h57m;150;5;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\TIMSS_8_2015.sav;NONE
United Arab Emirates (Dubai);BSMMAT0_;,0826760426787295;1;,0183288043121615;0;BSDAGE BSMMAT0_;TOTWGT;JRR;FULL;N;LISTWISE;25-FEB-26;23h57m;150;5;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\TIMSS_8_2015.sav;NONE
United States;BSDAGE;1;-,181397576083561;0;,017633966764262;BSDAGE BSMMAT0_;TOTWGT;JRR;FULL;N;LISTWISE;25-FEB-26;23h57m;150;5;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\TIMSS_8_2015.sav;NONE
United States;BSMMAT0_;-,181397576083561;1;,017633966764262;0;BSDAGE BSMMAT0_;TOTWGT;JRR;FULL;N;LISTWISE;25-FEB-26;23h57m;150;5;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\TIMSS_8_2015.sav;NONE
Table Average;BSDAGE;1;-,10988766771558;0;,003560192218984;BSDAGE BSMMAT0_;TOTWGT;JRR;FULL;N;LISTWISE;25-FEB-26;23h57m;150;5;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\TIMSS_8_2015.sav;NONE
Table Average;BSMMAT0_;-,10988766771558;1;,003560192218984;0;BSDAGE BSMMAT0_;TOTWGT;JRR;FULL;N;LISTWISE;25-FEB-26;23h57m;150;5;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\TIMSS_8_2015.sav;NONE
