"";"IDCNTRY";"Variable";"TOTWGT";"mean";"stdev";"TOTWGT.se";"mean.se";"stdev.se";"NObs";"xvar";"weight";"method";"jk2type";"shortcut";"missoptn";"date";"time";"reps";"npv";"selcrit"
"42";"Kazakhstan";"BSMMAT0_";231325,932247998;527,806843071651;93,2272002886019;6229,448125146;5,27976264839489;2,26356267242295;4887;"BSDAGE BSMMAT0_";"TOTWGT";"JRR";"FULL";"N";"LISTWISE";"03-MAR-26";"20h45m";150;5;"NONE"
"43";"Korea, Republic of";"BSDAGE";567295,162374002;14,4029080586655;0,324565170160271;6881,43672250466;0,00559189345791893;0,00593822475045512;5309;"BSDAGE BSMMAT0_";"TOTWGT";"JRR";"FULL";"N";"LISTWISE";"03-MAR-26";"20h45m";150;5;"NONE"
"44";"Korea, Republic of";"BSMMAT0_";567295,162374002;605,742186903632;85,2944750501709;6881,43672250466;2,60356232026696;1,06656993096726;5309;"BSDAGE BSMMAT0_";"TOTWGT";"JRR";"FULL";"N";"LISTWISE";"03-MAR-26";"20h45m";150;5;"NONE"
"45";"Kuwait";"BSDAGE";38743,450922;13,7467240332789;0,724765359567331;698,499408257653;0,0242914195517807;0,026158522621794;4487;"BSDAGE BSMMAT0_";"TOTWGT";"JRR";"FULL";"N";"LISTWISE";"03-MAR-26";"20h45m";150;5;"NONE"
"46";"Kuwait";"BSMMAT0_";38743,450922;392,458677020058;91,0145461274259;698,499408257653;4,64244611103044;3,31800987982549;4487;"BSDAGE BSMMAT0_";"TOTWGT";"JRR";"FULL";"N";"LISTWISE";"03-MAR-26";"20h45m";150;5;"NONE"
"47";"Lebanon";"BSDAGE";59382,8748829999;14,1895500829008;0,948456066586469;1663,38110083607;0,0277440049090826;0,0331541693905036;3869;"BSDAGE BSMMAT0_";"TOTWGT";"JRR";"FULL";"N";"LISTWISE";"03-MAR-26";"20h45m";150;5;"NONE"
"48";"Lebanon";"BSMMAT0_";59382,8748829999;442,463427430632;75,2589522313011;1663,38110083607;3,64609535491814;1,71595728853883;3869;"BSDAGE BSMMAT0_";"TOTWGT";"JRR";"FULL";"N";"LISTWISE";"03-MAR-26";"20h45m";150;5;"NONE"
"49";"Lithuania";"BSDAGE";27250,0392879997;14,693835940997;0,377164346425892;521,679816732896;0,00791768844400685;0,00781629545505356;4346;"BSDAGE BSMMAT0_";"TOTWGT";"JRR";"FULL";"N";"LISTWISE";"03-MAR-26";"20h45m";150;5;"NONE"
"50";"Lithuania";"BSMMAT0_";27250,0392879997;511,323895400114;77,3290739629624;521,679816732896;2,76455258234861;1,52582763001984;4346;"BSDAGE BSMMAT0_";"TOTWGT";"JRR";"FULL";"N";"LISTWISE";"03-MAR-26";"20h45m";150;5;"NONE"
"51";"Malaysia";"BSDAGE";446900,223493995;14,3365506899543;0,361962215818438;8267,28391380512;0,00958011066116716;0,011925149993263;9726;"BSDAGE BSMMAT0_";"TOTWGT";"JRR";"FULL";"N";"LISTWISE";"03-MAR-26";"20h45m";150;5;"NONE"
"52";"Malaysia";"BSMMAT0_";446900,223493995;465,313068167082;86,6428821974256;8267,28391380512;3,56803167216957;2,05040679829218;9726;"BSDAGE BSMMAT0_";"TOTWGT";"JRR";"FULL";"N";"LISTWISE";"03-MAR-26";"20h45m";150;5;"NONE"
"53";"Malta";"BSDAGE";3980,99940600005;13,8397900039901;0,356838941242489;11,4016476698845;0,00517703692243375;0,0083019709398624;3817;"BSDAGE BSMMAT0_";"TOTWGT";"JRR";"FULL";"N";"LISTWISE";"03-MAR-26";"20h45m";150;5;"NONE"
"54";"Malta";"BSMMAT0_";3980,99940600005;493,541057964465;88,4378450056736;11,4016476698845;0,989887135545234;0,883197872993161;3817;"BSDAGE BSMMAT0_";"TOTWGT";"JRR";"FULL";"N";"LISTWISE";"03-MAR-26";"20h45m";150;5;"NONE"
"55";"Morocco";"BSDAGE";448821,729485993;14,5185289104384;1,15374626785086;6025,67501062144;0,0211656311249876;0,0140855495754602;12993;"BSDAGE BSMMAT0_";"TOTWGT";"JRR";"FULL";"N";"LISTWISE";"03-MAR-26";"20h45m";150;5;"NONE"
"56";"Morocco";"BSMMAT0_";448821,729485993;384,574359256158;80,0212102475357;6025,67501062144;2,25774912939718;1,27394363895636;12993;"BSDAGE BSMMAT0_";"TOTWGT";"JRR";"FULL";"N";"LISTWISE";"03-MAR-26";"20h45m";150;5;"NONE"
"57";"New Zealand";"BSDAGE";55930,7467009997;14,0682554667928;0,341373813562159;1328,43222497114;0,00634556378464282;0,00410773291302087;8142;"BSDAGE BSMMAT0_";"TOTWGT";"JRR";"FULL";"N";"LISTWISE";"03-MAR-26";"20h45m";150;5;"NONE"
"58";"New Zealand";"BSMMAT0_";55930,7467009997;492,720408214852;87,880098922288;1328,43222497114;3,35642666866019;2,03688334107397;8142;"BSDAGE BSMMAT0_";"TOTWGT";"JRR";"FULL";"N";"LISTWISE";"03-MAR-26";"20h45m";150;5;"NONE"
"59";"Norway";"BSDAGE";59494,0710660006;14,7296219673056;0,322928022884455;996,843520763167;0,00475732801269384;0,0108201023991337;4697;"BSDAGE BSMMAT0_";"TOTWGT";"JRR";"FULL";"N";"LISTWISE";"03-MAR-26";"20h45m";150;5;"NONE"
"60";"Norway";"BSMMAT0_";59494,0710660006;511,542016042943;70,0545340384378;996,843520763167;2,25016711651615;1,22178055491713;4697;"BSDAGE BSMMAT0_";"TOTWGT";"JRR";"FULL";"N";"LISTWISE";"03-MAR-26";"20h45m";150;5;"NONE"
"61";"Norway (8)";"BSDAGE";58462,2022140002;13,7242386560858;0,32409838687042;1113,16921018278;0,00549909178455712;0,0146512895754674;4795;"BSDAGE BSMMAT0_";"TOTWGT";"JRR";"FULL";"N";"LISTWISE";"03-MAR-26";"20h45m";150;5;"NONE"
"62";"Norway (8)";"BSMMAT0_";58462,2022140002;486,767361021514;65,5177313745063;1113,16921018278;1,96804876585223;1,30175747384863;4795;"BSDAGE BSMMAT0_";"TOTWGT";"JRR";"FULL";"N";"LISTWISE";"03-MAR-26";"20h45m";150;5;"NONE"
"63";"Oman";"BSDAGE";46395,4958309995;13,9504253806575;0,906684681853548;907,436325357336;0,0205121865274519;0,0180112713000687;8861;"BSDAGE BSMMAT0_";"TOTWGT";"JRR";"FULL";"N";"LISTWISE";"03-MAR-26";"20h45m";150;5;"NONE"
"64";"Oman";"BSMMAT0_";46395,4958309995;403,203934303126;96,0828984184536;907,436325357336;2,42936160244698;1,29208842160574;8861;"BSDAGE BSMMAT0_";"TOTWGT";"JRR";"FULL";"N";"LISTWISE";"03-MAR-26";"20h45m";150;5;"NONE"
"65";"Qatar";"BSDAGE";15641,7743160001;14,0545438008375;0,81589408048475;129,218019490335;0,0133402479558943;0,021071211483643;5401;"BSDAGE BSMMAT0_";"TOTWGT";"JRR";"FULL";"N";"LISTWISE";"03-MAR-26";"20h45m";150;5;"NONE"
"66";"Qatar";"BSMMAT0_";15641,7743160001;437,167867036241;102,212949454271;129,218019490335;3,00614512300372;2,20717392214803;5401;"BSDAGE BSMMAT0_";"TOTWGT";"JRR";"FULL";"N";"LISTWISE";"03-MAR-26";"20h45m";150;5;"NONE"
"67";"Russian Federation";"BSDAGE";1257818,371504;14,745771504612;0,438072517407203;36629,5831789547;0,0116715937171322;0,0107702222099992;4780;"BSDAGE BSMMAT0_";"TOTWGT";"JRR";"FULL";"N";"LISTWISE";"03-MAR-26";"20h45m";150;5;"NONE"
"68";"Russian Federation";"BSMMAT0_";1257818,371504;537,996245334456;81,7060570245692;36629,5831789547;4,65856906486178;1,76056471952329;4780;"BSDAGE BSMMAT0_";"TOTWGT";"JRR";"FULL";"N";"LISTWISE";"03-MAR-26";"20h45m";150;5;"NONE"
"69";"Saudi Arabia";"BSDAGE";368569,730902994;14,1131955270299;0,737914101078791;11480,4188978889;0,0207498361280552;0,0233606753901002;3759;"BSDAGE BSMMAT0_";"TOTWGT";"JRR";"FULL";"N";"LISTWISE";"03-MAR-26";"20h45m";150;5;"NONE"
"70";"Saudi Arabia";"BSMMAT0_";368569,730902994;367,716745413831;86,1124199064628;11480,4188978889;4,58843500271527;2,93403341535928;3759;"BSDAGE BSMMAT0_";"TOTWGT";"JRR";"FULL";"N";"LISTWISE";"03-MAR-26";"20h45m";150;5;"NONE"
"71";"Singapore";"BSDAGE";47595,9973359999;14,3551242982899;0,457973866786651;7,48999243894083e-05;0,00442601070004132;0,00933228386769167;6116;"BSDAGE BSMMAT0_";"TOTWGT";"JRR";"FULL";"N";"LISTWISE";"03-MAR-26";"20h45m";150;5;"NONE"
"72";"Singapore";"BSMMAT0_";47595,9973359999;620,95599651638;82,1321598444313;7,48999243894083e-05;3,19755982412967;2,15322311711577;6116;"BSDAGE BSMMAT0_";"TOTWGT";"JRR";"FULL";"N";"LISTWISE";"03-MAR-26";"20h45m";150;5;"NONE"
"73";"Slovenia";"BSDAGE";17065,9883070001;13,8498470728536;0,349022933127091;152,749036857084;0,00617566300137134;0,00581639273379304;4257;"BSDAGE BSMMAT0_";"TOTWGT";"JRR";"FULL";"N";"LISTWISE";"03-MAR-26";"20h45m";150;5;"NONE"
"74";"Slovenia";"BSMMAT0_";17065,9883070001;516,3410832551;69,2471002126005;152,749036857084;2,08641720436042;1,35021770816627;4257;"BSDAGE BSMMAT0_";"TOTWGT";"JRR";"FULL";"N";"LISTWISE";"03-MAR-26";"20h45m";150;5;"NONE"
"75";"South Africa";"BSDAGE";861685,489035958;15,7126163716028;1,24094446939755;20200,25650165;0,0344653512251169;0,0214646295948691;12412;"BSDAGE BSMMAT0_";"TOTWGT";"JRR";"FULL";"N";"LISTWISE";"03-MAR-26";"20h45m";150;5;"NONE"
"76";"South Africa";"BSMMAT0_";861685,489035958;373,016863300725;87,0300283466105;20200,25650165;4,53088199200355;3,01190327344538;12412;"BSDAGE BSMMAT0_";"TOTWGT";"JRR";"FULL";"N";"LISTWISE";"03-MAR-26";"20h45m";150;5;"NONE"
"77";"Sweden";"BSDAGE";96620,0960880001;14,7496003592372;0,360088639146156;3210,82835456064;0,00767744732842256;0,0121908310747691;4080;"BSDAGE BSMMAT0_";"TOTWGT";"JRR";"FULL";"N";"LISTWISE";"03-MAR-26";"20h45m";150;5;"NONE"
"78";"Sweden";"BSMMAT0_";96620,0960880001;500,926952482984;71,8366283996888;3210,82835456064;2,74862361813197;1,87584609517119;4080;"BSDAGE BSMMAT0_";"TOTWGT";"JRR";"FULL";"N";"LISTWISE";"03-MAR-26";"20h45m";150;5;"NONE"
"79";"Thailand";"BSDAGE";672582,034822016;14,4309456712549;0,524394426082958;14814,6463191087;0,0184197919717895;0,0307740673777345;6480;"BSDAGE BSMMAT0_";"TOTWGT";"JRR";"FULL";"N";"LISTWISE";"03-MAR-26";"20h45m";150;5;"NONE"
"80";"Thailand";"BSMMAT0_";672582,034822016;431,416382745889;89,175800642988;14814,6463191087;4,76476762001887;3,40578671782472;6480;"BSDAGE BSMMAT0_";"TOTWGT";"JRR";"FULL";"N";"LISTWISE";"03-MAR-26";"20h45m";150;5;"NONE"
"81";"Turkey";"BSDAGE";1187893,17197503;13,9235071224071;0,579230087299802;24945,0991659051;0,0107204451332234;0,0169894000436518;6079;"BSDAGE BSMMAT0_";"TOTWGT";"JRR";"FULL";"N";"LISTWISE";"03-MAR-26";"20h45m";150;5;"NONE"
"82";"Turkey";"BSMMAT0_";1187893,17197503;457,628581655787;105,40848362218;24945,0991659051;4,74226346620827;2,77517765255304;6079;"BSDAGE BSMMAT0_";"TOTWGT";"JRR";"FULL";"N";"LISTWISE";"03-MAR-26";"20h45m";150;5;"NONE"
"83";"United Arab Emirates";"BSDAGE";57330,3986199985;13,8739258780594;0,752355134612821;888,786975368984;0,013470802322672;0,0137581961615842;18012;"BSDAGE BSMMAT0_";"TOTWGT";"JRR";"FULL";"N";"LISTWISE";"03-MAR-26";"20h45m";150;5;"NONE"
"84";"United Arab Emirates";"BSMMAT0_";57330,3986199985;464,783321859442;97,9045908706744;888,786975368984;2,00173663547937;1,50982007479883;18012;"BSDAGE BSMMAT0_";"TOTWGT";"JRR";"FULL";"N";"LISTWISE";"03-MAR-26";"20h45m";150;5;"NONE"
"85";"United Arab Emirates (Abu Dhabi)";"BSDAGE";21166,006591;13,8569699534268;0,75398154084563;654,618316612535;0,0279954008327922;0,0303633219051495;4838;"BSDAGE BSMMAT0_";"TOTWGT";"JRR";"FULL";"N";"LISTWISE";"03-MAR-26";"20h45m";150;5;"NONE"
"86";"United Arab Emirates (Abu Dhabi)";"BSMMAT0_";21166,006591;441,673177104924;98,5386466120504;654,618316612535;4,69699033208503;2,87459529071494;4838;"BSDAGE BSMMAT0_";"TOTWGT";"JRR";"FULL";"N";"LISTWISE";"03-MAR-26";"20h45m";150;5;"NONE"
"87";"United Arab Emirates (Dubai)";"BSDAGE";16169,668934;13,8662902237983;0,703654356208209;115,394617374661;0,0094270014633971;0,00935980237275141;6149;"BSDAGE BSMMAT0_";"TOTWGT";"JRR";"FULL";"N";"LISTWISE";"03-MAR-26";"20h45m";150;5;"NONE"
"88";"United Arab Emirates (Dubai)";"BSMMAT0_";16169,668934;511,852305857201;91,0395863667419;115,394617374661;2,08279685428156;1,81012280264415;6149;"BSDAGE BSMMAT0_";"TOTWGT";"JRR";"FULL";"N";"LISTWISE";"03-MAR-26";"20h45m";150;5;"NONE"
"89";"United States";"BSDAGE";3654399,89759106;14,2432119536408;0,483438661322054;48612,370611438;0,0095337107530785;0,00830458335796105;10215;"BSDAGE BSMMAT0_";"TOTWGT";"JRR";"FULL";"N";"LISTWISE";"03-MAR-26";"20h45m";150;5;"NONE"
"90";"United States";"BSMMAT0_";3654399,89759106;518,356785951116;83,2914438042737;48612,370611438;3,079999345598;1,57512560522275;10215;"BSDAGE BSMMAT0_";"TOTWGT";"JRR";"FULL";"N";"LISTWISE";"03-MAR-26";"20h45m";150;5;"NONE"
"91";"Table Average";"BSDAGE";NA;14,2215697783391;0,561516324025711;NA;0,00234543026542106;0,0025659160173526;NA;"BSDAGE BSMMAT0_";"TOTWGT";"JRR";"FULL";"N";"LISTWISE";"03-MAR-26";"20h45m";150;5;"NONE"
"92";"Table Average";"BSMMAT0_";NA;481,611144369307;85,0768831719221;NA;0,510726587039229;0,305544099658271;NA;"BSDAGE BSMMAT0_";"TOTWGT";"JRR";"FULL";"N";"LISTWISE";"03-MAR-26";"20h45m";150;5;"NONE"
