IDCNTRY;ASBGSEX;xvar;n;TOTWGT;sumw_se;tsumw;tsumw_se;pct;pct_se;tpct;tpct_se;mnx;mnx_se;sdx;sdx_se;vrx;vrx_se;DEff;pctmiss;nvarstrat;weight;reps;method;jk2type;date;time;infile;selcrit
Moldova;BOY;ASDMSCL;1913;27391,2966936902;872,067655812753;28429,0875118478;850,901741572998;50,1877270401148;,886688625339393;50,4322812103471;,832807975606006;1,58030132767856;,0201266629796838;,633135177056239;,0113862940523588;,400860152426035;,014422074501592;1,93315034620168;3,65045419669242;75;TOTWGT;75;JRR;HALF;25-FEB-26;22h27m;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\TIMSS_4_2003.sav;NONE
Morocco;GIRL;ASDMSCL;1532;233258,448093158;12812,679124128;293009,578019695;14363,8377868469;47,8015273398233;1,25892331957106;48,408759295606;1,21390013164816;1,49606342427947;,0272432820898089;,597706943550275;,0119801289048848;,357253590368211;,0143213362687287;3,18273894119366;20,3922104971336;75;TOTWGT;75;JRR;HALF;25-FEB-26;22h27m;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\TIMSS_4_2003.sav;NONE
Morocco;BOY;ASDMSCL;1673;254714,344982914;10627,0163021239;312272,569846241;11344,8845342335;52,1984726601767;1,25892331957106;51,591240704394;1,21390013164816;1,54576531065186;,0252910065481075;,615020003393658;,0132471157503641;,378249604574335;,016278082702965;2,82910903936653;18,4320463663109;75;TOTWGT;75;JRR;HALF;25-FEB-26;22h27m;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\TIMSS_4_2003.sav;NONE
Netherlands;GIRL;ASDMSCL;1369;79472,17122;2933,96150265274;82706,4998975462;2792,44766615505;48,8356513098535;1,18058764178149;49,0821994887059;1,1683352001348;1,58064213701796;,0182489037383627;,73969125200311;,0114930614786529;,547143148289928;,0170051461648866;,83325138406749;3,91061002665324;65;TOTWGT;75;JRR;HALF;25-FEB-26;22h27m;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\TIMSS_4_2003.sav;NONE
Netherlands;BOY;ASDMSCL;1426;83261,7518227443;3048,19064486927;85799,5995827296;2912,29852972468;51,1643486901464;1,18058764178147;50,9178005112941;1,16833520013479;1,3160583920499;,0175757138841065;,600506245179983;,016994730795104;,360607750500162;,0204128042732898;1,22154766230434;2,95787832615518;65;TOTWGT;75;JRR;HALF;25-FEB-26;22h27m;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\TIMSS_4_2003.sav;NONE
New Zealand;GIRL;ASDMSCL;2064;28955,8220596809;1080,18995999124;29621,2025758292;1095,51997789871;50,4725878444198;1,14657195861889;50,2746656500526;1,13022632602181;1,59650028312035;,0208751318665244;,662702435198065;,00913935160425981;,439174517617446;,0121106533670071;2,04800501203375;2,24629811853487;75;TOTWGT;75;JRR;HALF;25-FEB-26;22h27m;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\TIMSS_4_2003.sav;NONE
New Zealand;BOY;ASDMSCL;2099;28413,580414661;957,439657793267;29297,5434622128;979,836277731604;49,5274121555802;1,14657195861888;49,7253343499474;1,13022632602182;1,50764737418758;,01680664419161;,654855786858787;,0118357242618824;,428836101582441;,0154722092388631;1,3825572086592;3,01719169285285;75;TOTWGT;75;JRR;HALF;25-FEB-26;22h27m;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\TIMSS_4_2003.sav;NONE
Norway;GIRL;ASDMSCL;2083;29276,2709292273;843,772798903083;30003,860707374;851,51863762107;50,0623938383444;,78399899181159;49,8638373347933;,757764910042951;1,44281250626906;,0200785505611492;,642286986066149;,0147874118676156;,412532572469937;,0190569214992452;2,0356154672448;2,42498718829201;70;TOTWGT;75;JRR;HALF;25-FEB-26;22h27m;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\TIMSS_4_2003.sav;NONE
Norway;BOY;ASDMSCL;2116;29203,2956367719;850,198574595138;30167,7231719885;860,571141331061;49,9376061616556;,783998991811585;50,1361626652067;,75776491004295;1,42634876584102;,01842034793699;,630274942549488;,0133045647746051;,39724650320576;,0167726335376238;1,80738735205316;3,19688539210726;70;TOTWGT;75;JRR;HALF;25-FEB-26;22h27m;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\TIMSS_4_2003.sav;NONE
Philippines;GIRL;ASDMSCL;2226;876587,233093162;42189,2335313416;925566,734687532;43461,4568196042;51,4831332421245;1,09177348276118;51,2942771149605;1,02710169560524;1,76776783057589;,0177699918676756;,634778150214925;,0102541829572028;,402943299990282;,0130171206316615;1,74443856505946;5,29183901697852;68;TOTWGT;75;JRR;HALF;25-FEB-26;22h27m;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\TIMSS_4_2003.sav;NONE
Philippines;BOY;ASDMSCL;2088;826081,539940878;34081,4593557551;878858,216293171;36138,0262062351;48,5168667578755;1,09177348276116;48,7057228850395;1,02710169560525;1,78595988993485;,019834414905579;,655864913068116;,00909426448363168;,430158784193848;,0119290526126888;1,90959155727027;6,00514114493851;68;TOTWGT;75;JRR;HALF;25-FEB-26;22h27m;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\TIMSS_4_2003.sav;NONE
Russian Federation;GIRL;ASDMSCL;1879;542186,409546146;19270,4709087901;566407,658988908;20175,4488270085;50,1034511504709;,7336470699981;49,7821258758706;,714922138159489;1,64053768539;,0273423565584157;,742992373870792;,0112622024158796;,552037667630155;,0166912541895403;2,54466111061454;4,27629271221343;61;TOTWGT;75;JRR;HALF;25-FEB-26;22h27m;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\TIMSS_4_2003.sav;NONE
Russian Federation;BOY;ASDMSCL;1892;539947,449692112;17473,9235177668;571365,48553533;19373,95740698;49,8965488495291;,733647069998098;50,2178741241294;,714922138159486;1,60731319105853;,0209913682923331;,729235661923463;,0101827496580562;,531784650620952;,0148624020404444;1,56771397966179;5,49876333775761;61;TOTWGT;75;JRR;HALF;25-FEB-26;22h27m;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\TIMSS_4_2003.sav;NONE
Singapore;GIRL;ASDMSCL;3343;24392,0605155129;765,522385689163;24477,5307944042;762,082688035061;49,0994608057145;1,43475511495846;48,987582024866;1,42758888221956;1,760009651897;,02924404753153;,739800328661745;,00884536845268004;,547304526288027;,013087861852815;5,2237489754865;,349178516449342;74;TOTWGT;75;JRR;HALF;25-FEB-26;22h27m;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\TIMSS_4_2003.sav;NONE
Singapore;BOY;ASDMSCL;3283;25286,816024561;706,153012468865;25489,2766752511;706,189065749018;50,9005391942855;1,43475511495845;51,012417975134;1,42758888221955;1,58609447960042;,0245723759600805;,719461881108638;,0101978422738239;,51762539836838;,0146705558614915;3,82956643373873;,794297355980457;75;TOTWGT;75;JRR;HALF;25-FEB-26;22h27m;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\TIMSS_4_2003.sav;NONE
Slovenia;GIRL;ASDMSCL;1464;8711,39028816752;313,29849921681;8901,85002087994;321,505599926697;48,4118583293419;1,11746395003996;48,3648485760719;1,12508105723363;1,28915946284536;,0151105183222226;,544839419157317;,0140682569747455;,296849992667683;,0153268673382658;1,12606317905745;2,13955225335953;75;TOTWGT;75;JRR;HALF;25-FEB-26;22h27m;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\TIMSS_4_2003.sav;NONE
Slovenia;BOY;ASDMSCL;1531;9282,94124297233;327,829597737706;9503,76952092104;337,396109576421;51,5881416706581;1,11746395003995;51,6351514239281;1,12508105723362;1,27861749766353;,0182598691895676;,55780613485913;,0190053793194461;,311147684086482;,0212021359465539;1,64060466410452;2,32358620926758;75;TOTWGT;75;JRR;HALF;25-FEB-26;22h27m;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\TIMSS_4_2003.sav;NONE
Tunisia;GIRL;ASDMSCL;1786;89236,978364431;2446,00635406916;104426,483491765;2324,10782117981;49,0092742936004;,937846437349067;48,2563288433163;,864029659950408;1,50314401493032;,0253101692460205;,621531645192985;,0148612494221145;,386301585976299;,0184923530450972;2,96172725472707;14,5456445716014;75;TOTWGT;75;JRR;HALF;25-FEB-26;22h27m;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\TIMSS_4_2003.sav;NONE
Tunisia;BOY;ASDMSCL;1863;92844,841149643;2918,44060734963;111973,076928233;2599,67292037874;50,9907257063996;,937846437349074;51,7436711566837;,864029659950409;1,53108559318987;,0223425212188276;,6383924631397;,0103255222488516;,407544936993573;,0131876666843216;2,28192680992013;17,0828884079428;75;TOTWGT;75;JRR;HALF;25-FEB-26;22h27m;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\TIMSS_4_2003.sav;NONE
United States;GIRL;ASDMSCL;4775;1703560,74083103;34913,940959752;1745749,73717814;34977,099533811;49,9198649780507;,463625205616269;49,7592657576913;,460883184653553;1,52867124968778;,0136067237673187;,713309575486428;,00820473172228153;,508810550480628;,0117097808152036;1,73749836346252;2,41666920799952;75;TOTWGT;75;JRR;HALF;25-FEB-26;22h27m;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\TIMSS_4_2003.sav;NONE
United States;BOY;ASDMSCL;4744;1709030,10167239;30741,2763517671;1762641,53547302;31513,501562438;50,0801350219493;,463625205616263;50,2407342423087;,460883184653557;1,40673676993946;,0128122754455884;,652046410291217;,00874785891422965;,425164521173663;,0114041718540649;1,8316403292129;3,04153923084794;75;TOTWGT;75;JRR;HALF;25-FEB-26;22h27m;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\TIMSS_4_2003.sav;NONE
Yemen;GIRL;ASDMSCL;1211;120223,175700576;8418,86619853728;162249,118470614;9638,85711822284;39,7362064439927;2,16656028566059;37,9225053945643;1,7799805284441;1,68376265238602;,0301331747977408;,662529697799188;,0159067722033865;,438945600465884;,0210955532168276;2,50508937180294;25,9021085391053;61;TOTWGT;75;JRR;HALF;25-FEB-26;22h27m;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\TIMSS_4_2003.sav;NONE
Yemen;BOY;ASDMSCL;1673;182330,053355218;8865,56271015581;265594,761522269;9840,13869993243;60,2637935560073;2,16656028566058;62,0774946054357;1,7799805284441;1,72237545476915;,0257889604125599;,649669275875762;,0134578846989347;,422070168016937;,017472719747344;2,63620363614753;31,350282546921;70;TOTWGT;75;JRR;HALF;25-FEB-26;22h27m;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\TIMSS_4_2003.sav;NONE
England;GIRL;ASDMSCL;1710;282319,36789001;8682,7721692981;285372,09829555;8610,83361010963;49,6468858188624;,962427457939704;49,5535358270248;,93696207456163;1,58947252963255;,0223683707672593;,693968325364824;,0113526205844098;,481592036609659;,0157538953661203;1,77658306906345;1,06973681862149;61;TOTWGT;75;JRR;HALF;25-FEB-26;22h27m;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\TIMSS_4_2003.sav;NONE
England;BOY;ASDMSCL;1732;286335,368924817;9822,86911539537;290514,35164758;9933,35608122006;50,3531141811376;,962427457939702;50,4464641729752;,936962074561622;1,43710810969892;,0204077364807751;,656702114729362;,0144063623378923;,431257667490016;,0188828073284948;1,67263327958844;1,43847720398761;62;TOTWGT;75;JRR;HALF;25-FEB-26;22h27m;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\TIMSS_4_2003.sav;NONE
Scotland;GIRL;ASDMSCL;1963;28238,6827024071;1128,66147252142;28590,0125339234;1136,76855290492;51,2151315399597;1,00691451027311;51,0524782235499;,996123564616911;1,52238379481306;,0177172036033928;,69417431327955;,0133754724198935;,481877977217136;,0185288171658268;1,27871445044293;1,22885511539852;63;TOTWGT;75;JRR;HALF;25-FEB-26;22h27m;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\TIMSS_4_2003.sav;NONE
Scotland;BOY;ASDMSCL;1895;26898,6992652139;995,69990975938;27411,2111652136;1021,11324963657;48,7848684600403;1,00691451027313;48,9475217764501;,99612356461692;1,40906864788521;,0188986850047608;,65469203341083;,0147572832990134;,428621658611608;,0193309867477768;1,57905869956557;1,86971636134928;63;TOTWGT;75;JRR;HALF;25-FEB-26;22h27m;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\TIMSS_4_2003.sav;NONE
Belgium (Flemish);GIRL;ASDMSCL;2333;32744,533161276;1097,50663550426;33053,7170438291;1124,90009024167;50,1744845826405;,975758085795669;50,0566906734434;,961720842991596;1,61934774695631;,0173995419888772;,743436885134243;,010620665368143;,552698402178105;,0157920509870811;1,27791557297022;,935398225086594;75;TOTWGT;75;JRR;HALF;25-FEB-26;22h27m;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\TIMSS_4_2003.sav;NONE
Belgium (Flemish);BOY;ASDMSCL;2314;32516,7912621841;1086,98438248016;32978,848431709;1083,39046968976;49,8255154173595;,975758085795655;49,9433093265566;,961720842991571;1,40513082640403;,0186160693983271;,66217285342619;,01420581058692;,438472887814583;,0188360238242218;1,82892791432199;1,40107126688105;75;TOTWGT;75;JRR;HALF;25-FEB-26;22h27m;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\TIMSS_4_2003.sav;NONE
Canada (Ontario);GIRL;ASDMSCL;2135;66883,531759634;2241,9102760816;68161,3446797113;2296,18342920889;48,6142662477868;1,15559373226604;48,6691178075052;1,1174236438949;1,48797785178774;,024719738311575;,686006604566359;,0147442089497783;,470605061508665;,0202328089924414;2,77222849579892;1,87468854389777;75;TOTWGT;75;JRR;HALF;25-FEB-26;22h27m;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\TIMSS_4_2003.sav;NONE
Canada (Ontario);BOY;ASDMSCL;2114;70696,5181350384;3258,35124047636;71889,1591106002;3268,63609348256;51,3857337522132;1,15559373226605;51,3308821924948;1,11742364389489;1,36728279300736;,0213888278958975;,630156302724442;,0177636641297367;,397096965863338;,0223744845472281;2,43546776721573;1,65899975784525;75;TOTWGT;75;JRR;HALF;25-FEB-26;22h27m;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\TIMSS_4_2003.sav;NONE
Canada (Quebec);GIRL;ASDMSCL;2116;41869,6424268412;1159,07597095401;42503,8606690408;1139,85548266137;49,8624033600325;,913186891797032;49,7713010368106;,894764638375777;1,44003218545447;,0186416444679493;,661102781895815;,0130583045664126;,437056888230386;,0172797668589845;1,6824653772158;1,49214267178783;75;TOTWGT;75;JRR;HALF;25-FEB-26;22h27m;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\TIMSS_4_2003.sav;NONE
Canada (Quebec);BOY;ASDMSCL;2104;42100,7232302663;1346,83328208605;42894,470866647;1357,3988216712;50,1375966399675;,913186891797042;50,2286989631894;,894764638375775;1,31137827517428;,0184303035978012;,584573949677484;,0155692905901702;,341726702641534;,0182163547319823;2,09137445017716;1,85046608652283;75;TOTWGT;75;JRR;HALF;25-FEB-26;22h27m;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\TIMSS_4_2003.sav;NONE
United States (Indiana);GIRL;ASDMSCL;1115;40462,8225683163;1627,83096392179;41492,292232543;1575,47645984302;52,0845725614305;1,17526793606733;51,8775812660498;1,15369392263626;1,56375883688299;,0362247410733019;,751686367944327;,016985239101137;,565032395753334;,0256897524580673;2,58947724306536;2,4811106083441;28;TOTWGT;75;JRR;HALF;25-FEB-26;22h27m;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\TIMSS_4_2003.sav;NONE
United States (Indiana);BOY;ASDMSCL;1043;37223,9483475685;1379,38254251591;38488,8696102833;1398,22542218449;47,9154274385695;1,17526793606733;48,1224187339502;1,15369392263626;1,42130725090491;,02154677932038;,681118877992839;,0190416210379943;,463922925958224;,0259320516655366;1,04376613236236;3,28645989223023;28;TOTWGT;75;JRR;HALF;25-FEB-26;22h27m;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\TIMSS_4_2003.sav;NONE
Table Average;GIRL;ASDMSCL; ; ; ; ; ;48,8568814389622;,240884844078609;48,6202641057261;,23294638785144;1,59593041753786;,00417097863842064;,680384714938383;,00225745455209366;,466048943740619;,00305008034773648; ; ; ;TOTWGT;75;JRR;HALF;25-FEB-26;22h27m;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\TIMSS_4_2003.sav;NONE
Table Average;BOY;ASDMSCL; ; ; ; ; ;51,1431185610378;,240884844078608;51,3797358942739;,23294638785144;1,50510483184008;,00369761790929421;,652370650953451;,00245688073190027;,427933873421326;,00315642307008155; ; ; ;TOTWGT;75;JRR;HALF;25-FEB-26;22h27m;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\TIMSS_4_2003.sav;NONE
