S_SEX;dvar;groupvar;refgroup;compgroup;pct;pct_se;cpct;cpct_se;pctdiff;pctdiff_se;pctdiff_t;mnx;mnx_se;cmnx;cmnx_se;mnxdiff;mnxdiff_se;mnxdiff_t;weight;method;jk2type;date;time;reps;infile;selcrit
Boy;S_HISCED;IDCNTRY;Denmark;Luxembourg;50,0583220035144;,938507742644435;52,15982393194;,716578984912026;2,10150192842563;1,18079728345771;1,77973133734848;2,92969198044394;,0410860866861539;2,75566953613543;,0259057673998659;-,174022444308507;,0485713424125595;-3,58282138530123;TOTWGTS;JRR;HALF;26-FEB-26;10h48m;75;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\ICILS2018.sav;NONE
Boy;S_HISCED;IDCNTRY;Denmark;Portugal;50,0583220035144;,938507742644435;51,4143780841188;1,01166858133855;1,35605608060442;1,37995293451303;,982682848587846;2,92969198044394;,0410860866861539;2,36263908758706;,051395346441216;-,567052892856876;,0657993020859246;-8,61791652617204;TOTWGTS;JRR;HALF;26-FEB-26;10h48m;75;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\ICILS2018.sav;NONE
Boy;S_HISCED;IDCNTRY;Denmark;United States;50,0583220035144;,938507742644435;50,4878919532549;,442155665353748;,429569949740525;1,03744803022029;,414064066080794;2,92969198044394;,0410860866861539;3,11175198586351;,0350802491278291;,182060005419567;,0540249053497802;3,36992733704637;TOTWGTS;JRR;HALF;26-FEB-26;10h48m;75;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\ICILS2018.sav;NONE
Boy;S_HISCED;IDCNTRY;Denmark;Uruguay;50,0583220035144;,938507742644435;49,2859383099661;1,01088003793917;-,77238369354825;1,37937494326505;-,559951953107094;2,92969198044394;,0410860866861539;2,051331893099;,073547169603311;-,878360087344936;,0842451937848109;-10,426233804964;TOTWGTS;JRR;HALF;26-FEB-26;10h48m;75;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\ICILS2018.sav;NONE
Boy;S_HISCED;IDCNTRY;Denmark;Russian Federation (Moscow);50,0583220035144;,938507742644435;50,8398703940305;,806981779670845;,781548390516129;1,23774649089556;,631428484156433;2,92969198044394;,0410860866861539;3,61623995083443;,0242905520159908;,686547970390492;,0477294189826747;14,3841677737519;TOTWGTS;JRR;HALF;26-FEB-26;10h48m;75;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\ICILS2018.sav;NONE
Boy;S_HISCED;IDCNTRY;Denmark;Germany, North-Rhine Westphalia;50,0583220035144;,938507742644435;51,7438819246505;1,18705673126685;1,68555992113615;1,51324170780794;1,11387355532106;2,92969198044394;,0410860866861539;2,3535750536094;,0503180858847393;-,576116926834537;,0649613445541743;-8,86861149177857;TOTWGTS;JRR;HALF;26-FEB-26;10h48m;75;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\ICILS2018.sav;NONE
Boy;S_HISCED;IDCNTRY;Finland;Chile;50,1814578303344;,83762360737052;50,7935012390907;1,6409774354534;,612043408756229;1,84239524839042;,332199841098662;3,28204142263531;,0305710995556675;2,69136775235732;,0503674170901528;-,590673670277987;,0589191720272438;-10,0251522544285;TOTWGTS;JRR;HALF;26-FEB-26;10h48m;75;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\ICILS2018.sav;NONE
Boy;S_HISCED;IDCNTRY;Finland;Denmark;50,1814578303344;,83762360737052;50,0583220035144;,938507742644435;-,123135826820068;1,25793882626619;-,0978869753035284;3,28204142263531;,0305710995556675;2,92969198044394;,0410860866861539;-,352349442191367;,0512118994690168;-6,88022599912621;TOTWGTS;JRR;HALF;26-FEB-26;10h48m;75;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\ICILS2018.sav;NONE
Boy;S_HISCED;IDCNTRY;Finland;Finland;50,1814578303344;,83762360737052;50,1814578303344;,83762360737052;0; ; ;3,28204142263531;,0305710995556675;3,28204142263531;,0305710995556675;0; ; ;TOTWGTS;JRR;HALF;26-FEB-26;10h48m;75;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\ICILS2018.sav;NONE
Boy;S_HISCED;IDCNTRY;Finland;France;50,1814578303344;,83762360737052;50,0273947909281;,694410151289275;-,154063039406388;1,08803435875803;-,141597586662841;3,28204142263531;,0305710995556675;2,79625242994161;,030979747275773;-,485788992693693;,0435239803937244;-11,1614100617447;TOTWGTS;JRR;HALF;26-FEB-26;10h48m;75;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\ICILS2018.sav;NONE
