"";"IDCNTRY";"SGENDER";"dvar";"groupvar";"refpctile";"comppctile";"val";"val_se";"cval";"cval_se";"gap";"gap_se";"gap_t";"weight";"method";"jk2type";"shortcut";"date";"time";"reps";"npv";"selcrit"
"34";"Cyprus";"GIRL";"PVCIV";"Percentile";10;50;362,306844454078;6,09512349720859;475,238878978008;4,33037787140444;112,93203452393;6,44429870652535;17,5243326957482;"TOTWGTS";"JRR";"HALF";"N";"04-MAR-26";"13h21m";75;5;"NONE"
"35";"Cyprus";"GIRL";"PVCIV";"Percentile";10;90;362,306844454078;6,09512349720859;589,012120463087;7,25159922432218;226,705276009008;9,26044317406209;24,4810395947351;"TOTWGTS";"JRR";"HALF";"N";"04-MAR-26";"13h21m";75;5;"NONE"
"36";"Cyprus";"GIRL";"PVCIV";"Percentile";50;90;475,238878978008;4,33037787140444;589,012120463087;7,25159922432218;113,773241485079;7,39353446887461;15,3882073538769;"TOTWGTS";"JRR";"HALF";"N";"04-MAR-26";"13h21m";75;5;"NONE"
"37";"Czech Republic";"BOY";"PVCIV";"Percentile";10;50;391,118182870808;5,69758609575017;501,105993031022;5,12981082166546;109,987810160215;6,74606550491649;16,3039937990606;"TOTWGTS";"JRR";"HALF";"N";"04-MAR-26";"13h21m";75;5;"NONE"
"38";"Czech Republic";"BOY";"PVCIV";"Percentile";10;90;391,118182870808;5,69758609575017;617,192553659012;6,09149436708783;226,074370788204;8,35932884246499;27,0445600416815;"TOTWGTS";"JRR";"HALF";"N";"04-MAR-26";"13h21m";75;5;"NONE"
"39";"Czech Republic";"BOY";"PVCIV";"Percentile";50;90;501,105993031022;5,12981082166546;617,192553659012;6,09149436708783;116,086560627989;7,03489969885888;16,5015232053443;"TOTWGTS";"JRR";"HALF";"N";"04-MAR-26";"13h21m";75;5;"NONE"
"40";"Czech Republic";"GIRL";"PVCIV";"Percentile";10;50;406,680511650647;6,2243631029027;521,29496009676;6,17084222026289;114,614448446113;8,51657137667831;13,4578157543506;"TOTWGTS";"JRR";"HALF";"N";"04-MAR-26";"13h21m";75;5;"NONE"
"41";"Czech Republic";"GIRL";"PVCIV";"Percentile";10;90;406,680511650647;6,2243631029027;633,385787659655;6,81779949004961;226,705276009008;7,93593059937439;28,5669428645054;"TOTWGTS";"JRR";"HALF";"N";"04-MAR-26";"13h21m";75;5;"NONE"
"42";"Czech Republic";"GIRL";"PVCIV";"Percentile";50;90;521,29496009676;6,17084222026289;633,385787659655;6,81779949004961;112,090827562896;8,66841222586511;12,9309525945749;"TOTWGTS";"JRR";"HALF";"N";"04-MAR-26";"13h21m";75;5;"NONE"
"43";"Denmark";"BOY";"PVCIV";"Percentile";10;50;438,015470950593;8,18557482826231;575,34250734566;5,43946172806642;137,327036395067;7,83779661015441;17,5211278405911;"TOTWGTS";"JRR";"HALF";"N";"04-MAR-26";"13h21m";75;5;"NONE"
