"";"IDCNTRY";"BSBG01";"dvar";"n";"TOTWGT";"sumw_se";"pct";"pct_se";"mnpv";"mnpv_se";"mnpv_ci";"mnx_svr";"mnx_ivr";"sdpv";"sdpv_se";"vrpv";"vrpv_se";"DEff1";"DEff2";"DEff3";"DEff4";"DEff5";"pctmiss";"nvarstrat";"weight";"reps";"method";"jk2type";"npv";"shortcut";"date";"time";"selcrit"
"41";"Malaysia";"Girl";"BSMMAT0";5014;222157,864403998;8264,17769183139;49,7192655483565;1,80408522828452;470,011802840552;3,84508651956301;"462 to 478";14,1780649577136;0,606625385211603;84,5578543292041;2,32594552186931;7150,91488364618;393,322742449001;1,42534692846184;7,27301309659283;9,94121994942951;1,04278619028908;10,3665668778914;0;75;"TOTWGT";150;"JRR";"FULL";5;"N";"04-MAR-26";"13h 5m";"NONE"
"42";"Malaysia";"Boy";"BSMMAT0";4710;224666,645076999;9805,13248071502;50,2807344516435;1,80408522828452;460,656805789533;3,78617269840788;"453 to 468";14,0026291806688;0,332474521500412;88,4152843829849;2,18584224037778;7818,22344294618;386,014212316638;1,20029550289712;7,19491203993756;8,43572506238027;1,02374372106914;8,63602056527738;0;75;"TOTWGT";150;"JRR";"FULL";5;"N";"04-MAR-26";"13h 5m";"NONE"
"43";"Malta";"Girl";"BSMMAT0";1878;1943,486073;12,7688022550506;48,9452542715366;0,300202137585677;495,068000614717;1,83947224049804;"491 to 499";2,20881178135123;1,17484634221163;85,2927520795565;1,14788690420389;7274,99103199011;195,730359126072;1,30328029560057;0,670211341796897;0,570192940051345;1,53189065366761;0,873473235651913;0;75;"TOTWGT";150;"JRR";"FULL";5;"N";"04-MAR-26";"13h 5m";"NONE"
"44";"Malta";"Boy";"BSMMAT0";1930;2027,248377;14,1218077007869;51,0547457284634;0,300202137585676;492,71656435695;1,57691155151597;"490 to 496";2,12627293753375;0,360377103770737;90,7520261288998;1,24804590049743;8236,08566663458;226,597960397451;1,08444883145099;0,537331199130316;0,498259359548041;1,16948769718564;0,582708190999029;0;68;"TOTWGT";150;"JRR";"FULL";5;"N";"04-MAR-26";"13h 5m";"NONE"
"45";"Morocco";"Girl";"BSMMAT0";6194;206453,987628997;4340,86300697116;46,1714156684488;0,755085977017896;385,430785998665;2,32095501983088;"381 to 390";4,18516363866707;1,20166856541108;79,8666605996402;1,24973540288148;6378,94714088676;199,575075643933;2,16682815044013;2,41396615247068;4,06382166294298;1,28712582569264;5,23064981338311;0;75;"TOTWGT";150;"JRR";"FULL";5;"N";"04-MAR-26";"13h 5m";"NONE"
"46";"Morocco";"Boy";"BSMMAT0";6751;240692,768951996;4700,02775307236;53,8285843315513;0,755085977017895;383,812759159866;2,59514237637763;"379 to 389";4,92356154197078;1,81120241170012;80,135414269082;1,50346905126742;6422,27403200724;240,52322967706;2,90390933498768;2,43791523518899;5,17557547438631;1,36786427797451;7,07948480937399;0;75;"TOTWGT";150;"JRR";"FULL";5;"N";"04-MAR-26";"13h 5m";"NONE"
"47";"Oman";"Girl";"BSMMAT0";4365;22252,2320329999;823,290141278199;47,9690349052431;1,71569675827365;419,922338626604;2,94289261044615;"414 to 426";7,54068424524903;1,11993267136949;88,3544181272453;1,44620583010965;7807,01820938087;256,086441336674;1,62616814504849;2,97771024563023;4,21608940157991;1,1485187066512;4,8422575466284;0;68;"TOTWGT";150;"JRR";"FULL";5;"N";"04-MAR-26";"13h 5m";"NONE"
"48";"Oman";"Boy";"BSMMAT0";4492;24136,5103650001;1006,53620370739;52,0309650947569;1,71569675827365;387,755442049024;3,4952977306337;"381 to 395";11,1307464536087;1,08635977216437;100,251649908776;1,71868652867408;10050,8621096987;344,916589286551;1,48552333554088;3,67557513085676;4,97462929288057;1,09759990281803;5,46015262842146;0;65;"TOTWGT";150;"JRR";"FULL";5;"N";"04-MAR-26";"13h 5m";"NONE"
"49";"New Zealand";"Girl";"BSMMAT0";4239;28259,456839;1356,56073348109;51,3952689453617;2,00014944372762;494,242061110017;3,13983167782214;"488 to 500";8,94278363019135;0,915759334864073;83,6739999304328;1,73202291703633;7001,86210151493;289,721369786247;1,55441020748594;3,83969702475705;5,4140540414498;1,10240204535112;5,96846424893574;0;66;"TOTWGT";150;"JRR";"FULL";5;"N";"04-MAR-26";"13h 5m";"NONE"
"50";"New Zealand";"Boy";"BSMMAT0";3762;26725,092165;1214,40658432335;48,6047310546383;2,00014944372762;491,87861106783;4,69137142773734;"483 to 501";20,995046175714;1,01391969727631;92,4835350794193;3,05795916050087;8554,12169126292;565,274815254353;1,44590970748633;6,69424850819722;9,2333691948419;1,04829328255773;9,67927890232823;0;64;"TOTWGT";150;"JRR";"FULL";5;"N";"04-MAR-26";"13h 5m";"NONE"
