IDCNTRY;dvar;refpctile;comppctile;groupvar;refgroup;compgroup;gap;gap_se;cgap;cgap_se;gapdiff;gapdiff_se;gapdiff_t;weight;method;jk2type;shortcut;date;time;reps;npv;infile;selcrit
Botswana;BSMMAT0;   50,00;   90,00;BSBG01;Boy;Girl;108,660372;5,22902097666034;93,93125;3,59206779771488;-14,729122;5,90793711712596;-2,49310744308756;TOTWGT;JRR;FULL;N;26-FEB-26; 7h42m;150;5;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\TIMSS_8_2015.sav;NONE
Botswana;BSMMAT0;   50,00;   90,00;BSBG01;Boy;Boy;108,660372;5,22902097666034;108,660372;5,22902097666034;0;0; ;TOTWGT;JRR;FULL;N;26-FEB-26; 7h42m;150;5;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\TIMSS_8_2015.sav;NONE
Canada;BSMMAT0;   10,00;   50,00;BSBG01;Girl;Girl;93,866048;4,09602192457315;93,866048;4,09602192457315;0;0; ;TOTWGT;JRR;FULL;N;26-FEB-26; 7h42m;150;5;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\TIMSS_8_2015.sav;NONE
Canada;BSMMAT0;   10,00;   50,00;BSBG01;Girl;Boy;93,866048;4,09602192457315;101,770388;5,17336107313832;7,90434000000001;6,59382215886199;1,19874934591263;TOTWGT;JRR;FULL;N;26-FEB-26; 7h42m;150;5;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\TIMSS_8_2015.sav;NONE
Canada;BSMMAT0;   10,00;   50,00;BSBG01;Boy;Girl;101,770388;5,17336107313832;93,866048;4,09602192457315;-7,90434000000001;6,59382215886199;-1,19874934591263;TOTWGT;JRR;FULL;N;26-FEB-26; 7h42m;150;5;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\TIMSS_8_2015.sav;NONE
Canada;BSMMAT0;   10,00;   50,00;BSBG01;Boy;Boy;101,770388;5,17336107313832;101,770388;5,17336107313832;0;0; ;TOTWGT;JRR;FULL;N;26-FEB-26; 7h42m;150;5;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\TIMSS_8_2015.sav;NONE
Canada;BSMMAT0;   10,00;   90,00;BSBG01;Girl;Girl;173,436582;4,26260360724449;173,436582;4,26260360724449;0;0; ;TOTWGT;JRR;FULL;N;26-FEB-26; 7h42m;150;5;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\TIMSS_8_2015.sav;NONE
Canada;BSMMAT0;   10,00;   90,00;BSBG01;Girl;Boy;173,436582;4,26260360724449;185,712124;6,50041615621992;12,275542;7,24693753615299;1,69389372252219;TOTWGT;JRR;FULL;N;26-FEB-26; 7h42m;150;5;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\TIMSS_8_2015.sav;NONE
Canada;BSMMAT0;   10,00;   90,00;BSBG01;Boy;Girl;185,712124;6,50041615621992;173,436582;4,26260360724449;-12,275542;7,24693753615299;-1,69389372252219;TOTWGT;JRR;FULL;N;26-FEB-26; 7h42m;150;5;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\TIMSS_8_2015.sav;NONE
Canada;BSMMAT0;   10,00;   90,00;BSBG01;Boy;Boy;185,712124;6,50041615621992;185,712124;6,50041615621992;0;0; ;TOTWGT;JRR;FULL;N;26-FEB-26; 7h42m;150;5;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\TIMSS_8_2015.sav;NONE
Canada;BSMMAT0;   50,00;   90,00;BSBG01;Girl;Girl;79,570534;3,16861541559812;79,570534;3,16861541559812;0;0; ;TOTWGT;JRR;FULL;N;26-FEB-26; 7h42m;150;5;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\TIMSS_8_2015.sav;NONE
Canada;BSMMAT0;   50,00;   90,00;BSBG01;Girl;Boy;79,570534;3,16861541559812;83,941736;3,09293818823877;4,37120199999997;4,23387735321933;1,03243472479812;TOTWGT;JRR;FULL;N;26-FEB-26; 7h42m;150;5;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\TIMSS_8_2015.sav;NONE
Canada;BSMMAT0;   50,00;   90,00;BSBG01;Boy;Girl;83,941736;3,09293818823877;79,570534;3,16861541559812;-4,37120199999997;4,23387735321933;-1,03243472479812;TOTWGT;JRR;FULL;N;26-FEB-26; 7h42m;150;5;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\TIMSS_8_2015.sav;NONE
Canada;BSMMAT0;   50,00;   90,00;BSBG01;Boy;Boy;83,941736;3,09293818823877;83,941736;3,09293818823877;0;0; ;TOTWGT;JRR;FULL;N;26-FEB-26; 7h42m;150;5;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\TIMSS_8_2015.sav;NONE
Chile;BSMMAT0;   10,00;   50,00;BSBG01;Girl;Girl;101,948402;6,62903375637004;101,948402;6,62903375637004;0;0; ;TOTWGT;JRR;FULL;N;26-FEB-26; 7h42m;150;5;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\TIMSS_8_2015.sav;NONE
Chile;BSMMAT0;   10,00;   50,00;BSBG01;Girl;Boy;101,948402;6,62903375637004;103,92437;5,60227437788261;1,97596799999999;7,80111421609209;,253293048308916;TOTWGT;JRR;FULL;N;26-FEB-26; 7h42m;150;5;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\TIMSS_8_2015.sav;NONE
