"";"IDCNTRY";"S_SEX";"dvar";"groupvar";"refpctile";"comppctile";"val";"val_se";"cval";"cval_se";"gap";"gap_se";"gap_t";"weight";"method";"jk2type";"shortcut";"date";"time";"reps";"npv";"selcrit"
"39";"Kazakhstan";"Boy";"PVCIL";"Percentile";50;90;392,053196582627;7,84865779506272;530,581949926091;8,17200305637145;138,528753343464;8,96024781717609;15,4603707587099;"TOTWGTS";"JRR";"HALF";"N";"04-MAR-26";"13h21m";75;5;"NONE"
"40";"Kazakhstan";"Girl";"PVCIL";"Percentile";10;50;263,352240173556;14,3006453671794;401,304259212197;6,92255030406377;137,952019038641;12,9717781571486;10,634780934996;"TOTWGTS";"JRR";"HALF";"N";"04-MAR-26";"13h21m";75;5;"NONE"
"41";"Kazakhstan";"Girl";"PVCIL";"Percentile";10;90;263,352240173556;14,3006453671794;530,666277456078;8,17078879231871;267,314037282521;15,9499594305629;16,7595433986059;"TOTWGTS";"JRR";"HALF";"N";"04-MAR-26";"13h21m";75;5;"NONE"
"42";"Kazakhstan";"Girl";"PVCIL";"Percentile";50;90;401,304259212197;6,92255030406377;530,666277456078;8,17078879231871;129,36201824388;9,07867232196428;14,2490017985242;"TOTWGTS";"JRR";"HALF";"N";"04-MAR-26";"13h21m";75;5;"NONE"
"43";"Korea, Republic of";"Boy";"PVCIL";"Percentile";10;50;390,134575983595;8,14159736326727;533,25058976073;5,04995412478683;143,116013777136;8,64734060272934;16,5502922056712;"TOTWGTS";"JRR";"HALF";"N";"04-MAR-26";"13h21m";75;5;"NONE"
"44";"Korea, Republic of";"Boy";"PVCIL";"Percentile";10;90;390,134575983595;8,14159736326727;639,48707610047;4,49259623878869;249,352500116875;8,59685380874446;29,0050878686853;"TOTWGTS";"JRR";"HALF";"N";"04-MAR-26";"13h21m";75;5;"NONE"
"45";"Korea, Republic of";"Boy";"PVCIL";"Percentile";50;90;533,25058976073;5,04995412478683;639,48707610047;4,49259623878869;106,236486339739;5,47461864024984;19,4052761152494;"TOTWGTS";"JRR";"HALF";"N";"04-MAR-26";"13h21m";75;5;"NONE"
"46";"Korea, Republic of";"Girl";"PVCIL";"Percentile";10;50;442,77546828203;9,35064641258103;571,869786680939;4,66695451902612;129,094318398909;8,72801212662442;14,7908041975689;"TOTWGTS";"JRR";"HALF";"N";"04-MAR-26";"13h21m";75;5;"NONE"
"47";"Korea, Republic of";"Girl";"PVCIL";"Percentile";10;90;442,77546828203;9,35064641258103;669,734347652785;5,60747005242548;226,958879370756;10,2445429314187;22,1541244826748;"TOTWGTS";"JRR";"HALF";"N";"04-MAR-26";"13h21m";75;5;"NONE"
"48";"Korea, Republic of";"Girl";"PVCIL";"Percentile";50;90;571,869786680939;4,66695451902612;669,734347652785;5,60747005242548;97,8645609718468;6,44760632918223;15,178433045595;"TOTWGTS";"JRR";"HALF";"N";"04-MAR-26";"13h21m";75;5;"NONE"
