IDCNTRY;ASBGSEX;xvar;n;TOTWGT;sumw_se;tsumw;tsumw_se;pct;pct_se;tpct;tpct_se;mnx;mnx_se;sdx;sdx_se;vrx;vrx_se;DEff;pctmiss;nvarstrat;weight;reps;method;jk2type;date;time;infile;selcrit
Romania;BOY;ASDGSATR;1736;135197,588581001;4418,43124360834;139567,466727001;4547,31877438103;49,4055696472044;,989616985510488;49,323011861935;,99593623411044;1,48424114394449;,0219736162931093;,543604109631615;,00860174454562633;,295505428008381;,00935706185722868;2,83652967396143;3,13101487651677;73;TOTWGT;75;JRR;HALF;25-FEB-26;16h 2m;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\PIRLS2001.sav;NONE
Russian Federation;GIRL;ASDGSATR;1983;883103,274422004;36515,9573316902;897163,552464005;36894,5877906766;49,2873251196295;,924386557182095;49,1974062533329;,920675643945693;1,39729120157847;,0189758995151284;,53299685816437;,00927121014071562;,28408565081309;,00986214195987648;2,5134957778116;1,56719229212826;61;TOTWGT;75;JRR;HALF;25-FEB-26;16h 2m;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\PIRLS2001.sav;NONE
Russian Federation;BOY;ASDGSATR;2034;908641,910123004;33184,1254703844;926435,740239004;33779,0208701635;50,7126748803705;,924386557182097;50,8025937466671;,92067564394569;1,58864805962185;,0230807939576092;,581412758602348;,00761904162522487;,338040795865592;,00886042419502214;3,20540803468086;1,92067612929198;61;TOTWGT;75;JRR;HALF;25-FEB-26;16h 2m;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\PIRLS2001.sav;NONE
Singapore;GIRL;ASDGSATR;3379;23141,9018820003;925,806785204107;23866,7781420003;926,143603961282;48,6380838060069;1,53930244470479;48,4397948060933;1,50306903238624;1,36034786728077;,0150151301604168;,515526601874785;,00776926140140831;,265767677240563;,00801488717616236;2,86644909493075;3,03717684761303;75;TOTWGT;75;JRR;HALF;25-FEB-26;16h 2m;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\PIRLS2001.sav;NONE
Singapore;BOY;ASDGSATR;3400;24437,8958220002;1008,11738018086;25404,2359850002;1039,0104701909;51,3619161939931;1,53930244470478;51,5602051939067;1,50306903238624;1,65369607327724;,0152868510695824;,611678945561647;,0072397466930588;,374151132443408;,00885601681203369;2,12357655563261;3,80385445785722;75;TOTWGT;75;JRR;HALF;25-FEB-26;16h 2m;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\PIRLS2001.sav;NONE
Slovak Republic;GIRL;ASDGSATR;1857;34900,6655849999;1030,59227396451;35125,9056059999;1040,37341126798;49,8831191387301;,93921667431146;49,6897258953752;,918463788492939;1,49590476092349;,0209406441735664;,565733788584387;,00977727050744199;,320054719546043;,0110820539988843;2,54429662918603;,641236196232124;75;TOTWGT;75;JRR;HALF;25-FEB-26;16h 2m;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\PIRLS2001.sav;NONE
Slovak Republic;BOY;ASDGSATR;1879;35064,2166989998;1123,19758523321;35564,5741119998;1103,38344272722;50,1168808612699;,939216674311479;50,3102741046248;,918463788492965;1,76090302578357;,0226959229770711;,6092353402753;,0101458379177459;,371167699840361;,012358706624768;2,60766802899351;1,40689836865268;75;TOTWGT;75;JRR;HALF;25-FEB-26;16h 2m;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\PIRLS2001.sav;NONE
Slovenia;GIRL;ASDGSATR;1432;10303,35988;228,431237672583;10541,36782;221,105574954765;50,3402931910865;,828912942171562;50,073913226711;,813676377632552;1,31150536197712;,0186329954156592;,507706182051272;,0127080073137019;,257765567293079;,0129228901454739;1,9287834415828;2,25784683794479;75;TOTWGT;75;JRR;HALF;25-FEB-26;16h 2m;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\PIRLS2001.sav;NONE
Slovenia;BOY;ASDGSATR;1435;10164,061398;259,972587657472;10510,247963;258,634762019904;49,6597068089135;,828912942171567;49,926086773289;,813676377632546;1,64384939265398;,0240844988977418;,662541124175519;,0137778642154883;,43896074122376;,0182319618566356;1,89627557067474;3,29380016740526;75;TOTWGT;75;JRR;HALF;25-FEB-26;16h 2m;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\PIRLS2001.sav;NONE
Sweden;GIRL;ASDGSATR;2862;55962,0155260004;1370,75048013973;56871,0307570004;1363,07119330976;48,8371464029279;,717184970013588;48,889952302503;,722762990436919;1,37814267804861;,0160330023286658;,543969726703319;,0107649925913565;,295903063569683;,0117144580790367;2,48627909948341;1,59838008719071;74;TOTWGT;75;JRR;HALF;25-FEB-26;16h 2m;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\PIRLS2001.sav;NONE
Sweden;BOY;ASDGSATR;2952;58627,020992;1316,44839966092;59453,547359;1256,59577447384;51,1628535970721;,717184970013574;51,110047697497;,722762990436932;1,67858638233433;,0211747265560831;,659830111997651;,00919467477642855;,435375776698833;,0121437279215816;3,04009890045734;1,3902053009708;74;TOTWGT;75;JRR;HALF;25-FEB-26;16h 2m;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\PIRLS2001.sav;NONE
Turkey;GIRL;ASDGSATR;2333;453496,509866005;20029,7800497751;468165,227836006;19698,4457902964;48,3540754542481;,947345125812667;48,1802247743288;,920546435822259;1,34946929449318;,019933322898648;,488670291104854;,00754329638640384;,238798653408503;,00737518533769061;3,88188145873293;3,1332352549554;75;TOTWGT;75;JRR;HALF;25-FEB-26;16h 2m;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\PIRLS2001.sav;NONE
Turkey;BOY;ASDGSATR;2568;484369,648479006;15336,3573424153;503530,587260007;13745,3911441847;51,6459245457519;,947345125812671;51,8197752256712;,920546435822268;1,4906200726454;,0160338127656541;,528204962008994;,0052926721981823;,279000481890923;,00559305967839652;2,36626664354979;3,80531774350897;75;TOTWGT;75;JRR;HALF;25-FEB-26;16h 2m;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\PIRLS2001.sav;NONE
North Macedonia;GIRL;ASDGSATR;1705;12468,609749;411,594542238375;13325,87588;441,505538286745;49,2998155285702;,933456740760158;48,8557265624227;,869741644150496;1,32095480374794;,0166595342845947;,473467501766403;,00657511208953313;,224171475228919;,00622583324836958;2,1109101428492;6,43309406991115;73;TOTWGT;75;JRR;HALF;25-FEB-26;16h 2m;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\PIRLS2001.sav;NONE
North Macedonia;BOY;ASDGSATR;1756;12822,782552;404,834251037883;13950,0993590001;422,117269948229;50,7001844714298;,93345674076016;51,1442734375773;,869741644150499;1,45926956010663;,0193331434771893;,527045430643457;,00812775719119771;,277776885962147;,00859577235559203;2,36283477867008;8,08106650704747;73;TOTWGT;75;JRR;HALF;25-FEB-26;16h 2m;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\PIRLS2001.sav;NONE
United States;GIRL;ASDGSATR;1866;1887362,019359;79728,0243955482;1924464,759959;77482,878451637;50,6632740809426;,865655360705139;50,6786970469243;,828697183074542;1,56337098074599;,0246829851405954;,63952210048375;,0146453742160825;,408988517007148;,0186976858036114;2,77968695060313;1,9279511567045;52;TOTWGT;75;JRR;HALF;25-FEB-26;16h 2m;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\PIRLS2001.sav;NONE
United States;BOY;ASDGSATR;1815;1837944,04029999;77371,164474643;1872919,293102;78567,2259378247;49,3367259190574;,865655360705138;49,3213029530756;,828697183074552;1,85733488228227;,0205646228652307;,703070328835364;,0106910575885508;,494307887288667;,0150452776621551;1,55281811175328;1,86741911041307;52;TOTWGT;75;JRR;HALF;25-FEB-26;16h 2m;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\PIRLS2001.sav;NONE
England;GIRL;ASDGSATR;1568;302883,406617999;10037,8644712902;305166,489436999;10118,079588229;51,6810026245866;1,05256579018049;51,6470878454393;1,06539739616723;1,54546611251428;,0259139149374245;,636192604986622;,0130224224908003;,404741030639665;,0165785621805435;2,60156620778995;,748143357159579;66;TOTWGT;75;JRR;HALF;25-FEB-26;16h 2m;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\PIRLS2001.sav;NONE
England;BOY;ASDGSATR;1552;283179,926592;9810,35877352885;285702,235534;9855,84224191041;48,3189973754134;1,05256579018049;48,3529121545607;1,06539739616722;1,83347502785061;,0245001945826277;,706969284602435;,0110519791850164;,499805569371279;,0156227774928738;1,8639304056782;,882845364260313;65;TOTWGT;75;JRR;HALF;25-FEB-26;16h 2m;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\PIRLS2001.sav;NONE
Scotland;GIRL;ASDGSATR;1371;32649,6297859998;1258,82297781831;32965,4118729999;1255,30552134594;51,4831311895106;,988620856623071;51,518034483361;1,00352398444908;1,49970584824199;,0189340696467415;,602489256566681;,0110553443959899;,362993304278272;,0133361915139016;1,35402530609129;,957919434516877;59;TOTWGT;75;JRR;HALF;25-FEB-26;16h 2m;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\PIRLS2001.sav;NONE
Scotland;BOY;ASDGSATR;1300;30768,4821889999;1194,6853841971;31022,689;1209,77116317304;48,5168688104894;,988620856623073;48,481965516639;1,00352398444908;1,78930523734715;,0295538105721779;,712909020173666;,0119061197634125;,508239271044976;,0169725193605359;2,23409740219887;,819422233191971;59;TOTWGT;75;JRR;HALF;25-FEB-26;16h 2m;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\PIRLS2001.sav;NONE
Sweden (Grade 3);GIRL;ASDGSATR;2550;56945,81282;1707,59396066272;57897,4098879999;1700,02535144139;50,3730376374006;,762064024252133;50,4739943922812;,736579033800168;1,39709709796359;,0139673359267065;,542944505429415;,00866098056623601;,294788735975992;,00940917959705051;1,68754923494991;1,64359177697383;72;TOTWGT;75;JRR;HALF;25-FEB-26;16h 2m;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\PIRLS2001.sav;NONE
