"";"IDCNTRY";"LL";"CSR";"NKR";"LL.svr";"LL.se";"CSR.se";"NKR.se";"dvar";"convar";"catvar";"contrast";"refcats";"weight";"method";"jk2type";"shortcut";"date";"time";"reps";"npv";"selcrit"
"20";"Japan";1136136,56514892;0,071603699223251;0,102381616870981;1168406368,23189;35407,9051639075;0,00858165419889038;0,0122321437018162;"BSMMAT0_DIC";"BSDAGE";"BSDGSLM BSBG01";"INDICATOR INDICATOR";"DEFAULT DEFAULT";"TOTWGT";"JRR";"FULL";"N";"05-MAR-26";" 5h26m";250;5;"NONE"
"21";"Jordan";49091,2797770153;0,00528763543444399;0,0197640224500861;28042874,7712958;5420,78266733488;0,00281317588803691;0,0104179018858535;"BSMMAT0_DIC";"BSDAGE";"BSDGSLM BSBG01";"INDICATOR INDICATOR";"DEFAULT DEFAULT";"TOTWGT";"JRR";"FULL";"N";"05-MAR-26";" 5h26m";250;5;"NONE"
"22";"Kazakhstan";251959,995913532;0,0351278458677333;0,0599836541635579;135786209,528918;12159,1994337257;0,00698101715727456;0,0115122446741561;"BSMMAT0_DIC";"BSDAGE";"BSDGSLM BSBG01";"INDICATOR INDICATOR";"DEFAULT DEFAULT";"TOTWGT";"JRR";"FULL";"N";"05-MAR-26";" 5h26m";250;5;"NONE"
"23";"Korea, Republic of";459256,981339686;0,0744461004836732;0,105926544802864;110773613,573734;11134,6430085932;0,00866675355292957;0,0124321107054363;"BSMMAT0_DIC";"BSDAGE";"BSDGSLM BSBG01";"INDICATOR INDICATOR";"DEFAULT DEFAULT";"TOTWGT";"JRR";"FULL";"N";"05-MAR-26";" 5h26m";250;5;"NONE"
"24";"Kuwait";20153,2427619389;0,0238238197746996;0,0600232183341373;8531611,16019104;3001,75243133548;0,00846642459027228;0,0186123855032019;"BSMMAT0_DIC";"BSDAGE";"BSDGSLM BSBG01";"INDICATOR INDICATOR";"DEFAULT DEFAULT";"TOTWGT";"JRR";"FULL";"N";"05-MAR-26";" 5h26m";250;5;"NONE"
"25";"Lithuania";31702,5132681687;0,0523018187059095;0,0717215177912454;1032502,31307163;1034,27072639827;0,00725340783400753;0,00991416253820276;"BSMMAT0_DIC";"BSDAGE";"BSDGSLM BSBG01";"INDICATOR INDICATOR";"DEFAULT DEFAULT";"TOTWGT";"JRR";"FULL";"N";"05-MAR-26";" 5h26m";250;5;"NONE"
"26";"Malaysia";195916,078041991;0,0309357707135161;0,0774560639201608;178412229,912506;13375,0809202438;0,00573117897865868;0,0128194132692462;"BSMMAT0_DIC";"BSDAGE";"BSDGSLM BSBG01";"INDICATOR INDICATOR";"DEFAULT DEFAULT";"TOTWGT";"JRR";"FULL";"N";"05-MAR-26";" 5h26m";250;5;"NONE"
"27";"Malta";4902,29034729832;0,0509239342764938;0,0717150541010897;2630,13492680042;57,0576870936728;0,00761326127821245;0,0106105249585083;"BSMMAT0_DIC";"BSDAGE";"BSDGSLM BSBG01";"INDICATOR INDICATOR";"DEFAULT DEFAULT";"TOTWGT";"JRR";"FULL";"N";"05-MAR-26";" 5h26m";250;5;"NONE"
"28";"Morocco";91633,7392862987;0,00934664169145463;0,0585277928879896;171884814,110782;13449,265587149;0,00342654212824122;0,0197072043112006;"BSMMAT0_DIC";"BSDAGE";"BSDGSLM BSBG01";"INDICATOR INDICATOR";"DEFAULT DEFAULT";"TOTWGT";"JRR";"FULL";"N";"05-MAR-26";" 5h26m";250;5;"NONE"
"29";"New Zealand";61874,6579642014;0,0755412105737843;0,109578246678879;8439283,10623267;3004,78916196925;0,012629078211684;0,0178597282420387;"BSMMAT0_DIC";"BSDAGE";"BSDGSLM BSBG01";"INDICATOR INDICATOR";"DEFAULT DEFAULT";"TOTWGT";"JRR";"FULL";"N";"05-MAR-26";" 5h26m";250;5;"NONE"
"30";"Norway";64842,2439719492;0,0627520729052233;0,0888708271394945;2452428,98198238;1664,54407735449;0,0080344834142613;0,0113990533748345;"BSMMAT0_DIC";"BSDAGE";"BSDGSLM BSBG01";"INDICATOR INDICATOR";"DEFAULT DEFAULT";"TOTWGT";"JRR";"FULL";"N";"05-MAR-26";" 5h26m";250;5;"NONE"
"31";"Oman";30484,3768016272;0,0129150943574999;0,031504548396131;3388977,22968989;1953,41283020852;0,003565426296444;0,00868123009798347;"BSMMAT0_DIC";"BSDAGE";"BSDGSLM BSBG01";"INDICATOR INDICATOR";"DEFAULT DEFAULT";"TOTWGT";"JRR";"FULL";"N";"05-MAR-26";" 5h26m";250;5;"NONE"
"32";"Palestinian National Authority";29264,7875678767;0,00733440929467271;0,0283105925620103;6900492,54079853;2700,32667781725;0,00310689335767509;0,0112755092596302;"BSMMAT0_DIC";"BSDAGE";"BSDGSLM BSBG01";"INDICATOR INDICATOR";"DEFAULT DEFAULT";"TOTWGT";"JRR";"FULL";"N";"05-MAR-26";" 5h26m";250;5;"NONE"
"33";"Portugal";87947,8981168517;0,108586196617207;0,171739578636184;12128666,5687473;3749,28701644439;0,00901517396464832;0,0140117307145801;"BSMMAT0_DIC";"BSDAGE";"BSDGSLM BSBG01";"INDICATOR INDICATOR";"DEFAULT DEFAULT";"TOTWGT";"JRR";"FULL";"N";"05-MAR-26";" 5h26m";250;5;"NONE"
"34";"Qatar";19971,4454809307;0,0337902281133771;0,0556775576960243;922608,997963311;1008,25697204439;0,0100354825766531;0,016209457249706;"BSMMAT0_DIC";"BSDAGE";"BSDGSLM BSBG01";"INDICATOR INDICATOR";"DEFAULT DEFAULT";"TOTWGT";"JRR";"FULL";"N";"05-MAR-26";" 5h26m";250;5;"NONE"
"35";"Romania";179573,456553715;0,0254833586198639;0,0354911772548899;62040850,2923336;8061,23933119736;0,00993302858332155;0,0139329298235338;"BSMMAT0_DIC";"BSDAGE";"BSDGSLM BSBG01";"INDICATOR INDICATOR";"DEFAULT DEFAULT";"TOTWGT";"JRR";"FULL";"N";"05-MAR-26";" 5h26m";250;5;"NONE"
"36";"Saudi Arabia";132295,900593201;0,00861381628778877;0,0284355860174241;115008249,988648;11323,714076667;0,00328348041853516;0,0105313353272541;"BSMMAT0_DIC";"BSDAGE";"BSDGSLM BSBG01";"INDICATOR INDICATOR";"DEFAULT DEFAULT";"TOTWGT";"JRR";"FULL";"N";"05-MAR-26";" 5h26m";250;5;"NONE"
"37";"Singapore";40593,808051416;0,0834884533344669;0,122686736637604;3450204,13155611;1862,76794244548;0,00959629393251828;0,0135144420312602;"BSMMAT0_DIC";"BSDAGE";"BSDGSLM BSBG01";"INDICATOR INDICATOR";"DEFAULT DEFAULT";"TOTWGT";"JRR";"FULL";"N";"05-MAR-26";" 5h26m";250;5;"NONE"
"38";"South Africa";274444,095093332;0,00576058042247072;0,0205784196889036;1872703570,3906;43836,4810034859;0,00258412871998118;0,00960713673539321;"BSMMAT0_DIC";"BSDAGE";"BSDGSLM BSBG01";"INDICATOR INDICATOR";"DEFAULT DEFAULT";"TOTWGT";"JRR";"FULL";"N";"05-MAR-26";" 5h26m";250;5;"NONE"
"39";"Sweden";135700,109909147;0,0679809109586524;0,0924440190581653;14345243,8683295;3799,86645529263;0,00894466936063331;0,0119933568795936;"BSMMAT0_DIC";"BSDAGE";"BSDGSLM BSBG01";"INDICATOR INDICATOR";"DEFAULT DEFAULT";"TOTWGT";"JRR";"FULL";"N";"05-MAR-26";" 5h26m";250;5;"NONE"
"40";"Turkey";1192504,99955595;0,0807968508724434;0,110098771308289;559916540,876773;24528,3466689924;0,0120396420589421;0,0163122735293118;"BSMMAT0_DIC";"BSDAGE";"BSDGSLM BSBG01";"INDICATOR INDICATOR";"DEFAULT DEFAULT";"TOTWGT";"JRR";"FULL";"N";"05-MAR-26";" 5h26m";250;5;"NONE"
"41";"United Arab Emirates";86793,4584550627;0,0317329000424337;0,0449271730021679;1437151,41254451;1236,71401402602;0,00346994522042338;0,00485182804318994;"BSMMAT0_DIC";"BSDAGE";"BSDGSLM BSBG01";"INDICATOR INDICATOR";"DEFAULT DEFAULT";"TOTWGT";"JRR";"FULL";"N";"05-MAR-26";" 5h26m";250;5;"NONE"
"42";"United Arab Emirates (Abu Dhabi)";23368,2140449638;0,020722803378684;0,0330073775408844;446798,732440489;700,926174785291;0,00339635931011259;0,00533207559939159;"BSMMAT0_DIC";"BSDAGE";"BSDGSLM BSBG01";"INDICATOR INDICATOR";"DEFAULT DEFAULT";"TOTWGT";"JRR";"FULL";"N";"05-MAR-26";" 5h26m";250;5;"NONE"
"43";"United Arab Emirates (Dubai)";29303,0799499363;0,0695786900517255;0,0928186410809559;230295,897429793;491,102369818648;0,0107195517466725;0,014309149011016;"BSMMAT0_DIC";"BSDAGE";"BSDGSLM BSBG01";"INDICATOR INDICATOR";"DEFAULT DEFAULT";"TOTWGT";"JRR";"FULL";"N";"05-MAR-26";" 5h26m";250;5;"NONE"
"44";"United Arab Emirates (Sharjah)";17733,8724997471;0,0290108776450331;0,041447558185628;570136,420055418;779,362589444878;0,0083646009058167;0,0117467606726219;"BSMMAT0_DIC";"BSDAGE";"BSDGSLM BSBG01";"INDICATOR INDICATOR";"DEFAULT DEFAULT";"TOTWGT";"JRR";"FULL";"N";"05-MAR-26";" 5h26m";250;5;"NONE"
"45";"United States";3837864,51307012;0,048016037747649;0,0695331913393963;25906505852,3834;163017,044696372;0,00699144929346951;0,00976636439367442;"BSMMAT0_DIC";"BSDAGE";"BSDGSLM BSBG01";"INDICATOR INDICATOR";"DEFAULT DEFAULT";"TOTWGT";"JRR";"FULL";"N";"05-MAR-26";" 5h26m";250;5;"NONE"
"46";"Uzbekistan";290256,205678346;0,0166872301014724;0,0381007579808445;1028539543,35219;32238,345301588;0,00692707300712422;0,0137186969689692;"BSMMAT0_DIC";"BSDAGE";"BSDGSLM BSBG01";"INDICATOR INDICATOR";"DEFAULT DEFAULT";"TOTWGT";"JRR";"FULL";"N";"05-MAR-26";" 5h26m";250;5;"NONE"
"47";"Table Average";NA;0,0471400373220176;0,0737383802437515;NA;NA;0,00122046677922544;0,00197803369361373;"BSMMAT0_DIC";"BSDAGE";"BSDGSLM BSBG01";"INDICATOR INDICATOR";"DEFAULT DEFAULT";"TOTWGT";"JRR";"FULL";"N";"05-MAR-26";" 5h26m";250;5;"NONE"
