"";"BSBG01";"percentile";"dvar";"groupvar";"refgroup";"compgroup";"val";"val_se";"cval";"cval_se";"valdiff";"valdiff_se";"valdiff_t";"weight";"method";"jk2type";"shortcut";"date";"time";"reps";"npv";"selcrit"
"3755";"Girl";50;"BSMMAT0";"IDCNTRY";"Portugal";"United States";466,284918;3,92557917169608;480,577346;6,14818117153648;14,292428;7,29453929671298;1,95933251143638;"TOTWGT";"JRR";"FULL";"N";"04-MAR-26";"13h28m";250;5;"NONE"
"3756";"Girl";50;"BSMMAT0";"IDCNTRY";"Portugal";"Uzbekistan";466,284918;3,92557917169608;412,508046;3,8794737971323;-53,776872;5,51910217117696;-9,74377178245497;"TOTWGT";"JRR";"FULL";"N";"04-MAR-26";"13h28m";250;5;"NONE"
"3757";"Girl";50;"BSMMAT0";"IDCNTRY";"Portugal";"England";466,284918;3,92557917169608;517,159436;6,67377088662887;50,874518;7,74269912113787;6,57064380315523;"TOTWGT";"JRR";"FULL";"N";"04-MAR-26";"13h28m";250;5;"NONE"
"3758";"Girl";50;"BSMMAT0";"IDCNTRY";"Portugal";"United Arab Emirates (Dubai)";466,284918;3,92557917169608;539,194846;3,90738916701887;72,909928;5,53875996372749;13,1635832708903;"TOTWGT";"JRR";"FULL";"N";"04-MAR-26";"13h28m";250;5;"NONE"
"3759";"Girl";50;"BSMMAT0";"IDCNTRY";"Portugal";"United Arab Emirates (Abu Dhabi)";466,284918;3,92557917169608;449,656428;4,6699567668806;-16,62849;6,10071045352818;-2,72566451508666;"TOTWGT";"JRR";"FULL";"N";"04-MAR-26";"13h28m";250;5;"NONE"
"3760";"Girl";50;"BSMMAT0";"IDCNTRY";"Portugal";"United Arab Emirates (Sharjah)";466,284918;3,92557917169608;491,244914;6,84106428715635;24,959996;7,88735268732546;3,16455938886939;"TOTWGT";"JRR";"FULL";"N";"04-MAR-26";"13h28m";250;5;"NONE"
"3761";"Girl";50;"BSMMAT0";"IDCNTRY";"Qatar";"Azerbaijan, Republic of";446,289514;8,21701109689016;482,08194;6,35321394136224;35,792426;10,3866548393184;3,44600129239964;"TOTWGT";"JRR";"FULL";"N";"04-MAR-26";"13h28m";250;5;"NONE"
"3762";"Girl";50;"BSMMAT0";"IDCNTRY";"Qatar";"Australia";446,289514;8,21701109689016;503,304188;5,32177344181842;57,014674;9,78981838097418;5,82387453793872;"TOTWGT";"JRR";"FULL";"N";"04-MAR-26";"13h28m";250;5;"NONE"
"3763";"Girl";50;"BSMMAT0";"IDCNTRY";"Qatar";"Austria";446,289514;8,21701109689016;513,726494;2,41890669112436;67,43698;8,56565122724374;7,87295422273455;"TOTWGT";"JRR";"FULL";"N";"04-MAR-26";"13h28m";250;5;"NONE"
"3764";"Girl";50;"BSMMAT0";"IDCNTRY";"Qatar";"Bahrain";446,289514;8,21701109689016;427,120016;4,12483278252659;-19,169498;9,1942110509941;-2,08495300941861;"TOTWGT";"JRR";"FULL";"N";"04-MAR-26";"13h28m";250;5;"NONE"
"3765";"Girl";50;"BSMMAT0";"IDCNTRY";"Qatar";"Brazil";446,289514;8,21701109689016;362,535916;2,8800554383164;-83,753598;8,70712298604952;-9,61897496270459;"TOTWGT";"JRR";"FULL";"N";"04-MAR-26";"13h28m";250;5;"NONE"
"3766";"Girl";50;"BSMMAT0";"IDCNTRY";"Qatar";"Chile";446,289514;8,21701109689016;401,023834;4,2028682350659;-45,26568;9,22948388414769;-4,90446492655424;"TOTWGT";"JRR";"FULL";"N";"04-MAR-26";"13h28m";250;5;"NONE"
