"";"IDCNTRY";"ASBGSEX";"dvar";"groupvar";"refpctile";"comppctile";"val";"val_se";"cval";"cval_se";"gap";"gap_se";"gap_t";"weight";"method";"jk2type";"shortcut";"date";"time";"reps";"npv";"selcrit"
"69";"Moldova";"GIRL";"ASMMAT0";"Percentile";50;90;516,324005800871;7,81731225561229;612,773246847521;8,02343333359211;96,4492410466503;6,93232625091451;13,9129691182562;"TOTWGT";"JRR";"HALF";"Y";"04-MAR-26";"13h15m";75;5;"NONE"
"70";"Moldova";"BOY";"ASMMAT0";"Percentile";10;50;381,812170242401;10,2973402800163;505,647785349003;4,19016808609872;123,835615106602;8,51269139245254;14,5471754345982;"TOTWGT";"JRR";"HALF";"Y";"04-MAR-26";"13h15m";75;5;"NONE"
"71";"Moldova";"BOY";"ASMMAT0";"Percentile";10;90;381,812170242401;10,2973402800163;603,743870285015;6,6070723910051;221,931700042614;10,9542396087319;20,2598909618251;"TOTWGT";"JRR";"HALF";"Y";"04-MAR-26";"13h15m";75;5;"NONE"
"72";"Moldova";"BOY";"ASMMAT0";"Percentile";50;90;505,647785349003;4,19016808609872;603,743870285015;6,6070723910051;98,0960849360121;5,79513894278909;16,9273050921537;"TOTWGT";"JRR";"HALF";"Y";"04-MAR-26";"13h15m";75;5;"NONE"
"73";"Morocco";"GIRL";"ASMMAT0";"Percentile";10;50;224,496090029409;6,60993403600606;344,539850175539;8,34676589082082;120,04376014613;5,17780122052963;23,1843122270056;"TOTWGT";"JRR";"HALF";"Y";"04-MAR-26";"13h15m";75;5;"NONE"
"74";"Morocco";"GIRL";"ASMMAT0";"Percentile";10;90;224,496090029409;6,60993403600606;461,173958812382;6,67394182208267;236,677868782972;6,74169095964641;35,1066031059047;"TOTWGT";"JRR";"HALF";"Y";"04-MAR-26";"13h15m";75;5;"NONE"
"75";"Morocco";"GIRL";"ASMMAT0";"Percentile";50;90;344,539850175539;8,34676589082082;461,173958812382;6,67394182208267;116,634108636843;7,09553488182001;16,4376767332481;"TOTWGT";"JRR";"HALF";"Y";"04-MAR-26";"13h15m";75;5;"NONE"
"76";"Morocco";"BOY";"ASMMAT0";"Percentile";10;50;234,708250798641;10,5491290273608;348,896889518302;5,54410436081298;114,188638719662;8,37884766588714;13,6282032175568;"TOTWGT";"JRR";"HALF";"Y";"04-MAR-26";"13h15m";75;5;"NONE"
"77";"Morocco";"BOY";"ASMMAT0";"Percentile";10;90;234,708250798641;10,5491290273608;469,281159847108;10,8353995374114;234,572909048467;13,5474417098355;17,3149229258662;"TOTWGT";"JRR";"HALF";"Y";"04-MAR-26";"13h15m";75;5;"NONE"
"78";"Morocco";"BOY";"ASMMAT0";"Percentile";50;90;348,896889518302;5,54410436081298;469,281159847108;10,8353995374114;120,384270328805;10,1776352598131;11,8283144616263;"TOTWGT";"JRR";"HALF";"Y";"04-MAR-26";"13h15m";75;5;"NONE"
