"";"IDCNTRY";"dvar";"refpctile";"comppctile";"groupvar";"refgroup";"compgroup";"gap";"gap_se";"cgap";"cgap_se";"gapdiff";"gapdiff_se";"gapdiff_t";"weight";"method";"jk2type";"shortcut";"date";"time";"reps";"npv";"selcrit"
"63";"Canada";"ASRREA0";10;50;"ASBG01";"Boy";"Girl";105,176592;4,10610660970995;103,725452;5,0171198412768;-1,45113999999999;6,19592978206403;-0,234208593551325;"TOTWGT";"JRR";"FULL";"N";"04-MAR-26";"13h15m";150;5;"NONE"
"64";"Canada";"ASRREA0";10;50;"ASBG01";"Boy";"Boy";105,176592;4,10610660970995;105,176592;4,10610660970995;0;0;NA;"TOTWGT";"JRR";"FULL";"N";"04-MAR-26";"13h15m";150;5;"NONE"
"65";"Canada";"ASRREA0";10;90;"ASBG01";"Girl";"Girl";187,850902;5,5438673453;187,850902;5,5438673453;0;0;NA;"TOTWGT";"JRR";"FULL";"N";"04-MAR-26";"13h15m";150;5;"NONE"
"66";"Canada";"ASRREA0";10;90;"ASBG01";"Girl";"Boy";187,850902;5,5438673453;191,052492;4,44177522733581;3,20159000000001;6,31918582486463;0,506645964959987;"TOTWGT";"JRR";"FULL";"N";"04-MAR-26";"13h15m";150;5;"NONE"
"67";"Canada";"ASRREA0";10;90;"ASBG01";"Boy";"Girl";191,052492;4,44177522733581;187,850902;5,5438673453;-3,20159000000001;6,31918582486463;-0,506645964959987;"TOTWGT";"JRR";"FULL";"N";"04-MAR-26";"13h15m";150;5;"NONE"
"68";"Canada";"ASRREA0";10;90;"ASBG01";"Boy";"Boy";191,052492;4,44177522733581;191,052492;4,44177522733581;0;0;NA;"TOTWGT";"JRR";"FULL";"N";"04-MAR-26";"13h15m";150;5;"NONE"
"69";"Canada";"ASRREA0";50;90;"ASBG01";"Girl";"Girl";84,12545;2,55624934002735;84,12545;2,55624934002735;0;0;NA;"TOTWGT";"JRR";"FULL";"N";"04-MAR-26";"13h15m";150;5;"NONE"
"70";"Canada";"ASRREA0";50;90;"ASBG01";"Girl";"Boy";84,12545;2,55624934002735;85,8759;2,93916243846264;1,75045000000002;3,59364819948193;0,487095537134763;"TOTWGT";"JRR";"FULL";"N";"04-MAR-26";"13h15m";150;5;"NONE"
"71";"Canada";"ASRREA0";50;90;"ASBG01";"Boy";"Girl";85,8759;2,93916243846264;84,12545;2,55624934002735;-1,75045000000002;3,59364819948193;-0,487095537134763;"TOTWGT";"JRR";"FULL";"N";"04-MAR-26";"13h15m";150;5;"NONE"
"72";"Canada";"ASRREA0";50;90;"ASBG01";"Boy";"Boy";85,8759;2,93916243846264;85,8759;2,93916243846264;0;0;NA;"TOTWGT";"JRR";"FULL";"N";"04-MAR-26";"13h15m";150;5;"NONE"
"73";"Chile";"ASRREA0";10;50;"ASBG01";"Girl";"Girl";107,603626;7,8450858155769;107,603626;7,8450858155769;0;0;NA;"TOTWGT";"JRR";"FULL";"N";"04-MAR-26";"13h15m";150;5;"NONE"
"74";"Chile";"ASRREA0";10;50;"ASBG01";"Girl";"Boy";107,603626;7,8450858155769;112,14115;5,87971542348355;4,53752399999999;9,7510294880539;0,465337942579187;"TOTWGT";"JRR";"FULL";"N";"04-MAR-26";"13h15m";150;5;"NONE"
"75";"Chile";"ASRREA0";10;50;"ASBG01";"Boy";"Girl";112,14115;5,87971542348355;107,603626;7,8450858155769;-4,53752399999999;9,7510294880539;-0,465337942579187;"TOTWGT";"JRR";"FULL";"N";"04-MAR-26";"13h15m";150;5;"NONE"
"76";"Chile";"ASRREA0";10;50;"ASBG01";"Boy";"Boy";112,14115;5,87971542348355;112,14115;5,87971542348355;0;0;NA;"TOTWGT";"JRR";"FULL";"N";"04-MAR-26";"13h15m";150;5;"NONE"
"77";"Chile";"ASRREA0";10;90;"ASBG01";"Girl";"Girl";197,623382;8,73931211453251;197,623382;8,73931211453251;0;0;NA;"TOTWGT";"JRR";"FULL";"N";"04-MAR-26";"13h15m";150;5;"NONE"
"78";"Chile";"ASRREA0";10;90;"ASBG01";"Girl";"Boy";197,623382;8,73931211453251;207,394498;6,51425024659275;9,77111599999997;10,335245330224;0,945416938621251;"TOTWGT";"JRR";"FULL";"N";"04-MAR-26";"13h15m";150;5;"NONE"
"79";"Chile";"ASRREA0";10;90;"ASBG01";"Boy";"Girl";207,394498;6,51425024659275;197,623382;8,73931211453251;-9,77111599999997;10,335245330224;-0,945416938621251;"TOTWGT";"JRR";"FULL";"N";"04-MAR-26";"13h15m";150;5;"NONE"
"80";"Chile";"ASRREA0";10;90;"ASBG01";"Boy";"Boy";207,394498;6,51425024659275;207,394498;6,51425024659275;0;0;NA;"TOTWGT";"JRR";"FULL";"N";"04-MAR-26";"13h15m";150;5;"NONE"
"81";"Chile";"ASRREA0";50;90;"ASBG01";"Girl";"Girl";90,019756;5,32432366145561;90,019756;5,32432366145561;0;0;NA;"TOTWGT";"JRR";"FULL";"N";"04-MAR-26";"13h15m";150;5;"NONE"
"82";"Chile";"ASRREA0";50;90;"ASBG01";"Girl";"Boy";90,019756;5,32432366145561;95,253348;4,06278956473796;5,23359199999999;6,41727510099137;0,815547396307114;"TOTWGT";"JRR";"FULL";"N";"04-MAR-26";"13h15m";150;5;"NONE"
"83";"Chile";"ASRREA0";50;90;"ASBG01";"Boy";"Girl";95,253348;4,06278956473796;90,019756;5,32432366145561;-5,23359199999999;6,41727510099137;-0,815547396307114;"TOTWGT";"JRR";"FULL";"N";"04-MAR-26";"13h15m";150;5;"NONE"
"84";"Chile";"ASRREA0";50;90;"ASBG01";"Boy";"Boy";95,253348;4,06278956473796;95,253348;4,06278956473796;0;0;NA;"TOTWGT";"JRR";"FULL";"N";"04-MAR-26";"13h15m";150;5;"NONE"
"85";"Chinese Taipei";"ASRREA0";10;50;"ASBG01";"Girl";"Girl";85,038578;4,23183738579167;85,038578;4,23183738579167;0;0;NA;"TOTWGT";"JRR";"FULL";"N";"04-MAR-26";"13h15m";150;5;"NONE"
"86";"Chinese Taipei";"ASRREA0";10;50;"ASBG01";"Girl";"Boy";85,038578;4,23183738579167;93,17131;5,26354463044056;8,13273199999999;7,05770662480693;1,15231936269701;"TOTWGT";"JRR";"FULL";"N";"04-MAR-26";"13h15m";150;5;"NONE"
"87";"Chinese Taipei";"ASRREA0";10;50;"ASBG01";"Boy";"Girl";93,17131;5,26354463044056;85,038578;4,23183738579167;-8,13273199999999;7,05770662480693;-1,15231936269701;"TOTWGT";"JRR";"FULL";"N";"04-MAR-26";"13h15m";150;5;"NONE"
"88";"Chinese Taipei";"ASRREA0";10;50;"ASBG01";"Boy";"Boy";93,17131;5,26354463044056;93,17131;5,26354463044056;0;0;NA;"TOTWGT";"JRR";"FULL";"N";"04-MAR-26";"13h15m";150;5;"NONE"
"89";"Chinese Taipei";"ASRREA0";10;90;"ASBG01";"Girl";"Girl";158,788618;5,34658012571998;158,788618;5,34658012571998;0;0;NA;"TOTWGT";"JRR";"FULL";"N";"04-MAR-26";"13h15m";150;5;"NONE"
"90";"Chinese Taipei";"ASRREA0";10;90;"ASBG01";"Girl";"Boy";158,788618;5,34658012571998;167,164258;6,33029930677254;8,37564;7,98544575180382;1,04886317687501;"TOTWGT";"JRR";"FULL";"N";"04-MAR-26";"13h15m";150;5;"NONE"
"91";"Chinese Taipei";"ASRREA0";10;90;"ASBG01";"Boy";"Girl";167,164258;6,33029930677254;158,788618;5,34658012571998;-8,37564;7,98544575180382;-1,04886317687501;"TOTWGT";"JRR";"FULL";"N";"04-MAR-26";"13h15m";150;5;"NONE"
"92";"Chinese Taipei";"ASRREA0";10;90;"ASBG01";"Boy";"Boy";167,164258;6,33029930677254;167,164258;6,33029930677254;0;0;NA;"TOTWGT";"JRR";"FULL";"N";"04-MAR-26";"13h15m";150;5;"NONE"
"93";"Chinese Taipei";"ASRREA0";50;90;"ASBG01";"Girl";"Girl";73,75004;4,48270351474854;73,75004;4,48270351474854;0;0;NA;"TOTWGT";"JRR";"FULL";"N";"04-MAR-26";"13h15m";150;5;"NONE"
"94";"Chinese Taipei";"ASRREA0";50;90;"ASBG01";"Girl";"Boy";73,75004;4,48270351474854;73,992948;3,92711747968969;0,242908000000011;6,11633942026624;0,0397146043261016;"TOTWGT";"JRR";"FULL";"N";"04-MAR-26";"13h15m";150;5;"NONE"
"95";"Chinese Taipei";"ASRREA0";50;90;"ASBG01";"Boy";"Girl";73,992948;3,92711747968969;73,75004;4,48270351474854;-0,242908000000011;6,11633942026624;-0,0397146043261016;"TOTWGT";"JRR";"FULL";"N";"04-MAR-26";"13h15m";150;5;"NONE"
"96";"Chinese Taipei";"ASRREA0";50;90;"ASBG01";"Boy";"Boy";73,992948;3,92711747968969;73,992948;3,92711747968969;0;0;NA;"TOTWGT";"JRR";"FULL";"N";"04-MAR-26";"13h15m";150;5;"NONE"
"97";"Czech Republic";"ASRREA0";10;50;"ASBG01";"Girl";"Girl";83,988998;3,91213606772871;83,988998;3,91213606772871;0;0;NA;"TOTWGT";"JRR";"FULL";"N";"04-MAR-26";"13h15m";150;5;"NONE"
"98";"Czech Republic";"ASRREA0";10;50;"ASBG01";"Girl";"Boy";83,988998;3,91213606772871;99,148634;5,88210846517015;15,159636;6,53772966165829;2,31879211661297;"TOTWGT";"JRR";"FULL";"N";"04-MAR-26";"13h15m";150;5;"NONE"
"99";"Czech Republic";"ASRREA0";10;50;"ASBG01";"Boy";"Girl";99,148634;5,88210846517015;83,988998;3,91213606772871;-15,159636;6,53772966165829;-2,31879211661297;"TOTWGT";"JRR";"FULL";"N";"04-MAR-26";"13h15m";150;5;"NONE"
"100";"Czech Republic";"ASRREA0";10;50;"ASBG01";"Boy";"Boy";99,148634;5,88210846517015;99,148634;5,88210846517015;0;0;NA;"TOTWGT";"JRR";"FULL";"N";"04-MAR-26";"13h15m";150;5;"NONE"
"101";"Czech Republic";"ASRREA0";10;90;"ASBG01";"Girl";"Girl";159,897828;4,97588303199374;159,897828;4,97588303199374;0;0;NA;"TOTWGT";"JRR";"FULL";"N";"04-MAR-26";"13h15m";150;5;"NONE"
"102";"Czech Republic";"ASRREA0";10;90;"ASBG01";"Girl";"Boy";159,897828;4,97588303199374;177,220212;6,985643052682;17,322384;7,55659822437024;2,29235212534323;"TOTWGT";"JRR";"FULL";"N";"04-MAR-26";"13h15m";150;5;"NONE"
"103";"Czech Republic";"ASRREA0";10;90;"ASBG01";"Boy";"Girl";177,220212;6,985643052682;159,897828;4,97588303199374;-17,322384;7,55659822437024;-2,29235212534323;"TOTWGT";"JRR";"FULL";"N";"04-MAR-26";"13h15m";150;5;"NONE"
"104";"Czech Republic";"ASRREA0";10;90;"ASBG01";"Boy";"Boy";177,220212;6,985643052682;177,220212;6,985643052682;0;0;NA;"TOTWGT";"JRR";"FULL";"N";"04-MAR-26";"13h15m";150;5;"NONE"
"105";"Czech Republic";"ASRREA0";50;90;"ASBG01";"Girl";"Girl";75,90883;3,47504762732831;75,90883;3,47504762732831;0;0;NA;"TOTWGT";"JRR";"FULL";"N";"04-MAR-26";"13h15m";150;5;"NONE"
"106";"Czech Republic";"ASRREA0";50;90;"ASBG01";"Girl";"Boy";75,90883;3,47504762732831;78,071578;3,84375666698278;2,16274800000001;4,95372964839566;0,436589833016109;"TOTWGT";"JRR";"FULL";"N";"04-MAR-26";"13h15m";150;5;"NONE"
"107";"Czech Republic";"ASRREA0";50;90;"ASBG01";"Boy";"Girl";78,071578;3,84375666698278;75,90883;3,47504762732831;-2,16274800000001;4,95372964839566;-0,436589833016109;"TOTWGT";"JRR";"FULL";"N";"04-MAR-26";"13h15m";150;5;"NONE"
