"";"IDCNTRY";"ASBG01";"dvar";"groupvar";"refpctile";"comppctile";"val";"val_se";"cval";"cval_se";"gap";"gap_se";"gap_t";"weight";"method";"jk2type";"shortcut";"date";"time";"reps";"npv";"selcrit"
"45";"Chinese Taipei";"Girl";"ASRREA0";"Percentile";50;90;566,267626;2,3858302029893;640,017666;4,24066129219912;73,75004;4,48270351474854;16,4521342438453;"TOTWGT";"JRR";"FULL";"N";"04-MAR-26";"13h15m";150;5;"NONE"
"46";"Chinese Taipei";"Boy";"ASRREA0";"Percentile";10;50;467,4737;5,55393470004194;560,64501;2,62495317319188;93,17131;5,26354463044056;17,7012482161097;"TOTWGT";"JRR";"FULL";"N";"04-MAR-26";"13h15m";150;5;"NONE"
"47";"Chinese Taipei";"Boy";"ASRREA0";"Percentile";10;90;467,4737;5,55393470004194;634,637958;3,77039819898303;167,164258;6,33029930677254;26,4070069832492;"TOTWGT";"JRR";"FULL";"N";"04-MAR-26";"13h15m";150;5;"NONE"
"48";"Chinese Taipei";"Boy";"ASRREA0";"Percentile";50;90;560,64501;2,62495317319188;634,637958;3,77039819898303;73,992948;3,92711747968969;18,8415417625466;"TOTWGT";"JRR";"FULL";"N";"04-MAR-26";"13h15m";150;5;"NONE"
"49";"Czech Republic";"Girl";"ASRREA0";"Percentile";10;50;467,470838;3,90142263446347;551,459836;2,46852938574691;83,988998;3,91213606772871;21,4688335338914;"TOTWGT";"JRR";"FULL";"N";"04-MAR-26";"13h15m";150;5;"NONE"
"50";"Czech Republic";"Girl";"ASRREA0";"Percentile";10;90;467,470838;3,90142263446347;627,368666;3,37441217085219;159,897828;4,97588303199374;32,1345632467433;"TOTWGT";"JRR";"FULL";"N";"04-MAR-26";"13h15m";150;5;"NONE"
"51";"Czech Republic";"Girl";"ASRREA0";"Percentile";50;90;551,459836;2,46852938574691;627,368666;3,37441217085219;75,90883;3,47504762732831;21,843968238893;"TOTWGT";"JRR";"FULL";"N";"04-MAR-26";"13h15m";150;5;"NONE"
"52";"Czech Republic";"Boy";"ASRREA0";"Percentile";10;50;445,271456;6,47023801186445;544,42009;2,99527146568558;99,148634;5,88210846517015;16,8559683295694;"TOTWGT";"JRR";"FULL";"N";"04-MAR-26";"13h15m";150;5;"NONE"
"53";"Czech Republic";"Boy";"ASRREA0";"Percentile";10;90;445,271456;6,47023801186445;622,491668;3,34919913481477;177,220212;6,985643052682;25,3692051917768;"TOTWGT";"JRR";"FULL";"N";"04-MAR-26";"13h15m";150;5;"NONE"
"54";"Czech Republic";"Boy";"ASRREA0";"Percentile";50;90;544,42009;2,99527146568558;622,491668;3,34919913481477;78,071578;3,84375666698278;20,3112696156398;"TOTWGT";"JRR";"FULL";"N";"04-MAR-26";"13h15m";150;5;"NONE"
"55";"Denmark";"Girl";"ASRREA0";"Percentile";10;50;463,95456;6,35039469236913;561,042328;2,15526988778295;97,087768;6,02346193586162;16,1182670420764;"TOTWGT";"JRR";"FULL";"N";"04-MAR-26";"13h15m";150;5;"NONE"
"56";"Denmark";"Girl";"ASRREA0";"Percentile";10;90;463,95456;6,35039469236913;635,35438;3,93140214320023;171,39982;7,25312295480432;23,6311752975962;"TOTWGT";"JRR";"FULL";"N";"04-MAR-26";"13h15m";150;5;"NONE"
"57";"Denmark";"Girl";"ASRREA0";"Percentile";50;90;561,042328;2,15526988778295;635,35438;3,93140214320023;74,312052;3,36653080010319;22,0737775509798;"TOTWGT";"JRR";"FULL";"N";"04-MAR-26";"13h15m";150;5;"NONE"
"58";"Denmark";"Boy";"ASRREA0";"Percentile";10;50;452,414882;5,74641521065646;545,411778;3,74180339535283;92,996896;5,20904551415764;17,8529628407439;"TOTWGT";"JRR";"FULL";"N";"04-MAR-26";"13h15m";150;5;"NONE"
"59";"Denmark";"Boy";"ASRREA0";"Percentile";10;90;452,414882;5,74641521065646;621,878008;4,19105558155274;169,463126;6,31680205055339;26,8273605289173;"TOTWGT";"JRR";"FULL";"N";"04-MAR-26";"13h15m";150;5;"NONE"
"60";"Denmark";"Boy";"ASRREA0";"Percentile";50;90;545,411778;3,74180339535283;621,878008;4,19105558155274;76,46623;4,32815768599183;17,6671543755174;"TOTWGT";"JRR";"FULL";"N";"04-MAR-26";"13h15m";150;5;"NONE"
"61";"Finland";"Girl";"ASRREA0";"Percentile";10;50;496,559856;4,80448695113285;581,131032;2,93720253066654;84,571176;5,06419352103727;16,6998310093564;"TOTWGT";"JRR";"FULL";"N";"04-MAR-26";"13h15m";150;5;"NONE"
"62";"Finland";"Girl";"ASRREA0";"Percentile";10;90;496,559856;4,80448695113285;655,224096;3,61884578384002;158,66424;5,66523202746632;28,0066622568608;"TOTWGT";"JRR";"FULL";"N";"04-MAR-26";"13h15m";150;5;"NONE"
"63";"Finland";"Girl";"ASRREA0";"Percentile";50;90;581,131032;2,93720253066654;655,224096;3,61884578384002;74,093064;4,40168023338901;16,8329047253287;"TOTWGT";"JRR";"FULL";"N";"04-MAR-26";"13h15m";150;5;"NONE"
"64";"Finland";"Boy";"ASRREA0";"Percentile";10;50;468,639956;5,25391107529203;560,318144;3,03682766590008;91,678188;5,04016196730465;18,1895321211328;"TOTWGT";"JRR";"FULL";"N";"04-MAR-26";"13h15m";150;5;"NONE"
"65";"Finland";"Boy";"ASRREA0";"Percentile";10;90;468,639956;5,25391107529203;637,594972;3,19488246709701;168,955016;5,93140670063659;28,4848138944623;"TOTWGT";"JRR";"FULL";"N";"04-MAR-26";"13h15m";150;5;"NONE"
"66";"Finland";"Boy";"ASRREA0";"Percentile";50;90;560,318144;3,03682766590008;637,594972;3,19488246709701;77,276828;4,00610668126348;19,2897578992149;"TOTWGT";"JRR";"FULL";"N";"04-MAR-26";"13h15m";150;5;"NONE"
