IDCNTRY;Variable;TOTWGT;mean;stdev;TOTWGT.se;mean.se;stdev.se;NObs;xvar;weight;method;jk2type;shortcut;missoptn;date;time;reps;npv;infile;selcrit
Hong Kong, SAR;BSDAGE;55159,3066159996;14,1805394285297;,63746930750015;882,998802852553;,0132413414990441;,01555845987605;4459;BSDAGE BSMMAT0_;TOTWGT;JRR;FULL;N;LISTWISE;26-FEB-26;14h25m;250;5;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\TIMSS_8_2023.sav;NONE
Hong Kong, SAR;BSMMAT0_;55159,3066159996;574,734146730982;98,0493191527402;882,998802852553;5,0371692864825;4,27748204640903;4459;BSDAGE BSMMAT0_;TOTWGT;JRR;FULL;N;LISTWISE;26-FEB-26;14h25m;250;5;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\TIMSS_8_2023.sav;NONE
Hungary;BSDAGE;86045,8516529997;14,5171488818432;,528979717290918;1258,92258227371;,0137890921666526;,0194716433615195;5426;BSDAGE BSMMAT0_;TOTWGT;JRR;FULL;N;LISTWISE;26-FEB-26;14h25m;250;5;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\TIMSS_8_2023.sav;NONE
Hungary;BSMMAT0_;86045,8516529997;506,121835243771;90,7343584957909;1258,92258227371;3,74691069019267;2,70327118375446;5426;BSDAGE BSMMAT0_;TOTWGT;JRR;FULL;N;LISTWISE;26-FEB-26;14h25m;250;5;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\TIMSS_8_2023.sav;NONE
Iran, Islamic Republic of;BSDAGE;1217044,47189799;14,1780627795116;,45461138555766;11073,0390503595;,0105505418419663;,0178088147133866;6226;BSDAGE BSMMAT0_;TOTWGT;JRR;FULL;N;LISTWISE;26-FEB-26;14h25m;250;5;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\TIMSS_8_2023.sav;NONE
Iran, Islamic Republic of;BSMMAT0_;1217044,47189799;423,323144193616;90,056374376045;11073,0390503595;3,56422873177195;2,56698812070228;6226;BSDAGE BSMMAT0_;TOTWGT;JRR;FULL;N;LISTWISE;26-FEB-26;14h25m;250;5;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\TIMSS_8_2023.sav;NONE
Ireland;BSDAGE;71441,7096250003;14,4448063364655;,409974705848632;1420,24416861212;,010153034498466;,00858863781316939;5090;BSDAGE BSMMAT0_;TOTWGT;JRR;FULL;N;LISTWISE;26-FEB-26;14h25m;250;5;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\TIMSS_8_2023.sav;NONE
Ireland;BSMMAT0_;71441,7096250003;521,657184435505;79,3209740604754;1420,24416861212;2,71929734726369;1,69402577251707;5090;BSDAGE BSMMAT0_;TOTWGT;JRR;FULL;N;LISTWISE;26-FEB-26;14h25m;250;5;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\TIMSS_8_2023.sav;NONE
Israel;BSDAGE;111270,061279001;13,9639551678671;,349677592110577;967,325534992044;,0063954979874498;,00439874848118525;5198;BSDAGE BSMMAT0_;TOTWGT;JRR;FULL;N;LISTWISE;26-FEB-26;14h25m;250;5;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\TIMSS_8_2023.sav;NONE
Israel;BSMMAT0_;111270,061279001;487,290016168668;99,9137965000967;967,325534992044;3,8547752168121;2,869885898202;5198;BSDAGE BSMMAT0_;TOTWGT;JRR;FULL;N;LISTWISE;26-FEB-26;14h25m;250;5;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\TIMSS_8_2023.sav;NONE
