ASBGSEX;percentile;dvar;groupvar;refgroup;compgroup;val;val_se;cval;cval_se;valdiff;valdiff_se;valdiff_t;weight;method;jk2type;shortcut;date;time;reps;npv;infile;selcrit
GIRL;10;ASMMAT0;IDCNTRY;Australia;Belgium (Flemish);393,264623111452;6,3300379902988;476,95088973112;4,70385348696559;83,6862666196681;7,88641988391846;10,6114393922034;TOTWGT;JRR;HALF;Y;25-FEB-26;22h30m;75;5;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\TIMSS_4_2003.sav;NONE
GIRL;10;ASMMAT0;IDCNTRY;Australia;Canada (Ontario);393,264623111452;6,3300379902988;415,712008567819;6,99625680635705;22,4473854563668;9,43488157101738;2,37919101447145;TOTWGT;JRR;HALF;Y;25-FEB-26;22h30m;75;5;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\TIMSS_4_2003.sav;NONE
GIRL;10;ASMMAT0;IDCNTRY;Australia;Canada (Quebec);393,264623111452;6,3300379902988;418,055795185369;4,90153288633879;24,7911720739163;8,00589817537587;3,09661346307997;TOTWGT;JRR;HALF;Y;25-FEB-26;22h30m;75;5;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\TIMSS_4_2003.sav;NONE
GIRL;10;ASMMAT0;IDCNTRY;Australia;United States (Indiana);393,264623111452;6,3300379902988;451,957144039334;6,17235090200441;58,6925209278821;8,8412270990005;6,63850393963043;TOTWGT;JRR;HALF;Y;25-FEB-26;22h30m;75;5;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\TIMSS_4_2003.sav;NONE
GIRL;10;ASMMAT0;IDCNTRY;Armenia;Australia;354,263450267756;2,49019768654448;393,264623111452;6,3300379902988;39,0011728436959;6,80223973972526;5,73357810603587;TOTWGT;JRR;HALF;Y;25-FEB-26;22h30m;75;5;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\TIMSS_4_2003.sav;NONE
GIRL;10;ASMMAT0;IDCNTRY;Armenia;Armenia;354,263450267756;2,49019768654448;354,263450267756;2,49019768654448;0;3,52167134130131;0;TOTWGT;JRR;HALF;Y;25-FEB-26;22h30m;75;5;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\TIMSS_4_2003.sav;NONE
GIRL;10;ASMMAT0;IDCNTRY;Armenia;Chinese Taipei;354,263450267756;2,49019768654448;487,17148973453;3,08124687972363;132,908039466774;3,9617126160132;33,5481273754086;TOTWGT;JRR;HALF;Y;25-FEB-26;22h30m;75;5;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\TIMSS_4_2003.sav;NONE
GIRL;10;ASMMAT0;IDCNTRY;Armenia;Cyprus;354,263450267756;2,49019768654448;395,136809031771;6,34125986009126;40,8733587640145;6,81268384201675;5,99959717959182;TOTWGT;JRR;HALF;Y;25-FEB-26;22h30m;75;5;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\TIMSS_4_2003.sav;NONE
GIRL;10;ASMMAT0;IDCNTRY;Armenia;Hong Kong, SAR;354,263450267756;2,49019768654448;498,383198281335;3,86386699188495;144,119748013579;4,59679808660872;31,3522032724094;TOTWGT;JRR;HALF;Y;25-FEB-26;22h30m;75;5;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\TIMSS_4_2003.sav;NONE
GIRL;10;ASMMAT0;IDCNTRY;Armenia;Hungary;354,263450267756;2,49019768654448;424,161915383871;7,22232326351294;69,8984651161146;7,63957052724508;9,1495280875849;TOTWGT;JRR;HALF;Y;25-FEB-26;22h30m;75;5;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\TIMSS_4_2003.sav;NONE
