IDCNTRY;dvar;refpctile;comppctile;groupvar;refgroup;compgroup;gap;gap_se;cgap;cgap_se;gapdiff;gapdiff_se;gapdiff_t;weight;method;jk2type;shortcut;date;time;reps;npv;infile;selcrit
Chinese Taipei;ASMMAT0;   10,00;   50,00;ASBGSEX;GIRL;BOY;79,5458225291543;2,55156523306825;87,8436569244473;3,94221103661202;8,29783439529292;4,2662424835074;1,94499830409804;TOTWGT;JRR;HALF;Y;25-FEB-26;22h31m;75;5;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\TIMSS_4_2003.sav;NONE
Chinese Taipei;ASMMAT0;   10,00;   50,00;ASBGSEX;BOY;GIRL;87,8436569244473;3,94221103661202;79,5458225291543;2,55156523306825;-8,29783439529292;4,2662424835074;-1,94499830409804;TOTWGT;JRR;HALF;Y;25-FEB-26;22h31m;75;5;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\TIMSS_4_2003.sav;NONE
Chinese Taipei;ASMMAT0;   10,00;   50,00;ASBGSEX;BOY;BOY;87,8436569244473;3,94221103661202;87,8436569244473;3,94221103661202;0;0; ;TOTWGT;JRR;HALF;Y;25-FEB-26;22h31m;75;5;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\TIMSS_4_2003.sav;NONE
Chinese Taipei;ASMMAT0;   10,00;   90,00;ASBGSEX;GIRL;GIRL;150,901660230776;4,60814551027228;150,901660230776;4,60814551027228;0;0; ;TOTWGT;JRR;HALF;Y;25-FEB-26;22h31m;75;5;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\TIMSS_4_2003.sav;NONE
Chinese Taipei;ASMMAT0;   10,00;   90,00;ASBGSEX;GIRL;BOY;150,901660230776;4,60814551027228;164,941071339957;4,88961097024876;14,039411109182;6,6475061610339;2,11198166185654;TOTWGT;JRR;HALF;Y;25-FEB-26;22h31m;75;5;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\TIMSS_4_2003.sav;NONE
Chinese Taipei;ASMMAT0;   10,00;   90,00;ASBGSEX;BOY;GIRL;164,941071339957;4,88961097024876;150,901660230776;4,60814551027228;-14,039411109182;6,6475061610339;-2,11198166185654;TOTWGT;JRR;HALF;Y;25-FEB-26;22h31m;75;5;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\TIMSS_4_2003.sav;NONE
Chinese Taipei;ASMMAT0;   10,00;   90,00;ASBGSEX;BOY;BOY;164,941071339957;4,88961097024876;164,941071339957;4,88961097024876;0;0; ;TOTWGT;JRR;HALF;Y;25-FEB-26;22h31m;75;5;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\TIMSS_4_2003.sav;NONE
Chinese Taipei;ASMMAT0;   50,00;   90,00;ASBGSEX;GIRL;GIRL;71,3558377016212;3,66763669473428;71,3558377016212;3,66763669473428;0;0; ;TOTWGT;JRR;HALF;Y;25-FEB-26;22h31m;75;5;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\TIMSS_4_2003.sav;NONE
Chinese Taipei;ASMMAT0;   50,00;   90,00;ASBGSEX;GIRL;BOY;71,3558377016212;3,66763669473428;77,0974144155102;3,14873898379816;5,74157671388905;4,98642785421631;1,15144084738621;TOTWGT;JRR;HALF;Y;25-FEB-26;22h31m;75;5;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\TIMSS_4_2003.sav;NONE
Chinese Taipei;ASMMAT0;   50,00;   90,00;ASBGSEX;BOY;GIRL;77,0974144155102;3,14873898379816;71,3558377016212;3,66763669473428;-5,74157671388905;4,98642785421631;-1,15144084738621;TOTWGT;JRR;HALF;Y;25-FEB-26;22h31m;75;5;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\TIMSS_4_2003.sav;NONE
Chinese Taipei;ASMMAT0;   50,00;   90,00;ASBGSEX;BOY;BOY;77,0974144155102;3,14873898379816;77,0974144155102;3,14873898379816;0;0; ;TOTWGT;JRR;HALF;Y;25-FEB-26;22h31m;75;5;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\TIMSS_4_2003.sav;NONE
Cyprus;ASMMAT0;   10,00;   50,00;ASBGSEX;GIRL;GIRL;116,405916947656;5,0142189040487;116,405916947656;5,0142189040487;0;0; ;TOTWGT;JRR;HALF;Y;25-FEB-26;22h31m;75;5;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\TIMSS_4_2003.sav;NONE
Cyprus;ASMMAT0;   10,00;   50,00;ASBGSEX;GIRL;BOY;116,405916947656;5,0142189040487;122,875568472636;5,09752049208339;6,46965152498047;7,87365973650528;,821682894802363;TOTWGT;JRR;HALF;Y;25-FEB-26;22h31m;75;5;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\TIMSS_4_2003.sav;NONE
Cyprus;ASMMAT0;   10,00;   50,00;ASBGSEX;BOY;GIRL;122,875568472636;5,09752049208339;116,405916947656;5,0142189040487;-6,46965152498047;7,87365973650528;-,821682894802363;TOTWGT;JRR;HALF;Y;25-FEB-26;22h31m;75;5;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\TIMSS_4_2003.sav;NONE
Cyprus;ASMMAT0;   10,00;   50,00;ASBGSEX;BOY;BOY;122,875568472636;5,09752049208339;122,875568472636;5,09752049208339;0;0; ;TOTWGT;JRR;HALF;Y;25-FEB-26;22h31m;75;5;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\TIMSS_4_2003.sav;NONE
Cyprus;ASMMAT0;   10,00;   90,00;ASBGSEX;GIRL;GIRL;209,328713557075;6,87007618838136;209,328713557075;6,87007618838136;0;0; ;TOTWGT;JRR;HALF;Y;25-FEB-26;22h31m;75;5;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\TIMSS_4_2003.sav;NONE
Cyprus;ASMMAT0;   10,00;   90,00;ASBGSEX;GIRL;BOY;209,328713557075;6,87007618838136;225,408875063218;5,65638592674306;16,0801615061428;9,2114549966947;1,74567009358595;TOTWGT;JRR;HALF;Y;25-FEB-26;22h31m;75;5;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\TIMSS_4_2003.sav;NONE
Cyprus;ASMMAT0;   10,00;   90,00;ASBGSEX;BOY;GIRL;225,408875063218;5,65638592674306;209,328713557075;6,87007618838136;-16,0801615061428;9,2114549966947;-1,74567009358595;TOTWGT;JRR;HALF;Y;25-FEB-26;22h31m;75;5;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\TIMSS_4_2003.sav;NONE
Cyprus;ASMMAT0;   10,00;   90,00;ASBGSEX;BOY;BOY;225,408875063218;5,65638592674306;225,408875063218;5,65638592674306;0;0; ;TOTWGT;JRR;HALF;Y;25-FEB-26;22h31m;75;5;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\TIMSS_4_2003.sav;NONE
Cyprus;ASMMAT0;   50,00;   90,00;ASBGSEX;GIRL;GIRL;92,9227966094192;4,97130405483755;92,9227966094192;4,97130405483755;0;0; ;TOTWGT;JRR;HALF;Y;25-FEB-26;22h31m;75;5;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\TIMSS_4_2003.sav;NONE
Cyprus;ASMMAT0;   50,00;   90,00;ASBGSEX;GIRL;BOY;92,9227966094192;4,97130405483755;102,533306590581;4,55717206853404;9,61050998116228;7,49901114726229;1,28157030206187;TOTWGT;JRR;HALF;Y;25-FEB-26;22h31m;75;5;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\TIMSS_4_2003.sav;NONE
Cyprus;ASMMAT0;   50,00;   90,00;ASBGSEX;BOY;GIRL;102,533306590581;4,55717206853404;92,9227966094192;4,97130405483755;-9,61050998116228;7,49901114726229;-1,28157030206187;TOTWGT;JRR;HALF;Y;25-FEB-26;22h31m;75;5;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\TIMSS_4_2003.sav;NONE
Cyprus;ASMMAT0;   50,00;   90,00;ASBGSEX;BOY;BOY;102,533306590581;4,55717206853404;102,533306590581;4,55717206853404;0;0; ;TOTWGT;JRR;HALF;Y;25-FEB-26;22h31m;75;5;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\TIMSS_4_2003.sav;NONE
Hong Kong, SAR;ASMMAT0;   10,00;   50,00;ASBGSEX;GIRL;GIRL;78,3422653263827;4,20237879668907;78,3422653263827;4,20237879668907;0;0; ;TOTWGT;JRR;HALF;Y;25-FEB-26;22h31m;75;5;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\TIMSS_4_2003.sav;NONE
Hong Kong, SAR;ASMMAT0;   10,00;   50,00;ASBGSEX;GIRL;BOY;78,3422653263827;4,20237879668907;92,2473055525844;4,45026986210556;13,9050402262017;4,22845719109107;3,28844294687391;TOTWGT;JRR;HALF;Y;25-FEB-26;22h31m;75;5;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\TIMSS_4_2003.sav;NONE
Hong Kong, SAR;ASMMAT0;   10,00;   50,00;ASBGSEX;BOY;GIRL;92,2473055525844;4,45026986210556;78,3422653263827;4,20237879668907;-13,9050402262017;4,22845719109107;-3,28844294687391;TOTWGT;JRR;HALF;Y;25-FEB-26;22h31m;75;5;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\TIMSS_4_2003.sav;NONE
Hong Kong, SAR;ASMMAT0;   10,00;   50,00;ASBGSEX;BOY;BOY;92,2473055525844;4,45026986210556;92,2473055525844;4,45026986210556;0;0; ;TOTWGT;JRR;HALF;Y;25-FEB-26;22h31m;75;5;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\TIMSS_4_2003.sav;NONE
Hong Kong, SAR;ASMMAT0;   10,00;   90,00;ASBGSEX;GIRL;GIRL;151,159940563627;6,79387148583169;151,159940563627;6,79387148583169;0;0; ;TOTWGT;JRR;HALF;Y;25-FEB-26;22h31m;75;5;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\TIMSS_4_2003.sav;NONE
