IDCNTRY;Variable;RASDGHRL;RASDGSLR;RASDGHRL.se;RASDGSLR.se;xvar;corrtype;weight;method;jk2type;missoptn;date;time;reps;infile;selcrit
France;RASDGHRL;1;,113250030368116;0;,0187878769214312; RASDGHRL RASDGSLR;SPEARMAN;TOTWGT;JRR;FULL;LISTWISE;25-FEB-26;17h40m;150;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\PIRLS2016.sav;NONE
France;RASDGSLR;,113250030368116;1;,0187878769214312;0; RASDGHRL RASDGSLR;SPEARMAN;TOTWGT;JRR;FULL;LISTWISE;25-FEB-26;17h40m;150;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\PIRLS2016.sav;NONE
Georgia;RASDGHRL;1;-,0060132961517138;0;,021676973056863; RASDGHRL RASDGSLR;SPEARMAN;TOTWGT;JRR;FULL;LISTWISE;25-FEB-26;17h40m;150;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\PIRLS2016.sav;NONE
Georgia;RASDGSLR;-,0060132961517138;1;,021676973056863;0; RASDGHRL RASDGSLR;SPEARMAN;TOTWGT;JRR;FULL;LISTWISE;25-FEB-26;17h40m;150;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\PIRLS2016.sav;NONE
Germany;RASDGHRL;1;,118307235770613;0;,0214555873392952; RASDGHRL RASDGSLR;SPEARMAN;TOTWGT;JRR;FULL;LISTWISE;25-FEB-26;17h40m;150;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\PIRLS2016.sav;NONE
Germany;RASDGSLR;,118307235770613;1;,0214555873392952;0; RASDGHRL RASDGSLR;SPEARMAN;TOTWGT;JRR;FULL;LISTWISE;25-FEB-26;17h40m;150;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\PIRLS2016.sav;NONE
Hong Kong, SAR;RASDGHRL;1;,122164005546348;0;,0266307648835934; RASDGHRL RASDGSLR;SPEARMAN;TOTWGT;JRR;FULL;LISTWISE;25-FEB-26;17h40m;150;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\PIRLS2016.sav;NONE
Hong Kong, SAR;RASDGSLR;,122164005546348;1;,0266307648835934;0; RASDGHRL RASDGSLR;SPEARMAN;TOTWGT;JRR;FULL;LISTWISE;25-FEB-26;17h40m;150;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\PIRLS2016.sav;NONE
Hungary;RASDGHRL;1;,160509794673799;0;,0181665601798396; RASDGHRL RASDGSLR;SPEARMAN;TOTWGT;JRR;FULL;LISTWISE;25-FEB-26;17h40m;150;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\PIRLS2016.sav;NONE
Hungary;RASDGSLR;,160509794673799;1;,0181665601798396;0; RASDGHRL RASDGSLR;SPEARMAN;TOTWGT;JRR;FULL;LISTWISE;25-FEB-26;17h40m;150;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\PIRLS2016.sav;NONE
Iran, Islamic Republic of;RASDGHRL;1;,0588244107218347;0;,0391261253355452; RASDGHRL RASDGSLR;SPEARMAN;TOTWGT;JRR;FULL;LISTWISE;25-FEB-26;17h40m;150;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\PIRLS2016.sav;NONE
Iran, Islamic Republic of;RASDGSLR;,0588244107218347;1;,0391261253355452;0; RASDGHRL RASDGSLR;SPEARMAN;TOTWGT;JRR;FULL;LISTWISE;25-FEB-26;17h40m;150;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\PIRLS2016.sav;NONE
Ireland;RASDGHRL;1;,117279107214099;0;,0172234029475778; RASDGHRL RASDGSLR;SPEARMAN;TOTWGT;JRR;FULL;LISTWISE;25-FEB-26;17h40m;150;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\PIRLS2016.sav;NONE
Ireland;RASDGSLR;,117279107214099;1;,0172234029475778;0; RASDGHRL RASDGSLR;SPEARMAN;TOTWGT;JRR;FULL;LISTWISE;25-FEB-26;17h40m;150;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\PIRLS2016.sav;NONE
Israel;RASDGHRL;1;,00296640635979309;0;,0221241733465998; RASDGHRL RASDGSLR;SPEARMAN;TOTWGT;JRR;FULL;LISTWISE;25-FEB-26;17h40m;150;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\PIRLS2016.sav;NONE
Israel;RASDGSLR;,00296640635979309;1;,0221241733465998;0; RASDGHRL RASDGSLR;SPEARMAN;TOTWGT;JRR;FULL;LISTWISE;25-FEB-26;17h40m;150;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\PIRLS2016.sav;NONE
Italy;RASDGHRL;1;,071406647589154;0;,020702289026803; RASDGHRL RASDGSLR;SPEARMAN;TOTWGT;JRR;FULL;LISTWISE;25-FEB-26;17h40m;150;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\PIRLS2016.sav;NONE
Italy;RASDGSLR;,071406647589154;1;,020702289026803;0; RASDGHRL RASDGSLR;SPEARMAN;TOTWGT;JRR;FULL;LISTWISE;25-FEB-26;17h40m;150;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\PIRLS2016.sav;NONE
Kazakhstan;RASDGHRL;1;,0428674933725913;0;,0176564020259095; RASDGHRL RASDGSLR;SPEARMAN;TOTWGT;JRR;FULL;LISTWISE;25-FEB-26;17h40m;150;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\PIRLS2016.sav;NONE
Kazakhstan;RASDGSLR;,0428674933725913;1;,0176564020259095;0; RASDGHRL RASDGSLR;SPEARMAN;TOTWGT;JRR;FULL;LISTWISE;25-FEB-26;17h40m;150;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\PIRLS2016.sav;NONE
Kuwait;RASDGHRL;1;,0476137841791177;0;,0279825863182865; RASDGHRL RASDGSLR;SPEARMAN;TOTWGT;JRR;FULL;LISTWISE;25-FEB-26;17h40m;150;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\PIRLS2016.sav;NONE
Kuwait;RASDGSLR;,0476137841791177;1;,0279825863182865;0; RASDGHRL RASDGSLR;SPEARMAN;TOTWGT;JRR;FULL;LISTWISE;25-FEB-26;17h40m;150;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\PIRLS2016.sav;NONE
Latvia;RASDGHRL;1;,108973431839003;0;,0155744464314025; RASDGHRL RASDGSLR;SPEARMAN;TOTWGT;JRR;FULL;LISTWISE;25-FEB-26;17h40m;150;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\PIRLS2016.sav;NONE
Latvia;RASDGSLR;,108973431839003;1;,0155744464314025;0; RASDGHRL RASDGSLR;SPEARMAN;TOTWGT;JRR;FULL;LISTWISE;25-FEB-26;17h40m;150;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\PIRLS2016.sav;NONE
Lithuania;RASDGHRL;1;,0411877250741354;0;,0222152429786802; RASDGHRL RASDGSLR;SPEARMAN;TOTWGT;JRR;FULL;LISTWISE;25-FEB-26;17h40m;150;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\PIRLS2016.sav;NONE
Lithuania;RASDGSLR;,0411877250741354;1;,0222152429786802;0; RASDGHRL RASDGSLR;SPEARMAN;TOTWGT;JRR;FULL;LISTWISE;25-FEB-26;17h40m;150;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\PIRLS2016.sav;NONE
Macao SAR;RASDGHRL;1;,179867955613917;0;,0134155844075178; RASDGHRL RASDGSLR;SPEARMAN;TOTWGT;JRR;FULL;LISTWISE;25-FEB-26;17h40m;150;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\PIRLS2016.sav;NONE
Macao SAR;RASDGSLR;,179867955613917;1;,0134155844075178;0; RASDGHRL RASDGSLR;SPEARMAN;TOTWGT;JRR;FULL;LISTWISE;25-FEB-26;17h40m;150;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\PIRLS2016.sav;NONE
Malta;RASDGHRL;1;,0681888935773026;0;,0178930028530605; RASDGHRL RASDGSLR;SPEARMAN;TOTWGT;JRR;FULL;LISTWISE;25-FEB-26;17h40m;150;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\PIRLS2016.sav;NONE
Malta;RASDGSLR;,0681888935773026;1;,0178930028530605;0; RASDGHRL RASDGSLR;SPEARMAN;TOTWGT;JRR;FULL;LISTWISE;25-FEB-26;17h40m;150;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\PIRLS2016.sav;NONE
Morocco;RASDGHRL;1;,120989614246013;0;,0270971410983339; RASDGHRL RASDGSLR;SPEARMAN;TOTWGT;JRR;FULL;LISTWISE;25-FEB-26;17h40m;150;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\PIRLS2016.sav;NONE
Morocco;RASDGSLR;,120989614246013;1;,0270971410983339;0; RASDGHRL RASDGSLR;SPEARMAN;TOTWGT;JRR;FULL;LISTWISE;25-FEB-26;17h40m;150;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\PIRLS2016.sav;NONE
Netherlands;RASDGHRL;1;,146776581799706;0;,0199886243360788; RASDGHRL RASDGSLR;SPEARMAN;TOTWGT;JRR;FULL;LISTWISE;25-FEB-26;17h40m;150;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\PIRLS2016.sav;NONE
Netherlands;RASDGSLR;,146776581799706;1;,0199886243360788;0; RASDGHRL RASDGSLR;SPEARMAN;TOTWGT;JRR;FULL;LISTWISE;25-FEB-26;17h40m;150;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\PIRLS2016.sav;NONE
New Zealand;RASDGHRL;1;,118185263136103;0;,0245228285137898; RASDGHRL RASDGSLR;SPEARMAN;TOTWGT;JRR;FULL;LISTWISE;25-FEB-26;17h40m;150;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\PIRLS2016.sav;NONE
New Zealand;RASDGSLR;,118185263136103;1;,0245228285137898;0; RASDGHRL RASDGSLR;SPEARMAN;TOTWGT;JRR;FULL;LISTWISE;25-FEB-26;17h40m;150;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\PIRLS2016.sav;NONE
Northern Ireland;RASDGHRL;1;,137766948821373;0;,0270805502240406; RASDGHRL RASDGSLR;SPEARMAN;TOTWGT;JRR;FULL;LISTWISE;25-FEB-26;17h40m;150;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\PIRLS2016.sav;NONE
Northern Ireland;RASDGSLR;,137766948821373;1;,0270805502240406;0; RASDGHRL RASDGSLR;SPEARMAN;TOTWGT;JRR;FULL;LISTWISE;25-FEB-26;17h40m;150;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\PIRLS2016.sav;NONE
Norway;RASDGHRL;1;,113095610125797;0;,0185326750733329; RASDGHRL RASDGSLR;SPEARMAN;TOTWGT;JRR;FULL;LISTWISE;25-FEB-26;17h40m;150;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\PIRLS2016.sav;NONE
Norway;RASDGSLR;,113095610125797;1;,0185326750733329;0; RASDGHRL RASDGSLR;SPEARMAN;TOTWGT;JRR;FULL;LISTWISE;25-FEB-26;17h40m;150;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\PIRLS2016.sav;NONE
Norway (4);RASDGHRL;1;,0795705091200357;0;,0182434385213705; RASDGHRL RASDGSLR;SPEARMAN;TOTWGT;JRR;FULL;LISTWISE;25-FEB-26;17h40m;150;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\PIRLS2016.sav;NONE
Norway (4);RASDGSLR;,0795705091200357;1;,0182434385213705;0; RASDGHRL RASDGSLR;SPEARMAN;TOTWGT;JRR;FULL;LISTWISE;25-FEB-26;17h40m;150;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\PIRLS2016.sav;NONE
Oman;RASDGHRL;1;,0637586968208451;0;,0157883560303531; RASDGHRL RASDGSLR;SPEARMAN;TOTWGT;JRR;FULL;LISTWISE;25-FEB-26;17h40m;150;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\PIRLS2016.sav;NONE
Oman;RASDGSLR;,0637586968208451;1;,0157883560303531;0; RASDGHRL RASDGSLR;SPEARMAN;TOTWGT;JRR;FULL;LISTWISE;25-FEB-26;17h40m;150;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\PIRLS2016.sav;NONE
Poland;RASDGHRL;1;,0601388688238307;0;,0191910026289583; RASDGHRL RASDGSLR;SPEARMAN;TOTWGT;JRR;FULL;LISTWISE;25-FEB-26;17h40m;150;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\PIRLS2016.sav;NONE
Poland;RASDGSLR;,0601388688238307;1;,0191910026289583;0; RASDGHRL RASDGSLR;SPEARMAN;TOTWGT;JRR;FULL;LISTWISE;25-FEB-26;17h40m;150;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\PIRLS2016.sav;NONE
Portugal;RASDGHRL;1;,01865609917049;0;,0194898360185545; RASDGHRL RASDGSLR;SPEARMAN;TOTWGT;JRR;FULL;LISTWISE;25-FEB-26;17h40m;150;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\PIRLS2016.sav;NONE
Portugal;RASDGSLR;,01865609917049;1;,0194898360185545;0; RASDGHRL RASDGSLR;SPEARMAN;TOTWGT;JRR;FULL;LISTWISE;25-FEB-26;17h40m;150;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\PIRLS2016.sav;NONE
Qatar;RASDGHRL;1;,0314954181510638;0;,0105041373828132; RASDGHRL RASDGSLR;SPEARMAN;TOTWGT;JRR;FULL;LISTWISE;25-FEB-26;17h40m;150;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\PIRLS2016.sav;NONE
Qatar;RASDGSLR;,0314954181510638;1;,0105041373828132;0; RASDGHRL RASDGSLR;SPEARMAN;TOTWGT;JRR;FULL;LISTWISE;25-FEB-26;17h40m;150;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\PIRLS2016.sav;NONE
Russian Federation;RASDGHRL;1;,0777029292382811;0;,0180846819765902; RASDGHRL RASDGSLR;SPEARMAN;TOTWGT;JRR;FULL;LISTWISE;25-FEB-26;17h40m;150;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\PIRLS2016.sav;NONE
Russian Federation;RASDGSLR;,0777029292382811;1;,0180846819765902;0; RASDGHRL RASDGSLR;SPEARMAN;TOTWGT;JRR;FULL;LISTWISE;25-FEB-26;17h40m;150;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\PIRLS2016.sav;NONE
Russian Federation, Moscow;RASDGHRL;1;,130445543833378;0;,0156876678330693; RASDGHRL RASDGSLR;SPEARMAN;TOTWGT;JRR;FULL;LISTWISE;25-FEB-26;17h40m;150;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\PIRLS2016.sav;NONE
Russian Federation, Moscow;RASDGSLR;,130445543833378;1;,0156876678330693;0; RASDGHRL RASDGSLR;SPEARMAN;TOTWGT;JRR;FULL;LISTWISE;25-FEB-26;17h40m;150;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\PIRLS2016.sav;NONE
Saudi Arabia;RASDGHRL;1;,0539742620409488;0;,0216848193241679; RASDGHRL RASDGSLR;SPEARMAN;TOTWGT;JRR;FULL;LISTWISE;25-FEB-26;17h40m;150;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\PIRLS2016.sav;NONE
Saudi Arabia;RASDGSLR;,0539742620409488;1;,0216848193241679;0; RASDGHRL RASDGSLR;SPEARMAN;TOTWGT;JRR;FULL;LISTWISE;25-FEB-26;17h40m;150;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\PIRLS2016.sav;NONE
Singapore;RASDGHRL;1;,190805099924533;0;,0131750067095562; RASDGHRL RASDGSLR;SPEARMAN;TOTWGT;JRR;FULL;LISTWISE;25-FEB-26;17h40m;150;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\PIRLS2016.sav;NONE
Singapore;RASDGSLR;,190805099924533;1;,0131750067095562;0; RASDGHRL RASDGSLR;SPEARMAN;TOTWGT;JRR;FULL;LISTWISE;25-FEB-26;17h40m;150;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\PIRLS2016.sav;NONE
Slovak Republic;RASDGHRL;1;,145203817386597;0;,0234285050954914; RASDGHRL RASDGSLR;SPEARMAN;TOTWGT;JRR;FULL;LISTWISE;25-FEB-26;17h40m;150;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\PIRLS2016.sav;NONE
Slovak Republic;RASDGSLR;,145203817386597;1;,0234285050954914;0; RASDGHRL RASDGSLR;SPEARMAN;TOTWGT;JRR;FULL;LISTWISE;25-FEB-26;17h40m;150;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\PIRLS2016.sav;NONE
Slovenia;RASDGHRL;1;,072548991018892;0;,0206453390627881; RASDGHRL RASDGSLR;SPEARMAN;TOTWGT;JRR;FULL;LISTWISE;25-FEB-26;17h40m;150;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\PIRLS2016.sav;NONE
