"";"ASBG01";"dvar";"groupvar";"refgroup";"compgroup";"pct";"pct_se";"cpct";"cpct_se";"pctdiff";"pctdiff_se";"pctdiff_t";"mnx";"mnx_se";"cmnx";"cmnx_se";"mnxdiff";"mnxdiff_se";"mnxdiff_t";"weight";"method";"jk2type";"date";"time";"reps";"selcrit"
"26";"Girl";"ASDGSLR";"IDCNTRY";"Azerbaijan, Republic of";"Malta";47,1612013545136;0,786131244129142;48,5423535024442;0,611498169208775;1,38115214793058;0,995958003101393;1,38675741710966;1,33606239437393;0,0171340204012751;1,49134351445839;0,0160605218507479;0,155281120084463;0,0234843568621681;6,61210868987481;"TOTWGT";"JRR";"FULL";"04-MAR-26";"12h57m";150;"NONE"
"27";"Girl";"ASDGSLR";"IDCNTRY";"Azerbaijan, Republic of";"Morocco";47,1612013545136;0,786131244129142;49,0419115542413;1,02596311852155;1,88071019972769;1,29251795096335;1,45507472319897;1,33606239437393;0,0171340204012751;1,42664109502314;0,0225636018116551;0,0905787006492083;0,0283317980690643;3,19706855274081;"TOTWGT";"JRR";"FULL";"04-MAR-26";"12h57m";150;"NONE"
"28";"Girl";"ASDGSLR";"IDCNTRY";"Azerbaijan, Republic of";"Oman";47,1612013545136;0,786131244129142;50,2590134667086;0,723016847096371;3,09781211219499;1,06806165279969;2,90040570605147;1,33606239437393;0,0171340204012751;1,28188862829346;0,0120657310572987;-0,0541737660804675;0,0209560616781487;-2,58511197917286;"TOTWGT";"JRR";"FULL";"04-MAR-26";"12h57m";150;"NONE"
"29";"Girl";"ASDGSLR";"IDCNTRY";"Azerbaijan, Republic of";"Netherlands";47,1612013545136;0,786131244129142;50,8186461665425;1,10439843242278;3,65744481202891;1,35561728763465;2,69799215854689;1,33606239437393;0,0171340204012751;1,96391850964431;0,0218141081057727;0,627856115270383;0,0277386006777857;22,6347436398693;"TOTWGT";"JRR";"FULL";"04-MAR-26";"12h57m";150;"NONE"
"30";"Girl";"ASDGSLR";"IDCNTRY";"Azerbaijan, Republic of";"New Zealand";47,1612013545136;0,786131244129142;50,5456436400972;0,881974993972748;3,38444228558365;1,18147459684466;2,86459166758422;1,33606239437393;0,0171340204012751;1,59057917436639;0,0164806195110773;0,254516779992455;0,0237736298149907;10,7058443314351;"TOTWGT";"JRR";"FULL";"04-MAR-26";"12h57m";150;"NONE"
"31";"Girl";"ASDGSLR";"IDCNTRY";"Azerbaijan, Republic of";"Norway";47,1612013545136;0,786131244129142;50,3063797791309;1,1476927507809;3,14517842461726;1,39111501436476;2,26090466434472;1,33606239437393;0,0171340204012751;1,94663186079993;0,0248554900575982;0,610569466425999;0,0301889059277522;20,2249617090201;"TOTWGT";"JRR";"FULL";"04-MAR-26";"12h57m";150;"NONE"
"32";"Girl";"ASDGSLR";"IDCNTRY";"Azerbaijan, Republic of";"Poland";47,1612013545136;0,786131244129142;49,6915987416229;0,832898032562198;2,53039738710926;1,14530409308708;2,2093672784219;1,33606239437393;0,0171340204012751;1,73746543637632;0,0219471650399459;0,401403042002391;0,0278433602211;14,4164726819934;"TOTWGT";"JRR";"FULL";"04-MAR-26";"12h57m";150;"NONE"
"33";"Girl";"ASDGSLR";"IDCNTRY";"Azerbaijan, Republic of";"Portugal";47,1612013545136;0,786131244129142;49,5120033663288;0,841637824140076;2,35080201181525;1,15167554459547;2,04120164124955;1,33606239437393;0,0171340204012751;1,25170150663751;0,0148936103259434;-0,084360887736419;0,0227022968805441;-3,71596267022288;"TOTWGT";"JRR";"FULL";"04-MAR-26";"12h57m";150;"NONE"
"34";"Girl";"ASDGSLR";"IDCNTRY";"Azerbaijan, Republic of";"Qatar";47,1612013545136;0,786131244129142;50,8560783803777;2,37772233817174;3,69487702586407;2,50430945580552;1,47540752892921;1,33606239437393;0,0171340204012751;1,51863160943119;0,0111224341315944;0,182569215057264;0,0204275107666834;8,93741861857338;"TOTWGT";"JRR";"FULL";"04-MAR-26";"12h57m";150;"NONE"
"35";"Girl";"ASDGSLR";"IDCNTRY";"Azerbaijan, Republic of";"Russian Federation";47,1612013545136;0,786131244129142;49,1606114508642;0,848428342469909;1,99941009635063;1,15664730376302;1,72862556273271;1,33606239437393;0,0171340204012751;1,54701088052881;0,0248243832831638;0,21094848615488;0,0301632998940887;6,99354801681431;"TOTWGT";"JRR";"FULL";"04-MAR-26";"12h57m";150;"NONE"
"36";"Girl";"ASDGSLR";"IDCNTRY";"Azerbaijan, Republic of";"Saudi Arabia";47,1612013545136;0,786131244129142;49,2167575330978;2,71123601198648;2,05555617858419;2,82290684325366;0,728170036321486;1,33606239437393;0,0171340204012751;1,3732604176087;0,0270705718962789;0,0371980232347664;0,0320373300682644;1,16108374685112;"TOTWGT";"JRR";"FULL";"04-MAR-26";"12h57m";150;"NONE"
"37";"Girl";"ASDGSLR";"IDCNTRY";"Azerbaijan, Republic of";"Singapore";47,1612013545136;0,786131244129142;49,4697546127263;0,631970966074053;2,30855325821267;1,0086573426871;2,2887388615668;1,33606239437393;0,0171340204012751;1,77530041770675;0,0160943117934194;0,439238023332815;0,0235074781126158;18,6850338104575;"TOTWGT";"JRR";"FULL";"04-MAR-26";"12h57m";150;"NONE"
"38";"Girl";"ASDGSLR";"IDCNTRY";"Azerbaijan, Republic of";"Slovak Republic";47,1612013545136;0,786131244129142;49,0161270727675;0,968813575433799;1,85492571825389;1,24763860029291;1,48674922194488;1,33606239437393;0,0171340204012751;1,75532856819577;0,0245984309112104;0,419266173821838;0,0299776159559912;13,9859745497221;"TOTWGT";"JRR";"FULL";"04-MAR-26";"12h57m";150;"NONE"
