"";"IDCNTRY";"Variable";"Mean";"stdev";"TOTWGT";"NObs";"TOTWGT.se";"mean.se";"stdev.se";"xvar";"weight";"method";"jk2type";"missoptn";"date";"time";"reps";"selcrit"
"41";"Japan";"BSDGHER";1,69118988194793;0,670253133358432;995579,66400301;3690;21040,4723531223;0,0170707174583989;0,00669376071677791;"BSDGHER BSDGSLM";"TOTWGT";"JRR";"FULL";"LISTWISE";"04-MAR-26";" 9h33m";250;"NONE"
"42";"Japan";"BSDGSLM";2,48061066794606;0,677111686279123;995579,66400301;3690;21040,4723531223;0,016235536529366;0,0095614355371518;"BSDGHER BSDGSLM";"TOTWGT";"JRR";"FULL";"LISTWISE";"04-MAR-26";" 9h33m";250;"NONE"
"43";"Jordan";"BSDGHER";2,27681861917634;0,650412382774987;158796,219643001;6366;3619,44176577053;0,0140356292663778;0,00633107379682394;"BSDGHER BSDGSLM";"TOTWGT";"JRR";"FULL";"LISTWISE";"04-MAR-26";" 9h33m";250;"NONE"
"44";"Jordan";"BSDGSLM";1,92382946780349;0,815418007903406;158796,219643001;6366;3619,44176577053;0,019956334700025;0,00481889462431385;"BSDGHER BSDGSLM";"TOTWGT";"JRR";"FULL";"LISTWISE";"04-MAR-26";" 9h33m";250;"NONE"
"45";"Kazakhstan";"BSDGHER";2,16932358946344;0,6259294049757;294614,843384004;6018;5885,71494656027;0,0160820184440005;0,00663993806127269;"BSDGHER BSDGSLM";"TOTWGT";"JRR";"FULL";"LISTWISE";"04-MAR-26";" 9h33m";250;"NONE"
"46";"Kazakhstan";"BSDGSLM";2,1853361137131;0,722988009668026;294614,843384004;6018;5885,71494656027;0,0160992397475344;0,00579144381276816;"BSDGHER BSDGSLM";"TOTWGT";"JRR";"FULL";"LISTWISE";"04-MAR-26";" 9h33m";250;"NONE"
"47";"Korea, Republic of";"BSDGHER";1,54384180059998;0,674498972067927;403649,707672002;4227;6166,80720637028;0,0182523737021704;0,00938264262176361;"BSDGHER BSDGSLM";"TOTWGT";"JRR";"FULL";"LISTWISE";"04-MAR-26";" 9h33m";250;"NONE"
"48";"Korea, Republic of";"BSDGSLM";2,4741891682417;0,70299894293449;403649,707672002;4227;6166,80720637028;0,0125717770526208;0,00828447266709924;"BSDGHER BSDGSLM";"TOTWGT";"JRR";"FULL";"LISTWISE";"04-MAR-26";" 9h33m";250;"NONE"
"49";"Kuwait";"BSDGHER";2,22901590760667;0,664462948266791;41507,3929420006;4076;749,98244079524;0,0195814372448946;0,00875589287221769;"BSDGHER BSDGSLM";"TOTWGT";"JRR";"FULL";"LISTWISE";"04-MAR-26";" 9h33m";250;"NONE"
"50";"Kuwait";"BSDGSLM";2,27374588386883;0,795093156708718;41507,3929420006;4076;749,98244079524;0,0175854874586675;0,00634934018526788;"BSDGHER BSDGSLM";"TOTWGT";"JRR";"FULL";"LISTWISE";"04-MAR-26";" 9h33m";250;"NONE"
"51";"Lithuania";"BSDGHER";1,83961277775845;0,670256072503614;25192,5201430003;5175;614,49509316157;0,0200658099189093;0,00599715369014964;"BSDGHER BSDGSLM";"TOTWGT";"JRR";"FULL";"LISTWISE";"04-MAR-26";" 9h33m";250;"NONE"
"52";"Lithuania";"BSDGSLM";2,47780397517492;0,67695652885623;25192,5201430003;5175;614,49509316157;0,0151508403540013;0,00745031950705423;"BSDGHER BSDGSLM";"TOTWGT";"JRR";"FULL";"LISTWISE";"04-MAR-26";" 9h33m";250;"NONE"
"53";"Malaysia";"BSDGHER";2,18739903556769;0,647249800298867;409000,459916005;8700;3377,22369144897;0,0157902014129466;0,0056691877283191;"BSDGHER BSDGSLM";"TOTWGT";"JRR";"FULL";"LISTWISE";"04-MAR-26";" 9h33m";250;"NONE"
"54";"Malaysia";"BSDGSLM";2,12729277204893;0,705063092011822;409000,459916005;8700;3377,22369144897;0,0124814164806648;0,0048303222009167;"BSDGHER BSDGSLM";"TOTWGT";"JRR";"FULL";"LISTWISE";"04-MAR-26";" 9h33m";250;"NONE"
"55";"Malta";"BSDGHER";1,88237215466843;0,71981270510133;4102,72360799999;3804;18,7218615089215;0,0108266891523629;0,00457173864846341;"BSDGHER BSDGSLM";"TOTWGT";"JRR";"FULL";"LISTWISE";"04-MAR-26";" 9h33m";250;"NONE"
"56";"Malta";"BSDGSLM";2,38197630787124;0,737974107147526;4102,72360799999;3804;18,7218615089215;0,0111578684888877;0,00689174086613512;"BSDGHER BSDGSLM";"TOTWGT";"JRR";"FULL";"LISTWISE";"04-MAR-26";" 9h33m";250;"NONE"
"57";"Morocco";"BSDGHER";2,59833668061294;0,587734239575431;545230,950625994;8005;9662,02877722001;0,0133146797381734;0,00848388971081283;"BSDGHER BSDGSLM";"TOTWGT";"JRR";"FULL";"LISTWISE";"04-MAR-26";" 9h33m";250;"NONE"
"58";"Morocco";"BSDGSLM";1,80754970147877;0,781026898612995;545230,950625994;8005;9662,02877722001;0,0165170038952668;0,0047268723240328;"BSDGHER BSDGSLM";"TOTWGT";"JRR";"FULL";"LISTWISE";"04-MAR-26";" 9h33m";250;"NONE"
"59";"New Zealand";"BSDGHER";1,83149462323804;0,728741187882617;56193,5981270001;3664;1745,38586810113;0,0223913842062218;0,0046624224115454;"BSDGHER BSDGSLM";"TOTWGT";"JRR";"FULL";"LISTWISE";"04-MAR-26";" 9h33m";250;"NONE"
"60";"New Zealand";"BSDGSLM";2,44276849499418;0,694515198739758;56193,5981270001;3664;1745,38586810113;0,0167124997134923;0,010664620283219;"BSDGHER BSDGSLM";"TOTWGT";"JRR";"FULL";"LISTWISE";"04-MAR-26";" 9h33m";250;"NONE"
"61";"Norway";"BSDGHER";1,63544473615232;0,673108072574969;55470,4596459989;5856;942,742086108925;0,015994848049834;0,00639904483718737;"BSDGHER BSDGSLM";"TOTWGT";"JRR";"FULL";"LISTWISE";"04-MAR-26";" 9h33m";250;"NONE"
"62";"Norway";"BSDGSLM";2,57474529222333;0,64445634785893;55470,4596459989;5856;942,742086108925;0,0118234647297318;0,00801422218226826;"BSDGHER BSDGSLM";"TOTWGT";"JRR";"FULL";"LISTWISE";"04-MAR-26";" 9h33m";250;"NONE"
"63";"Oman";"BSDGHER";2,19401021795423;0,690922016581058;57721,060726;7266;583,743147737459;0,0124168740413941;0,00526192378590299;"BSDGHER BSDGSLM";"TOTWGT";"JRR";"FULL";"LISTWISE";"04-MAR-26";" 9h33m";250;"NONE"
"64";"Oman";"BSDGSLM";1,99925492912883;0,797803087030624;57721,060726;7266;583,743147737459;0,0183728082634738;0,00461703563874813;"BSDGHER BSDGSLM";"TOTWGT";"JRR";"FULL";"LISTWISE";"04-MAR-26";" 9h33m";250;"NONE"
"65";"Palestinian National Authority";"BSDGHER";2,27395979461667;0,660165666959156;99179,8823620005;5905;1116,16033218844;0,0112363530908547;0,00492523441356159;"BSDGHER BSDGSLM";"TOTWGT";"JRR";"FULL";"LISTWISE";"04-MAR-26";" 9h33m";250;"NONE"
"66";"Palestinian National Authority";"BSDGSLM";1,96323170375732;0,833320109787906;99179,8823620005;5905;1116,16033218844;0,0182221202390248;0,00427651484103605;"BSDGHER BSDGSLM";"TOTWGT";"JRR";"FULL";"LISTWISE";"04-MAR-26";" 9h33m";250;"NONE"
"67";"Portugal";"BSDGHER";2,05909768905741;0,758347177232546;98973,8233980014;5257;2203,44468169073;0,0232839161686179;0,00625818577801814;"BSDGHER BSDGSLM";"TOTWGT";"JRR";"FULL";"LISTWISE";"04-MAR-26";" 9h33m";250;"NONE"
"68";"Portugal";"BSDGSLM";2,44972760467186;0,715079144724745;98973,8233980014;5257;2203,44468169073;0,0155963569668282;0,00757947494056214;"BSDGHER BSDGSLM";"TOTWGT";"JRR";"FULL";"LISTWISE";"04-MAR-26";" 9h33m";250;"NONE"
"69";"Qatar";"BSDGHER";2,01080478238289;0,699018324010149;21905,5531719996;4064;485,886687061168;0,0217014858984742;0,00700797626500049;"BSDGHER BSDGSLM";"TOTWGT";"JRR";"FULL";"LISTWISE";"04-MAR-26";" 9h33m";250;"NONE"
"70";"Qatar";"BSDGSLM";2,17643574515802;0,80811280832512;21905,5531719996;4064;485,886687061168;0,026797389976624;0,0071073986684722;"BSDGHER BSDGSLM";"TOTWGT";"JRR";"FULL";"LISTWISE";"04-MAR-26";" 9h33m";250;"NONE"
"71";"Romania";"BSDGHER";1,94302971455922;0,716334269297973;144029,20469;3395;5377,17014696854;0,0287604719690935;0,00820172236367933;"BSDGHER BSDGSLM";"TOTWGT";"JRR";"FULL";"LISTWISE";"04-MAR-26";" 9h33m";250;"NONE"
"72";"Romania";"BSDGSLM";2,26690477469997;0,774909942533933;144029,20469;3395;5377,17014696854;0,0223667669547014;0,0073797803183652;"BSDGHER BSDGSLM";"TOTWGT";"JRR";"FULL";"LISTWISE";"04-MAR-26";" 9h33m";250;"NONE"
"73";"Saudi Arabia";"BSDGHER";2,26712552610386;0,663338604522847;371092,964426997;5193;5399,25576792408;0,0133022199936667;0,0058020556524518;"BSDGHER BSDGSLM";"TOTWGT";"JRR";"FULL";"LISTWISE";"04-MAR-26";" 9h33m";250;"NONE"
"74";"Saudi Arabia";"BSDGSLM";1,99511138648831;0,820315141012755;371092,964426997;5193;5399,25576792408;0,0199767413674821;0,0045346603409999;"BSDGHER BSDGSLM";"TOTWGT";"JRR";"FULL";"LISTWISE";"04-MAR-26";" 9h33m";250;"NONE"
"75";"Singapore";"BSDGHER";1,8727850018956;0,71452517059074;38264,7409859997;4693;80,9303949844626;0,0233457520892767;0,00713309983940388;"BSDGHER BSDGSLM";"TOTWGT";"JRR";"FULL";"LISTWISE";"04-MAR-26";" 9h33m";250;"NONE"
"76";"Singapore";"BSDGSLM";2,15739759893329;0,775332260096231;38264,7409859997;4693;80,9303949844626;0,0211855425998194;0,00521039840313056;"BSDGHER BSDGSLM";"TOTWGT";"JRR";"FULL";"LISTWISE";"04-MAR-26";" 9h33m";250;"NONE"
"77";"South Africa";"BSDGHER";2,51080670747024;0,59300735098958;856055,669819996;10355;25015,6486947591;0,0149584457430412;0,00821030241577575;"BSDGHER BSDGSLM";"TOTWGT";"JRR";"FULL";"LISTWISE";"04-MAR-26";" 9h33m";250;"NONE"
"78";"South Africa";"BSDGSLM";1,83070766050124;0,750032307740475;856055,669819996;10355;25015,6486947591;0,0131739013629692;0,00447878049130604;"BSDGHER BSDGSLM";"TOTWGT";"JRR";"FULL";"LISTWISE";"04-MAR-26";" 9h33m";250;"NONE"
"79";"Sweden";"BSDGHER";1,72144401606646;0,70506814867956;107133,397386;4671;2656,69136394288;0,0207195859774533;0,00630104243390899;"BSDGHER BSDGSLM";"TOTWGT";"JRR";"FULL";"LISTWISE";"04-MAR-26";" 9h33m";250;"NONE"
"80";"Sweden";"BSDGSLM";2,56207937324188;0,647743627377164;107133,397386;4671;2656,69136394288;0,0159668660898882;0,00908048681826754;"BSDGHER BSDGSLM";"TOTWGT";"JRR";"FULL";"LISTWISE";"04-MAR-26";" 9h33m";250;"NONE"
"81";"Turkey";"BSDGHER";2,03130112663482;0,760415909289047;960546,822284012;4791;12062,4710193761;0,0264929427256751;0,00667031142223997;"BSDGHER BSDGSLM";"TOTWGT";"JRR";"FULL";"LISTWISE";"04-MAR-26";" 9h33m";250;"NONE"
"82";"Turkey";"BSDGSLM";2,20457094323912;0,788382685234802;960546,822284012;4791;12062,4710193761;0,0186276385807576;0,00686716081145858;"BSDGHER BSDGSLM";"TOTWGT";"JRR";"FULL";"LISTWISE";"04-MAR-26";" 9h33m";250;"NONE"
"83";"United Arab Emirates";"BSDGHER";1,99682746557238;0,703580856242958;72000,0189789998;29837;763,517045181865;0,00732346185645954;0,00329065107560937;"BSDGHER BSDGSLM";"TOTWGT";"JRR";"FULL";"LISTWISE";"04-MAR-26";" 9h33m";250;"NONE"
"84";"United Arab Emirates";"BSDGSLM";2,05347856904211;0,810104494689042;72000,0189789998;29837;763,517045181865;0,0102185567500151;0,00242647959709154;"BSDGHER BSDGSLM";"TOTWGT";"JRR";"FULL";"LISTWISE";"04-MAR-26";" 9h33m";250;"NONE"
"85";"United Arab Emirates (Abu Dhabi)";"BSDGHER";2,04297564592863;0,705108811970959;23791,7772940003;10638;513,371198207831;0,0117757203450494;0,00488667495134899;"BSDGHER BSDGSLM";"TOTWGT";"JRR";"FULL";"LISTWISE";"04-MAR-26";" 9h33m";250;"NONE"
"86";"United Arab Emirates (Abu Dhabi)";"BSDGSLM";2,11851913953946;0,80101141643736;23791,7772940003;10638;513,371198207831;0,0132348190756465;0,00349016120463703;"BSDGHER BSDGSLM";"TOTWGT";"JRR";"FULL";"LISTWISE";"04-MAR-26";" 9h33m";250;"NONE"
"87";"United Arab Emirates (Dubai)";"BSDGHER";1,84557666045626;0,701157633317859;22204,8542800001;7721;340,021341800121;0,0176241573466296;0,0090165584216076;"BSDGHER BSDGSLM";"TOTWGT";"JRR";"FULL";"LISTWISE";"04-MAR-26";" 9h33m";250;"NONE"
"88";"United Arab Emirates (Dubai)";"BSDGSLM";2,08150886239456;0,793197448612801;22204,8542800001;7721;340,021341800121;0,0193067369625301;0,00525736946522738;"BSDGHER BSDGSLM";"TOTWGT";"JRR";"FULL";"LISTWISE";"04-MAR-26";" 9h33m";250;"NONE"
"89";"United Arab Emirates (Sharjah)";"BSDGHER";2,03246386127104;0,682920053756141;14961,4144770002;5901;381,174710473772;0,0176368333459065;0,00871999144115751;"BSDGHER BSDGSLM";"TOTWGT";"JRR";"FULL";"LISTWISE";"04-MAR-26";" 9h33m";250;"NONE"
"90";"United Arab Emirates (Sharjah)";"BSDGSLM";1,98393513592115;0,812993658756359;14961,4144770002;5901;381,174710473772;0,0298856881617828;0,0079086796390353;"BSDGHER BSDGSLM";"TOTWGT";"JRR";"FULL";"LISTWISE";"04-MAR-26";" 9h33m";250;"NONE"
"91";"United States";"BSDGHER";1,91417623166995;0,73364929741241;3400843,36929193;7654;94955,1086305858;0,0227723743950213;0,00549163663313156;"BSDGHER BSDGSLM";"TOTWGT";"JRR";"FULL";"LISTWISE";"04-MAR-26";" 9h33m";250;"NONE"
"92";"United States";"BSDGSLM";2,36749343467777;0,725947018276882;3400843,36929193;7654;94955,1086305858;0,016688981354329;0,00705581886305738;"BSDGHER BSDGSLM";"TOTWGT";"JRR";"FULL";"LISTWISE";"04-MAR-26";" 9h33m";250;"NONE"
"93";"Uzbekistan";"BSDGHER";2,21049656404324;0,639126427678638;515621,453354005;4069;10697,5019665252;0,0187855184395794;0,00676585578183228;"BSDGHER BSDGSLM";"TOTWGT";"JRR";"FULL";"LISTWISE";"04-MAR-26";" 9h33m";250;"NONE"
"94";"Uzbekistan";"BSDGSLM";1,55475906765193;0,697026204397085;515621,453354005;4069;10697,5019665252;0,0178410650246687;0,00954733761674305;"BSDGHER BSDGSLM";"TOTWGT";"JRR";"FULL";"LISTWISE";"04-MAR-26";" 9h33m";250;"NONE"
"95";"Table Average";"BSDGHER";2,00635600240319;0,684514583607096;NA;NA;NA;0,00274374497280634;0,00123195292090821;"BSDGHER BSDGSLM";"TOTWGT";"JRR";"FULL";"LISTWISE";"04-MAR-26";" 9h33m";250;"NONE"
"96";"Table Average";"BSDGSLM";2,24182701948017;0,736359519017391;NA;NA;NA;0,00259385243205377;0,0011000072695311;"BSDGHER BSDGSLM";"TOTWGT";"JRR";"FULL";"LISTWISE";"04-MAR-26";" 9h33m";250;"NONE"
