"";"IDCNTRY";"ASBG01";"dvar";"n";"TOTWGT";"sumw_se";"pct";"pct_se";"mnpv";"mnpv_se";"mnpv_ci";"mnx_svr";"mnx_ivr";"sdpv";"sdpv_se";"vrpv";"vrpv_se";"DEff1";"DEff2";"DEff3";"DEff4";"DEff5";"pctmiss";"nvarstrat";"weight";"reps";"method";"jk2type";"npv";"shortcut";"date";"time";"selcrit"
"37";"Israel";"Girl";"ASRREA0";2038;52164,61213;1798,69834865869;50,6827556324549;1,46926464934592;537,084397590919;2,90902095845501;"531 to 543";8,4234742869437;0,0389286497868061;84,7605837286902;2,28585748706765;7185,08013985738;387,252874878403;1,0110418515481;2,37408973500797;2,3892622298757;1,00462144816506;2,4003040814238;0;74;"TOTWGT";150;"JRR";"FULL";5;"N";"04-MAR-26";"13h 2m";"NONE"
"38";"Israel";"Boy";"ASRREA0";1996;50759,1762060001;1785,73342680077;49,3172443675451;1,46926464934592;523,982560605346;3,41767876817896;"517 to 531";10,0888634450258;1,59166471743546;92,9349222355787;2,31404801176555;8637,26840045109;430,351177825504;1,36782031409783;1,973411038269;2,3314513921114;1,15776452185208;2,69927170620923;0;72;"TOTWGT";150;"JRR";"FULL";5;"N";"04-MAR-26";"13h 2m";"NONE"
"39";"Italy";"Girl";"ASRREA0";1920;254453,519155;5697,70438782009;48,7993998505377;0,849103689199227;551,756844656834;2,65066092317809;"547 to 557";4,63930039922046;2,38670293044283;63,1247575169414;1,57343124235164;3985,135268011;198,325715093998;2,14989061054818;1,57452713554455;2,23517049421237;1,51445319877192;3,38506110476055;0;75;"TOTWGT";150;"JRR";"FULL";5;"N";"04-MAR-26";"13h 2m";"NONE"
"40";"Italy";"Boy";"ASRREA0";2013;266974,039246;5278,58424344149;51,2006001494623;0,849103689199229;544,496322435291;2,43838905810121;"540 to 549";5,50406418365344;0,441677015014268;66,480679286411;1,76529200992324;4420,00481919249;234,74204691777;1,201152683672;2,25438879784277;2,50671247089693;1,08024561492688;2,70786515456893;0;75;"TOTWGT";150;"JRR";"FULL";5;"N";"04-MAR-26";"13h 2m";"NONE"
"41";"Kazakhstan";"Girl";"ASRREA0";2398;122070,569564999;3272,12501309501;48,6133633418893;0,828711110094045;541,840185792133;2,84674040903574;"536 to 547";7,46143206885511;0,642498887581847;61,7473934586552;1,64804108658738;3813,06728816812;203,591446956202;1,40406114447602;3,62981441350334;4,69242023518302;1,08610932615251;5,09648137965903;0;75;"TOTWGT";150;"JRR";"FULL";5;"N";"04-MAR-26";"13h 2m";"NONE"
"42";"Kazakhstan";"Boy";"ASRREA0";2527;129034,396587;2669,19883876825;51,3866366581107;0,828711110094044;530,565095791134;2,54870937285511;"526 to 536";6,26625900901961;0,229660458259898;63,0908580642757;1,60582687289506;3980,74306669636;202,851857297273;1,14578986091268;3,59895777940891;3,97785947258686;1,03665032963517;4,12364933349954;0;75;"TOTWGT";150;"JRR";"FULL";5;"N";"04-MAR-26";"13h 2m";"NONE"
"43";"Kuwait";"Girl";"ASRREA0";2140;23666,7610059997;827,98528191662;51,9382793459745;1,82744592231696;410,581232631749;4,66473374392497;"401 to 420";19,1974536122911;2,56228728942121;95,3769676381968;2,85537984230307;9098,57121479286;544,099409619132;1,6026544904596;3,19340785908086;4,51527495476532;1,1334701643858;5,11792944522492;0;53;"TOTWGT";150;"JRR";"FULL";5;"N";"04-MAR-26";"13h 2m";"NONE"
"44";"Kuwait";"Boy";"ASRREA0";2365;21900,3261289999;1024,11739530195;48,0617206540255;1,82744592231695;377,652896742405;6,39824267702262;"365 to 390";39,710108129462;1,22740122461164;111,100633460854;3,60398580539375;12343,7207742612;800,878368744494;1,235164416734;6,35011661443853;7,60827366753186;1,03090903758333;7,84343808426586;0;52;"TOTWGT";150;"JRR";"FULL";5;"N";"04-MAR-26";"13h 2m";"NONE"
"45";"Latvia";"Girl";"ASRREA0";2110;9045,612043;314,617209181978;50,9989634207809;1,11022212479747;565,844586318483;2,13446536388255;"562 to 570";3,96391848472808;0,592023904886173;60,8205013374828;1,52324448652967;3699,51391576212;185,481293417355;1,33765799176687;1,94254427082899;2,26080187646848;1,14935319865105;2,59845986823535;0;74;"TOTWGT";150;"JRR";"FULL";5;"N";"04-MAR-26";"13h 2m";"NONE"
"46";"Latvia";"Boy";"ASRREA0";2035;8691,242662;195,353393550908;49,0010365792191;1,11022212479747;549,127735597194;2,0372450926776;"545 to 553";3,57952896173643;0,570838605902548;62,8018351454321;1,54822778700981;3944,90573995812;194,723834151139;1,29447004303429;1,65394985883819;1,84651850191254;1,15947310721733;2,14098854494683;0;74;"TOTWGT";150;"JRR";"FULL";5;"N";"04-MAR-26";"13h 2m";"NONE"
