IDCNTRY;ASBGSEX;dvar;n;TOTWGT;sumw_se;pct;pct_se;mnpv;mnpv_se;mnpv_ci;mnx_svr;mnx_ivr;sdpv;sdpv_se;vrpv;vrpv_se;DEff1;DEff2;DEff3;DEff4;DEff5;pctmiss;nvarstrat;weight;reps;method;jk2type;npv;shortcut;date;time;infile;selcrit
Netherlands;BOY;ASMMAT0;1477;85799,5995827297;2912,29852972468;50,9178005112941;1,16833520013479;543,533310779222;2,17688560902423;539 to 548;4,49947036670612;,239360588070697;53,9312036655532;1,6447849882698;2908,96429576653;178,95076132279;1,12153314810186;2,1453650784133;2,2845649021188;1,05319750294209;2,40609805022066;0;65;TOTWGT;75;JRR;HALF;5;Y;25-FEB-26;22h23m;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\TIMSS_4_2003.sav;NONE
New Zealand;GIRL;ASMMAT0;2117;29621,2025758291;1095,51997789871;50,2746656500526;1,13022632602181;493,846219526038;2,70945972072042;489 to 499;7,23855324056264;,102618737643755;82,2227437392617;2,25382793123401;6761,35836931231;373,547261322806;1,03213021048815;2,22698766175236;2,26641103359083;1,01417669169976;2,29854124407898;0;75;TOTWGT;75;JRR;HALF;5;Y;25-FEB-26;22h23m;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\TIMSS_4_2003.sav;NONE
New Zealand;BOY;ASMMAT0;2166;29297,5434622127;979,836277731604;49,7253343499474;1,13022632602182;494,419671275803;2,38454027494095;490 to 499;5,61780985097099;,0682224718444916;85,4771022889247;1,77904702515124;7306,44351974815;304,469959665056;1,02022459677075;1,65221269644932;1,66540343524377;1,01214396244342;1,68562803201452;0;75;TOTWGT;75;JRR;HALF;5;Y;25-FEB-26;22h23m;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\TIMSS_4_2003.sav;NONE
Norway;GIRL;ASMMAT0;2139;30003,8607073741;851,51863762107;49,8638373347933;,757764910042951;449,199227737719;2,6965808075459;444 to 454;6,74901741070614;,522530640918782;78,2234024661265;1,82605741309676;6119,48717664089;288,312928269677;1,18264488651789;2,1491576573806;2,35904542730405;1,07742321720639;2,54169031382194;0;70;TOTWGT;75;JRR;HALF;5;Y;25-FEB-26;22h23m;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\TIMSS_4_2003.sav;NONE
Norway;BOY;ASMMAT0;2189;30167,7231719886;860,571141331061;50,1361626652067;,75776491004295;453,911349418131;2,68901649367793;449 to 459;6,87948289519883;,35132680807311;81,9440999418111;1,86689498995337;6715,82579565955;307,879776548864;1,11451374801429;2,1146955011867;2,24234346092226;1,05106878139319;2,35685720893655;0;70;TOTWGT;75;JRR;HALF;5;Y;25-FEB-26;22h23m;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\TIMSS_4_2003.sav;NONE
Philippines;GIRL;ASMMAT0;2356;925566,734687533;43461,4568196042;51,2942771149605;1,02710169560524;364,02791972158;9,18626998807734;346 to 382;83,6110778738844;,776478419966088;111,049374827832;6,63167754188862;12332,4488281591;1506,44581874919;1,14833900249097;14,0389380999919;15,9731211712862;1,00928678878099;16,1214601737772;0;68;TOTWGT;75;JRR;HALF;5;Y;25-FEB-26;22h23m;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\TIMSS_4_2003.sav;NONE
Philippines;BOY;ASMMAT0;2214;878858,216293173;36138,0262062351;48,7057228850395;1,02710169560525;352,175658485608;6,97940776050655;338 to 366;46,7411846388783;1,97094804854073;107,872776668532;5,32576556864629;11637,3276045473;1174,33566692513;1,37497259918713;6,74011732972329;8,89250404448869;1,0421672677697;9,26747664367582;0;68;TOTWGT;75;JRR;HALF;5;Y;25-FEB-26;22h23m;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\TIMSS_4_2003.sav;NONE
Russian Federation;GIRL;ASMMAT0;1962;566407,658988909;20175,4488270085;49,7821258758706;,714922138159489;529,807281389517;5,36111921101282;519 to 540;28,3369521994964;,404646995194322;78,0228458006131;2,3062127188712;6088,44964858423;357,249431412461;1,13039730151269;8,19354986219873;9,13156935252642;1,01427983476648;9,26196665403911;0;61;TOTWGT;75;JRR;HALF;5;Y;25-FEB-26;22h23m;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\TIMSS_4_2003.sav;NONE
Russian Federation;BOY;ASMMAT0;2000;571365,485535332;19373,95740698;50,2178741241294;,714922138159486;533,55988349729;4,73495545878866;524 to 543;21,9010212034702;,518781993242335;78,4368955174976;2,37340862161308;6153,02668440808;375,230427059167;1,16862660276021;6,23587246802048;7,11877985478851;1,02368757093209;7,28740645754872;0;61;TOTWGT;75;JRR;HALF;5;Y;25-FEB-26;22h23m;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\TIMSS_4_2003.sav;NONE
Singapore;GIRL;ASMMAT0;3355;24477,530794404;762,082688035061;48,987582024866;1,42758888221956;598,725016658815;5,54814994153271;588 to 610;29,4952690608839;1,28669871284547;80,0237274806812;3,0102960679725;6404,04591854531;483,554492853485;1,67408545105766;9,63289539668293;15,4522045840895;1,04362390152093;16,1262900351472;0;74;TOTWGT;75;JRR;HALF;5;Y;25-FEB-26;22h23m;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\TIMSS_4_2003.sav;NONE
