BSBG01;dvar;groupvar;refgroup;compgroup;pct;pct_se;cpct;cpct_se;pctdiff;pctdiff_se;pctdiff_t;mnpv;mnpv_se;cmnpv;cmnpv_se;mnpvdiff;mnpvdiff_se;mnpvdiff_t;mnpvdiff_ci;weight;method;jk2type;shortcut;date;time;reps;npv;infile;selcrit
Girl;BSMMAT0;IDCNTRY;Australia;New Zealand;51,1668215572466;1,60499612075975;51,3952689453617;2,00014944372762;,228447388115057;2,56449026999475;,0890810118439347;504,44953504007;3,84288662134017;494,242061110017;3,13983167782214;-10,2074739300529;4,96249136518449;-2,05692527782835;-20 to 0;TOTWGT;JRR;FULL;N;26-FEB-26; 7h26m;150;5;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\TIMSS_8_2015.sav;NONE
Girl;BSMMAT0;IDCNTRY;Australia;Norway;51,1668215572466;1,60499612075975;49,9857150960479;,700508355706364;-1,18110646119873;1,75120658520583;-,674452957850148;504,44953504007;3,84288662134017;511,072422412801;2,51688798085897;6,62288737273111;4,59374604137708;1,44171822148569;-2 to 16;TOTWGT;JRR;FULL;N;26-FEB-26; 7h26m;150;5;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\TIMSS_8_2015.sav;NONE
Girl;BSMMAT0;IDCNTRY;Australia;Qatar;51,1668215572466;1,60499612075975;50,4270778933828;3,03855775944273;-,739743663863833;3,4364001229664;-,21526703451089;504,44953504007;3,84288662134017;440,396403823863;3,2267862760621;-64,0531312162069;5,01796046774563;-12,7647739809683;-74 to -54;TOTWGT;JRR;FULL;N;26-FEB-26; 7h26m;150;5;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\TIMSS_8_2015.sav;NONE
Girl;BSMMAT0;IDCNTRY;Australia;Russian Federation;51,1668215572466;1,60499612075975;48,6938339001962;,941995379329931;-2,47298765705042;1,86101258521612;-1,3288398352036;504,44953504007;3,84288662134017;533,156119950564;5,12026342327343;28,706584910494;6,40194307286366;4,48404251393214;16 to 41;TOTWGT;JRR;FULL;N;26-FEB-26; 7h26m;150;5;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\TIMSS_8_2015.sav;NONE
Girl;BSMMAT0;IDCNTRY;Australia;Saudi Arabia;51,1668215572466;1,60499612075975;51,125166415956;1,55569948714157;-,0416551412905903;2,23522111701424;-,0186358033992773;504,44953504007;3,84288662134017;374,726507428807;5,06914534489272;-129,723027611263;6,36113292677671;-20,3930697730279;-142 to -117;TOTWGT;JRR;FULL;N;26-FEB-26; 7h26m;150;5;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\TIMSS_8_2015.sav;NONE
Girl;BSMMAT0;IDCNTRY;Australia;Singapore;51,1668215572466;1,60499612075975;48,5152056206764;,595231544086506;-2,65161593657019;1,71181574321813;-1,54900779892658;504,44953504007;3,84288662134017;625,739942787154;3,41427766136084;121,290407747084;5,14053202823821;23,5949133437563;111 to 131;TOTWGT;JRR;FULL;N;26-FEB-26; 7h26m;150;5;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\TIMSS_8_2015.sav;NONE
Girl;BSMMAT0;IDCNTRY;Australia;Slovenia;51,1668215572466;1,60499612075975;48,4273664492718;,739240774738132;-2,73945510797479;1,76705672537394;-1,55029268083913;504,44953504007;3,84288662134017;515,085503799548;2,35241950274788;10,6359687594779;4,50573580021996;2,36053981659524;2 to 19;TOTWGT;JRR;FULL;N;26-FEB-26; 7h26m;150;5;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\TIMSS_8_2015.sav;NONE
Girl;BSMMAT0;IDCNTRY;Australia;South Africa;51,1668215572466;1,60499612075975;51,3022198555602;1,13660117667672;,135398298313572;1,96669132872364;,0688457290353968;504,44953504007;3,84288662134017;375,854529602725;5,30060108232661;-128,595005437345;6,54707182016795;-19,6416060445853;-141 to -116;TOTWGT;JRR;FULL;N;26-FEB-26; 7h26m;150;5;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\TIMSS_8_2015.sav;NONE
Girl;BSMMAT0;IDCNTRY;Australia;Sweden;51,1668215572466;1,60499612075975;48,10353040735;,962131043099447;-3,0632911498966;1,87128530474363;-1,6369984534861;504,44953504007;3,84288662134017;497,796050583081;3,2193799420691;-6,65348445698879;5,01320105280769;-1,32719282288957;-16 to 3;TOTWGT;JRR;FULL;N;26-FEB-26; 7h26m;150;5;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\TIMSS_8_2015.sav;NONE
Girl;BSMMAT0;IDCNTRY;Australia;Thailand;51,1668215572466;1,60499612075975;53,7445063525754;1,51282545288304;2,57768479532881;2,20559592821183;1,16870219171045;504,44953504007;3,84288662134017;439,543381610635;5,2225417483551;-64,9061534294351;6,48403577240188;-10,0101473384364;-78 to -52;TOTWGT;JRR;FULL;N;26-FEB-26; 7h26m;150;5;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\TIMSS_8_2015.sav;NONE
Girl;BSMMAT0;IDCNTRY;Australia;United Arab Emirates;51,1668215572466;1,60499612075975;50,1850177963596;2,54802305790206;-,981803760887014;3,01138407567922;-,326030734112043;504,44953504007;3,84288662134017;471,050616050455;3,51928637355129;-33,3989189896147;5,2108688491977;-6,409472192868;-44 to -23;TOTWGT;JRR;FULL;N;26-FEB-26; 7h26m;150;5;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\TIMSS_8_2015.sav;NONE
Girl;BSMMAT0;IDCNTRY;Australia;Turkey;51,1668215572466;1,60499612075975;48,2857175499247;,787940671572371;-2,88110400732189;1,78797736271234;-1,61137610990292;504,44953504007;3,84288662134017;461,138510714213;4,8003578161237;-43,3110243258571;6,14908226870443;-7,04349404240163;-55 to -31;TOTWGT;JRR;FULL;N;26-FEB-26; 7h26m;150;5;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\TIMSS_8_2015.sav;NONE
Girl;BSMMAT0;IDCNTRY;Australia;Egypt;51,1668215572466;1,60499612075975;52,978560542615;2,31805286577628;1,81173898536836;2,81946477832008;,642582592022253;504,44953504007;3,84288662134017;396,596361772575;5,51764170771526;-107,853173267495;6,72399788810155;-16,0400367552682;-121 to -95;TOTWGT;JRR;FULL;N;26-FEB-26; 7h26m;150;5;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\TIMSS_8_2015.sav;NONE
Girl;BSMMAT0;IDCNTRY;Australia;United States;51,1668215572466;1,60499612075975;49,9384942104483;,633533842587384;-1,22832734679833;1,72550794763669;-,711864206989417;504,44953504007;3,84288662134017;517,595560490117;3,28918462531779;13,146025450047;5,05831128776217;2,59889609440445;3 to 23;TOTWGT;JRR;FULL;N;26-FEB-26; 7h26m;150;5;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\TIMSS_8_2015.sav;NONE
Girl;BSMMAT0;IDCNTRY;Australia;England;51,1668215572466;1,60499612075975;50,6834252719029;1,53092796890554;-,483396285343703;2,21805162104742;-,217937346794224;504,44953504007;3,84288662134017;521,135447837426;5,24933202896486;16,685912797356;6,5056332769986;2,56484066760279;4 to 29;TOTWGT;JRR;FULL;N;26-FEB-26; 7h26m;150;5;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\TIMSS_8_2015.sav;NONE
Girl;BSMMAT0;IDCNTRY;Australia;Norway (8);51,1668215572466;1,60499612075975;49,850005498702;,723725795579785;-1,31681605854464;1,76062249640331;-,747926407412546;504,44953504007;3,84288662134017;487,069820492574;2,35023524702712;-17,3797145474965;4,5045957977208;-3,85821843466846;-26 to -9;TOTWGT;JRR;FULL;N;26-FEB-26; 7h26m;150;5;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\TIMSS_8_2015.sav;NONE
Girl;BSMMAT0;IDCNTRY;Australia;United Arab Emirates (Dubai);51,1668215572466;1,60499612075975;51,9508049774796;3,65645801451821;,783983420232994;3,99320645090989;,196329298239603;504,44953504007;3,84288662134017;509,978870765819;3,70578209855388;5,52933572574858;5,33859518473143;1,03572860170456;-5 to 16;TOTWGT;JRR;FULL;N;26-FEB-26; 7h26m;150;5;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\TIMSS_8_2015.sav;NONE
Girl;BSMMAT0;IDCNTRY;Australia;United Arab Emirates (Abu Dhabi);51,1668215572466;1,60499612075975;49,6002811964792;4,48706156702813;-1,56654036076746;4,76547311963406;-,328727142392895;504,44953504007;3,84288662134017;456,50710742482;5,98051531944264;-47,9424276152503;7,10875102043695;-6,74414218157601;-62 to -34;TOTWGT;JRR;FULL;N;26-FEB-26; 7h26m;150;5;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\TIMSS_8_2015.sav;NONE
Girl;BSMMAT0;IDCNTRY;Australia;Canada (Ontario);51,1668215572466;1,60499612075975;49,7818840915817;1,20154041382983;-1,38493746566488;2,00492192210076;-,690768777775516;504,44953504007;3,84288662134017;521,96647115924;2,68090580460297;17,5169361191702;4,68561986482356;3,73844584591153;8 to 27;TOTWGT;JRR;FULL;N;26-FEB-26; 7h26m;150;5;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\TIMSS_8_2015.sav;NONE
