IDCNTRY;percentile;dvar;groupvar;refgroup;compgroup;val;val_se;cval;cval_se;valdiff;valdiff_se;valdiff_t;weight;method;jk2type;shortcut;date;time;reps;npv;infile;selcrit
Colombia;50;ASRREA0;ASBGSEX;GIRL;BOY;429,3143208;6,57646050956915;418,9046912;4,86465711861843;-10,4096296;5,35303501567236;-1,94462198911892;TOTWGT;JRR;HALF;Y;25-FEB-26;16h 3m;75;5;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\PIRLS2001.sav;NONE
Colombia;50;ASRREA0;ASBGSEX;BOY;GIRL;418,9046912;4,86465711861843;429,3143208;6,57646050956915;10,4096296;5,35303501567236;1,94462198911892;TOTWGT;JRR;HALF;Y;25-FEB-26;16h 3m;75;5;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\PIRLS2001.sav;NONE
Colombia;50;ASRREA0;ASBGSEX;BOY;BOY;418,9046912;4,86465711861843;418,9046912;4,86465711861843;0;0; ;TOTWGT;JRR;HALF;Y;25-FEB-26;16h 3m;75;5;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\PIRLS2001.sav;NONE
Colombia;90;ASRREA0;ASBGSEX;GIRL;GIRL;533,2054156;7,53257065673781;533,2054156;7,53257065673781;0;0; ;TOTWGT;JRR;HALF;Y;25-FEB-26;16h 3m;75;5;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\PIRLS2001.sav;NONE
Colombia;90;ASRREA0;ASBGSEX;GIRL;BOY;533,2054156;7,53257065673781;515,9977684;4,61100962974594;-17,2076472;6,86446747691503;-2,50677088322856;TOTWGT;JRR;HALF;Y;25-FEB-26;16h 3m;75;5;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\PIRLS2001.sav;NONE
Colombia;90;ASRREA0;ASBGSEX;BOY;GIRL;515,9977684;4,61100962974594;533,2054156;7,53257065673781;17,2076472;6,86446747691503;2,50677088322856;TOTWGT;JRR;HALF;Y;25-FEB-26;16h 3m;75;5;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\PIRLS2001.sav;NONE
Colombia;90;ASRREA0;ASBGSEX;BOY;BOY;515,9977684;4,61100962974594;515,9977684;4,61100962974594;0;0; ;TOTWGT;JRR;HALF;Y;25-FEB-26;16h 3m;75;5;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\PIRLS2001.sav;NONE
Cyprus;10;ASRREA0;ASBGSEX;GIRL;GIRL;400,8056296;4,55308214874369;400,8056296;4,55308214874369;0;0; ;TOTWGT;JRR;HALF;Y;25-FEB-26;16h 3m;75;5;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\PIRLS2001.sav;NONE
Cyprus;10;ASRREA0;ASBGSEX;GIRL;BOY;400,8056296;4,55308214874369;370,8595634;4,98839288101846;-29,9460662;6,53371914759382;-4,58331090203476;TOTWGT;JRR;HALF;Y;25-FEB-26;16h 3m;75;5;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\PIRLS2001.sav;NONE
Cyprus;10;ASRREA0;ASBGSEX;BOY;GIRL;370,8595634;4,98839288101846;400,8056296;4,55308214874369;29,9460662;6,53371914759382;4,58331090203476;TOTWGT;JRR;HALF;Y;25-FEB-26;16h 3m;75;5;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\PIRLS2001.sav;NONE
