"";"IDCNTRY";"EqVar";"b";"beta";"b.se";"beta.se";"b.t";"beta.t";"xvar";"dvar";"weight";"method";"jk2type";"shortcut";"missoptn";"date";"time";"reps";"npv";"selcrit"
"26";"Chile";"BSDAGE";-5,42963238385449;-0,0331443350141816;3,69601624807864;0,0224207899455495;-1,46904992278567;-1,47828578273446;" BSDGSLM_d2 BSDGSLM_d3 BSBG01_d2 BSDAGE BSSSCI0_";"BSMALG0_";"TOTWGT";"JRR";"FULL";"N";"listwise";"04-MAR-26";"19h19m";250;5;"NONE"
"27";"Chile";"BSDGSLM_D2";-19,1839861221331;-0,104805048986854;4,35124852903182;0,0222545811436979;-4,40884633321592;-4,70936964888836;" BSDGSLM_d2 BSDGSLM_d3 BSBG01_d2 BSDAGE BSSSCI0_";"BSMALG0_";"TOTWGT";"JRR";"FULL";"N";"listwise";"04-MAR-26";"19h19m";250;5;"NONE"
"28";"Chile";"BSDGSLM_D3";-33,3335656525381;-0,190877378126734;4,25278575558772;0,0224781814578476;-7,8380542938805;-8,49167351392186;" BSDGSLM_d2 BSDGSLM_d3 BSBG01_d2 BSDAGE BSSSCI0_";"BSMALG0_";"TOTWGT";"JRR";"FULL";"N";"listwise";"04-MAR-26";"19h19m";250;5;"NONE"
"29";"Chile";"BSBG01_D2";4,56203423615863;0,0261212285975342;2,81253708143366;0,016075097953857;1,62203523156153;1,62494988662055;" BSDGSLM_d2 BSDGSLM_d3 BSBG01_d2 BSDAGE BSSSCI0_";"BSMALG0_";"TOTWGT";"JRR";"FULL";"N";"listwise";"04-MAR-26";"19h19m";250;5;"NONE"
"30";"Chile";"BSSSCI0_";0,807343262579873;0,747335700036182;0,019305822248916;0,0100050824525607;41,8186416600414;74,6956063160586;" BSDGSLM_d2 BSDGSLM_d3 BSBG01_d2 BSDAGE BSSSCI0_";"BSMALG0_";"TOTWGT";"JRR";"FULL";"N";"listwise";"04-MAR-26";"19h19m";250;5;"NONE"
"31";"Chinese Taipei";"(CONSTANT)";48,537456949248;NA;54,6156561160425;NA;0,888709582580496;NA;" BSDGSLM_d2 BSDGSLM_d3 BSBG01_d2 BSDAGE BSSSCI0_";"BSMALG0_";"TOTWGT";"JRR";"FULL";"N";"listwise";"04-MAR-26";"19h19m";250;5;"NONE"
"32";"Chinese Taipei";"BSDAGE";5,00202995775841;0,0137432260788131;3,63031160296929;0,00993872336420692;1,37785140913721;1,38279591605373;" BSDGSLM_d2 BSDGSLM_d3 BSBG01_d2 BSDAGE BSSSCI0_";"BSMALG0_";"TOTWGT";"JRR";"FULL";"N";"listwise";"04-MAR-26";"19h19m";250;5;"NONE"
"33";"Chinese Taipei";"BSDGSLM_D2";-18,9542729886894;-0,0776230240575984;4,93035711718384;0,0202251457036203;-3,84440164032497;-3,83794634634963;" BSDGSLM_d2 BSDGSLM_d3 BSBG01_d2 BSDAGE BSSSCI0_";"BSMALG0_";"TOTWGT";"JRR";"FULL";"N";"listwise";"04-MAR-26";"19h19m";250;5;"NONE"
"34";"Chinese Taipei";"BSDGSLM_D3";-43,0560821939131;-0,193125219054264;4,89161669406736;0,0221975135804879;-8,8020147298402;-8,7003086338474;" BSDGSLM_d2 BSDGSLM_d3 BSBG01_d2 BSDAGE BSSSCI0_";"BSMALG0_";"TOTWGT";"JRR";"FULL";"N";"listwise";"04-MAR-26";"19h19m";250;5;"NONE"
"35";"Chinese Taipei";"BSBG01_D2";-13,0353089338091;-0,0598992149162526;2,5435933408448;0,0116249755572734;-5,12476138559152;-5,15263147188086;" BSDGSLM_d2 BSDGSLM_d3 BSBG01_d2 BSDAGE BSSSCI0_";"BSMALG0_";"TOTWGT";"JRR";"FULL";"N";"listwise";"04-MAR-26";"19h19m";250;5;"NONE"
"36";"Chinese Taipei";"BSSSCI0_";0,928332665108329;0,769661194116322;0,0182513293088638;0,00903090348109471;50,8638384305236;85,2252707303904;" BSDGSLM_d2 BSDGSLM_d3 BSBG01_d2 BSDAGE BSSSCI0_";"BSMALG0_";"TOTWGT";"JRR";"FULL";"N";"listwise";"04-MAR-26";"19h19m";250;5;"NONE"
"37";"Cyprus";"(CONSTANT)";237,361693711913;NA;44,0044890095231;NA;5,39403363280836;NA;" BSDGSLM_d2 BSDGSLM_d3 BSBG01_d2 BSDAGE BSSSCI0_";"BSMALG0_";"TOTWGT";"JRR";"FULL";"N";"listwise";"04-MAR-26";"19h19m";250;5;"NONE"
"38";"Cyprus";"BSDAGE";-4,14875472927217;-0,0184127776692848;3,14512147942123;0,0139902166211208;-1,31910794429334;-1,3161181251109;" BSDGSLM_d2 BSDGSLM_d3 BSBG01_d2 BSDAGE BSSSCI0_";"BSMALG0_";"TOTWGT";"JRR";"FULL";"N";"listwise";"04-MAR-26";"19h19m";250;5;"NONE"
